EpThisIter,ReturnMeanIW,MinIW,TimestepsSoFar,MinD2w0t,EpLenMean,EpisodesSoFar,StdIW,MaxIW,EmpiricalD2,MaxD2w0t,InitialReturnMean,InitialReturnStd,EntropyCoefficient,MeanD2w0t,InitialBound,InitialReturnMax,TimeElapsed,ReturnStepMaxmin,Bound,J_sample_variance,EpRewMean,ReturnStepMax,StdD2w0t,InitialReturnMin,Iteration,Weights,MeanEntropy,MeanIW
100,-719.7743,0.022512717,1082,,10.82,100,0.58030057,3.735571,1.644081,4.792159,9.536743e-06,63.914062,10.0,0.030748008,-882.8287,204.8357,2.2337706089019775,8.139399,-833.25305,211354.64,98.13411615143843,9.999996,0.22057386,-81.56039,1,[-0.365 -0.68  -0.484 -0.253  0.   ],1.3251725,0.8973388
100,-487.93347,0.025423678,2168,,10.86,200,0.64555234,14.607192,7.688996,149.86089,5.4931643e-06,63.167328,10.0,0.053152714,-889.65326,258.9095,10.239358901977539,8.145993,-686.7538,240228.48,98.5327316951876,9.999999,1.0132471,-91.89611,2,[-0.3   -0.833 -0.547 -0.449 -0.094],1.2729732,0.6285289
100,-680.30536,0.20833175,4355,,21.87,300,0.59354,5.1301894,2.124489,10.504388,3.6621093e-06,116.79315,10.0,0.06565855,-859.52014,304.65967,21.59356951713562,9.074728,-812.4418,208131.02,208.58213425231236,10.0,0.341948,-180.11086,3,[-0.431 -0.153 -1.147 -1.225 -0.146],1.347538,0.89802057
100,-658.3906,0.16404435,6591,,22.36,400,0.46557948,4.041366,1.8155497,11.439113,1.9302368e-05,124.2286,10.0,0.06865158,-856.5484,296.6216,31.400832176208496,9.093741,-791.8275,130068.83,213.46797305260955,9.999995,0.35413745,-182.9078,4,[-0.396 -0.027 -1.234 -1.417 -0.072],1.3868327,0.86837393
100,-584.9064,0.072662964,8959,,23.68,500,0.48649085,9.741054,4.647018,94.6183,3.2043456e-06,128.00662,10.0,0.08401465,-849.5821,301.7237,41.63994026184082,9.144593,-738.67535,107687.14,226.6719498908672,9.999997,0.87584203,-193.10127,5,[-0.646  0.183 -1.327 -1.342 -0.032],1.3319126,0.7970023
100,-559.6873,0.025127932,12090,,31.31,600,0.7057987,6.6045265,2.0088274,6.8801074,-6.866455e-06,169.5095,10.0,0.10025494,-821.41766,430.21906,53.156800270080566,9.351812,-713.2738,167661.4,302.9526564059133,10.0,0.42394826,-231.78798,6,[-0.549  0.364 -1.392 -1.535 -0.087],1.2642802,0.8291278
100,-488.8943,0.024105843,15503,,34.13,700,0.84118456,9.2654295,3.5270462,19.063374,2.2888184e-05,164.1683,10.0,0.15638894,-799.33276,339.11847,65.6859564781189,9.403793,-674.26935,222981.52,331.125661989938,9.999996,0.708258,-263.9417,7,[-0.47   0.349 -1.436 -1.696 -0.155],1.150907,0.75851375
100,-425.3351,0.009206933,20555,,50.52,800,1.14405,47.719803,9.517536,53.02548,-3.5095215e-06,173.35582,10.0,0.2322037,-713.4711,415.48602,80.37691926956177,9.595417,-615.5655,208146.19,494.980073231216,9.999998,1.2085723,-357.33777,8,[-0.514  0.475 -1.577 -1.749 -0.268],1.0946918,0.80545264
100,-453.08667,0.05909621,27463,,69.08,900,0.47028396,3.6143088,1.7473465,3.9021528,-2.8076172e-05,176.29413,10.0,0.1965705,-620.5283,366.99915,96.83657884597778,9.702908,-587.3892,130432.91,680.5380780478945,10.0,0.5105189,-467.33337,9,[-0.398  0.519 -1.591 -1.845 -0.324],1.1517183,0.8376199
100,-450.66342,0.017960705,33157,,56.94,1000,0.63225067,7.426238,2.6666994,8.876815,-1.8310546e-06,188.80399,10.0,0.18904953,-683.1463,374.19733,111.21257328987122,9.640432,-599.2546,122619.66,559.1629471356624,10.0,0.59629035,-399.63422,10,[-0.401  0.536 -1.584 -1.848 -0.267],1.1416011,0.81856203
100,-301.02277,0.0016321717,40808,,76.51,1100,0.7667385,14.925392,9.683306,58.043404,4.8828124e-06,177.64456,10.0,0.44325805,-592.46313,409.98172,130.51043176651,9.730833,-494.14597,130516.195,754.802786898748,10.0,1.6063077,-477.5407,11,[-0.342  0.523 -1.677 -2.015 -0.277],1.1098655,0.6516673
100,-348.44113,0.00778644,46773,,59.65,1200,0.7910224,12.083617,6.186153,29.327923,1.1291504e-05,195.08203,10.0,0.25836164,-669.11346,342.79694,143.3146049976349,9.656691,-525.6787,187193.12,586.2605744874004,10.0,1.0041288,-414.42816,12,[-0.367  0.401 -1.678 -2.058 -0.309],1.0458913,0.66091037
100,-363.92456,0.0052502262,53609,,68.36,1300,1.2098148,12.153315,7.4494185,21.026344,2.3193359e-05,192.58662,10.0,0.30499253,-629.3959,366.93988,159.42955231666565,9.70014,-536.4733,193600.77,673.3502458525343,10.0,1.0345112,-458.64594,13,[-0.254  0.383 -1.736 -2.126 -0.373],1.0123261,0.80851
100,-359.10852,0.0509366,62132,,85.23,1400,0.64825654,5.980285,2.294018,10.980697,-1.6479493e-05,249.84357,10.0,0.29538655,-585.0276,426.361,179.4308979511261,9.75862,-501.6239,67683.26,842.0130270276328,9.999999,0.74795926,-507.7482,14,[-0.216  0.478 -1.784 -2.2   -0.407],1.0257618,0.8534736
100,-345.20694,0.05272495,71972,,98.4,1500,1.1368147,22.818962,2.2300675,8.114335,1.373291e-05,204.97705,10.0,0.32776374,-521.4085,390.8216,201.58882522583008,9.789997,-483.84283,90736.06,973.6669944187524,10.0,0.74643314,-562.971,15,[-0.252  0.559 -2.007 -2.379 -0.393],0.9946283,0.9669327
100,-241.491,0.018775601,83678,,117.06,1600,0.8661636,11.39908,4.3857317,22.270308,-2.1057129e-05,164.07683,10.0,0.4708472,-444.4094,320.5171,224.42764329910278,9.823113,-387.579,67908.7,1160.2457040399706,9.999999,1.2003914,-651.9314,16,[-0.281  0.627 -2.083 -2.336 -0.424],0.9720438,0.81633407
100,-302.78128,0.012517452,94357,,106.79,1700,0.6777416,5.3426228,4.2393737,18.449978,2.6245118e-05,231.603,10.0,0.47005773,-505.0676,378.16132,247.3339822292328,9.80597,-454.37195,127155.92,1057.538623201513,9.999999,1.1550748,-580.6527,17,[-0.184  0.496 -2.085 -2.267 -0.447],0.9593084,0.74762946
100,-211.71107,0.0133102415,105831,,114.74,1800,1.2412491,35.935806,12.1880665,111.17816,-6.1035157e-06,208.8605,10.0,0.5797125,-468.10727,307.30408,268.36307287216187,9.819963,-368.6088,89831.68,1137.069939683529,10.0,2.259401,-628.255,18,[-0.21   0.454 -2.133 -2.358 -0.46 ],0.93492156,0.8087047
100,-203.00517,0.022092935,118801,,129.7,1900,1.8425412,87.03178,11.620689,261.85178,2.7160644e-05,215.40994,10.0,0.8697411,-446.94376,342.19977,295.8654170036316,9.841225,-353.17563,93450.03,1286.7017931471946,10.0,6.1263337,-640.93964,19,[-0.134  0.467 -2.137 -2.347 -0.484],0.90282935,0.82412046
100,-133.8903,0.008343635,138948,,201.47,2000,1.1605603,17.972795,7.45631,53.839798,-6.988525e-05,171.86917,10.0,1.1081195,-301.71048,193.98529,329.72328996658325,9.895832,-268.83307,37631.97,2004.2053746061472,10.0,2.4444466,-779.32166,20,[-0.08   0.5   -2.171 -2.344 -0.516],0.8662109,0.9746097
100,-136.27147,0.0043801568,160876,,219.28,2100,1.1950212,18.332064,4.0422535,18.856905,-3.0517577e-07,253.99403,10.0,1.1038134,-332.08722,223.47955,364.16798281669617,9.908739,-267.32407,49348.727,2182.793363688681,10.0,1.7644359,-759.8378,21,[-0.037  0.486 -2.197 -2.374 -0.553],0.8196777,0.86269313
