MeanIW,StdD2w0t,EpisodesSoFar,J_sample_variance,TimeElapsed,ReturnStepMax,EpRewMean,MaxIW,ReturnStepMaxmin,InitialReturnStd,EpThisIter,ReturnMeanIW,TimestepsSoFar,EmpiricalD2,Bound,Weights,InitialBound,Iteration,MinD2w0t,EpLenMean,InitialReturnMax,MeanEntropy,InitialReturnMin,MeanD2w0t,InitialReturnMean,MaxD2w0t,MinIW,StdIW
0.7785227,0.8949371,100,437595.84,4.935176610946655,7.691003,33.37895284927748,6.5441856,5.382059,16.790438,100,-566.1031,434,9.593011,-664.43524,[-0.961  0.241 -0.002  0.941  0.   ],-773.01117,1,,4.34,62.71033,1.3998485,-32.843227,0.028517844,3.8146973e-07,137.1336,0.0011778862,0.897755
0.8085797,0.18564826,200,111883.664,10.627819776535034,8.118291,43.27048911351289,2.9346337,6.2365875,28.41905,100,-613.4049,967,2.4153674,-710.6002,[-1.029  0.134 -0.115  0.426 -0.019],-821.3762,2,,5.33,131.58073,1.4829735,-42.117695,0.015949614,9.918213e-07,16.0875,0.14863655,0.43570074
0.77137625,0.33351043,300,297094.66,16.61389398574829,8.5944805,61.36458920792698,11.724089,7.1889725,42.40037,100,-591.6238,1681,3.7247868,-752.38635,[-1.086  0.202 -0.22   0.034  0.064],-864.6883,3,,7.14,186.24245,1.382811,-58.80849,0.02901646,-1.2207031e-06,23.219763,0.007930562,0.72064465
0.7017965,0.4239871,400,237401.58,22.834004640579224,9.076521,98.84332244708484,11.55056,8.153042,70.67947,100,-549.32153,2770,2.73785,-733.78796,[-1.207  0.409 -0.712 -0.641 -0.036],-893.0486,4,,10.89,239.2557,1.1703764,-81.620476,0.04858372,1.1749267e-05,19.403683,0.011389805,0.6484283
0.8573266,0.36966023,500,154965.78,30.143841981887817,9.41938,163.7088331520076,12.574526,8.838777,116.02359,100,-650.76215,4508,2.4184213,-821.1321,[-1.19   0.539 -0.807 -0.874 -0.249],-897.39276,5,,17.38,435.70972,1.2025099,-142.71704,0.056420136,-1.2207031e-06,16.859648,0.14818648,0.6138148
0.8704625,0.32558355,600,181788.36,37.585761308670044,9.498956,191.59392278268072,4.224009,8.997911,120.29019,100,-652.33057,6525,1.8999159,-790.5883,[-1.138  0.671 -0.853 -1.169 -0.217],-876.7162,6,,20.17,308.30347,1.2064353,-155.87173,0.06064366,1.4801026e-05,5.227111,0.091662474,0.602158
0.7771265,0.8969891,700,245787.72,45.747273445129395,9.632039,265.651611739944,13.023961,9.264081,126.88967,100,-543.103,9283,6.575255,-735.55334,[-1.237  0.632 -0.964 -1.341 -0.213],-842.8987,7,,27.58,406.67276,1.1396555,-213.24736,0.111962855,3.3569336e-06,92.86107,0.026935818,0.77503616
0.8511653,0.9666704,800,273843.2,54.76109957695007,9.709206,338.9482750434839,18.81192,9.418412,163.0038,100,-557.8675,12774,5.659708,-734.5715,[-1.063  0.739 -1.068 -1.573 -0.279],-805.1649,8,,34.91,370.97522,1.063446,-269.99646,0.13476147,-1.0375977e-05,98.01524,0.011012354,0.8442629
0.70170546,0.7298358,900,173195.88,65.03488445281982,9.765361,424.2072092579531,6.7422895,9.530722,159.44073,100,-434.3978,17118,4.115246,-610.7908,[-0.949  0.818 -1.243 -1.664 -0.356],-752.9775,9,,43.44,322.87158,1.0176985,-328.86694,0.16486725,-1.0375977e-05,30.027859,0.010070009,0.66741145
0.82710594,0.5471491,1000,161654.61,75.02354001998901,9.769739,432.79937641516574,6.7494974,9.539478,135.23994,100,-490.30417,21548,3.2523127,-631.47107,[-1.029  0.746 -1.273 -1.727 -0.401],-742.8641,10,,44.3,305.42288,1.0078026,-339.1589,0.1324576,-2.1057129e-05,25.226686,0.028637784,0.7093772
0.7619375,0.5422978,1100,158442.92,86.59191584587097,9.801201,503.09539518230963,5.1039658,9.602404,155.69398,100,-465.03525,26681,3.0364327,-617.3003,[-1.043  0.884 -1.363 -1.771 -0.411],-709.3625,11,,51.33,324.86404,1.0566099,-378.48923,0.15817155,-2.2583008e-05,12.410889,0.042982135,0.5617908
0.9198338,0.5386664,1200,230389.5,98.28887724876404,9.801163,503.5836413592011,7.046808,9.602325,161.21594,100,-544.87006,31819,3.5334356,-683.9408,[-1.032  0.975 -1.401 -1.799 -0.362],-710.8106,12,,51.38,320.61255,1.0503007,-376.81873,0.13879016,-4.1809082e-05,15.92699,0.047188107,0.83200175
0.894349,0.63129026,1300,227281.3,109.26098680496216,9.796479,491.78313764677546,5.101542,9.592958,176.12932,100,-510.785,36839,3.1373816,-673.1341,[-0.925  1.011 -1.411 -1.847 -0.369],-720.54443,13,,50.2,321.91196,1.013191,-366.22012,0.17857069,1.8310548e-05,13.128876,0.060539726,0.8815625
0.70444345,0.840994,1400,216976.62,121.94076013565063,9.8311,596.0595307157662,7.2039385,9.662202,134.84297,100,-389.1213,42902,3.8764865,-565.605,[-0.953  0.924 -1.446 -1.906 -0.406],-654.6688,14,,60.63,249.16101,0.97217584,-415.9477,0.2623547,2.9907227e-05,25.113075,0.01275785,0.752838
0.74983877,1.3274717,1500,189106.77,135.97428679466248,9.835909,614.1538722504926,9.247201,9.671818,167.07947,100,-362.79675,49146,10.461459,-549.1735,[-1.013  1.027 -1.544 -1.801 -0.447],-656.8543,15,,62.44,313.5858,0.9629005,-436.3793,0.28744617,-2.8381348e-05,71.22568,0.004413604,0.92841095
0.67429173,1.6741285,1600,200028.16,153.2519383430481,9.854452,695.3298471139872,10.612622,9.708905,163.85507,100,-295.69217,56202,13.6070385,-497.37134,[-0.918  1.046 -1.632 -1.968 -0.456],-619.4257,16,,70.56,395.06876,0.90022385,-468.6089,0.36517566,-1.8310546e-06,76.31266,0.0015433106,1.0527436
0.7410088,2.1468422,1700,146934.17,170.05700707435608,9.881933,863.285035861472,22.752922,9.763867,170.55893,100,-296.71097,64938,19.859818,-472.43182,[-0.852  1.108 -1.739 -2.085 -0.519],-551.6062,17,,87.36,287.18555,0.87956786,-490.37793,0.4382789,-7.3242186e-06,83.48627,0.0006513099,0.9036947
0.76769686,1.0519595,1800,144978.5,185.78859448432922,9.87357,803.7082938942306,19.958721,9.747141,167.89813,100,-317.107,73078,4.5865,-497.89166,[-0.963  1.084 -1.877 -2.067 -0.539],-571.7819,18,,81.4,282.1643,0.7900004,-527.1863,0.38302788,-5.1879883e-06,14.443978,0.017726064,0.9815166
0.8523183,0.8589173,1900,577145.44,201.3501842021942,9.876187,820.0196331606672,13.76675,9.752375,139.30275,100,-351.5534,81381,7.94395,-498.40222,[-1.013  1.091 -1.899 -2.097 -0.629],-559.7341,19,,83.03,319.9182,0.79102826,-540.5012,0.26647094,1.6784668e-05,16.031425,0.036337677,1.5970918
0.65366536,2.0766149,2000,126061.266,217.9219319820404,9.882893,868.9032986998013,10.280867,9.765785,165.93051,100,-235.75955,90173,23.054068,-416.90192,[-0.926  1.105 -1.88  -2.102 -0.628],-547.6907,20,,87.92,367.76508,0.76616484,-554.04663,0.45006192,2.9907227e-05,49.72899,0.001125878,0.86884713
