InitialReturnMin,MaxD2w0t,InitialReturnStd,InitialReturnMean,EpThisIter,ReturnStepMax,StdD2w0t,J_sample_variance,EpRewMean,MinD2w0t,InitialReturnMax,StdIW,TimestepsSoFar,MaxIW,EpLenMean,Bound,EpisodesSoFar,InitialBound,TimeElapsed,ReturnMeanIW,MeanEntropy,MeanIW,Iteration,ReturnStepMaxmin,EmpiricalD2,MinIW,MeanD2w0t,Weights
-50.293396,5.6188993,40.94073,1.5258789e-07,100,8.6224165,0.17518741,77693.055,62.857408850425756,,214.67068,0.33815953,729,3.0324373,7.29,-787.5983,100,-869.5543,2.2681853771209717,-672.8468,1.5523282,0.8432006,1,7.2448425,1.5271585,0.1857231,0.020155273,[ 0.15  -0.619  0.319  0.1    0.   ]
-60.11056,10.019639,49.407684,-1.5258789e-06,100,8.627963,0.22552854,241427.72,63.15668581357707,,214.84879,0.5841888,1461,5.2296247,7.32,-782.7269,200,-870.3153,8.186759948730469,-660.4768,1.5179783,0.81583375,2,7.255932,2.0356293,0.012127807,0.023684511,[ 0.156 -0.627  0.315  0.018  0.133]
-33.970333,12.139553,28.229277,-6.1035155e-07,100,8.182398,0.23504685,599295.94,45.16683873648889,,113.0464,1.0143759,2013,7.906401,5.52,-763.8624,300,-823.9321,12.745293617248535,-648.90985,1.20315,0.8533784,3,6.3648653,2.4860406,0.0012662751,0.02134295,[ 0.006 -0.474  0.23   0.442  0.099]
-65.25337,4.5385456,44.7314,-7.171631e-06,100,8.719009,0.1841923,189527.86,68.3570263512907,,224.09029,0.5746626,2797,5.1116185,7.84,-810.1226,400,-876.5229,16.300060749053955,-697.07465,1.3003926,0.87931037,4,7.4380236,1.8345722,0.24793653,0.021992065,[-0.144 -0.338  0.041  0.102 -0.216]
-70.270836,110.93779,49.373837,1.3732911e-06,100,8.803566,0.9829369,639343.9,73.94994580370702,,143.92725,1.0736269,3637,15.083783,8.4,-710.06805,500,-871.8146,19.634457111358643,-510.6727,1.0646012,0.66770935,5,7.6071453,7.873845,0.0011424273,0.05963417,[-0.155 -0.144 -0.065 -0.249 -0.118]
-163.3928,14.534174,125.49646,8.544922e-06,100,9.523108,0.46663743,165246.2,201.9851152968061,,321.5357,0.59740174,5758,7.7027125,21.21,-710.46234,600,-873.25635,26.393158435821533,-540.0759,1.0390245,0.7378792,6,9.046218,2.818635,0.04770212,0.08154079,[-0.338  0.391 -0.656 -0.993 -0.354]
-257.19366,8.21342,166.23447,-1.1291504e-05,100,9.707145,0.5361404,125738.125,337.22611253475816,,370.25818,0.60206276,9232,5.787821,34.74,-684.34937,700,-807.595,32.48594117164612,-522.1322,1.0699439,0.8035454,7,9.414289,2.5923443,0.060340002,0.12732323,[-0.331  0.403 -0.794 -1.262 -0.38 ]
-353.8124,3.5297086,197.13025,-1.7700195e-05,100,9.799228,0.4454803,135260.23,499.07466581097316,,414.56854,0.92914677,14325,8.923723,50.93,-691.191,800,-726.15454,41.806490659713745,-546.7773,1.0189172,0.9960613,8,9.598455,1.6802816,0.12270179,0.14474492,[-0.42   0.537 -1.072 -1.504 -0.349]
-366.64725,5.050263,171.36513,-2.9296874e-05,100,9.802655,0.4970334,186480.64,507.97354010247597,,346.70767,0.682935,19507,4.957902,51.82,-625.4646,900,-712.0807,50.10299730300903,-480.0677,0.99938977,0.8056708,9,9.605311,2.2292564,0.04862342,0.15606804,[-0.466  0.595 -1.1   -1.655 -0.4  ]
-387.65295,37.06506,206.21828,-2.4108887e-05,100,9.822224,1.2063316,120113.02,565.4651811544954,,364.58762,0.6607996,25264,10.461906,57.57,-540.5934,1000,-694.43384,57.718181848526,-348.1086,0.92134345,0.6221948,10,9.644448,6.3703003,0.00044187566,0.27812508,[-0.463  0.679 -1.153 -1.623 -0.42 ]
