EpLenMean,MeanEntropy,MeanIWNorm,MaxIWNorm,Bound,ReturnStepMax,MeanIW,TimeElapsed,EmpiricalD2,InitialReturnMax,InitialReturnMin,StdIWNorm,StdIW,MinIWNorm,MinIW,MaxIW,ReturnMeanIW,InitialReturnStd,ESSClassic,EpThisIter,InitialBound,Weights,EpisodesSoFar,EpRewMean,Iteration,TimestepsSoFar,J_sample_variance,ReturnStepMaxmin,ESSRenyi,InitialReturnMean
13.32,1.2242208,0.009988354,0.22629821,-8.049118,10.0,0.9988353,2.781247615814209,3.1020308,269.1607,-113.47249,0.023668233,2.3668234,2.0592835e-05,0.0020592837,22.629822,50.01133,69.61831,15.117332,100,-32.96532,[-0.563 -1.093 -0.809 -1.04   0.   ],100,123.11990727151723,1,1332,204535.08,8.486471,32.236946,1.5258789e-06
16.52,1.3788991,0.026321787,1.8151923,360.05737,9.999998,2.6321793,10.537368297576904,23.232172,295.69235,-140.25815,0.17996983,17.996983,0.0013465727,0.13465726,181.51924,534.6117,80.510445,2.0943027,100,-36.214756,[-1.199 -0.912 -1.579 -0.889 -0.195],200,155.10289352550421,2,2984,28825744.0,8.777594,4.3043756,1.4572143e-05
15.13,1.3081342,0.008627114,0.062393177,-4.432949,9.999998,0.8627114,18.81609320640564,1.6387998,188.38477,-128.99231,0.008337142,0.8337142,0.00091121875,0.091121875,6.239318,25.103233,75.08963,51.708817,100,-23.072317,[-1.217 -0.581 -1.714 -0.88  -0.04 ],300,141.2124550284455,3,4497,17919.01,8.666552,61.020267,1.3046265e-05
19.6,1.3227477,0.011554875,0.09541885,-31.486317,10.0,1.1554874,26.010881185531616,1.6132689,437.66147,-165.53433,0.014044816,1.4044816,0.0031714174,0.31714174,9.541885,36.59647,83.68067,40.364697,100,-53.602367,[-1.282 -0.389 -1.939 -1.214 -0.111],400,185.88747938233237,4,6457,33805.47,8.968113,61.985947,9.155273e-07
22.03,0.9531223,0.105560645,10.011695,215.9367,9.999999,10.556065,33.64359712600708,371.8514,255.96033,-175.6972,0.9957575,99.575745,4.9205945e-10,4.9205944e-08,1001.1695,820.44604,86.39046,1.1113311,100,-31.3486,[-1.553 -0.094 -2.177 -1.223 -0.096],500,210.18495984300742,5,8660,67295860.0,9.0817,0.26892462,1.0375977e-05
25.39,0.92867655,0.023321737,1.6170357,13.483475,9.999998,2.3321738,43.1641047000885,7.2125573,233.77069,-203.45312,0.16043042,16.043043,0.000623292,0.0623292,161.70358,90.37533,76.572754,2.069504,100,-28.630932,[-1.636 -0.185 -2.209 -1.334 -0.466],600,243.7697215031304,6,11199,582382.44,9.202024,13.864708,1.4038086e-05
29.47,0.920445,0.0099357255,0.027331902,-26.123562,10.0,0.9935726,52.31704759597778,1.3385242,318.8135,-222.59654,0.0056243697,0.562437,0.0028063296,0.28063297,2.7331903,19.051159,93.735115,75.73225,100,-39.046513,[-1.491  0.1   -2.319 -1.427 -0.49 ],700,284.5470362629387,7,14146,13563.085,9.3109665,74.709145,1.2817382e-05
31.5,0.90870225,0.009761102,0.021860754,-42.740707,10.0,0.9761102,61.395241022109985,1.1258912,415.226,-227.31284,0.0032233782,0.3223378,0.0043082787,0.43082786,2.1860754,11.220097,94.265434,90.16728,100,-50.85459,[-1.573  0.213 -2.443 -1.54  -0.498],800,304.84622991072615,8,17296,9402.6045,9.355318,88.81853,4.272461e-06
35.2,0.8940428,0.009727877,0.027550966,-33.15802,10.0,0.9727876,71.11060643196106,1.2081188,343.51938,-282.9125,0.0046122377,0.46122372,0.003629136,0.3629136,2.7550967,13.085587,102.980125,81.64629,100,-42.072334,[-1.643  0.296 -2.515 -1.558 -0.51 ],900,341.84451110276564,9,20816,15754.9795,9.422985,82.773315,2.2888184e-05
34.51,0.89195305,0.009197179,0.018978555,-30.63977,10.0,0.91971797,80.09399771690369,1.1336334,302.76767,-269.9929,0.003181158,0.31811583,0.003202562,0.3202562,1.8978555,8.841529,88.896095,89.31475,100,-37.08132,[-1.711  0.367 -2.604 -1.514 -0.525],1000,334.9437647125866,10,24267,7257.7485,9.411402,88.21194,-2.1362305e-06
40.36,0.7817865,0.07196606,5.934551,734.78754,9.999998,7.1966066,90.74595165252686,423.8666,266.8143,-320.14444,0.5933319,59.33319,3.098808e-06,0.00030988082,593.4551,1542.034,90.81345,1.4498312,100,-39.209522,[-1.772  0.441 -2.725 -1.555 -0.527],1100,393.4277679743662,11,28303,227430130.0,9.495928,0.23592328,3.2043456e-06
49.7,0.591312,0.09329284,8.429768,193.932,10.0,9.329285,103.48642563819885,226.26756,256.21732,-357.7476,0.83853394,83.8534,9.064119e-08,9.064119e-06,842.9768,853.00494,103.699844,1.2226793,100,-43.81496,[-1.589  0.684 -2.722 -1.765 -0.637],1200,486.8074146025233,12,33273,66572600.0,9.589836,0.44195464,-8.850097e-06
