InitialReturnMax,EpThisIter,EpRewMean,MeanIW,InitialBound,Weights,MinIW,EpisodesSoFar,MinD2w0t,ReturnMeanIW,Bound,InitialReturnStd,J_sample_variance,InitialReturnMin,InitialReturnMean,EmpiricalD2,TimeElapsed,MeanEntropy,MeanD2w0t,TimestepsSoFar,ReturnStepMax,MaxIW,EntropyCoefficient,EpLenMean,StdIW,MaxD2w0t,ReturnStepMaxmin,StdD2w0t,Iteration
61.633488,20,43.972453119759734,0.27077413,-878.1594,[-0.689  0.919 -0.673  0.288  0.   ],0.0036842958,20,,-196.88374,-491.5197,23.186802,60466.797,-32.965584,2.2888185e-06,5.225611,0.8322937488555908,1.0511094,0.029168133,108,9.999937,4.8862205,10.0,5.4,0.31865942,25.87837,6.2861557,0.40877914,1
50.74009,20,45.97191551275395,0.7722623,-881.7204,[-0.643  0.686 -0.668  0.095 -0.368],0.37384272,40,,-595.483,-758.65515,23.846886,45173.324,-34.866684,5.722046e-07,2.3959138,3.4199814796447754,1.2067896,0.017699523,220,9.999968,1.7198472,10.0,5.6,0.2550247,4.5263605,6.4185753,0.18015632,2
42.939964,20,44.46827530286713,0.3935999,-871.482,[-0.75   0.737 -0.841 -0.11  -0.212],1.8072024e-05,60,,-292.63397,-562.4478,20.864006,176806.8,-33.493187,6.67572e-07,5.6795645,5.845968246459961,0.7439417,0.03436198,329,9.999909,12.27953,10.0,5.45,0.54940283,16.902088,6.3187246,0.41964933,3
125.86923,20,75.95443425176936,0.72857374,-963.523,[-0.906  0.862 -1.075 -0.456 -0.675],0.007437636,80,,-569.0007,-853.2738,43.31135,247416.11,-42.771244,-2.670288e-06,3.1999362,8.688525438308716,0.57584506,0.032242775,501,9.999946,3.7232232,10.0,8.6,0.6556452,16.387022,7.6638765,0.3185816,4
95.279816,20,118.93291589361941,0.6623237,-967.8898,[-0.727  0.597 -0.96  -0.411 -0.843],0.1457353,100,,-519.7473,-771.3247,53.433075,77480.984,-101.06868,-4.196167e-06,4.0970025,11.757897138595581,0.6672833,0.046113003,759,9.999998,2.1786742,10.0,12.9,0.35010454,14.855086,8.439215,0.35675302,5
172.80705,20,142.91169005230338,0.7541294,-988.3273,[-0.775  0.517 -0.991 -0.481 -0.752],0.038646355,120,,-621.509,-884.11926,73.664314,189865.36,-100.86075,1.5640258e-05,2.4281163,14.222646474838257,0.69246167,0.04605267,1065,9.999977,1.9041232,10.0,15.3,0.4757998,6.9666157,8.68129,0.2869682,6
90.31638,20,106.44645566248892,0.4365838,-963.99756,[-0.76   0.518 -0.964 -0.312 -0.726],0.0034194286,140,,-320.42615,-627.8286,52.90838,82068.17,-89.91609,-2.670288e-06,7.9983306,17.15227246284485,0.53544384,0.06230608,1298,9.999996,12.445985,10.0,11.65,0.46984336,34.752296,8.274075,0.6652012,7
204.77702,20,156.43088193585126,0.6278924,-996.0772,[-0.824  0.387 -1.012 -0.435 -0.883],0.0688686,160,,-482.74072,-801.82825,98.582085,111183.82,-129.43307,5.722046e-06,2.3186603,20.265979051589966,0.41235358,0.059191924,1631,9.999992,2.5158455,10.0,16.65,0.41957116,7.302191,8.790504,0.38392824,8
281.61426,20,284.3667988015548,0.44300342,-952.7948,[-0.988  0.367 -1.097 -0.468 -1.007],0.017841255,180,,-307.84607,-663.71375,86.55895,40562.426,-156.46341,3.0517579e-06,2.2576547,23.585923433303833,0.30111694,0.09573103,2220,9.999991,2.456646,10.0,29.45,0.2824784,6.1234703,9.311847,0.42376962,9
207.01472,20,208.39607316556277,0.6746028,-979.86084,[-0.872  0.335 -1.063 -0.48  -1.118],0.0436994,200,,-483.77548,-779.6878,107.70794,257927.08,-152.12994,3.0517579e-06,3.1621494,26.598172426223755,0.30783087,0.06814695,2657,9.99999,4.0356674,10.0,21.85,0.699654,9.421592,9.075165,0.35802075,10
