MeanEntropy,EpThisIter,ReturnStepMax,InitialReturnMean,EpLenMean,InitialReturnStd,ReturnStepMaxmin,InitialReturnMin,Weights,StdD2w0t,Iteration,TimestepsSoFar,MaxD2w0t,EmpiricalD2,EpRewMean,Bound,EntropyCoefficient,ReturnMeanIW,TimeElapsed,MinIW,EpisodesSoFar,MinD2w0t,MeanIW,StdIW,MeanD2w0t,InitialBound,InitialReturnMax,MaxIW,J_sample_variance
1.5039082,20,9.999976,-1.5258789e-06,10.0,55.486576,7.9867163,-74.70904,[-0.365 -0.68  -0.484 -0.253  0.   ],0.16429749,1,200,1.5772141,1.2491782,89.9334678986239,-936.0244,10.0,-761.30804,0.7626211643218994,0.5074424,20,,0.93572307,0.32068017,0.023329334,-963.33514,121.638725,1.9546564,88432.67
1.3649026,20,9.999973,1.9073486e-06,9.15,60.612713,7.8015842,-56.56813,[-0.525 -0.656 -0.75  -0.32   0.085],0.273454,2,383,10.944398,2.4867482,81.4421298053334,-825.14905,10.0,-540.0322,3.5383474826812744,0.06927567,40,,0.67550147,0.34479097,0.03049939,-980.6614,191.0852,3.0469232,84938.984
1.375481,20,9.999987,-4.577637e-06,19.75,112.24102,8.975039,-143.23041,[-0.141 -0.203 -1.68  -0.821 -0.054],0.21633677,3,778,1.946467,1.1482999,187.378386285889,-931.22736,10.0,-693.96454,6.285031080245972,0.6551215,60,,0.9038961,0.20808767,0.043354895,-994.982,289.5115,2.6263952,24987.992
1.3029761,20,10.0,-6.866455e-06,15.0,90.47618,8.6529255,-116.23865,[-0.333 -0.065 -1.836 -0.833 -0.043],0.3850712,4,1078,17.686996,3.1536636,139.89695108717447,-710.42267,10.0,-419.55988,9.20809292793274,0.073203385,80,,0.54552895,0.3411825,0.049598057,-989.29645,197.83871,5.0894194,76033.06
1.1870118,20,9.999992,-3.7384034e-05,31.3,158.24153,9.351608,-234.12943,[-0.149  0.169 -1.92  -1.192 -0.116],0.60769653,5,1704,7.619033,2.7149615,302.85254841940406,-812.80646,10.0,-441.43805,12.582250118255615,0.060827408,100,,0.6752875,0.49796748,0.13268209,-947.2571,299.14682,6.1296253,69083.72
1.213532,20,9.999999,-1.2207031e-05,49.4,180.39343,9.586432,-291.1098,[-0.213  0.265 -1.999 -1.179 -0.232],0.5205012,6,2692,4.2151675,2.1927714,483.7847823261084,-723.1851,10.0,-405.65143,16.02845525741577,0.10092762,120,,0.690577,0.44497138,0.1576504,-857.1748,285.5076,5.259281,57193.97
1.2537748,20,9.999998,-5.340576e-05,64.05,120.56157,9.679413,-323.89285,[-0.177  0.279 -2.022 -1.35  -0.205],0.5111575,7,3973,3.5223753,2.0736098,630.2330807618617,-685.70605,10.0,-375.22665,20.025683403015137,0.23665027,140,,0.75831336,0.42977768,0.18678719,-771.9047,262.70883,2.4760466,50862.887
1.2509764,20,9.999999,2.2888185e-06,43.65,179.76608,9.532844,-304.41577,[-0.174  0.342 -2.003 -1.516 -0.165],0.5757804,8,4846,10.166568,2.9893394,426.3043103641818,-740.4214,10.0,-415.46494,23.32712411880493,0.08274284,160,,0.6554662,0.3167661,0.1469439,-882.66235,266.67618,2.7939677,71775.836
1.2204692,20,9.999999,9.155274e-06,58.6,219.24722,9.649949,-381.3999,[-0.095  0.343 -2.042 -1.702 -0.168],0.5791149,9,6018,5.4818654,2.3070168,575.7434462269437,-713.60034,10.0,-389.39224,27.107921600341797,0.08871582,180,,0.65448534,0.41813555,0.1901388,-840.0685,427.27527,4.6548424,107655.04
1.1684169,20,9.999999,-1.2207031e-05,44.45,161.39095,9.540746,-314.19016,[-0.11   0.2   -2.    -1.521 -0.198],0.552426,10,6907,8.366909,3.1214278,434.2930524390284,-735.07196,10.0,-410.86133,30.81712317466736,0.04811313,200,,0.71109474,0.46243396,0.14492318,-874.5634,265.093,5.0854187,53534.527
