InitialReturnMean,StdIW,MinD2w0t,ReturnStepMax,Weights,MeanIW,InitialBound,StdD2w0t,MeanEntropy,EpisodesSoFar,EpRewMean,J_sample_variance,MinIW,ReturnStepMaxmin,Iteration,EntropyCoefficient,MaxD2w0t,TimeElapsed,InitialReturnMin,EmpiricalD2,MeanD2w0t,InitialReturnMax,InitialReturnStd,TimestepsSoFar,MaxIW,EpLenMean,EpThisIter,Bound,ReturnMeanIW
-1.2207031e-06,0.5469362,,9.999997,[-0.822 -0.493 -0.474 -0.749  0.   ],0.8713784,-893.29047,0.19562821,1.3251652,100,112.82767278686907,172116.39,0.1714399,8.360894,1,10.0,3.139849,2.285543918609619,-103.785446,1.3774009,0.030359704,309.0515,74.96851,1229,8.48858,12.29,100,-808.76447,-695.7158
4.5013426e-06,0.71789306,,9.999999,[-0.943 -0.262 -0.673 -0.996 -0.094],0.8130566,-880.74225,0.3367098,1.18112,200,146.21451533994139,310826.7,0.010547912,8.709474,2,10.0,7.432854,13.622410297393799,-131.29596,2.0883505,0.054541208,245.03223,94.06491,2792,6.9747634,15.63,100,-790.4543,-646.6832
1.0070801e-05,0.45749956,,9.999999,[-0.995 -0.068 -0.803 -0.989 -0.238],0.4547005,-866.03644,1.3587521,1.1490585,300,165.60317377794385,99369.445,0.0022978599,8.850675,3,10.0,120.19214,23.16858673095703,-139.18848,11.068323,0.09113033,175.00555,83.01004,4549,11.614189,17.57,100,-501.08585,-330.99933
1.2664795e-05,1.0508496,,9.999998,[-0.858  0.313 -0.983 -1.495 -0.27 ],0.63509154,-833.65717,2.521618,1.086769,400,273.4527572717827,179741.98,0.024743315,9.284401,4,10.0,239.81583,36.812440395355225,-228.14325,17.62696,0.17000154,447.22748,129.86842,7385,18.92528,28.36,100,-605.00116,-392.05627
-4.8828124e-06,0.700107,,10.0,[-0.728  0.494 -1.083 -1.745 -0.332],0.73149407,-749.4153,0.841678,0.9679285,500,408.6940703700802,171267.98,0.016412687,9.51273,5,10.0,17.523052,52.326109170913696,-312.3884,3.982558,0.20611067,307.62015,142.42769,11574,9.600241,41.89,100,-650.75604,-441.45245
-2.4414062e-06,0.82152104,,9.999998,[-0.785  0.591 -1.103 -1.719 -0.451],0.7897814,-708.5438,1.2460487,0.9998725,600,489.87109905556775,262212.5,0.03315596,9.590931,6,10.0,56.207966,67.34292888641357,-363.37595,11.367029,0.2074087,391.14023,132.41902,16575,9.005104,50.01,100,-626.31305,-460.3738
3.967285e-06,0.6365143,,10.0,[-0.68   0.632 -1.222 -1.766 -0.419],0.72293323,-673.9961,1.014875,1.0286627,700,559.1654509556633,163075.64,0.014636603,9.640522,7,10.0,32.97732,82.0307297706604,-399.0672,8.982304,0.21754138,322.66544,160.71051,22269,7.30402,56.94,100,-568.7724,-407.33447
-6.1035155e-07,0.557246,,10.0,[-0.584  0.671 -1.259 -1.816 -0.39 ],0.582391,-698.3591,1.6344448,0.95345384,800,520.3754442629507,121005.25,0.0030793354,9.614607,8,10.0,57.368874,97.29319143295288,-383.52777,13.294456,0.3097385,361.34418,176.69751,27575,8.943739,53.06,100,-547.9403,-332.61914
-2.9907227e-05,0.7254151,,10.0,[-0.483  0.701 -1.381 -1.915 -0.466],0.7170692,-593.5228,1.1782814,0.9205492,900,752.4135031443465,119623.805,0.013129316,9.730276,9,10.0,70.003494,115.02057838439941,-497.7967,5.5898247,0.33282095,377.0766,178.56435,35202,9.749599,76.27,100,-491.08356,-318.0796
-3.753662e-05,0.742436,,10.0,[-0.384  0.629 -1.462 -1.991 -0.498],0.82950234,-564.9616,0.6051407,0.8691054,1000,831.0993865530488,94835.734,0.019061668,9.755173,10,10.0,5.1621904,131.8466935157776,-528.0867,2.0359073,0.2561791,358.8167,192.38045,43616,6.4321737,84.14,100,-481.69183,-343.45047
-1.8920899e-05,1.1792736,,10.0,[-0.378  0.649 -1.532 -2.083 -0.55 ],0.71795326,-525.1626,1.4596347,0.85854703,1100,928.1839527408868,103624.15,0.017879026,9.780178,11,10.0,46.491882,150.0857343673706,-569.77454,9.579138,0.41526625,327.9441,174.9812,53001,16.177855,93.85,100,-405.71814,-245.99666
