StdD2w0t,ReturnStepMaxmin,Bound,InitialReturnMax,TimeElapsed,MinD2w0t,StdIW,EmpiricalD2,ReturnMeanIW,EpLenMean,EpRewMean,MinIW,J_sample_variance,TimestepsSoFar,EpisodesSoFar,InitialReturnMean,InitialReturnMin,InitialBound,MaxD2w0t,MeanD2w0t,ReturnStepMax,Iteration,EpThisIter,Weights,MeanIW,MaxIW,InitialReturnStd,MeanEntropy
0.15621823,5.815322,-767.4655,67.4904,1.931457281112671,,0.47223243,2.1238272,-684.0849,4.79,37.877669226613925,0.21076328,130691.99,479,100,-6.1035155e-07,-37.118546,-804.9529,6.4554367,0.014202395,9.9999895,1,100,[-0.689  0.919 -0.673  0.288  0.   ],0.91214615,3.2123237,21.086748,1.5595639
0.1556072,5.4955015,-743.78217,61.73096,7.316767930984497,,0.43277386,1.8803121,-660.20013,4.45,34.477439761823,0.41678867,103951.73,924,200,-1.6784668e-06,-33.86276,-790.17957,4.338113,0.014098346,9.999977,2,100,[-0.724  0.987 -0.712  0.483  0.141],0.8971475,3.353042,19.284637,1.7567494
0.26184252,5.6513824,-652.3042,78.16977,11.05086374282837,,0.82558775,3.427467,-523.87787,4.61,36.07618179372123,0.001999156,375988.1,1385,300,-7.6293944e-08,-25.392185,-800.57214,29.116568,0.017509585,9.999889,3,100,[-0.744  0.966 -0.723  0.485  0.338],0.7163211,8.723644,20.985752,1.5419093
0.32495844,6.516288,-689.6818,110.71382,16.193965911865234,,0.8186566,3.8683896,-533.21466,5.76,47.566894033571,0.0003834799,392701.1,1961,400,-2.0599366e-06,-36.247253,-841.4002,36.166096,0.02326034,9.999995,4,100,[-0.83   0.778 -0.845  0.005  0.123],0.70338345,11.588842,28.969631,1.334367
0.16450189,7.903242,-859.5337,194.37921,22.889262676239014,,0.40267617,1.2147685,-755.12897,9.59,85.84599114770333,0.20828392,104920.32,2920,500,6.866455e-06,-80.416435,-893.8182,4.6839,0.022356924,9.99999,5,100,[-0.982  0.751 -1.104 -0.47  -0.085],0.9359399,3.791444,62.24792,1.2445968
0.3805245,7.628148,-836.438,127.19105,28.05335807800293,,1.3246242,4.785723,-703.5347,8.47,74.65513972396498,0.0030615597,1224246.9,3767,600,-8.69751e-06,-61.052155,-878.8237,26.887096,0.03613394,9.999984,6,100,[-0.955  0.558 -1.026 -0.293 -0.174],0.8553956,11.028695,47.25375,1.1578265
0.65310895,6.8748264,-710.76465,95.91486,33.26837158203125,,0.7421216,9.09342,-576.75916,6.42,54.16818345587425,0.079080164,336922.56,4409,700,-5.645752e-06,-52.48899,-851.3645,76.32307,0.037294567,9.999996,7,100,[-1.032  0.514 -0.868  0.162 -0.261],0.7431386,5.079797,30.263409,1.2808806
0.13333657,7.3372183,-847.4031,135.44772,38.262547969818115,,0.4675845,1.1722277,-766.2005,7.54,65.36126981286334,0.13801631,122653.25,5163,800,2.2888185e-06,-52.858635,-872.5652,1.4823806,0.016453682,9.9999895,8,100,[-1.015  0.721 -1.056 -0.348 -0.138],0.96979046,2.9161773,36.648884,1.204721
0.19352132,8.083094,-862.55,300.3167,43.54670858383179,,0.5318845,1.6716683,-737.1463,10.49,94.84579670904247,0.025554888,223531.36,6212,900,-1.5258789e-06,-78.48219,-906.86365,5.1396723,0.027065476,9.999992,9,100,[-1.083  0.688 -1.088 -0.437 -0.214],0.88663584,3.4412322,63.61503,1.2227867
0.248,7.325638,-817.3388,127.897736,48.34864091873169,,0.7999714,2.8923233,-709.76587,7.51,65.05774833832479,0.019688487,438208.12,6963,1000,-4.7302246e-06,-62.299633,-871.24036,22.62259,0.023792198,9.999994,10,100,[-1.086  0.706 -1.073 -0.231 -0.196],0.87613523,9.086792,42.344917,1.2396231
0.36171177,6.3605986,-715.17566,95.9391,53.478291511535645,,0.65596056,4.693717,-600.1622,5.51,45.07338439274422,0.043149814,275239.3,7514,1100,1.8310546e-06,-43.963764,-832.69,39.037235,0.022235991,9.999976,11,100,[-1.204  0.707 -1.081  0.106 -0.179],0.7758495,4.45156,24.690977,1.2792909
0.16707504,6.068078,-746.40076,99.78856,57.154112100601196,,0.7847172,2.1927025,-644.9005,5.1,40.97349331587143,0.00034182108,368787.44,8024,1200,-2.7656556e-06,-40.07695,-822.0459,7.7324767,0.015290835,9.999957,12,100,[-1.233  0.899 -1.112  0.371 -0.14 ],0.8444291,4.458558,22.35466,1.0841296
0.30036384,5.6521835,-670.2103,60.118183,61.17219591140747,,0.4545808,4.3460817,-569.02313,4.61,36.07823300803497,0.10560186,117534.91,8485,1300,-1.3732911e-06,-35.47044,-796.3547,25.36413,0.019398393,9.99998,13,100,[-1.331  1.027 -1.208  0.587 -0.335],0.76716185,5.0329905,16.34789,1.2470683
0.19120291,5.505966,-724.6025,52.376816,65.91287183761597,,0.5941301,2.8792627,-638.5319,4.46,34.57824396025849,0.166877,194941.44,8931,1400,1.7738342e-06,-34.0197,-788.2651,11.623059,0.014531892,9.999972,14,100,[-1.352  1.12  -1.214  0.758 -0.172],0.8692125,4.168518,16.098978,1.3670708
0.5465287,5.925419,-571.01056,66.165405,69.64590096473694,,0.96937793,7.8836184,-416.45172,4.92,39.17650677809269,1.163236e-06,557485.06,9423,1500,-2.5939942e-06,-28.415833,-809.1436,43.99269,0.031899836,9.99999,15,100,[-1.344  0.993 -1.203  0.58  -0.052],0.55473953,5.67026,20.041985,1.0248708
0.21114127,5.5851088,-713.7055,51.63119,74.8315064907074,,0.61943007,3.1657069,-631.39685,4.54,35.378188445807474,0.121995114,213262.25,9877,1600,2.6512146e-06,-34.82204,-791.39514,13.746809,0.015342555,9.999996,16,100,[-1.532  0.932 -1.251  1.13  -0.394],0.856864,3.5424342,14.48138,1.1509067
0.2595022,5.707549,-651.9505,77.489975,78.13830041885376,,0.5882391,3.8279693,-544.1824,4.67,36.677098113253024,0.025799625,202142.98,10344,1700,1.4877319e-06,-36.032803,-802.70886,21.233738,0.016417492,9.999986,17,100,[-1.571  0.863 -1.302  0.96  -0.268],0.73256814,3.681181,17.289104,1.1685662
0.18117419,5.205469,-733.91406,36.564102,83.36535716056824,,0.5021166,2.532746,-655.81195,4.18,31.779307660563962,0.28953493,131468.81,10762,1800,2.0217894e-06,-31.345121,-770.9714,5.261659,0.015622033,9.999941,18,100,[-1.591  0.872 -1.233  1.293 -0.25 ],0.9065469,4.570555,13.126245,1.3931881
0.11555463,5.1595535,-724.5499,46.301476,87.74014377593994,,0.6418703,1.5619072,-661.16895,4.14,31.38026296990173,0.03505145,225804.56,11176,1900,1.14440915e-07,-30.934847,-771.7135,4.4838767,0.010113844,9.999994,19,100,[-1.655  0.933 -1.345  1.196 -0.026],0.91341704,3.4465642,14.589644,1.2905254
