EpRewMean,Bound,TimestepsSoFar,ReturnStepMaxmin,MeanIW,MeanEntropy,InitialReturnStd,EpisodesSoFar,StdIW,MeanD2w0t,TimeElapsed,InitialReturnMax,StdD2w0t,InitialReturnMin,MinD2w0t,MinIW,MaxD2w0t,EmpiricalD2,InitialReturnMean,Weights,ReturnStepMax,EpThisIter,EpLenMean,Iteration,MaxIW,ReturnMeanIW,InitialBound,J_sample_variance
615.2354989888387,-670.1256,9246,9.671799,0.7359989,0.9056534,73.34949,320,0.437437,0.18345481,38.48456358909607,130.80066,0.50316596,-125.32141,,0.25501126,3.195593,2.0393844,1.5258789e-06,[-0.693  0.554 -1.296 -2.342 -0.566],10.0,20,62.55,16,2.453123,-367.809,-769.8056,44397.703
704.2405937694118,-601.3959,10675,9.712829,0.5520905,0.8960484,150.61227,340,0.529375,0.24492437,42.40822649002075,273.54437,0.8611303,-476.29504,,0.010920029,12.727091,8.566762,4.119873e-05,[-0.791  0.66  -1.25  -2.495 -0.513],9.999993,20,71.45,17,4.1129146,-264.38156,-757.49255,104905.52
500.77354504112253,-557.72424,11697,9.599749,0.40502572,0.87263405,155.40115,360,0.3399885,0.16052607,45.408544301986694,267.27618,0.62908685,-377.40363,,0.027633749,13.731564,5.749295,-3.5095214e-05,[-0.848  0.597 -1.23  -2.466 -0.523],9.999998,20,51.1,18,2.6244779,-221.42867,-851.2699,79337.54
555.2517371895802,-591.2698,12828,9.637553,0.47841564,0.88727295,110.5658,380,0.3871483,0.22321573,48.74725270271301,216.36157,0.8809173,-340.331,,0.058667645,15.282026,8.55232,-1.5258789e-05,[-0.712  0.587 -1.224 -2.529 -0.546],9.999999,20,56.55,19,3.1218681,-238.88025,-811.9749,55091.703
592.2586131013177,-630.3517,14033,9.660041,0.57179356,0.9131381,71.91193,400,0.38929203,0.20786934,52.16792917251587,235.67764,0.6208988,-112.215515,,0.09535599,5.900189,3.2784352,-1.2207031e-05,[-0.652  0.645 -1.239 -2.51  -0.532],9.999999,20,60.25,20,4.5302644,-283.70367,-791.89966,46659.082
590.7734398143377,-644.16693,15235,9.659687,0.563558,0.89142627,194.49532,420,0.52998894,0.20353939,55.612131118774414,334.9686,0.73801196,-405.03616,,0.037906125,12.111621,6.506528,-1.8310548e-05,[-0.751  0.733 -1.24  -2.42  -0.506],9.999996,20,60.1,21,2.3777626,-306.28372,-825.4552,130872.555
732.2578126634738,-668.6278,16720,9.724118,0.68925107,0.85499424,189.50992,440,0.5293404,0.27500612,59.70302748680115,326.50543,0.8363594,-478.51385,,0.0032113707,11.9054575,6.0204034,-9.155274e-06,[-0.662  0.756 -1.262 -2.497 -0.528],9.999999,20,74.25,22,4.1839485,-314.7859,-758.97095,87643.38
803.2195029769073,-538.9624,18347,9.747252,0.57616186,0.869762,79.81543,460,0.5496758,0.28640175,63.86786413192749,211.60376,0.847125,-127.21344,,0.022036305,10.967042,6.8752317,-2.5939942e-05,[-0.682  0.886 -1.334 -2.585 -0.564],9.999999,20,81.35,23,9.679137,-197.0826,-699.48065,18774.754
835.2647049331157,-507.76196,20038,9.757891,0.4729726,0.83020115,143.5318,480,0.45216283,0.3153667,68.08937406539917,140.04895,0.932549,-531.4065,,0.03309387,12.894829,7.1349516,-2.8991699e-05,[-0.625  0.932 -1.355 -2.571 -0.549],10.0,20,84.55,24,4.718725,-176.17014,-689.5879,58184.066
844.7373669813453,-606.401,21748,9.759938,0.56871796,0.8826903,215.20236,500,0.314158,0.26315567,72.63050985336304,279.8272,0.6082798,-529.5959,,0.07689316,3.435534,2.067204,7.6293945e-05,[-0.699  0.915 -1.358 -2.527 -0.589],9.999999,20,85.5,25,1.8231955,-286.0969,-719.3672,80431.81
844.1776891141839,-604.7389,23457,9.758401,0.6446904,0.8329627,137.21486,520,0.6195454,0.32551602,76.93144369125366,292.65668,0.90880775,-148.43738,,0.008877384,15.4292555,6.274517,-1.0681152e-05,[-0.715  0.909 -1.393 -2.565 -0.536],9.999999,20,85.45,26,3.4748344,-249.63455,-706.9226,102507.39
836.7322576897681,-656.8144,25151,9.757552,0.8626265,0.87992615,161.40726,540,0.41906753,0.22488628,81.22973322868347,272.29138,0.50926495,-513.035,,0.25075567,2.4841409,1.6041505,-3.0517578e-05,[-0.656  0.944 -1.418 -2.556 -0.586],9.999997,20,84.7,27,3.29351,-352.05942,-706.44604,36260.207
846.1994146745665,-567.0143,26864,9.759473,0.5738602,0.8292998,161.62074,560,0.45909166,0.3129678,85.54996633529663,235.69086,0.89635944,-517.3297,,0.02875165,18.73328,5.723674,-9.155274e-06,[-0.677  0.98  -1.448 -2.604 -0.539],9.999999,20,85.65,28,3.1785424,-219.91104,-700.51556,55791.094
1024.1564426112668,-517.39026,28933,9.800029,0.55417633,0.78575444,81.21237,580,0.49170017,0.36898828,90.45677876472473,207.19592,0.8141255,-152.62793,,0.010682144,6.926769,3.8751597,-6.1035157e-06,[-0.584  0.942 -1.459 -2.598 -0.59 ],9.999999,20,103.45,29,3.596528,-178.33794,-620.22437,31697.355
991.6919343275191,-551.98175,30937,9.794251,0.59923816,0.8016504,108.10485,600,0.49961016,0.36638495,95.16477489471436,164.89624,0.88116455,-197.16595,,0.055725034,11.082779,5.723319,5.493164e-05,[-0.567  0.84  -1.434 -2.563 -0.633],9.999995,20,100.2,30,2.8047493,-212.79716,-633.3844,55112.055
1003.7164288235432,-486.67633,32965,9.797172,0.458335,0.77478105,109.58472,620,0.48195577,0.3424821,100.2172372341156,298.89215,0.78256875,-182.03513,,0.012449135,7.8080482,4.7965536,-1.373291e-05,[-0.587  0.771 -1.45  -2.591 -0.617],9.999999,20,101.4,31,3.029712,-153.80635,-642.3101,53710.875
723.7318461961495,-533.70044,34433,9.720214,0.43243578,0.69970363,70.04237,640,0.46270937,0.26908562,104.09514617919922,160.67633,0.7011584,-128.96124,,0.004418466,5.502711,3.3682542,-1.5258789e-06,[-0.633  0.754 -1.436 -2.485 -0.644],9.999999,20,73.4,32,4.6207075,-185.2144,-725.8213,51891.316
641.7755606735755,-599.47,35737,9.686367,0.5490924,0.72566414,72.80909,660,0.5308848,0.24646987,107.47060585021973,163.93295,0.8784099,-125.79089,,0.03549584,14.726129,7.955392,1.373291e-05,[-0.632  0.697 -1.469 -2.501 -0.719],10.0,20,65.2,33,6.769716,-238.00757,-761.95404,52997.402
781.7324895750684,-667.0592,37321,9.740724,0.80071974,0.7746592,119.27032,680,0.39802894,0.21457544,111.62593173980713,285.3672,0.5097385,-175.22083,,0.24869877,2.7760086,1.6934687,-1.5258789e-06,[-0.528  0.653 -1.455 -2.518 -0.693],9.999999,20,79.2,34,2.1298828,-356.17697,-722.1996,39654.457
760.2521548802856,-470.22327,38862,9.733996,0.39158204,0.7574949,90.83685,700,0.40583253,0.26783523,115.42961192131042,169.07861,0.85828406,-194.51953,,0.044757552,14.038547,7.2663574,2.8991699e-05,[-0.511  0.638 -1.48  -2.541 -0.644],9.999999,20,77.05,35,2.6547441,-138.17021,-714.6011,29435.086
815.2777916204525,-515.1757,40513,9.752342,0.47759804,0.69063085,140.57959,720,0.40944052,0.28883633,119.58321142196655,177.58301,0.7046314,-523.38727,,0.029187314,5.131207,3.4691532,-2.8991699e-05,[-0.425  0.633 -1.478 -2.586 -0.661],9.999996,20,82.55,36,4.265789,-177.9642,-699.71533,34736.01
1006.739955523349,-497.83203,42547,9.798232,0.5090361,0.6666298,110.03255,740,0.47692937,0.4316677,124.56469678878784,287.81927,1.19628,-133.36154,,0.020839542,16.160233,10.078524,1.5258789e-05,[-0.425  0.692 -1.504 -2.656 -0.728],9.999999,20,101.7,37,2.8252861,-135.27393,-641.385,20169.006
1031.7495028849946,-528.76996,44631,9.803257,0.57819736,0.63165295,221.3298,760,0.5379634,0.37327847,129.40238547325134,316.60663,0.9165291,-580.93677,,0.048493423,14.0416155,5.5528154,-2.1362304e-05,[-0.369  0.714 -1.525 -2.608 -0.752],9.999998,20,104.2,38,3.612263,-199.26305,-663.8051,87948.52
1070.1678030947808,-520.85406,46792,9.808751,0.6470737,0.64619493,178.29613,780,0.5204696,0.37245336,134.46208381652832,241.19354,0.8380089,-603.3204,,0.03630913,7.8446527,4.628718,-1.2207031e-05,[-0.329  0.743 -1.536 -2.624 -0.787],9.999999,20,108.05,39,4.4845986,-191.65698,-630.5626,43793.95
1241.7160146512072,-459.52167,49296,9.835721,0.45123428,0.61204016,240.79828,800,0.4150624,0.41308993,140.14074420928955,239.76074,0.8572686,-652.7023,,0.007057854,8.122815,4.391989,-2.1362304e-05,[-0.296  0.769 -1.543 -2.586 -0.773],9.999999,20,125.2,40,3.9265358,-148.8049,-603.2539,79295.17
1769.6132588295427,-393.1462,52856,9.883295,0.48033705,0.63930064,103.122246,820,0.3594467,0.6294005,147.65493440628052,150.30408,1.055802,-200.59503,,0.0056462535,8.774817,5.843111,-6.1035157e-06,[-0.252  0.77  -1.561 -2.579 -0.807],10.0,20,178.0,41,2.5621362,-84.69009,-459.8753,10400.37
1489.117286273036,-427.3382,55855,9.861522,0.4953088,0.6173516,167.69032,840,0.39237502,0.55151457,154.03338813781738,255.59357,1.0454005,-487.17377,,0.023206495,9.260112,4.99805,3.0517579e-06,[-0.279  0.736 -1.55  -2.556 -0.78 ],9.999999,20,149.95,42,3.2111607,-109.35878,-541.5819,27998.537
1345.6463710706153,-497.9095,58567,9.847297,0.7810511,0.61720395,190.5319,860,0.84395885,0.4441578,160.11056637763977,298.38977,0.83556247,-660.62256,,0.050168186,7.233491,4.4419417,3.3569337e-05,[-0.227  0.702 -1.568 -2.577 -0.802],9.999999,20,135.6,43,4.160465,-181.41296,-577.3917,54305.79
1922.8888876748533,-394.63364,62434,9.890242,0.58418417,0.6437366,144.68083,880,0.39094347,0.69056475,168.14994406700134,155.02173,1.1902944,-478.82248,,0.047931276,13.933177,5.6382713,8.0871585e-05,[-0.202  0.743 -1.581 -2.582 -0.802],10.0,20,193.35,44,3.2013662,-92.26471,-450.2956,14139.253
1343.615720415923,-502.16705,65142,9.846615,0.67328566,0.61667997,192.69153,900,0.47250006,0.4660292,174.31800961494446,235.66882,0.9878694,-684.4315,,0.036988243,11.322119,4.978877,-3.967285e-05,[-0.239  0.746 -1.589 -2.576 -0.775],10.0,20,135.4,45,2.455363,-187.05493,-562.9232,52932.305
1862.0283627563701,-394.7937,68887,9.888155,0.5937722,0.609437,212.70041,920,0.57648873,0.84012073,182.00514388084412,198.11926,1.9059633,-536.49866,,0.0043276283,32.179356,10.288312,-7.6293945e-06,[-0.192  0.729 -1.634 -2.603 -0.802],10.0,20,187.25,46,3.6246781,-86.55631,-485.91116,12147.383
1228.1817572588548,-557.8417,71364,9.833374,0.71196526,0.63374764,239.95755,940,0.3014107,0.36319736,187.3258879184723,271.24768,0.667629,-647.58704,,0.23590107,3.780752,1.8920959,3.0517579e-06,[-0.229  0.699 -1.652 -2.588 -0.809],10.0,20,123.85,47,2.5889776,-248.63867,-608.87854,85988.38
