InitialBound,TimestepsSoFar,InitialReturnMin,Iteration,InitialReturnStd,InitialReturnMean,MaxIW,StdIW,ReturnStepMax,ESSClassic,MinIWNorm,EpThisIter,ReturnMeanIW,MeanIW,StdIWNorm,ReturnStepMaxmin,EpisodesSoFar,EpRewMean,J_sample_variance,MeanEntropy,InitialReturnMax,MaxIWNorm,MinIW,EmpiricalD2,MeanIWNorm,EpLenMean,Bound,TimeElapsed,Weights,ESSRenyi
-16.879025,108,-32.965584,1,23.186802,2.2888185e-06,2.1088169,0.40157336,9.999937,16.769508,0.018844336,20,6.545276,0.91493607,0.020078667,6.2861557,20,43.972453119759734,1256.717,1.3534862,61.633488,0.10544085,0.37688673,1.3151073,0.045746807,5.4,-12.811274,0.6379480361938477,[-0.689  0.919 -0.673  0.288  0.   ],15.207884
-10.15258,210,-30.16446,2,19.174929,-2.1934509e-06,1.7210473,0.32684416,9.999666,18.084164,0.011606875,20,1.2319332,1.0041788,0.01634221,6.0670757,40,40.97019371706386,456.54697,1.3573085,37.07197,0.086052366,0.2321375,1.1376313,0.050208937,5.1,-9.596786,3.0910072326660156,[-0.717  1.037 -0.8    0.006 -0.065],17.580389
-24.108492,319,-33.20172,3,31.231892,-1.9073486e-06,2.890292,0.5953842,9.999949,15.398126,0.024990125,20,7.7978287,1.08909,0.029769208,6.3206415,60,44.47360517335794,2624.6062,1.4023101,88.03175,0.1445146,0.49980247,1.3125002,0.054454498,5.45,-19.821917,4.770511627197266,[-0.79   0.845 -0.735 -0.008 -0.062],15.238092
-38.066826,463,-59.261017,4,44.60567,4.577637e-06,14.759802,3.2567947,9.999916,3.1994839,0.0005119326,20,103.22998,1.4212453,0.16283976,7.2117043,80,61.96183528300169,211941.39,1.196045,139.0004,0.7379901,0.010238651,2.8695138,0.07106227,7.2,38.746155,6.368419647216797,[-0.829  0.868 -0.832 -0.238 -0.017],6.969822
-28.519882,647,-77.89749,5,46.121105,-2.861023e-06,5.672805,1.8548427,9.999957,7.246823,0.0008208993,20,46.66189,1.3982077,0.09274213,7.81491,100,81.94838450217112,19148.943,1.1328148,104.13988,0.28364024,0.016417986,3.1124995,0.069910385,9.2,-3.6536713,8.41986870765686,[-0.873  1.112 -1.059 -0.734 -0.223],6.425704
-60.471947,893,-103.392044,6,80.05507,-5.531311e-06,13.19671,3.078589,9.999984,4.595815,0.0031600383,20,195.40918,1.6815649,0.15392944,8.363572,120,112.93585402893514,491243.7,1.0028567,220.8123,0.6598355,0.063200764,4.1060233,0.08407825,12.3,72.87292,10.188794612884521,[-0.748  1.193 -1.04  -1.152 -0.286],4.870893
-46.926964,1288,-166.21628,7,95.12162,4.9591063e-06,2.6010303,0.6473507,9.999984,15.27902,0.011635895,20,34.2308,1.1645854,0.032367535,8.976851,140,187.39624807019308,24823.08,0.9773052,171.35306,0.13005152,0.2327179,1.5006576,0.058229275,19.75,-23.255356,12.94731330871582,[-0.96   1.208 -1.043 -1.454 -0.416],13.327491
-97.55194,2073,-231.10353,8,153.4796,-6.866455e-06,9.816038,2.1397676,9.999994,8.093441,0.024074966,20,248.3758,1.7641687,0.10698837,9.482637,160,382.3466202910189,709344.8,0.979442,356.2093,0.4908019,0.4814993,2.3837962,0.088208444,39.25,97.760025,15.485418558120728,[-0.801  1.125 -1.063 -1.537 -0.442],8.389979
-81.70135,2899,-298.33115,9,138.32365,6.866455e-06,2.4964542,0.56110454,9.999995,15.382976,0.017850025,20,57.20717,1.0241954,0.028055228,9.506848,180,402.8162933125322,40916.117,0.97321767,280.9137,0.12482271,0.35700047,1.4132087,0.051209778,41.3,-39.918137,18.967840909957886,[-0.847  1.121 -1.25  -1.694 -0.44 ],14.152191
-98.62014,3974,-360.10977,10,165.0753,-1.2207031e-05,2.8467252,0.66129893,9.999997,15.414584,0.011918492,20,54.59925,1.212479,0.033064947,9.619479,200,527.2734034096682,40178.53,0.93525183,254.83597,0.14233626,0.23836982,1.3075101,0.060623955,53.75,-58.169327,22.30142641067505,[-0.945  1.09  -1.333 -1.736 -0.446],15.296248
