MinIWNorm,StdIWNorm,ReturnMeanIW,InitialReturnMax,MeanIWNorm,TimeElapsed,Bound,Weights,MeanIW,StdIW,MeanEntropy,EpRewMean,EpThisIter,Iteration,EntropyCoefficient,ESSRenyi,EpisodesSoFar,TimestepsSoFar,ReturnStepMaxmin,EpLenMean,InitialReturnStd,InitialReturnMean,EmpiricalD2,ESSClassic,J_sample_variance,ReturnStepMax,MaxIWNorm,MaxIW,MinIW,InitialReturnMin,InitialBound
0.00035096228,0.024808312,28.843998,118.047806,0.011903571,1.8141214847564697,19.51479,[ 0.579 -0.554  0.227  0.402  0.   ],1.1903572,2.4808311,1.4915383,57.96556452200466,100,1,10.0,35.561283,100,680,7.0486956,6.8,39.1029,2.5939942e-06,2.812047,18.714329,38477.62,9.999997,0.18526495,18.526495,0.035096228,-55.75707,-0.2683897
2.1448233e-05,0.018791517,38.209244,179.70921,0.009908049,9.460978031158447,13.481308,[ 0.321 -0.651 -0.032  0.066  0.073],0.9908049,1.8791519,1.301635,68.35300902306288,100,2,10.0,34.003967,200,1464,7.4369946,7.84,40.41373,2.1362305e-06,2.9408333,21.753042,74679.336,10.0,0.14290012,14.290013,0.0021448233,-55.49203,-7.09441
0.004284417,0.0076995636,19.91318,221.51804,0.010385914,15.912100553512573,1.2609835,[-0.299 -0.624 -0.829 -0.307 -0.117],1.0385915,0.76995635,1.30945,110.43180631750641,100,3,10.0,73.03186,300,2669,8.328937,12.05,64.3713,-8.239746e-06,1.3692654,64.53299,11394.586,9.999995,0.057594605,5.7594604,0.4284417,-92.65513,-14.113966
0.0013180568,0.008104879,38.939117,203.29886,0.009316828,23.09975242614746,19.880331,[-0.587 -0.34  -1.211 -0.597 -0.11 ],0.93168277,0.8104879,1.2645223,132.4234607647459,100,4,10.0,61.678352,400,4094,8.585757,14.25,79.17722,-1.335144e-05,1.6213144,56.92303,23192.355,9.999993,0.037846953,3.7846954,0.13180569,-110.86424,-11.804437
1.6468039e-06,0.052312426,177.56654,333.03125,0.013436717,32.46469807624817,79.370155,[-0.82  -0.189 -1.505 -0.936 -0.155],1.3436717,5.231242,1.0625006,191.49183058371426,100,5,10.0,14.048587,500,6110,8.997212,20.16,109.918274,4.577637e-06,7.1181536,6.1891327,2634138.2,9.999993,0.5175774,51.75774,0.00016468039,-156.99457,-28.142607
0.0021807388,0.0070796716,33.223083,346.85022,0.009814855,42.05282187461853,-7.393675,[-0.693 -0.044 -1.564 -1.003 -0.356],0.98148555,0.70796716,1.0489519,226.17000852570857,100,6,10.0,69.091835,600,8473,9.142616,23.63,101.58935,2.166748e-05,1.4473491,65.77626,18573.076,10.0,0.036970124,3.6970124,0.21807389,-186.42694,-31.855276
0.0001323352,0.06740456,150.64749,368.53754,0.0154738175,52.063448905944824,48.74591,[-0.881  0.152 -1.742 -1.098 -0.37 ],1.5473816,6.7404575,0.9990616,307.6435472772457,100,7,10.0,16.272532,700,11651,9.360833,31.78,129.91548,-4.8828124e-06,6.145325,5.0062356,1449552.4,9.999997,0.676944,67.694405,0.013233521,-234.13556,-34.646935
0.0006536412,0.009815824,50.366653,375.50247,0.010143445,64.59494137763977,-0.29397297,[-1.117  0.444 -1.98  -1.116 -0.42 ],1.0143445,0.9815825,0.9420642,360.3327201920981,100,8,10.0,58.592045,800,15356,9.45116,37.05,119.41872,1.8310548e-05,1.7067163,51.641,40541.895,10.0,0.05946278,5.946278,0.06536412,-273.31396,-35.99884
0.0010408586,0.006108222,25.4185,373.1305,0.010061983,75.24291610717773,-19.380695,[-1.188  0.541 -2.087 -1.272 -0.477],1.0061984,0.61082226,0.94042975,392.32181765566816,100,9,10.0,71.08176,900,19381,9.494255,40.25,98.871315,-5.4931643e-06,1.4068308,73.07157,29576.553,10.0,0.035649274,3.5649273,0.10408586,-318.08936,-36.27833
0.0013690663,0.007266375,30.453661,377.232,0.00856146,86.3969898223877,-17.607983,[-1.282  0.649 -2.198 -1.43  -0.479],0.8561461,0.72663754,0.91273797,448.3112537389986,100,10,10.0,65.26538,1000,23966,9.555567,45.85,116.08814,3.112793e-05,1.5322058,58.127914,32513.268,10.0,0.05097402,5.097402,0.13690664,-331.96362,-36.79697
