InitialReturnStd,InitialReturnMax,MeanIWNorm,StdIWNorm,J_sample_variance,MinIWNorm,InitialReturnMin,MinIW,ReturnStepMaxmin,Weights,MeanIW,InitialBound,Bound,Iteration,ReturnStepMax,TimestepsSoFar,ESSClassic,EmpiricalD2,EntropyCoefficient,InitialReturnMean,MaxIWNorm,EpThisIter,ReturnMeanIW,MaxIW,EpRewMean,EpLenMean,StdIW,TimeElapsed,ESSRenyi,MeanEntropy,EpisodesSoFar
148.67711,345.71985,0.011266317,0.018355487,341799.12,0.00034320765,-590.38184,0.034320764,9.78537,[-0.672  0.907 -1.712 -2.008 -0.708],1.1266319,-65.2018,-40.02747,16,10.0,110371,27.3642,2.6546304,10.0,1.2207031e-06,0.1616939,100,71.05894,16.16939,946.4324966063947,95.67,1.835549,247.0277853012085,37.67003,0.67231774,1600
125.19112,239.96045,0.010281223,0.0051537803,24063.938,0.0021254441,-621.7766,0.21254443,9.799973,[-0.669  0.96  -1.741 -1.987 -0.747],1.0281224,-69.428535,-62.48745,17,10.0,120661,79.918015,1.1815413,10.0,6.225586e-05,0.03226969,100,13.506474,3.2269692,1018.7076888927045,102.9,0.51537806,266.71224069595337,84.63521,0.6782081,1700
152.48683,275.34888,0.009746312,0.005666624,31454.559,0.0033494215,-611.531,0.33494216,9.797398,[-0.657  0.95  -1.754 -2.026 -0.741],0.97463137,-68.11485,-61.956654,18,10.0,130828,74.73618,1.1987811,10.0,1.373291e-05,0.046215285,100,13.326172,4.6215286,1006.3996209890371,101.67,0.56666243,289.4871907234192,83.41806,0.67209893,1800
168.5407,315.26447,0.009872608,0.002459106,27325.947,0.004609608,-611.499,0.4609608,9.806614,[-0.671  0.978 -1.756 -1.999 -0.747],0.9872608,-68.17209,-62.0396,19,10.0,141483,94.15817,1.0540755,10.0,-5.1879884e-05,0.019914139,100,8.266645,1.991414,1055.19641486739,106.55,0.24591063,308.9512629508972,94.869865,0.65850633,1900
111.46437,264.7879,0.010256677,0.0058147144,21429.45,0.0024632928,-449.87567,0.24632928,9.805275,[-0.685  1.001 -1.777 -2.018 -0.76 ],1.0256677,-48.513218,-37.80039,20,10.0,152043,75.67741,1.3238238,10.0,1.15966795e-05,0.030878859,100,19.143547,3.0878859,1045.717517062546,105.6,0.5814715,328.95461416244507,75.53875,0.64508057,2000
121.562996,256.2262,0.010324497,0.0059355,18805.975,0.0009576193,-642.47546,0.09576193,9.810019,[-0.687  1.032 -1.793 -2.002 -0.774],1.0324498,-72.23608,-63.208626,21,10.0,162877,75.15949,1.2600396,10.0,-2.3193359e-05,0.031617977,100,18.943718,3.1617978,1073.1075074935532,108.34,0.59355,348.9063413143158,79.36259,0.61748105,2100
108.89364,226.64435,0.00992418,0.0027887824,11700.529,0.00440755,-474.94824,0.44075504,9.817118,[-0.674  1.033 -1.798 -2.007 -0.801],0.992418,-51.994247,-43.800797,22,10.0,174147,92.68133,1.0736145,10.0,-1.6479493e-05,0.020464024,100,10.262628,2.0464025,1116.693500659913,112.7,0.27887824,369.86908650398254,93.1433,0.6208649,2200
118.49127,259.482,0.010059523,0.0050732824,26543.734,0.0035033964,-670.63275,0.35033965,9.825918,[-0.702  1.073 -1.862 -2.058 -0.798],1.0059524,-75.92679,-67.8642,23,10.0,185969,79.722885,1.2311368,10.0,-2.8686523e-05,0.039255474,100,17.26771,3.9255474,1171.9083899388952,118.22,0.5073283,390.28732466697693,81.22574,0.6002754,2300
100.781685,258.25848,0.010069114,0.0020345005,10338.898,0.006126884,-373.8941,0.6126884,9.827629,[-0.711  1.095 -1.885 -2.04  -0.819],1.0069114,-39.789745,-38.215874,24,10.0,197924,96.077576,1.040174,10.0,-9.155274e-06,0.016306577,100,2.579028,1.6306577,1185.1950252356257,119.55,0.20345004,412.4661645889282,96.137764,0.5908364,2400
141.75902,236.4107,0.009995159,0.0042945286,22472.518,0.003931163,-663.2972,0.3931163,9.823034,[-0.708  1.089 -1.935 -2.02  -0.828],0.99951583,-75.32863,-69.005165,25,10.0,209559,84.41607,1.1418071,10.0,-8.544922e-06,0.03209309,100,11.946381,3.209309,1153.2034040491426,116.35,0.4294529,431.9532732963562,87.58047,0.5854533,2500
110.84171,256.72333,0.009859743,0.0046018064,16677.705,0.0037427887,-641.3667,0.37427887,9.829645,[-0.722  1.114 -1.939 -2.003 -0.833],0.9859744,-72.69648,-64.895096,26,10.0,221636,82.113014,1.1914922,10.0,5.0964354e-05,0.029246759,100,14.941769,2.924676,1197.411724208488,120.77,0.46018067,452.11885833740234,83.928375,0.59059304,2600
104.79184,213.99371,0.010309253,0.0075306017,21943.88,0.0013525103,-366.5122,0.13525103,9.830832,[-0.719  1.133 -1.954 -1.993 -0.828],1.0309254,-38.98243,-28.92621,27,10.0,233814,65.20661,1.5659031,10.0,4.0283205e-05,0.04033451,100,21.406197,4.033451,1207.4979406478371,121.78,0.75306016,475.7709994316101,63.860912,0.5839159,2700
93.352516,215.8822,0.0099676885,0.019120999,71241.15,0.00037091653,-192.15161,0.037091654,9.838533,[-0.694  1.141 -1.968 -1.998 -0.835],0.9967689,-20.600983,3.2145033,28,10.0,246582,21.368124,2.795394,10.0,-7.8125e-05,0.16259983,100,41.72502,16.259983,1266.4900433123364,127.68,1.9120997,501.4291763305664,35.773132,0.56957656,2800
221.70131,300.6978,0.010158248,0.0041287034,58341.445,0.0039871666,-663.5439,0.3987167,9.837673,[-0.645  1.131 -1.962 -1.993 -0.849],1.0158248,-75.5714,-70.11145,29,10.0,259273,85.82275,1.1143429,10.0,3.479004e-05,0.029516153,100,9.963295,2.9516153,1258.7980879947077,126.91,0.41287035,522.431825876236,89.73898,0.5712882,2900
103.67691,213.95111,0.011235505,0.021500386,101286.24,0.00035069723,-395.58115,0.035069723,9.847151,[-0.629  1.121 -1.987 -2.005 -0.848],1.1235507,-42.735794,-25.546549,30,10.0,272759,21.450455,2.9135947,10.0,-7.873535e-05,0.20010412,100,51.79101,20.010412,1338.2918214914105,134.86,2.1500387,544.164311170578,34.321865,0.5360582,3000
139.84882,203.86487,0.010762453,0.005968893,24582.848,0.0026453503,-716.56616,0.26453504,9.847748,[-0.602  1.137 -2.008 -1.985 -0.883],1.0762455,-82.40043,-73.984474,31,10.0,286311,76.47688,1.2364156,10.0,6.8359375e-05,0.029800845,100,18.336945,2.9800847,1344.8812734583405,135.52,0.59688926,567.4252943992615,80.87895,0.5263826,3100
119.22081,192.09503,0.010814412,0.005770845,19416.326,0.0017999508,-575.8029,0.17999509,9.864641,[-0.589  1.14  -2.009 -2.006 -0.893],1.0814412,-65.25735,-57.566135,32,10.0,301554,77.83579,1.2588758,10.0,-2.4414062e-06,0.031192342,100,16.52438,3.1192343,1513.9804755292923,152.43,0.5770845,595.8883380889893,79.43595,0.5033981,3200
126.334785,209.02527,0.0101866005,0.0031119592,17331.502,0.004920875,-758.2844,0.49208754,9.867216,[-0.583  1.146 -2.026 -1.997 -0.916],1.0186601,-87.836525,-83.67718,33,10.0,317116,91.46393,1.0939283,10.0,-5.4931643e-06,0.020892045,100,8.544888,2.0892045,1545.8648687601767,155.62,0.31119594,619.9553282260895,91.413666,0.49121505,3300
150.09937,226.39429,0.010173976,0.0032186885,23568.111,0.0047601825,-738.67755,0.47601828,9.859699,[-0.588  1.154 -2.026 -1.985 -0.928],1.0173978,-85.55706,-78.401276,34,10.0,331780,90.901924,1.1100988,10.0,-5.126953e-05,0.020896962,100,12.101082,2.0896962,1456.1097693717365,146.64,0.32186884,642.9382266998291,90.08207,0.48170528,3400
136.68123,201.49152,0.010172124,0.0015733835,19398.018,0.007347074,-737.21967,0.7347074,9.857092,[-0.588  1.172 -2.039 -1.988 -0.937],1.0172124,-85.473564,-82.05717,35,10.0,346201,97.66343,1.0203223,10.0,-1.0986329e-05,0.015525697,100,4.270163,1.5525697,1431.7919037220906,144.21,0.15733835,669.1096363067627,98.00825,0.48761135,3500
71.20511,195.69122,0.011260917,0.008075161,9168.503,0.0021238972,-171.7619,0.21238972,9.861704,[-0.593  1.187 -2.053 -2.001 -0.931],1.1260917,-19.091055,-12.650665,36,10.0,361147,66.0403,1.5192086,10.0,1.2817382e-05,0.047645368,100,11.917223,4.764537,1484.2615325511538,149.46,0.80751616,694.8279311656952,65.823746,0.49731448,3600
115.05913,206.81073,0.009961604,0.0038824806,12146.601,0.00443686,-600.93964,0.443686,9.864883,[-0.585  1.206 -2.046 -1.985 -0.922],0.9961603,-68.626656,-60.8714,37,10.0,376406,86.81303,1.1369715,10.0,-2.3193359e-05,0.0206956,100,12.737255,2.06956,1515.5870499323582,152.59,0.3882481,721.8529617786407,87.95296,0.486995,3700
111.455864,192.71454,0.009928042,0.0027193322,11704.358,0.0048122513,-575.3895,0.48122516,9.874758,[-0.577  1.209 -2.063 -2.005 -0.932],0.99280435,-65.60058,-60.84682,38,10.0,392920,93.02124,1.0793371,10.0,1.6479493e-05,0.019493861,100,7.568463,1.9493861,1641.053415466781,165.14,0.27193323,749.6329143047333,92.64946,0.4797367,3800
114.15662,198.98999,0.01021102,0.002120563,12274.561,0.0059395814,-618.6968,0.59395814,9.87121,[-0.577  1.225 -2.077 -2.019 -0.939],1.021102,-70.97711,-68.70929,39,10.0,408959,95.86548,1.0464962,10.0,9.82666e-05,0.017038697,100,4.124264,1.7038698,1593.5672455966396,160.39,0.2120563,775.5182199478149,95.55697,0.46826145,3900
132.12091,213.13953,0.010068276,0.00068906194,16795.596,0.008223693,-766.84375,0.82236934,9.868971,[-0.578  1.228 -2.088 -2.027 -0.951],1.0068276,-89.23615,-88.38372,40,10.0,424694,99.533806,1.0047672,10.0,3.3569337e-05,0.012226247,100,1.1071031,1.2226248,1563.186108351328,157.35,0.0689062,801.7897000312805,99.52554,0.46515766,4000
77.8588,178.39142,0.010632997,0.008620441,7465.528,0.0012514996,-251.16565,0.12514997,9.8705635,[-0.582  1.235 -2.096 -2.035 -0.954],1.0632998,-26.109798,-12.910384,41,10.0,440644,60.33999,1.6368152,10.0,9.155274e-06,0.04484688,100,21.839994,4.4846883,1584.6729538298544,159.5,0.8620442,829.8603270053864,61.094254,0.46051437,4100
73.9387,158.56543,0.010511713,0.0097461445,12969.358,0.0007629706,-152.6344,0.07629706,9.87855,[-0.564  1.249 -2.099 -2.053 -0.958],1.0511713,-14.814982,-5.3807297,42,10.0,457662,53.77373,2.0644844,10.0,9.521484e-05,0.05284608,100,18.226862,5.2846084,1691.4605898403556,170.18,0.97461444,858.5214250087738,48.438244,0.42959902,4200
130.688,166.25159,0.010064903,0.0012890423,17007.08,0.007587927,-781.36414,0.7587927,9.878868,[-0.55   1.259 -2.12  -2.032 -0.989],1.0064902,-91.40116,-90.36499,43,10.0,474709,98.386215,1.0163736,10.0,2.1972657e-05,0.014677046,100,1.8091872,1.4677047,1694.3686779599761,170.47,0.12890424,886.4320349693298,98.389015,0.430327,4300
161.6734,207.08655,0.009598637,0.0062119714,34055.074,0.0031645899,-775.56506,0.316459,9.876932,[-0.551  1.263 -2.125 -2.026 -0.989],0.9598637,-90.68369,-84.86971,44,10.0,491472,70.480515,1.2039505,10.0,-1.8310548e-05,0.053390775,100,15.173028,5.3390775,1665.9793841004462,167.63,0.6211972,911.3284809589386,83.05989,0.41813657,4400
114.93422,179.07843,0.010077988,0.0022863415,14165.741,0.005766986,-784.4843,0.5766986,9.874479,[-0.549  1.277 -2.136 -2.013 -1.001],1.0077988,-91.89798,-89.1358,45,10.0,507916,95.10517,1.0448649,10.0,-2.8991699e-05,0.02071737,100,4.8588037,2.071737,1634.0744332304039,164.44,0.22863416,939.5057723522186,95.706154,0.42163563,4500
121.70504,189.1463,0.01026688,0.0029116983,14927.204,0.0047686878,-784.21655,0.4768688,9.885572,[-0.549  1.291 -2.153 -2.029 -0.997],1.026688,-91.83022,-88.970894,46,10.0,525816,92.55577,1.0680233,10.0,-5.3710937e-05,0.02184738,100,6.0671635,2.1847382,1779.7518229292652,179.0,0.29116985,973.1100554466248,93.63091,0.4221425,4600
132.41228,161.89667,0.010139465,0.0011416388,17710.236,0.0069391048,-801.9354,0.6939105,9.886799,[-0.544  1.294 -2.16  -2.044 -0.997],1.0139467,-93.99517,-93.05045,47,10.0,544085,98.74814,1.0159899,10.0,3.540039e-05,0.012833531,100,1.7888693,1.2833531,1816.5519609693083,182.69,0.11416389,1001.6186707019806,98.42618,0.41594234,4700
81.52483,165.75836,0.020452807,0.124141715,1970472.9,1.6616514e-05,-158.5929,0.0016616514,9.893583,[-0.542  1.294 -2.163 -2.045 -1.003],2.0452807,-16.141775,84.49477,48,10.0,563353,2.6426468,34.493057,10.0,-2.8686523e-05,1.2219024,100,199.63115,122.19024,1916.5387136939482,192.68,12.414172,1029.632714509964,2.8991342,0.40939945,4800
155.38156,153.78314,0.0100444285,0.0009466696,22298.684,0.0075227832,-830.35736,0.7522783,9.897093,[-0.492  1.307 -2.152 -2.015 -1.01 ],1.0044428,-97.60356,-95.40131,49,10.0,583530,99.119545,1.0104849,10.0,4.0893556e-05,0.013284792,100,2.7687125,1.3284793,2007.309764385009,201.77,0.094666965,1061.2925536632538,98.96239,0.40593186,4900
