InitialReturnMax,MaxIW,ReturnMeanIW,MaxD2w0t,MinIW,EpisodesSoFar,MeanD2w0t,InitialReturnMin,EpThisIter,TimeElapsed,EpLenMean,Iteration,ReturnStepMax,ReturnStepMaxmin,J_sample_variance,TimestepsSoFar,StdIW,MinD2w0t,EmpiricalD2,StdD2w0t,InitialReturnStd,MeanIW,Bound,EpRewMean,MeanEntropy,Weights,InitialBound,InitialReturnMean
181.00006,2.7992277,-778.3956,1.9208642,0.40862522,100,0.031957094,-105.49923,100,2.229290723800659,13.52,1,9.254398,8.508797,91986.625,1352,0.3492248,,1.2909563,0.19344614,67.35627,0.9634242,-872.25354,125.11946203979068,1.4983877,[-0.924 -0.986 -0.756 -0.963  0.   ],-884.90405,-7.6293945e-06
373.88016,3.415594,-751.8278,3.0690475,0.33475062,200,0.03281357,-116.02902,100,8.098545551300049,13.74,2,9.266233,8.53248,67227.59,2726,0.32810488,,1.2919179,0.19929048,79.218765,0.9403556,-873.1305,127.31803688541243,1.5694125,[-0.909 -0.877 -0.753 -1.099  0.079],-902.0383,6.1798096e-06
377.62057,3.1100047,-728.1443,3.8559697,0.32895088,300,0.0342163,-112.21726,100,12.949060678482056,13.36,3,9.245463,8.49093,108839.72,4062,0.39331937,,1.3505104,0.2146048,83.91104,0.9033982,-859.49774,123.51939758203588,1.6562726,[-0.851 -0.653 -0.822 -1.198  0.151],-903.56824,1.083374e-05
204.20796,3.2148275,-724.25555,4.610047,0.050288286,400,0.040716566,-126.73897,100,17.191012382507324,14.97,4,9.326592,8.653189,194695.73,5559,0.5668078,,1.5957613,0.24332333,83.99544,0.9122459,-833.16144,139.61908069612443,1.6536106,[-0.888 -0.514 -0.896 -1.264  0.237],-885.0384,8.850097e-06
285.10803,5.574448,-619.22516,23.318052,0.110164694,500,0.05010483,-133.541,100,22.387388467788696,15.79,5,9.360736,8.7214775,162302.95,7138,0.5037318,,2.3191988,0.3616169,85.88084,0.7798561,-773.25635,147.80601502527338,1.6061219,[-0.881 -0.576 -0.971 -1.615  0.235],-889.7589,-1.0604858e-05
372.19354,16.27848,-633.8891,25.175453,0.077087194,600,0.053369414,-147.4583,100,26.066620349884033,17.83,6,9.4337,8.867409,222911.58,8921,0.76561755,,2.2017908,0.35628486,110.85361,0.85150635,-793.5281,168.20285674438756,1.5276595,[-0.896 -0.097 -1.327 -1.586  0.187],-890.91077,6.1035155e-07
388.23914,8.301166,-544.66583,60.521446,0.035031214,700,0.079131424,-194.46693,100,33.53513956069946,23.89,7,9.576052,9.152106,146445.61,11310,0.5595274,,3.4223816,0.58574134,126.77461,0.7497619,-719.33514,228.77187512489567,1.4688331,[-0.863  0.224 -1.515 -1.955  0.109],-863.1636,-2.0751953e-05
399.4653,4.502789,-643.5941,3.595388,0.019207837,800,0.07901294,-255.70584,100,41.64188551902771,32.79,8,9.689474,9.378953,102301.66,14589,0.52654755,,1.3879422,0.3061999,156.49731,0.9311928,-773.22455,317.7178461439301,1.4257746,[-0.699  0.387 -1.618 -2.265  0.05 ],-817.87866,8.392334e-06
260.7659,3.925444,-547.4804,6.233897,0.12241125,900,0.12888093,-277.91782,100,50.299887895584106,34.96,9,9.708396,9.416792,151985.47,18085,0.47200158,,2.5455413,0.51742357,127.630615,0.7759219,-708.35077,339.40546364390354,1.513771,[-0.839  0.416 -1.72  -2.375  0.007],-791.84875,-3.6621093e-06
243.34967,3.0811808,-644.8622,1.736237,0.2378297,1000,0.077080406,-266.59628,100,59.15668559074402,33.7,10,9.698216,9.396433,83809.42,21455,0.4355637,,1.2591065,0.28844407,140.71454,0.9468762,-757.64343,326.82986677422133,1.5269299,[-0.823  0.363 -1.754 -2.469  0.095],-800.2664,1.5563965e-05
