EmpiricalD2,ReturnStepMaxmin,StdD2w0t,InitialReturnStd,TimeElapsed,MinD2w0t,MeanEntropy,EpisodesSoFar,Bound,Weights,MaxD2w0t,ReturnMeanIW,MaxIW,Iteration,TimestepsSoFar,MeanIW,InitialReturnMin,MeanD2w0t,EpThisIter,EpRewMean,MinIW,InitialReturnMax,EpLenMean,InitialBound,ReturnStepMax,InitialReturnMean,J_sample_variance,StdIW
1.6964073,8.486471,0.20243308,69.61831,3.3869991302490234,,1.4567015,100,-830.8666,[-0.563 -1.093 -0.809 -1.04   0.   ],4.728414,-718.4273,6.904005,1,1332,0.90198904,-113.47249,0.03198561,100,123.11990727151723,0.35938507,269.1607,13.32,-901.3251,10.0,1.5258789e-06,188621.78,0.55432266
2.2075584,8.5751915,0.34083825,80.425,10.933531522750854,,1.2967824,200,-814.91797,[-0.537 -0.632 -1.155 -1.357  0.038],10.954148,-642.13654,7.3384914,2,2748,0.8131309,-119.90824,0.05082005,100,131.51229127197502,0.048528444,256.42795,14.16,-898.71094,9.999989,5.9509275e-06,358751.72,0.7578789
2.8578696,8.862427,0.5139089,95.12926,18.54460835456848,,1.116735,300,-731.1447,[-0.584 -0.421 -1.255 -1.317 -0.122],14.666499,-527.5554,4.4352374,3,4524,0.67247623,-139.2422,0.07879473,100,167.49831108553008,0.0152847655,275.33704,17.76,-887.9445,9.999996,1.8310546e-06,295227.38,0.68117154
2.1946344,8.937676,0.334707,89.1662,26.644217491149902,,0.9947896,400,-790.5203,[-0.645 -0.443 -1.276 -1.296 -0.302],7.8621426,-638.0277,7.7368474,4,6428,0.81378585,-160.68944,0.06016618,100,180.28660131673863,0.012356308,252.15273,19.04,-879.22516,9.999991,1.411438e-05,280578.25,0.6829785
2.982208,8.961193,0.34318537,94.01814,33.887428522109985,,1.0512786,500,-788.61414,[-0.744 -0.622 -1.216 -1.245 -0.424],13.637814,-637.72534,2.5040143,5,8375,0.7995527,-163.23206,0.05795794,100,184.5871458197635,0.00970659,375.43518,19.47,-887.0669,9.999994,-2.5939942e-06,204030.27,0.51395166
23.846556,8.767188,3.859381,91.3449,40.36086916923523,,0.96432245,600,-651.8012,[-0.76  -0.899 -1.089 -1.096 -0.368],658.3248,-389.49408,24.491674,6,10012,0.5314833,-137.7106,0.13880612,100,153.60940952275186,0.0051675034,362.35117,16.37,-900.4428,9.999997,-6.408691e-06,349285.5,0.873268
7.738892,9.175833,0.8968043,105.65169,49.37424039840698,,0.9806299,700,-725.7318,[-0.777 -0.209 -1.491 -1.428 -0.455],95.99721,-530.3976,11.862074,7,12472,0.7687516,-193.15785,0.09983805,100,235.8626631770793,0.10007183,366.83,24.6,-859.6687,9.999998,-6.713867e-06,380589.22,0.9971005
16.17289,9.382989,2.5761795,117.128136,60.53153038024902,,0.8745552,800,-625.375,[-0.731  0.015 -1.6   -1.743 -0.438],365.56287,-368.51172,18.3397,8,15774,0.5769517,-244.87376,0.21438543,100,320.0131069467091,0.0005860976,318.06235,33.02,-809.064,9.999999,6.1035157e-06,317755.06,0.9874543
3.9056098,9.526542,0.7578285,125.842445,72.53890109062195,,0.7711913,900,-676.0497,[-0.566  0.166 -1.574 -1.754 -0.544],13.613342,-469.07092,6.015985,9,20091,0.75868875,-332.65726,0.19091672,100,421.4803384118513,0.0033703167,342.7739,43.17,-752.66125,9.999999,9.155274e-06,193767.92,0.7250128
23.787146,9.498135,3.206691,117.1822,83.85504817962646,,0.689221,1000,-440.86023,[-0.645  0.182 -1.58  -1.626 -0.648],321.4532,-217.62856,16.032488,10,24161,0.396495,-288.4734,0.2735658,100,396.7869012299249,0.0046655126,285.01974,40.7,-762.48315,10.0,-8.544922e-06,175069.95,0.71732444
