MinIW,Weights,Bound,MaxD2w0t,InitialReturnMean,ReturnMeanIW,EpRewMean,TimestepsSoFar,MeanEntropy,InitialBound,EmpiricalD2,TimeElapsed,StdIW,J_sample_variance,ReturnStepMax,InitialReturnMax,EpisodesSoFar,MeanD2w0t,StdD2w0t,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,MinD2w0t,Iteration,MeanIW,EpThisIter,MaxIW,EpLenMean
0.092644796,[ 0.223  0.179 -1.266 -2.742 -0.23 ],-653.1405,44.25286,-1.2207031e-05,-485.65326,514.7587142371791,32905,1.1352191,-713.3419,2.2670815,104.44880628585815,0.48038885,73124.766,9.804933,460.6975,1800,0.16975293,0.96324027,-358.72534,163.57597,9.609866,,18,0.86240935,100,6.808727,52.5
0.1384234,[ 0.125  0.253 -1.343 -2.726 -0.284],-615.5913,42.989998,-1.586914e-05,-468.85388,621.8068140271928,39226,1.1327839,-667.5239,2.2911577,116.99929237365723,0.38009006,64005.246,9.83716,471.85052,1900,0.18674773,0.9062543,-418.9265,188.93953,9.67432,,19,0.8768268,100,9.112003,63.21
0.0625841,[ 0.036  0.327 -1.39  -2.703 -0.286],-633.32874,28.325148,-3.6621093e-06,-477.40353,644.6936376386814,45776,1.1474676,-688.58545,3.239565,130.32805705070496,0.5401227,141574.08,9.842652,577.5126,2000,0.257224,0.98298615,-408.96536,228.25642,9.6853075,,20,0.8303125,100,4.6711082,65.5
0.013679163,[ 0.022  0.418 -1.414 -2.702 -0.271],-552.8027,40.203094,-3.265381e-05,-362.99756,610.8096011284058,51987,1.0909321,-696.7218,4.9636884,143.31860256195068,0.89189225,121770.42,9.834322,541.87695,2100,0.32911828,1.4482559,-399.74484,240.3812,9.668645,,21,0.7110314,100,12.54704,62.11
0.02783351,[-0.047  0.375 -1.456 -2.731 -0.328],-561.2562,24.470966,1.953125e-05,-395.406,808.9591221404605,60180,1.0463557,-615.9554,4.180509,158.76173210144043,0.751222,117215.94,9.873789,415.01694,2200,0.38907126,1.2795426,-484.5477,246.02481,9.747578,,22,0.8734102,100,9.543485,81.93
0.007352366,[-0.07   0.455 -1.547 -2.699 -0.373],-485.77936,25.624548,3.6621095e-05,-322.31555,997.983003718094,70264,0.9751002,-567.695,3.6419294,176.35618448257446,0.8674113,94518.66,9.896703,429.79773,2300,0.53726554,1.5048654,-525.8598,276.03064,9.7934065,,23,0.7788714,100,10.76723,100.84
0.0152138695,[-0.072  0.482 -1.594 -2.694 -0.444],-467.083,20.748363,-4.272461e-06,-310.3833,1192.9102083889554,82298,0.90638244,-499.79837,3.6595657,197.26394319534302,0.9060202,90246.59,9.912841,366.72522,2400,0.6302737,1.6164033,-595.5763,261.95233,9.825683,,24,0.9280288,100,18.39039,120.34
0.029183548,[-0.066  0.474 -1.666 -2.673 -0.513],-401.4742,16.11065,-1.15966795e-05,-261.10925,1355.5861328194235,95958,0.8769559,-469.95248,3.0131104,220.834543466568,1.3200567,78937.28,9.923774,356.4649,2500,0.55217046,1.2378639,-606.99976,260.98123,9.847548,,25,0.92735124,100,36.69497,136.6
0.0050007794,[-0.078  0.548 -1.746 -2.746 -0.542],-345.7436,177.91644,-6.1035155e-07,-185.54082,1570.8783387796698,111772,0.85249263,-422.40778,14.029949,247.8902723789215,0.7685242,76476.64,9.933473,308.01624,2600,1.2861323,4.8576756,-685.2731,239.77838,9.866945,,26,0.6948247,100,6.92037,158.14
0.001701733,[-0.118  0.496 -1.793 -2.735 -0.567],-386.8813,74.31823,1.0986329e-05,-223.82265,1329.8128364235533,125174,0.8007711,-464.70688,9.404294,261.5241656303406,1.6326516,70891.0,9.922504,351.19397,2700,0.9185848,2.9029753,-631.77167,250.29407,9.845009,,27,0.9390889,100,33.831306,134.02
0.035820443,[-0.077  0.502 -2.059 -2.688 -0.618],-270.77747,27.278418,-1.0375977e-05,-139.28706,2075.3446345123602,146031,0.77735585,-309.26797,3.5398872,280.5968985557556,1.0537479,47647.383,9.95035,192.94055,2800,0.7294901,1.2672374,-780.43335,177.07068,9.9007,,28,0.97893023,100,13.602549,208.57
0.00085020415,[-0.046  0.508 -2.107 -2.687 -0.642],-237.23932,197.85307,1.4038086e-05,-100.27349,2666.281292511019,172789,0.75488025,-267.5301,11.457606,303.4602143764496,0.7944421,28351.041,9.964429,149.68378,2900,1.8625365,5.7853994,-843.60266,187.19803,9.928858,,29,0.8066833,100,7.2663145,267.58
0.008865619,[-0.086  0.53  -2.131 -2.711 -0.664],-241.85326,81.52548,2.2583008e-05,-95.14479,2060.1733710334247,193491,0.7370978,-315.27386,10.055612,321.95614671707153,0.858667,40797.395,9.95157,198.86249,3000,1.1585369,2.6069107,-794.4249,195.70213,9.903139,,30,0.74528825,100,15.506194,207.02
0.015637403,[-0.048  0.552 -2.15  -2.685 -0.682],-224.4353,11.240288,-6.713867e-05,-87.501114,2984.6187879310996,223430,0.70757526,-249.98593,5.169787,350.02649688720703,1.0754956,37025.496,9.969036,131.64978,3100,1.5245316,1.7525163,-861.66064,216.48015,9.938072,,31,0.9342678,100,18.39161,299.39
