Bound,J_sample_variance,MinD2w0t,InitialReturnMin,Weights,ReturnMeanIW,Iteration,ReturnStepMax,ReturnStepMaxmin,InitialReturnMean,InitialBound,MeanD2w0t,EpThisIter,MeanEntropy,EpisodesSoFar,TimeElapsed,StdIW,InitialReturnMax,MaxD2w0t,MaxIW,EpLenMean,InitialReturnStd,StdD2w0t,MeanIW,EmpiricalD2,TimestepsSoFar,EpRewMean,MinIW
-692.5775,135466.52,,-33.569572,[ 0.579 -0.554  0.227  0.402  0.   ],-374.02158,1,9.999985,6.936001,-5.722046e-06,-941.537,0.030367883,20,1.1736659,20,0.584709882736206,0.45474097,111.95849,14.795672,3.2002356,6.55,37.463646,0.3510249,0.4846956,3.738917,131,55.4653527715394,0.0050226264
-793.65894,60997.863,,-54.348137,[ 0.534 -0.554  0.097 -0.039 -0.245],-588.7267,2,9.999991,6.982648,1.5258789e-06,-936.0164,0.019613424,20,1.2655401,40,2.8035621643066406,0.29311848,94.15479,7.2429185,1.6358172,6.65,39.021824,0.18874057,0.74687296,2.212658,264,56.46727627683562,0.23100682
-528.8672,78270.41,,-37.58497,[ 0.474 -0.653 -0.012 -0.264 -0.153],-285.80405,3,9.999974,6.59591,-2.861023e-06,-911.9301,0.02535182,20,1.0713,60,4.365864992141724,0.353428,74.87973,11.411478,3.0016563,5.9,28.870543,0.29455793,0.37766325,3.6274064,382,48.95786043469748,0.001551904
-693.155,63208.83,,-110.981575,[-0.037 -0.147 -0.96  -0.957 -0.348],-384.79645,4,9.99997,8.6981325,6.866455e-06,-997.2741,0.05573246,20,1.0476846,80,6.575565576553345,0.3483689,179.62239,21.023968,4.2536507,15.5,87.92021,0.4375485,0.51084363,3.3749073,692,144.91028854085442,0.09022899
-848.96436,65757.64,,-148.77115,[-0.011  0.01  -1.12  -1.344 -0.371],-552.2099,5,9.999994,8.917725,4.577637e-06,-1022.8772,0.05372489,20,0.97600275,100,8.886520147323608,0.34341908,320.12436,3.6377654,3.9641385,18.7,144.4432,0.29283988,0.72919095,1.5868504,1066,176.88065082560075,0.12116204
-717.20685,67038.945,,-364.83167,[-0.174  0.145 -1.266 -1.457 -0.443],-357.04526,6,10.0,9.612495,-2.2888184e-05,-863.8117,0.18081704,20,0.92176396,120,12.459826231002808,0.45581055,382.6028,6.1928835,3.8661637,52.7,184.62254,0.60181415,0.66431594,2.5566225,2120,516.7892733164139,0.052166995
-777.19495,48090.13,,-393.5482,[-0.23   0.266 -1.271 -1.481 -0.497],-492.69302,7,9.999998,9.641708,,-834.365,0.13322207,20,0.93983245,140,15.853374004364014,0.37718734,322.8756,1.7664067,3.2971191,57.0,180.21829,0.37453228,0.90138525,1.3900348,3260,559.7886391640961,0.28050637
-729.65076,108139.89,,-364.09894,[-0.216  0.286 -1.288 -1.578 -0.479],-406.80255,8,9.999991,9.622239,-9.155274e-06,-857.08044,0.17655085,20,0.93607783,160,19.317137002944946,0.42619947,284.55185,11.490219,4.0654173,54.1,227.7848,0.64415365,0.6894293,3.8428268,4342,530.781318778498,0.07896996
-677.968,69132.49,,-342.35544,[-0.138  0.288 -1.352 -1.661 -0.483],-332.08527,9,9.999998,9.596615,-7.6293945e-06,-873.42523,0.16497402,20,0.883255,180,22.509241104125977,0.36805433,364.1275,9.087041,2.7438433,50.5,192.69748,0.5744352,0.5715846,2.9802642,5352,494.8144132932156,0.047628775
-568.05585,52670.742,,-532.2411,[-0.086  0.315 -1.368 -1.728 -0.536],-232.66435,10,9.999999,9.785373,-3.5095214e-05,-711.4498,0.35919505,20,0.8303343,200,27.87220788002014,0.420991,358.43323,6.8208184,3.502005,96.4,241.41196,0.8363984,0.57216537,2.6563919,7280,953.6548153981821,0.050094847
-577.1665,44463.8,,-570.5425,[-0.088  0.374 -1.392 -1.767 -0.589],-260.19928,11,9.999999,9.809957,-3.2043456e-05,-655.5927,0.34698737,20,0.85429484,220,33.29563069343567,0.3104175,348.5675,5.682252,2.546019,109.05,212.05629,0.72041065,0.66555685,2.2323174,9461,1080.1377370753935,0.0848829
-609.1836,64693.355,,-482.05414,[-0.11   0.377 -1.412 -1.86  -0.565],-285.44003,12,9.999997,9.78901,1.5258789e-05,-695.5956,0.34292564,20,0.89832854,240,38.37671113014221,0.45841616,396.20477,8.975822,3.9015512,98.55,201.16501,0.8491155,0.73034924,2.4698024,11432,975.1033383375996,0.19375677
-681.59094,65014.027,,-512.9591,[-0.141  0.374 -1.427 -1.856 -0.521],-357.0592,13,9.999998,9.754759,-1.6784668e-05,-739.0334,0.26944694,20,0.9069307,260,42.83735418319702,0.34887272,381.57074,5.663004,2.591656,84.25,202.53143,0.678146,0.77425086,2.2385669,13117,832.1691304366095,0.064819776
-731.5088,103768.695,,-457.30167,[-0.119  0.31  -1.488 -1.902 -0.512],-432.3802,14,9.999998,9.72723,7.6293945e-06,-772.7173,0.19110134,20,0.94005334,280,47.02351903915405,0.34078163,392.71704,2.143369,1.9973406,75.5,213.35985,0.46114033,0.8046799,1.5434735,14627,744.7027757413741,0.23370232
