Iteration,TimestepsSoFar,MaxIW,EmpiricalD2,J_sample_variance,EpLenMean,MeanIW,MaxD2w0t,EpThisIter,ReturnMeanIW,ReturnStepMax,InitialReturnStd,EpRewMean,Weights,MeanD2w0t,InitialReturnMean,InitialBound,StdD2w0t,MeanEntropy,MinIW,MinD2w0t,Bound,ReturnStepMaxmin,EpisodesSoFar,StdIW,InitialReturnMax,TimeElapsed,InitialReturnMin
477,22118990,1.0,1.0,0.0024114454,500.0,1.0,1.0,100,-0.05376004,0.018496513,0.04885828,4999.747083207604,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,0.00011169434,-0.27880672,,-0.24230963,1.0,1.0,-0.27880672,0.01821518,47700,,0.058288574,29831.744601249695,-0.17547607
478,22168990,1.0,1.0,0.0023710355,500.0,1.0,1.0,100,-0.050258454,0.013792038,0.048452135,4999.745790219848,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,-2.3193359e-05,-0.21806587,,-0.24230963,1.0,1.0,-0.21806587,0.013507843,47800,,0.05871582,29901.148931264877,-0.16784668
479,22218990,1.0,1.0,0.002360918,500.0,1.0,1.0,100,-0.055608764,0.017957687,0.04835612,4999.752285754232,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,-1.15966795e-05,-0.27409953,,-0.24230963,1.0,1.0,-0.27409953,0.017683983,47900,,0.06549072,29972.19549846649,-0.15686035
480,22268990,1.0,1.0,0.0029362985,500.0,1.0,1.0,100,-0.05752645,0.018510818,0.05391178,4999.731517247576,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,-2.8686523e-05,-0.28274718,,-0.24230963,1.0,1.0,-0.28274718,0.018194199,48000,,0.06402588,30043.34211087227,-0.17547607
481,22318990,1.0,1.0,0.0029429458,500.0,1.0,1.0,100,-0.06089628,0.016841888,0.053972885,4999.736359283297,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,-1.953125e-05,-0.26581118,,-0.24230963,1.0,1.0,-0.26581118,0.016534805,48100,,0.06689453,30114.88604426384,-0.17034912
482,22368990,1.0,1.0,0.0024566103,500.0,1.0,1.0,100,-0.057428565,0.018288612,0.049327444,4999.75145063988,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,5.065918e-05,-0.2799457,,-0.24230963,1.0,1.0,-0.2799457,0.018004417,48200,,0.058654785,30182.57967042923,-0.13739014
483,22418990,1.0,1.0,0.0027968842,500.0,1.0,1.0,100,-0.055855926,0.015658379,0.052622564,4999.750948163212,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,8.178711e-05,-0.24637108,,-0.24230963,1.0,1.0,-0.24637108,0.01538372,48300,,0.059936523,30252.858040332794,-0.14782715
484,22468936,1.0,1.0,0.2479104,499.46,1.0,1.0,100,-0.08714942,9.99951,0.49541348,4994.246411581667,[-0.018  0.552 -2.448 -1.671 -1.661],0.99892,-2.0751953e-05,-121.75097,0.032842625,-0.24230963,1.0,,-121.75097,9.99902,48400,,0.11254883,30322.61385345459,-4.9018555
485,22518936,1.0,1.0,0.0023400274,500.0,1.0,1.0,100,-0.0576877,0.017281532,0.048140347,4999.742362121947,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,4.8217775e-05,-0.26795173,,-0.24230963,1.0,1.0,-0.26795173,0.016988754,48500,,0.06628418,30392.184237241745,-0.15203857
486,22568936,1.0,1.0,0.0022620948,500.0,1.0,1.0,100,-0.056528732,0.01776886,0.04733013,4999.744913976955,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,-6.1035157e-06,-0.27272207,,-0.24230963,1.0,1.0,-0.27272207,0.017479897,48600,,0.062927246,30462.110692501068,-0.12786865
487,22618936,1.0,1.0,0.0033395814,500.0,1.0,1.0,100,-0.058664005,0.017240524,0.057501744,4999.734819911195,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,0.00014038086,-0.26842907,,-0.24230963,1.0,1.0,-0.26842907,0.01692772,48700,,0.06994629,30532.602074623108,-0.17425537
488,22668936,1.0,1.0,0.0026519392,500.0,1.0,1.0,100,-0.055308703,0.01748085,0.05123899,4999.75154611575,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,8.544922e-05,-0.26799783,,-0.24230963,1.0,1.0,-0.26799783,0.017206192,48800,,0.06549072,30603.094497442245,-0.17388916
489,22718925,1.0,1.0,0.010740938,499.89,1.0,1.0,100,-0.046968617,9.999518,0.10311826,4998.549255970041,[-0.018  0.552 -2.448 -1.671 -1.661],0.99978,3.0517579e-06,-121.710884,0.014830754,-0.24230963,1.0,,-121.710884,9.999037,48900,,0.077819824,30673.5636138916,-0.8364868
490,22768925,1.0,1.0,0.0031947668,500.0,1.0,1.0,100,-0.055177554,0.017763138,0.05623809,4999.748409353215,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,6.1035155e-07,-0.27130127,,-0.24230963,1.0,1.0,-0.27130127,0.01748085,49000,,0.0657959,30743.218513727188,-0.17114258
491,22818925,1.0,1.0,0.0022545767,500.0,1.0,1.0,100,-0.053802628,0.016683578,0.04724892,4999.745779656041,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,9.155274e-06,-0.25679135,,-0.24230963,1.0,1.0,-0.25679135,0.016397476,49100,,0.06072998,30813.567526340485,-0.15393066
492,22868925,1.0,1.0,0.0015763801,500.0,1.0,1.0,100,-0.050140124,0.017024994,0.039508566,4999.760698868118,[-0.018  0.552 -2.448 -1.671 -1.661],1.0,3.173828e-05,-0.25728285,,-0.24230963,1.0,1.0,-0.25728285,0.01677227,49200,,0.054748535,30882.963599920273,-0.12695312
493,22918426,1.0000417,1.0,9867.298,495.01,1.0000006,1.0,100,-9.972405,9.999519,98.83637,4949.750175235684,[-0.018  0.552 -2.448 -1.671 -1.661],0.99002,7.141113e-05,-131.63634,0.099399015,-0.24230962,0.9999952,,-131.63634,9.999039,49300,1.1715046e-05,10.00061,30951.456162929535,-983.4093
494,22967898,1.1921954,1.0034168,9726.256,494.72,1.001121,1.0083584,100,-9.890143,9.999319,98.83553,4946.75456064725,[-0.018  0.552 -2.448 -1.671 -1.661],0.9910133,-4.272461e-06,-131.62524,0.10238698,-0.24243951,0.7694873,,-131.5714,9.998638,49400,0.041091673,10.013794,31019.864994764328,-983.39813
495,23017898,1.0,1.0,0.0027596026,500.0,1.0,1.0,100,-0.05511318,0.01722908,0.052272003,4999.746996865502,[-0.017  0.55  -2.448 -1.666 -1.661],1.0,2.1362304e-05,-0.26473904,,-0.24243951,1.0,1.0,-0.26473904,0.016943932,49500,,0.060913086,31088.58934187889,-0.16912842
496,23067898,1.0,1.0,0.0023575493,500.0,1.0,1.0,100,-0.053730138,0.017620087,0.048305612,4999.757753204358,[-0.017  0.55  -2.448 -1.666 -1.661],1.0,2.9296874e-05,-0.26811334,,-0.24243951,1.0,1.0,-0.26811334,0.01735115,49600,,0.055664062,31157.10598397255,-0.11407471
497,23117827,1.0001321,1.0,0.50236505,499.29,0.99999756,1.0,100,-0.107662044,9.999507,0.70554835,4992.541961241776,[-0.017  0.55  -2.448 -1.666 -1.661],0.99858,3.479004e-05,-121.77148,0.03765556,-0.24243951,0.9994784,,-121.77144,9.999014,49700,4.4852302e-05,0.14208984,31225.81906580925,-6.9975586
498,23167328,1.5418435,1.0252403,9040.274,495.01,0.9935817,1.0330553,100,-9.538568,9.999532,98.837265,4949.759660911486,[-0.017  0.55  -2.448 -1.666 -1.661],1.002892,1.7089844e-05,-131.62881,0.10095712,-0.24593917,0.6249244,,-131.38112,9.9990635,49800,0.11502409,9.99292,31294.179278612137,-983.4183
499,23217328,1.0,1.0,0.0026113752,500.0,1.0,1.0,100,-0.05504872,0.018234253,0.05084977,4999.74778492679,[-0.018  0.543 -2.448 -1.657 -1.665],1.0,3.6621095e-05,-0.27690446,,-0.24593917,1.0,1.0,-0.27690446,0.017952919,49900,,0.061462402,31363.93735766411,-0.13427734
