MinIW,Iteration,EpLenMean,J_sample_variance,ESSRenyi,EpisodesSoFar,InitialReturnMax,MeanIW,Bound,InitialBound,ESSClassic,EpRewMean,ReturnStepMaxmin,EntropyCoefficient,MeanEntropy,MeanIWNorm,InitialReturnMin,TimeElapsed,MaxIW,StdIW,EpThisIter,MaxIWNorm,TimestepsSoFar,StdIWNorm,Weights,ReturnMeanIW,InitialReturnMean,EmpiricalD2,MinIWNorm,ReturnStepMax,InitialReturnStd
0.033256594,1,11.4,798713.9,1.7465467,20,132.7594,2.6181464,84.39979,-22.168203,2.0265691,103.91822374619062,8.2312975,10.0,1.4570295,0.13090733,-87.12381,0.7600865364074707,36.523033,7.797021,20,1.8261517,228,0.38985106,[-0.563 -1.093 -0.809 -1.04   0.   ],192.86226,9.155274e-06,11.451168,0.0016628298,9.99997,60.17866
0.3187355,2,15.95,21782.984,16.053356,40,195.07108,1.1942985,-31.40916,-38.852104,14.968965,149.39328475530448,8.7327175,10.0,1.3841622,0.059714932,-115.979454,3.3116848468780518,3.0154147,0.69238204,20,0.15077074,547,0.034619104,[-0.585 -1.336 -0.896 -1.601  0.038],14.377954,1.6784668e-05,1.2458454,0.015936775,9.999983,75.66267
0.43469292,3,13.7,7071.0757,15.802188,60,127.744225,1.183787,-15.994535,-21.142586,16.229424,126.91129756454188,8.527378,10.0,1.4670479,0.05918935,-97.5957,4.7206480503082275,2.7760942,0.5705924,20,0.13880472,821,0.028529622,[-0.691 -1.149 -1.056 -1.65  -0.035],8.692556,-6.1035157e-06,1.2656475,0.021734646,9.999817,62.98159
0.0727392,4,19.5,819720.44,10.398699,80,425.35974,1.3856637,26.454176,-101.8191,6.8319087,184.90053126351555,8.9641905,10.0,1.4017607,0.06928319,-157.3932,6.25562858581543,9.428075,1.9237483,20,0.47140375,1211,0.09618742,[-0.76  -1.128 -1.098 -1.661  0.048],173.98863,-8.010864e-06,1.9233176,0.00363696,9.999967,125.324234
0.06736002,5,20.65,43551.6,10.066625,100,194.28206,1.5210452,-11.379672,-39.18873,7.656276,196.3961600633565,9.021429,10.0,1.29605,0.076052256,-107.94006,8.135860204696655,8.270753,1.9313297,20,0.41353765,1624,0.09656649,[-0.789 -0.8   -1.117 -1.565 -0.017],50.655533,3.8146973e-07,1.9867632,0.0033680012,9.999992,71.8586
0.3790739,6,16.25,3331.3037,17.704407,120,112.414474,0.979345,-12.677632,-17.82547,17.60133,152.40146889464663,8.757112,10.0,1.2628173,0.048967253,-91.39252,9.849937438964844,1.5515438,0.36153334,20,0.077577196,1949,0.01807667,[-0.93  -0.509 -1.309 -1.558 -0.123],7.4152403,2.2888185e-06,1.1296623,0.018953694,9.9999895,53.186035
0.008124586,7,17.9,155939.84,4.751868,140,167.31827,1.5377371,31.632929,-33.19382,5.001982,168.8993642898584,8.871488,10.0,1.0628779,0.07688686,-140.07516,11.356535911560059,9.71356,2.6627347,20,0.48567802,2307,0.13313675,[-1.012 -0.498 -1.397 -1.7   -0.156],115.01042,1.5258789e-06,4.2088714,0.00040622932,9.999949,100.41373
0.06774246,8,24.8,108853704.0,0.35271728,160,273.69965,9.513483,1752.0009,-64.32696,1.2450645,237.86569116763548,9.182722,10.0,1.2113138,0.47567415,-176.16837,13.38915228843689,170.36346,36.92337,20,8.518173,2803,1.8461688,[-1.16  -0.381 -1.564 -1.903 -0.356],2304.313,3.0517579e-06,56.702637,0.003387123,9.999998,99.94356
0.15810898,9,20.45,33784.02,9.32396,180,129.95093,1.359414,10.153124,-23.475382,9.415082,194.3832129964174,9.0106325,10.0,1.1430769,0.0679707,-124.600784,15.751142024993896,5.7372065,1.4413966,20,0.28686032,3212,0.07206983,[-1.169 -0.176 -1.609 -1.834 -0.208],50.844803,6.866455e-06,2.1450112,0.007905449,9.999951,80.528076
0.41094902,10,26.95,4383.1147,14.953209,200,89.90584,1.0093648,-16.178053,-22.241838,15.217128,259.3331509506719,9.245565,10.0,1.1412785,0.050468247,-122.95497,17.864431858062744,2.5530992,0.56588244,20,0.12765495,3751,0.028294122,[-1.316 -0.154 -1.74  -2.181 -0.276],11.351725,-7.6293946e-07,1.3375056,0.020547451,9.999937,55.7605
0.324176,11,24.65,142324.25,8.790071,220,250.00504,1.0210756,-4.3121014,-57.053913,7.496511,236.35590048738004,9.176952,10.0,1.1616213,0.05105378,-173.09375,19.659339904785156,6.443218,1.3186936,20,0.32216093,4244,0.06593469,[-1.322 -0.019 -1.801 -2.172 -0.278],87.347404,,2.2752945,0.016208801,9.999998,113.05489
0.36049291,12,30.0,30343.393,14.827534,240,253.87642,0.974929,-43.117306,-57.910713,14.862025,289.83250588473885,9.322169,10.0,1.1545403,0.04874645,-246.14763,21.8560209274292,2.771711,0.5732314,20,0.13858555,4844,0.02866157,[-1.224  0.17  -1.816 -2.234 -0.257],26.08562,-2.2888185e-06,1.348842,0.018024646,9.999999,96.74803
