TimestepsSoFar,StdIWNorm,Bound,InitialReturnStd,TimeElapsed,InitialReturnMin,MeanEntropy,ReturnStepMax,MinIWNorm,EpRewMean,InitialReturnMax,EpisodesSoFar,EmpiricalD2,InitialBound,MaxIWNorm,Iteration,ESSRenyi,ReturnMeanIW,ReturnStepMaxmin,MaxIW,StdIW,Weights,J_sample_variance,EpThisIter,ESSClassic,EpLenMean,MinIW,MeanIW,MeanIWNorm,InitialReturnMean
200,0.04420251,-10.280357,55.486576,0.4586615562438965,-74.70904,1.3105761,9.999976,0.008695361,89.9334678986239,121.638725,20,1.4234494,-33.31214,0.20242742,1,14.050377,29.463818,7.9867163,4.048548,0.88405013,[-0.365 -0.68  -0.484 -0.253  0.   ],10662.524,20,12.41068,10.0,0.17390722,1.1305072,0.05652536,-1.5258789e-06
418,0.09492473,-16.745447,62.366615,1.977299690246582,-92.47554,1.3681294,10.0,0.015723536,98.94053473115028,121.778244,40,1.7581065,-33.350353,0.46458396,2,11.375875,27.474981,8.154228,9.291679,1.8984948,[-0.608 -0.447 -0.726 -0.542 -0.108],11033.307,20,6.4443364,10.9,0.3144707,1.3089955,0.065449774,-5.722046e-06
696,0.34354687,151.7388,75.54222,3.362093925476074,-118.20021,1.3994159,9.99995,0.0025018186,128.9230541108323,163.97588,60,5.359462,-44.906654,1.6038843,3,3.731718,255.69997,8.550129,32.077686,6.8709373,[-0.672 -0.416 -0.926 -0.855 -0.051],1390092.8,20,1.8424891,13.9,0.05003637,2.1887202,0.109436,-1.373291e-05
1073,0.8074033,209.0853,99.74375,5.537676095962524,-118.52406,1.4815996,9.999975,0.013560397,178.36683113257502,218.4817,80,12.407175,-59.83369,3.737374,4,1.6119705,419.84238,8.924887,74.74748,16.148067,[-0.566 -0.241 -1.077 -1.459 -0.02 ],3834651.8,20,1.3638818,18.85,0.27120793,4.3684883,0.21842441,-6.866455e-06
1422,0.049420565,-26.394787,114.56678,7.751345634460449,-134.04797,1.3892467,9.9999895,0.017840534,164.39935030076634,256.92087,100,1.555959,-70.36067,0.18948264,5,12.853809,61.371777,8.842341,3.7896528,0.9884113,[-0.573  0.043 -1.239 -1.422  0.063],39034.117,20,11.757359,17.45,0.3568107,1.1804819,0.059024096,3.0517579e-06
1769,0.018049335,-70.18712,105.30415,9.601603507995605,-114.15758,1.3896395,9.999984,0.027962325,163.38851215469893,335.76727,120,1.2116821,-91.95366,0.109187685,6,16.50598,31.032183,8.834428,2.1837537,0.3609867,[-8.262e-01 -7.529e-04 -1.364e+00 -1.562e+00 -2.971e-02],31861.652,20,17.352066,17.35,0.5592465,0.9240874,0.046204377,-3.0517579e-06
2324,0.018691888,-56.30107,126.35629,11.545194864273071,-214.6456,1.3417895,9.999995,0.026071796,267.35349840596507,290.20148,140,1.1684905,-79.47496,0.09894971,7,17.1161,29.608757,9.268725,1.9789941,0.37383777,[-0.836  0.043 -1.439 -1.793 -0.029],21802.543,20,17.769045,27.75,0.5214359,1.0550424,0.052752126,-4.577637e-06
2800,2.5541134,1008.57776,108.165596,13.351617813110352,-187.38857,1.1588115,9.999985,0.00012921025,227.86849859254806,191.3616,160,245.55351,-52.406544,11.743891,8,0.081448644,1829.7959,9.14863,234.8778,51.08226,[-0.915  0.115 -1.546 -1.855 -0.077],64839700.0,20,1.0965675,23.8,0.002584205,12.303183,0.61515915,-6.1035157e-06
3371,0.008330197,-57.426125,154.82494,15.90284276008606,-206.37779,1.1631656,9.999992,0.0377218,275.34656653173727,231.83704,180,1.0358101,-63.49118,0.071720876,9,19.308558,7.191879,9.288734,1.4344175,0.16660392,[-0.987  0.59  -1.53  -1.794 -0.26 ],24909.328,20,19.408215,28.55,0.754436,0.9541044,0.047705226,6.1035157e-06
4430,0.17804526,-68.5853,141.372,18.70278000831604,-350.14746,1.1140138,9.999995,0.01833593,519.2891609982139,301.81943,200,1.9916351,-95.891846,0.82441235,10,10.042,66.74234,9.614326,16.488247,3.5609057,[-1.023  0.631 -1.647 -1.842 -0.256],79166.625,20,4.3722005,52.95,0.3667186,1.8834823,0.094174124,-1.5258789e-06
