Weights,TimestepsSoFar,MeanD2w0t,EpLenMean,InitialReturnStd,StdIW,MaxIW,TimeElapsed,MeanIW,Iteration,MinIW,ReturnMeanIW,ReturnStepMaxmin,MeanEntropy,EntropyCoefficient,MaxD2w0t,StdD2w0t,J_sample_variance,EpRewMean,EpThisIter,Bound,EpisodesSoFar,InitialBound,InitialReturnMin,InitialReturnMean,ReturnStepMax,EmpiricalD2,InitialReturnMax,MinD2w0t
[-0.563 -1.093 -0.809 -1.04   0.   ],228,0.04133601,11.4,60.17866,0.39409667,5.411524,0.7456221580505371,0.47231475,1,0.005387392,-375.2462,8.2312975,1.2296454,10.0,5.8730526,0.29880837,105030.31,103.91822374619062,20,-640.6643,20,-970.8493,-87.12381,9.155274e-06,9.99997,2.4636493,132.7594,
[-0.757 -0.693 -1.178 -1.195 -0.189],563,0.050089873,16.75,62.133194,0.44074097,2.9015882,4.468994855880737,0.82794476,2,0.28156874,-653.16907,8.793741,1.3408501,10.0,3.0925434,0.27933177,135534.9,157.39746499352154,20,-880.97003,40,-960.77106,-104.68225,-1.5258789e-05,9.999985,1.9018075,108.6537,
[-0.747 -0.6   -1.266 -1.18  -0.078],879,0.0648602,15.8,90.091805,0.36875504,2.3638434,6.822504997253418,0.5380781,3,0.010096199,-429.42917,8.722866,1.1617022,10.0,8.280269,0.41788447,93801.2,147.91060618123305,20,-781.5369,60,-990.82666,-123.26935,5.340576e-06,9.999994,2.729647,210.98157,
[-0.819 -0.77  -1.232 -1.041 -0.257],1235,0.06179889,17.8,55.375492,0.30172253,2.3713923,9.631654262542725,0.64369065,4,0.16941056,-505.63168,8.867353,1.289436,10.0,4.576707,0.3432095,72544.02,167.91881344448922,20,-772.00055,80,-959.97736,-114.12758,7.6293945e-06,9.999929,2.4484599,114.15799,
[-0.819 -0.658 -1.279 -1.048 -0.129],1594,0.0545857,17.95,70.30662,0.59504986,2.6849563,12.430257081985474,0.64254314,5,0.0046689534,-513.018,8.873593,1.2116674,10.0,10.257789,0.32687432,267242.8,169.39031865001874,20,-765.6911,100,-972.1725,-114.13315,8.392334e-06,9.999978,3.0319269,163.89043,
[-0.643 -1.051 -0.996 -0.669 -0.207],1942,0.042087525,17.4,93.327286,0.51978934,2.4111404,15.55193281173706,0.84196115,6,0.025663467,-688.94135,8.840202,1.1841139,10.0,3.2369914,0.22764158,237817.0,163.9094253723081,20,-934.75323,120,-1001.71655,-97.18378,-7.6293945e-06,9.999962,1.6732308,278.42264,
[-0.624 -1.314 -0.788 -0.344 -0.235],2219,0.056791723,13.85,46.030254,0.26335368,2.219884,18.11966848373413,0.2584229,7,0.014117007,-182.03946,8.5463705,1.0758908,10.0,40.565475,0.58665955,31569.434,128.43358486391523,20,-468.77246,140,-968.52704,-80.51447,-6.1035157e-06,9.999995,6.7782516,117.75905,
[-0.533 -0.332 -1.128 -1.131 -0.343],2685,0.05323308,23.3,136.69658,0.23459835,1.6282439,21.123106718063354,0.9402039,8,0.42911518,-720.2633,9.131858,1.1019374,10.0,1.6730622,0.24272579,57012.535,222.8860309536626,20,-977.5603,160,-995.3677,-177.37004,1.5258789e-06,9.999991,1.174129,355.94095,
[-0.544 -0.394 -1.126 -1.202 -0.317],2989,0.06357917,15.2,82.59537,0.3862915,2.6882722,23.21482801437378,0.5436991,9,0.077500395,-428.12546,8.671516,0.9757795,10.0,21.663002,0.5074844,112470.766,141.90349619150106,20,-791.2574,180,-993.6194,-118.78167,1.4495849e-05,9.999998,3.7779727,208.83871,
[-0.592 -0.033 -1.349 -1.258 -0.443],3508,0.10720366,25.95,131.42877,0.39363384,11.897243,26.32857584953308,0.4194667,10,0.043356363,-279.39462,9.219569,0.8748215,10.0,13.534946,0.57577384,41281.85,249.37381050074563,20,-634.0569,200,-961.6858,-200.50148,3.8146973e-06,9.999993,4.468503,231.16121,
