InitialReturnMin,Iteration,ESSRenyi,MaxIW,TimestepsSoFar,InitialReturnMax,Bound,MeanEntropy,EpisodesSoFar,EpLenMean,MaxIWNorm,ReturnStepMaxmin,ReturnMeanIW,TimeElapsed,InitialReturnStd,ESSClassic,MinIW,EpRewMean,EpThisIter,StdIW,Weights,ReturnStepMax,StdIWNorm,InitialReturnMean,MeanIW,MinIWNorm,MeanIWNorm,J_sample_variance,InitialBound,EmpiricalD2
-37.118546,1,37.08504,12.590995,479,67.4904,-1.9536562,1.4517906,100,4.79,0.12590994,5.815322,11.619732,1.4300177097320557,21.086748,35.872646,0.0344131,37.877669226613925,100,1.3893808,[-0.689  0.919 -0.673  0.288  0.   ],9.9999895,0.013893806,-6.1035155e-07,1.0391574,0.000344131,0.010391574,7815.1704,-8.265854,2.696505
-47.42042,2,22.491705,19.514868,1067,101.07735,-6.2213364,1.2085959,200,5.88,0.19514868,6.588846,19.881536,5.683156251907349,27.816782,17.001259,1.8419783e-05,48.77112179310907,100,2.0188248,[-0.751  0.852 -0.791 -0.052  0.033],9.999971,0.02018825,1.9836425e-06,0.91369957,1.8419783e-07,0.009136995,39388.863,-12.379395,4.4460835
-63.480762,3,5.496636,84.056725,1829,93.50075,40.673977,0.77798647,300,7.62,0.84056723,7.364129,89.51809,10.725411891937256,39.309208,2.2334557,8.715668e-07,66.15726655717253,100,8.434867,[-0.864  0.652 -0.867 -0.363 -0.21 ],9.999986,0.084348656,1.1444092e-06,1.2748872,8.715667e-09,0.012748872,623284.2,-11.451454,18.192945
-141.14973,4,0.19950545,699.3877,3632,333.5731,1423.2134,0.598633,400,18.03,6.993877,8.880002,2337.8726,18.22452735900879,98.33847,1.1969306,2.930763e-06,170.20320653690516,100,69.530304,[-0.73   0.621 -0.935 -0.702 -0.641],9.999999,0.695303,7.6293945e-06,7.6528535,2.930763e-08,0.076528534,544268540.0,-40.854187,501.23944
-258.5652,5,29.862406,12.72278,7080,342.46722,68.55155,0.57441044,500,34.48,0.1272278,9.410429,145.30577,30.71398663520813,151.62784,28.386076,0.047657046,334.6357824474446,100,1.9133112,[-0.281  0.396 -0.925 -0.762 -0.82 ],10.0,0.019133111,8.69751e-06,1.2045908,0.00047657045,0.012045908,327147.5,-41.94349,3.348692
-387.7863,6,27.42251,12.981595,12681,429.65417,52.96071,0.5403433,600,56.01,0.12981595,9.634258,153.44798,46.00326871871948,173.0815,29.428154,0.0037140881,549.8573734578836,100,1.9037548,[-0.337  0.444 -1.151 -0.947 -0.845],10.0,0.019037548,7.93457e-06,1.2293535,3.714088e-05,0.012293535,566310.7,-52.62167,3.646639
-479.17322,7,28.228285,15.763319,19893,348.40845,47.134422,0.4896807,700,72.12,0.15763319,9.714478,157.5921,62.93341422080994,188.35999,29.094088,0.003954173,710.903794842991,100,2.128507,[-0.387  0.571 -1.387 -1.077 -0.879],10.0,0.021285068,,1.3634405,3.954173e-05,0.013634405,375418.16,-58.686493,3.542546
-525.93176,8,0.50879097,807.36176,28464,339.01562,1846.6152,0.37354028,800,85.71,8.073617,9.75956,2749.6519,82.40214610099792,190.25714,1.1846478,8.407823e-06,846.7953976239828,100,80.29734,[-0.416  0.611 -1.432 -1.228 -0.929],10.0,0.8029733,-3.0517578e-05,8.791916,8.407822e-08,0.087919146,749283840.0,-64.41325,196.54436
-615.8686,9,76.45012,3.4026394,39835,243.67456,-46.16897,0.3559501,900,113.71,0.03402639,9.818002,40.098015,107.57858991622925,159.29541,76.483475,0.37235302,1126.7506477040852,100,0.5977988,[-0.376  0.67  -1.475 -1.274 -1.045],9.999999,0.0059779882,3.0822754e-05,1.0780827,0.00372353,0.010780825,27955.438,-75.42816,1.3080424
-636.64935,10,80.698616,3.891807,50834,239.5744,-65.22029,0.3549593,1000,109.99,0.03891807,9.812338,21.578342,131.45590448379517,164.01184,76.823975,0.32545155,1089.57807224267,100,0.5533517,[-0.396  0.693 -1.548 -1.328 -1.063],10.0,0.005533517,2.4414063e-05,1.0074652,0.0032545154,0.010074651,31570.752,-77.97328,1.2391787
