EmpiricalD2,EpisodesSoFar,ReturnStepMaxmin,MinIWNorm,EpRewMean,MeanIWNorm,EntropyCoefficient,MinIW,MeanIW,TimestepsSoFar,Weights,EpLenMean,MaxIW,InitialBound,Bound,StdIWNorm,ReturnMeanIW,InitialReturnMax,ESSClassic,MeanEntropy,Iteration,StdIW,TimeElapsed,InitialReturnStd,InitialReturnMean,MaxIWNorm,ESSRenyi,J_sample_variance,ReturnStepMax,InitialReturnMin,EpThisIter
2.5742166,100,5.815322,0.0005067484,37.877669226613925,0.010343519,10.0,0.050674837,1.034352,479,[-0.689  0.919 -0.673  0.288  0.   ],4.79,12.031269,5.9235983,12.3380375,0.013096839,10.864817,67.4904,38.413795,1.4735256,1,1.3096839,1.7318286895751953,21.086748,-6.1035155e-07,0.12031269,38.84677,7160.6055,9.9999895,-37.118546,100
1.328604,200,6.4119368,0.00057702203,45.87129811100418,0.009738961,10.0,0.057702206,0.9738962,1038,[-0.742  0.83  -0.766 -0.015  0.054],5.59,3.492066,8.508581,11.584232,0.005699284,4.8019776,50.840656,74.48988,1.3959447,2,0.5699284,7.872753858566284,23.903086,7.6293945e-06,0.03492066,75.266975,943.0743,9.999976,-34.774006,100
3.2638237,300,7.4256716,0.0005715864,67.96010703532302,0.012557838,10.0,0.057158645,1.2557839,1818,[-0.869  0.945 -1.003 -0.32  -0.023],7.8,22.213789,0.6563444,20.956148,0.024649851,30.649431,108.61938,20.60582,1.4340175,3,2.4649854,13.65049934387207,39.2804,1.2207031e-06,0.22213788,30.63891,23849.912,9.999997,-65.169945,100
27.039207,400,7.8230343,0.00037167288,82.25325463129003,0.025701437,10.0,0.03716729,2.5701435,2741,[-0.832  0.967 -1.094 -0.717  0.015],9.23,160.1474,-15.909763,214.47488,0.15924203,356.60223,246.98972,2.5388143,1.5170023,4,15.924205,20.05145788192749,61.24778,1.4877319e-06,1.6014739,3.6983333,9420051.0,9.999987,-77.139565,100
3.8752503,500,8.645678,0.00025005743,138.81690357758202,0.0117465,10.0,0.025005745,1.1746501,4230,[-0.777  0.791 -1.135 -1.097  0.098],14.89,30.569126,-27.78282,55.54081,0.030653667,125.77875,350.70837,12.804076,1.4317521,5,3.0653667,29.221664667129517,102.01643,-8.850097e-06,0.30569124,25.804785,1168766.5,9.999977,-123.50366,100
1.6559285,600,9.047216,0.0015856507,202.18620450136007,0.011098211,10.0,0.15856507,1.1098208,6353,[-0.925  0.718 -1.261 -1.354  0.013],21.23,6.2144213,-28.226921,11.230017,0.008305057,51.79241,347.37384,64.103004,1.4185011,6,0.8305057,38.386905908584595,132.99979,-8.544922e-06,0.062144212,60.38908,56890.152,10.0,-172.26656,100
4.1081257,700,9.292207,8.903005e-05,276.26436369232977,0.013386003,10.0,0.008903005,1.3386003,9217,[-1.096e+00  6.805e-01 -1.384e+00 -1.500e+00 -4.221e-04],28.64,17.820656,-28.291471,68.06371,0.025463495,141.15059,346.8191,21.651829,1.3006655,7,2.5463495,47.58770561218262,148.2311,1.2817382e-05,0.17820655,24.342001,406444.38,9.999999,-227.29248,100
1.4115024,800,9.511191,0.0022612785,406.71073468852455,0.010289183,10.0,0.22612785,1.0289183,13386,[-1.083  0.822 -1.513 -1.787 -0.118],41.69,4.9238367,-39.662827,-1.3201084,0.0071313223,48.565544,430.04428,67.55055,1.2689168,8,0.7131322,59.78426790237427,162.87305,-2.4108887e-05,0.049238365,70.8465,51650.496,9.999999,-314.6724,100
3.7266183,900,9.496773,0.00027290417,394.7120321547665,0.013164935,10.0,0.027290417,1.3164935,17435,[-1.092  0.896 -1.649 -1.932 -0.15 ],40.49,19.522635,-25.0833,75.5988,0.026484847,136.43047,302.5963,19.812864,1.2086021,9,2.6484845,71.0144567489624,163.97952,5.7983398e-06,0.19522634,26.83398,361085.75,10.0,-308.41095,100
1.9342418,1000,9.65932,0.00090632617,591.3522141956089,0.009215925,10.0,0.09063262,0.92159265,23451,[-1.078  0.95  -1.755 -2.212 -0.21 ],60.16,8.9318075,-41.90102,-11.236572,0.010452852,52.41261,440.80246,43.735996,1.1434414,10,1.0452852,85.20177888870239,154.14395,1.3122559e-05,0.089318074,51.699844,179598.12,9.999997,-424.83694,100
11.405496,1100,9.668882,2.3082717e-05,608.850010358286,0.016575288,10.0,0.0023082718,1.6575286,29642,[-1.097  1.02  -1.761 -2.212 -0.276],61.91,77.32156,-41.091778,51.019573,0.078016,217.96346,311.0259,4.3189726,1.0447764,11,7.801601,100.02577614784241,153.41975,2.4108887e-05,0.7732156,8.767703,4019300.8,10.0,-428.87473,100
2.4865963,1200,9.722181,0.00039366767,729.3257744114155,0.0127524305,10.0,0.039366767,1.275243,37038,[-1.056  1.125 -1.839 -2.235 -0.374],73.96,17.145126,-49.57702,-18.274448,0.021512225,66.68243,314.77386,26.003263,0.9695951,12,2.1512227,117.12420654296875,142.78242,4.6386718e-05,0.17145126,40.215614,123400.98,10.0,-490.10068,100
42.951202,1300,9.768346,2.9109927e-07,879.1966201328157,0.033396885,10.0,2.9109928e-05,3.3396883,45933,[-1.064  1.169 -1.931 -2.3   -0.449],88.95,258.48895,-25.44355,76.78178,0.2570317,298.8013,275.03754,1.6602278,0.8274547,13,25.703175,134.52126717567444,118.412224,-4.0283205e-05,2.5848894,2.3282235,7597193.0,9.999999,-286.91248,100
1.1097571,1400,9.750964,0.0033698801,814.7265989670309,0.009728586,10.0,0.33698803,0.9728587,54183,[-1.113  1.192 -1.966 -2.406 -0.591],82.5,2.4428086,-57.790333,-52.616104,0.0034458055,8.874964,354.06378,88.85309,0.8104975,14,0.34458056,150.9973063468933,131.51764,-6.408691e-06,0.024428086,90.10981,19052.36,9.999999,-539.4174,100
1.2958362,1500,9.765167,0.0026252598,865.713499052644,0.010679234,10.0,0.26252598,1.0679235,62943,[-1.103  1.199 -1.986 -2.422 -0.609],87.6,3.287763,-31.143724,-23.273085,0.0062031136,13.422062,320.46423,74.77221,0.79835224,15,0.6203113,169.02909350395203,107.938995,-1.8310546e-06,0.03287763,77.17025,18398.719,10.0,-240.12714,100
1.0851886,1600,9.768126,0.004264826,875.8257894799915,0.009741594,10.0,0.42648262,0.9741595,71804,[-1.073  1.189 -2.037 -2.46  -0.621],88.61,1.9262421,-60.682243,-54.861908,0.0032981527,8.709871,265.3883,89.71624,0.79590154,16,0.32981527,186.75408601760864,113.88955,2.2277833e-05,0.01926242,92.14988,12788.182,9.999998,-560.6538,100
1.0345138,1700,9.772469,0.005234414,892.9238493772999,0.010159168,10.0,0.5234414,1.0159167,80836,[-1.084  1.223 -2.063 -2.484 -0.623],90.32,1.7327389,-57.913254,-54.23212,0.0019402053,4.8444004,241.54272,96.480965,0.7922816,17,0.19402054,206.1526119709015,115.50437,-3.5095214e-05,0.017327389,96.663765,12602.279,10.0,-537.8445,100
1.2778196,1800,9.758308,0.0013925344,839.3324112763032,0.010455315,10.0,0.13925344,1.0455316,89332,[-1.103  1.243 -2.091 -2.526 -0.627],84.96,3.5318203,-59.127636,-47.632774,0.0050432053,20.555794,326.28906,81.12477,0.7605719,18,0.5043205,222.31727600097656,146.26834,-2.7465821e-06,0.035318203,78.25831,27509.441,10.0,-547.4646,100
1.0864106,1900,9.781411,0.0036797158,930.1209294932337,0.010239031,10.0,0.3679716,1.0239031,98736,[-1.143  1.301 -2.162 -2.55  -0.658],94.04,1.7368311,-64.02991,-57.631454,0.002701625,9.616108,306.4087,93.49118,0.7419039,19,0.2701625,240.2257640361786,139.1595,4.3945314e-05,0.017368311,92.04623,19606.016,9.999999,-584.90283,100
1.0523913,2000,9.775921,0.0061634057,905.9341989819972,0.010180713,10.0,0.6163406,1.0180712,107898,[-1.165  1.326 -2.182 -2.555 -0.677],91.62,1.5774379,-63.843597,-59.090576,0.0022172376,6.5877357,268.36902,95.47162,0.7427271,20,0.22172375,258.1297092437744,128.3668,1.4038086e-05,0.015774379,95.02169,17882.57,10.0,-581.85706,100
1.2204752,2100,9.789291,0.0039326237,964.9250406597187,0.009646595,10.0,0.39326236,0.9646596,117650,[-1.179  1.359 -2.203 -2.58  -0.676],97.52,3.8923898,-15.322744,-10.530608,0.005202928,7.2022953,185.31067,77.46518,0.7400182,21,0.5202928,275.0152518749237,86.36486,-1.8310548e-05,0.038923897,81.935295,8447.792,10.0,-185.75293,100
1.0364106,2200,9.7800255,0.0066537224,922.539711390523,0.010063303,10.0,0.66537225,1.0063301,126978,[-1.211  1.399 -2.198 -2.552 -0.679],93.28,1.5881629,-64.57729,-62.185444,0.0018914446,3.7258036,221.71747,96.58784,0.7364911,22,0.18914446,294.5069444179535,131.60497,3.2958986e-05,0.015881628,96.48686,17758.496,10.0,-587.6939,100
1.0831493,2300,9.781586,0.004884609,929.832677064276,0.010081769,10.0,0.48846093,1.008177,136379,[-1.22   1.422 -2.214 -2.559 -0.682],94.01,2.1772842,-64.97612,-60.437607,0.0032737863,7.591929,254.95068,90.46129,0.7258986,23,0.32737866,311.1538667678833,123.61147,-2.5024414e-05,0.021772841,92.32337,16981.295,10.0,-590.66187,100
