EpLenMean,MeanD2w0t,MinIW,InitialReturnStd,MaxD2w0t,EpisodesSoFar,EmpiricalD2,InitialReturnMean,EpRewMean,Iteration,InitialReturnMax,InitialReturnMin,MeanIW,MaxIW,MinD2w0t,Weights,TimeElapsed,Bound,InitialBound,ReturnStepMax,MeanEntropy,ReturnStepMaxmin,StdIW,ReturnMeanIW,TimestepsSoFar,EpThisIter,StdD2w0t,J_sample_variance
6.49,0.038922235,0.00016476758,36.734127,64.539986,100,5.19708,2.0217894e-06,54.86677448635808,1,137.25768,-52.909443,0.61276996,5.8480716,,[-0.299 -0.599 -0.622  0.598  0.   ],1.2549712657928467,-670.80054,-848.61316,8.454049,1.0996385,6.9081516,0.762712,-468.55823,649,100,0.605719,340572.97
11.23,0.059447628,0.005318938,73.277954,25.469887,200,3.0980258,7.5912476e-06,102.23655469821671,2,256.2929,-94.36406,0.6471364,6.999485,,[-0.438  0.092 -1.23  -0.192 -0.319],6.2308642864227295,-729.27185,-895.1296,9.103879,0.87060475,8.207762,0.5896222,-516.9183,1772,100,0.6020083,200546.75
13.09,0.08479037,0.00026354153,76.246124,99.12958,300,8.147095,-4.348755e-06,120.83307444758599,3,233.3176,-110.911,0.5923588,33.711628,,[-0.491  0.13  -1.308 -0.227 -0.548],10.593428134918213,-662.06323,-891.7764,9.230945,0.71332353,8.461889,0.7270379,-428.55222,3081,100,1.0142725,182228.28
33.88,0.12721418,0.016565867,137.157,44.454483,400,4.647976,9.155274e-06,328.6383044763997,4,369.9735,-267.4522,0.8059178,25.671186,,[-0.499  0.328 -1.508 -0.634 -0.706],18.223395586013794,-700.5494,-806.5367,9.700069,0.68142045,9.400141,1.038281,-514.4001,6469,100,0.6848009,313076.25
36.57,0.15181875,0.027740858,144.12363,76.361946,500,6.5902195,-8.544922e-06,355.52695523342163,5,309.25024,-275.75525,0.6308573,7.393504,,[-0.346  0.274 -1.565 -0.725 -0.737],25.980573177337646,-577.59436,-788.6341,9.721822,0.6674683,9.4436455,0.73033035,-379.75967,10126,100,0.9328914,156649.12
62.49,0.25712848,0.019754982,185.25543,63.872475,600,8.110893,4.0283205e-05,614.6656457113764,6,314.94754,-422.50854,0.6769525,9.684932,,[-0.28   0.293 -1.628 -0.884 -0.752],35.5580530166626,-516.26013,-660.70355,9.836227,0.64012134,9.672455,0.6458328,-339.82538,16375,100,1.2716997,121289.45
70.16,0.32876602,0.017551826,191.3126,44.746212,700,6.543817,3.7841797e-05,691.3419857770975,7,404.27118,-464.08075,0.7306648,6.943137,,[-0.184  0.264 -1.66  -0.943 -0.779],44.71142244338989,-511.89313,-633.7863,9.853796,0.58374,9.707592,0.8968685,-324.8334,23391,100,1.2603931,140744.27
92.35,0.3650781,0.014160154,221.85794,17.594877,800,6.0505943,5.4931643e-06,913.2060132443366,8,414.03607,-543.2144,0.8446829,11.878775,,[-0.12   0.241 -1.737 -1.004 -0.835],54.716355323791504,-468.17346,-559.3785,9.888538,0.5930142,9.777077,0.85584205,-311.04062,32626,100,1.0105488,98013.336
112.55,0.4267582,0.03155545,236.95403,9.059393,900,3.0949914,1.4648437e-05,1115.1362243868325,9,334.61725,-599.3264,0.8429985,10.721924,,[-0.1    0.299 -1.834 -1.106 -0.826],67.48991370201111,-405.93597,-495.37994,9.907929,0.5929636,9.815859,0.8765186,-254.87231,43881,100,0.9047418,50238.43
153.51,0.7427316,0.011327475,178.78528,40.81681,1000,7.8207436,-3.2958986e-05,1524.6731280215186,10,254.5498,-472.31827,0.7071622,5.310777,,[-0.114  0.381 -1.944 -1.253 -0.826],85.0676622390747,-321.60675,-382.47406,9.932097,0.59742546,9.864195,0.65348494,-173.57137,59232,100,1.9183497,63526.395
