MaxIWNorm,StdIW,J_sample_variance,MeanIW,EpLenMean,TimestepsSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMax,MinIW,ReturnStepMaxmin,MaxIW,StdIWNorm,ESSRenyi,InitialBound,EpThisIter,MeanEntropy,MinIWNorm,EpRewMean,ReturnMeanIW,MeanIWNorm,Iteration,EpisodesSoFar,InitialReturnStd,InitialReturnMin,Weights,EmpiricalD2,InitialReturnMax,ESSClassic,EntropyCoefficient
0.7187005,3.7064734,362509.9,2.2086918,56.5,15721,48.31844353675842,-22.809715,1.9836425e-05,9.99999,0.011292259,9.637764,14.37401,0.18532367,4.94315,-102.528,20,0.93627995,0.000564613,554.7665245268311,194.30902,0.11043461,17,340,151.28235,-411.13934,[-0.993  0.888 -2.308 -1.985 -0.412],4.046003,179.81409,5.240922,10.0
30.017805,130.69357,273905400.0,30.766174,66.4,17049,51.886255741119385,1691.0221,3.0517579e-06,9.999993,0.003868261,9.690843,600.3561,6.534678,0.0857791,-117.61453,20,0.92549336,0.00019341304,653.7357282615382,3620.645,1.5383089,18,360,146.72694,-463.65567,[-0.951  0.791 -2.34  -2.086 -0.483],233.15703,245.71146,1.0501342,10.0
6.507351,28.210573,32444294.0,7.386892,76.65,18582,56.30779433250427,525.55963,1.9836425e-05,10.0,0.015050251,9.732496,130.14702,1.4105288,0.59823376,-128.60219,20,0.77344966,0.00075251254,756.2479478515255,1314.9177,0.36934456,19,380,147.933,-503.38303,[-0.767  0.796 -2.28  -1.913 -0.493],33.431747,204.6482,1.283302,10.0
0.07401153,0.24931626,20412.77,0.97076285,81.8,20218,60.66344380378723,-130.19028,5.1879884e-05,9.999999,0.50692683,9.749024,1.4802305,0.012465813,18.930843,-136.0337,20,0.7555058,0.025346342,807.7349080697434,10.026951,0.04853814,20,400,149.29324,-524.9674,[-0.72   0.801 -2.226 -1.932 -0.645],1.056477,270.61475,18.762445,10.0
0.067527704,0.18982697,23149.848,1.0162239,90.9,22036,64.77062106132507,-145.73033,-2.5939942e-05,9.999999,0.73260653,9.774549,1.350554,0.009491349,19.387394,-150.08253,20,0.74492145,0.03663033,898.7533183413282,6.9291525,0.050811194,21,420,153.09393,-575.61096,[-0.727  0.806 -2.237 -1.944 -0.663],1.0315982,136.6897,19.325668,10.0
1.3859354,5.9706955,1665039.1,2.1291873,86.5,23766,68.69501280784607,-45.314938,-2.2888184e-05,10.0,0.025238283,9.763241,27.718708,0.29853478,3.6322305,-139.59792,20,0.71094084,0.0012619141,854.7601844426566,292.6278,0.106459364,22,440,193.78168,-536.94006,[-0.73   0.817 -2.244 -1.953 -0.674],5.5062585,205.65173,2.2564168,10.0
2.113536,10.064993,3039188.2,4.2978683,97.55,25717,73.49578976631165,133.2459,6.408691e-05,9.999999,0.0143199945,9.790257,42.270718,0.50324965,1.212615,-43.20315,20,0.63899654,0.00071599975,965.2696547507343,331.18515,0.21489342,23,460,96.672356,-183.71573,[-0.649  0.803 -2.279 -1.99  -0.708],16.49328,172.48804,3.0843759,10.0
0.13267453,0.5355068,15820.26,1.1735314,105.25,27822,78.52064514160156,-63.795914,-6.1035157e-06,9.999998,0.42521524,9.805506,2.6534905,0.026775338,16.900227,-77.37724,20,0.64233005,0.021260763,1042.2645334553472,20.906876,0.058676563,24,480,112.29554,-170.33685,[-0.597  0.78  -2.296 -2.151 -0.78 ],1.1834161,305.87457,16.553164,10.0
0.35748765,1.7270732,88389.57,1.0125855,87.95,29581,82.78128552436829,-13.820305,3.3569337e-05,9.999999,0.028477406,9.767034,7.1497526,0.08635367,7.834221,-44.075905,20,0.5681721,0.0014238703,869.2553470471119,61.184673,0.050629277,25,500,72.218155,-117.4361,[-0.607  0.82  -2.334 -2.187 -0.777],2.5529022,184.39716,5.116273,10.0
4.1782804,18.175142,8801718.0,4.370314,95.3,31487,87.30367398262024,358.19598,-3.0517578e-05,9.999999,3.315665e-05,9.7858,83.565605,0.9087572,0.42060933,-37.764355,20,0.45941684,1.6578326e-06,942.7934301875761,653.19073,0.21851572,26,520,67.3853,-131.77881,[-0.597  0.824 -2.349 -2.203 -0.851],47.550064,158.64252,1.0931716,10.0
