Iteration,J_sample_variance,Bound,StdD2w0t,MinD2w0t,ReturnMeanIW,MaxD2w0t,MinIW,EmpiricalD2,Weights,InitialReturnMax,ReturnStepMax,InitialReturnMin,InitialReturnMean,MeanIW,EpisodesSoFar,EpRewMean,StdIW,EpLenMean,InitialBound,MeanD2w0t,TimeElapsed,ReturnStepMaxmin,InitialReturnStd,MeanEntropy,TimestepsSoFar,MaxIW,EpThisIter
1,176789.81,-853.351,0.17501274,,-747.6874,2.94397,0.1163644,1.2991126,[ 0.742 -0.58   0.661 -0.576  0.   ],248.62936,8.974223,-82.26908,3.1280517e-06,0.92056406,100,87.94735542610506,0.5113015,9.8,-891.2822,0.024215588,2.6327686309814453,7.948454,63.167984,1.316308,980,2.596052,100
2,310418.16,-823.10364,0.2552408,,-679.6149,9.061918,0.0334095,1.8675444,[ 0.68  -0.458  0.618 -0.477 -0.103],233.96342,8.90008,-66.49861,8.392334e-07,0.8416294,200,81.34672624114694,0.7027746,9.14,-887.0312,0.030657876,8.629549026489258,7.8001604,59.12376,1.1171802,1894,4.907499,100
3,57531.637,-853.3014,0.14502598,,-771.46826,1.7237812,0.48496398,1.1458161,[ 0.6   -0.385  0.495 -0.541 -0.302],196.76224,8.914062,-68.19257,-2.9754638e-06,0.96061766,300,82.54421398648662,0.30492547,9.26,-883.1044,0.019869529,13.865578413009644,7.8281403,50.15898,1.1513933,2820,2.4490628,100
4,240172.89,-842.1637,0.17446019,,-747.05634,2.448073,0.16286737,1.461654,[ 0.665 -0.274  0.44  -0.746 -0.268],200.35052,8.963919,-81.84259,8.850097e-06,0.93767697,400,87.03963581391592,0.6429599,9.71,-885.6117,0.02406037,19.37082815170288,7.927846,58.243534,1.1020144,3791,4.743302,100
5,159285.5,-695.18665,0.39540324,,-536.99115,23.8037,0.09238373,3.037275,[ 0.598 -0.165  0.397 -1.087 -0.317],270.63873,9.201395,-105.681526,-1.7166137e-06,0.690923,500,116.12160665244494,0.5313537,12.62,-896.71136,0.046262104,25.47970700263977,8.402796,85.33699,1.0356523,5053,6.561814,100
6,138830.42,-730.87384,0.4490182,,-572.86273,31.251276,0.07748506,3.0563126,[ 0.149  0.22   0.066 -1.523 -0.383],335.33453,9.552711,-184.28618,9.307862e-06,0.7957166,600,216.3688586727637,0.62884045,22.65,-867.18243,0.0716326,34.24333119392395,9.105422,128.95625,1.0619829,7318,8.827978,100
7,98185.52,-784.6069,0.3761095,,-630.2108,8.4478245,0.13243638,1.5287441,[-0.045  0.321 -0.109 -1.754 -0.357],457.44815,9.696587,-260.30478,1.0375977e-05,0.9140603,700,325.8053274718124,0.43987498,33.6,-816.4365,0.09221797,44.16085910797119,9.393173,160.21748,0.9892887,10678,4.50808,100
8,207648.97,-686.23425,0.8584737,,-493.97186,22.819603,0.016790505,4.052954,[-0.086  0.354 -0.179 -1.741 -0.43 ],410.21915,9.739351,-283.2031,-1.0986329e-05,0.8143471,800,381.1981198094571,0.7894444,39.14,-787.7991,0.18173434,53.48636078834534,9.4787035,182.2153,0.92285085,14592,7.9061694,100
9,122202.18,-653.473,0.9942619,,-457.71252,28.877882,0.026634844,2.9033227,[-0.126  0.488 -0.34  -1.932 -0.496],554.624,9.784626,-321.03455,-1.8615723e-05,0.7620524,900,464.57401450271135,0.666072,47.48,-759.3832,0.21654035,64.49746203422546,9.569252,214.74936,0.84536576,19340,10.93545,100
10,157160.78,-618.2769,0.7753264,,-448.8853,11.680027,0.008083609,3.194947,[-0.118  0.453 -0.419 -2.011 -0.574],386.56076,9.833396,-418.97183,3.2043456e-05,0.8418152,1000,606.9170617287922,0.7537012,61.72,-675.43787,0.24395886,77.22428011894226,9.666793,208.71547,0.78010756,25512,7.406583,100
11,98543.66,-576.3755,0.705293,,-413.24393,8.196612,0.061847467,2.4618952,[-0.149  0.523 -0.487 -1.998 -0.639],443.88794,9.827435,-393.71033,-5.859375e-05,0.8072811,1100,585.2235451299318,0.85668147,59.55,-700.7013,0.22594328,89.57276630401611,9.654869,234.997,0.7641209,31467,9.103142,100
12,121252.13,-507.759,1.4397826,,-323.8035,44.91767,0.010069015,4.2896724,[-0.155  0.56  -0.608 -2.19  -0.655],439.22647,9.872577,-499.37393,2.4414063e-05,0.7202169,1200,803.2322085397146,0.68899214,81.36,-601.3388,0.41902322,105.6264967918396,9.745153,226.89311,0.6887443,39603,8.85612,100
13,86669.63,-399.00314,0.94381535,,-235.61258,9.766727,0.005665677,3.1730914,[-0.193  0.577 -0.677 -2.243 -0.73 ],287.55316,9.896414,-569.6702,-1.7089844e-05,0.66060185,1300,991.9167546662356,0.79023665,100.23,-503.54987,0.41115642,123.81375885009766,9.792828,165.71916,0.6130501,49626,6.544203,100
14,96045.97,-426.72235,1.9497056,,-258.21652,83.312836,0.0076812333,6.0771375,[-0.205  0.602 -0.681 -2.29  -0.806],372.45276,9.902129,-585.44403,1.15966795e-05,0.7282667,1400,1052.8926566908556,0.83359003,106.33,-508.7218,0.54219556,149.5593101978302,9.804258,221.2534,0.55102646,60259,9.447737,100
15,155206.89,-434.53064,2.0263197,,-261.11096,56.1873,0.00069380854,11.022964,[-0.247  0.608 -0.716 -2.285 -0.868],354.9566,9.907205,-603.46674,-1.7700195e-05,0.70950234,1500,1107.0299975491914,1.1086878,111.74,-501.21283,0.64251584,169.03192138671875,9.814409,227.72801,0.5248264,71433,11.068194,100
16,179198.14,-403.64514,0.95734155,,-251.4856,10.922116,0.008832609,6.627171,[-0.29   0.587 -0.758 -2.333 -0.894],310.17865,9.902644,-588.18365,2.0751953e-05,0.8011169,1600,1047.99523458213,1.0820594,105.83,-486.14496,0.38705608,187.87058973312378,9.805288,143.7148,0.5215419,82016,9.598629,100
17,89920.1,-360.40753,1.3415017,,-200.354,28.468414,0.004663431,9.300197,[-0.258  0.625 -0.798 -2.324 -0.897],304.2265,9.907556,-620.9841,5.4931643e-06,0.68345547,1700,1109.5456086475062,0.8203412,111.99,-463.80807,0.48206723,207.40802240371704,9.815111,146.52681,0.50512296,93215,20.47938,100
18,76955.25,-404.09567,0.74667186,,-263.056,6.2558727,0.034609027,2.479441,[-0.212  0.638 -0.825 -2.3   -0.914],297.86646,9.912996,-638.25854,-1.5563965e-05,0.91078407,1800,1191.0452648018245,1.09533,120.15,-457.02588,0.38528696,228.27941870689392,9.825993,193.53871,0.45490098,105230,12.204495,100
19,38479.332,-313.39505,5.4011765,,-142.87254,186.30615,0.0025773947,13.933545,[-0.196  0.647 -0.888 -2.328 -0.964],282.38025,9.928821,-698.0676,-2.5634765e-05,0.582415,1900,1469.9598126457824,0.5509238,148.05,-399.1148,1.2891365,253.61244177818298,9.857641,190.86833,0.4118606,120035,9.705597,100
20,55883.62,-328.83942,1.3062092,,-188.31697,31.852894,0.020305723,3.358995,[-0.158  0.608 -0.911 -2.365 -1.007],269.59595,9.935787,-713.72095,-3.540039e-05,0.81528664,2000,1583.6618468598897,0.6964024,159.39,-384.2381,0.6053319,278.48043179512024,9.871574,192.71516,0.42398354,135974,7.2067547,100
21,46539.07,-343.33093,0.98038065,,-204.01562,11.479416,0.055080086,2.4272301,[-0.165  0.662 -0.944 -2.385 -0.995],271.94318,9.932511,-709.6047,-6.713867e-06,0.9006803,2100,1552.647936737695,0.9591673,156.32,-387.98944,0.55891836,304.7038326263428,9.865023,210.40999,0.37548995,151606,17.974762,100
22,42881.17,-311.5567,2.1036754,,-162.99774,29.351635,0.0045200856,4.483956,[-0.17   0.682 -1.009 -2.426 -1.043],243.552,9.940285,-739.6635,-3.8452148e-05,0.7495286,2200,1736.9614230895995,0.7992608,174.74,-358.79626,0.94984424,333.5620472431183,9.880569,223.78513,0.31591958,169080,8.967589,100
