MeanD2w0t,ReturnStepMaxmin,InitialReturnMax,MeanIW,InitialReturnMean,TimeElapsed,MeanEntropy,StdD2w0t,StdIW,MaxD2w0t,Iteration,InitialReturnStd,Weights,EpRewMean,EpThisIter,EpisodesSoFar,EmpiricalD2,EpLenMean,J_sample_variance,MaxIW,MinIW,InitialBound,Bound,TimestepsSoFar,ReturnMeanIW,MinD2w0t,InitialReturnMin,ReturnStepMax
0.022225568,7.9867163,121.638725,0.9524459,-1.5258789e-06,0.4722938537597656,1.4952313,0.15603721,0.29833943,1.3931875,1,55.486576,[-0.365 -0.68  -0.484 -0.253  0.   ],89.9334678986239,20,20,1.1540906,10.0,78892.04,1.7628525,0.5549838,-977.5246,-960.31604,200,-777.04346,,-74.70904,9.999976
0.031607244,7.673917,75.77968,0.79069847,3.8146973e-06,1.9631478786468506,1.5736005,0.2657755,0.35822892,5.186435,2,48.959995,[-0.413 -0.678 -0.561 -0.26   0.076],76.43922677424203,20,40,2.3626113,8.65,108569.82,2.0580692,0.23514946,-952.0596,-860.7513,373,-646.4656,,-62.65571,9.999892
0.035595413,7.1714983,115.23665,0.49796504,,3.264657974243164,1.3832653,0.38495597,0.47071144,15.545828,3,40.391933,[-0.398 -0.456 -0.531  0.028  0.155],60.95877490836432,20,60,4.4227777,7.1,138227.23,3.5927389,0.011460323,-951.40186,-708.9413,515,-384.5992,,-58.526722,9.999988
0.06454876,8.715056,245.40765,0.62196136,6.866455e-06,5.594025611877441,1.3050244,0.561272,0.41111296,28.464077,4,100.98084,[-0.589  0.146 -1.046 -0.986 -0.036],146.9130421091548,20,80,4.198142,15.7,59828.83,8.489705,0.08198838,-1013.26074,-828.6916,829,-464.12497,,-120.93443,9.99998
0.122678235,9.340641,190.98671,0.66382337,-6.1035157e-06,7.978964567184448,1.2051665,0.66069156,0.52704906,16.052595,5,144.71413,[-0.523  0.448 -1.287 -1.426 -0.114],297.36232341047355,20,100,4.070576,30.75,128079.58,7.809366,0.04614202,-941.98157,-801.74817,1444,-454.9004,,-244.94868,9.999998
0.13328777,9.478731,357.3415,0.7186628,-1.5258789e-05,10.540978193283081,1.1809062,0.54225576,0.36397105,9.823664,6,209.9265,[-0.357  0.445 -1.314 -1.504 -0.214],380.3222436311557,20,120,2.6532516,39.05,83329.25,4.061498,0.1407242,-938.5563,-811.91364,2225,-473.0477,,-273.76315,10.0
0.17544512,9.575414,337.51886,0.6992449,,13.654426336288452,1.0992455,0.6217888,0.50098807,8.738676,7,193.65152,[-0.265  0.428 -1.426 -1.669 -0.238],470.78810412594464,20,140,2.5971835,48.1,75212.86,2.891821,0.011253208,-883.8331,-773.8806,3187,-407.4866,,-337.4379,9.999974
0.17326519,9.625646,232.13168,0.62677187,9.155274e-06,16.909878253936768,1.1259773,0.59444547,0.32922286,8.679826,8,202.44269,[-0.318  0.407 -1.444 -1.706 -0.32 ],534.7988184521494,20,160,3.566073,54.5,86047.91,2.386464,0.059426926,-840.6299,-692.02246,4277,-371.8021,,-386.61948,9.999999
0.21744815,9.703162,280.33127,0.73002845,1.373291e-05,21.017192602157593,1.1097418,0.61741257,0.4820061,6.418359,9,174.00255,[-0.276  0.484 -1.519 -1.853 -0.293],683.206927715825,20,180,3.078577,69.35,97445.4,2.2571874,0.091604844,-775.3981,-685.75604,5664,-361.05722,,-408.62067,9.999991
0.1774941,9.68735,190.12628,0.7788483,3.2043456e-05,24.6867573261261,1.1457542,0.49232596,0.4863602,4.1534457,10,154.69368,[-0.343  0.461 -1.542 -1.939 -0.309],645.7449571988398,20,200,2.5340488,65.6,122643.09,2.6326132,0.08022465,-775.311,-716.7634,6976,-421.85703,,-448.08755,9.999997
