MeanEntropy,MeanIW,ReturnMeanIW,MaxIW,EpLenMean,InitialReturnMax,EpThisIter,InitialReturnMean,EpRewMean,EpisodesSoFar,Weights,EmpiricalD2,ESSClassic,StdIW,InitialReturnStd,InitialReturnMin,ESSRenyi,MeanIWNorm,InitialBound,TimestepsSoFar,Iteration,ReturnStepMaxmin,Bound,ReturnStepMax,J_sample_variance,StdIWNorm,MinIW,MinIWNorm,TimeElapsed,MaxIWNorm
1.25717,191.49069,53411.06,3815.5042,15.85,280.11597,20,-1.5258789e-06,148.41425640566592,20,[-0.822 -0.493 -0.474 -0.749  0.   ],2544.6685,1.0075134,831.40594,95.30761,-122.7415,0.00785957,9.574534,-76.71292,317,1,8.727355,49541.297,9.999997,57118093000.0,41.570297,0.0031905,0.000159525,1.3572413921356201,190.7752
1.3923408,242.32796,18962.09,4826.4473,21.2,232.89522,20,4.577637e-06,201.89168972918242,40,[ 0.429 -0.203 -0.686 -1.435 -0.162],17958.104,1.0083476,1051.6707,123.34365,-174.0443,0.0011137034,12.116398,-63.780975,741,2,9.046411,10414.9375,9.999976,7197108700.0,52.583534,0.0031828901,0.0001591445,5.776527166366577,241.32237
1.3858918,0.9984536,43.7688,2.0277429,26.45,248.26082,20,-3.8146973e-06,254.34704661620245,60,[ 0.275  0.205 -0.897 -2.304 -0.027],1.1968151,16.850498,0.43166077,152.12653,-199.92284,16.71102,0.049922682,-67.98903,1270,3,9.2323065,-30.61055,9.999986,42177.535,0.02158304,0.47728866,0.023864433,9.903838396072388,0.10138714
1.3479097,1.2745354,125.5112,6.8040757,36.1,327.573,20,6.1035157e-06,350.79086433766537,80,[ 0.167  0.289 -1.024 -2.442 -0.033],1.8204466,8.260522,1.5194014,171.94237,-265.48615,10.986315,0.06372677,-89.70956,1992,4,9.43443,4.4715347,9.999967,274413.16,0.07597008,0.09226345,0.0046131727,13.014215230941772,0.3402038
1.3030711,1.1366851,52.105274,6.2871222,30.3,278.58786,20,9.9182125e-06,292.8273289762095,100,[ 0.162  0.335 -1.115 -2.723 -0.071],1.6064256,8.588169,1.3102902,168.66447,-236.15622,12.450001,0.056834262,-76.294426,2598,5,9.328537,-44.593983,10.0,76592.98,0.06551452,0.20199704,0.010099852,16.214275121688843,0.31435612
1.0941507,47.19572,14959.18,937.5547,58.15,320.6022,20,-7.6293945e-06,571.2483722164812,120,[ 0.05   0.363 -1.188 -2.824 -0.116],1168.8971,1.0136051,204.2629,214.2564,-400.19894,0.017110147,2.3597863,-109.59901,3761,6,9.647411,11212.084,9.999998,4519716000.0,10.213144,9.736559e-05,4.8682796e-06,19.615410327911377,46.877735
1.0806999,1.1035488,10.596753,1.7042149,52.45,290.2834,20,-2.4414063e-05,514.243795520995,140,[ 0.108  0.401 -1.212 -2.618 -0.325],1.0724666,19.13113,0.23517871,144.31477,-365.26917,18.6486,0.055177443,-100.033104,4810,7,9.608925,-92.99747,9.99999,28340.256,0.011758936,0.6735163,0.033675816,24.522692918777466,0.08521075
1.034787,1.4155302,77.59474,4.7079363,50.2,304.9876,20,2.1362304e-05,491.74791845702237,160,[ 0.116  0.394 -1.25  -2.556 -0.338],1.6252325,14.17494,0.9074207,168.54572,-327.8071,12.305932,0.07077651,-89.77365,5814,8,9.5915575,-36.852875,9.999993,84321.54,0.045371037,0.40911537,0.020455768,27.60546326637268,0.23539682
0.9708254,0.90609294,101.64487,6.8003798,43.3,401.11737,20,-1.9073486e-05,422.755682591015,180,[ 0.174  0.367 -1.287 -2.67  -0.384],2.0213573,5.9959016,1.3847555,206.78111,-311.12286,9.894341,0.045304645,-109.85054,6680,9,9.526823,-54.5345,9.999998,403528.06,0.069237776,0.14435646,0.007217823,30.78573703765869,0.340019
0.9472551,1.2667997,86.796814,3.2624574,79.65,332.10278,20,-4.7302245e-05,786.166948923858,200,[ 0.117  0.339 -1.316 -2.649 -0.448],1.5085651,14.96715,0.73459095,191.17505,-487.23795,13.257631,0.06333999,-133.43565,8273,10,9.7405405,-77.09369,9.999997,122056.52,0.036729548,0.50017834,0.025008917,35.02570176124573,0.16312288
