InitialReturnMin,ReturnStepMaxmin,InitialBound,MinIWNorm,Iteration,ESSClassic,TimestepsSoFar,InitialReturnMax,TimeElapsed,MeanIW,J_sample_variance,Weights,ESSRenyi,EpRewMean,MaxIW,EpThisIter,MinIW,MeanIWNorm,InitialReturnStd,Bound,MeanEntropy,ReturnMeanIW,ReturnStepMax,EpLenMean,EpisodesSoFar,InitialReturnMean,StdIW,MaxIWNorm,StdIWNorm,EmpiricalD2
-55.75707,7.0486956,-14.457842,0.00032515783,1,17.753733,680,118.047806,2.2173922061920166,1.206421,42934.633,[ 0.579 -0.554  0.227  0.402  0.   ],33.8245,57.96556452200466,19.133383,100,0.032515783,0.012064209,39.1029,5.815588,1.490558,30.674828,9.999997,6.8,100,2.5939942e-06,2.5966425,0.19133383,0.025966424,2.9564369
-64.90935,7.4276533,-19.247738,0.002690948,2,83.71907,1461,157.15715,8.300769090652466,1.0308626,4624.988,[ 0.291 -0.644 -0.062  0.054  0.072],77.553055,68.05485314119987,2.521051,100,0.26909482,0.010308624,46.388405,-11.75819,1.4823358,10.098295,9.999965,7.81,200,3.2043456e-06,0.45459872,0.02521051,0.004545987,1.2894398
-87.2695,8.056686,-29.842628,9.125219e-05,3,12.050956,2496,243.6641,13.389692068099976,1.3199086,186086.92,[ 0.114 -0.751 -0.265 -0.14   0.063],25.802204,93.44328838189995,34.59204,100,0.009125219,0.013199085,63.79248,7.981598,1.3838772,66.73172,9.999989,10.35,300,6.790161e-06,3.5657318,0.3459204,0.035657316,3.8756378
-134.99916,8.748632,-37.546886,3.885955e-05,4,1.3474153,4108,306.56903,19.675670385360718,4.984979,148343280.0,[ 0.052 -0.383 -0.668 -0.887 -0.035],4.839199,151.11395016537494,429.27716,100,0.0038859553,0.049849786,95.95405,1044.8036,1.1704037,1215.4854,9.999998,16.12,400,,42.654697,4.2927713,0.4265469,20.664577
-217.83527,9.256859,-48.63264,0.00085828814,5,2.500506,6839,397.08392,30.257797718048096,3.337067,6054812.0,[ 0.069 -0.171 -0.87  -1.348 -0.249],10.887811,262.9523036686488,209.86403,100,0.08582882,0.033370666,141.11131,193.91191,1.2017931,341.2984,9.999992,27.31,500,1.4038086e-05,20.83781,2.0986402,0.20837812,9.184583
-245.24329,9.357738,-58.232323,0.0005743285,6,44.859222,10006,475.46497,41.03748536109924,1.0481746,126755.45,[ 0.095 -0.01  -0.974 -1.64  -0.217],47.393425,306.5297008044887,8.034628,100,0.05743285,0.010481748,162.88377,-3.027771,1.1177094,81.55952,9.999999,31.67,600,3.8146973e-06,1.162102,0.08034628,0.01162102,2.1099973
-285.29468,9.499078,-73.907745,0.0026980478,7,79.61579,14081,603.4542,52.20427489280701,1.0023559,67555.0,[ 0.056  0.067 -1.163 -1.787 -0.301],78.113945,397.2936141743591,3.337455,100,0.26980478,0.01002356,185.49013,-40.833,1.0727166,42.789986,9.999999,40.75,700,9.155274e-06,0.5071882,0.033374548,0.005071881,1.2801812
-341.66028,9.573019,-60.333897,0.0016032815,8,63.128994,18875,492.62445,64.27739810943604,1.0341077,85891.7,[ 0.031  0.093 -1.26  -1.841 -0.346],63.21291,469.1652433405525,4.714814,100,0.16032815,0.010341075,198.66948,-20.292614,1.0281667,55.59287,9.999998,47.94,800,3.540039e-05,0.7903035,0.047148142,0.007903035,1.5819553
-393.9264,9.643869,-54.7216,9.527271e-05,9,2.1666164,24632,446.79993,77.72140407562256,3.319436,22006800.0,[-0.004  0.159 -1.329 -1.861 -0.391],2.2587113,565.4485938381184,221.60828,100,0.009527272,0.03319436,208.78635,161.99432,0.9075413,526.10077,10.0,57.57,900,-2.7465821e-06,22.305752,2.2160828,0.22305754,44.273033
-466.50052,9.729635,-58.184437,9.991915e-06,10,4.2607813,32233,475.0737,95.90084743499756,2.1344416,10744200.0,[-0.101  0.225 -1.372 -1.779 -0.511],4.6308413,749.8243201878357,95.799805,100,0.0009991915,0.021344414,238.55475,173.76022,0.8103894,444.14154,10.0,76.01,1000,-1.953125e-05,10.117765,0.95799804,0.101177655,21.594349
