J_sample_variance,Iteration,MaxIW,TimeElapsed,InitialReturnMax,EpRewMean,StdIW,EntropyCoefficient,MinIW,MinIWNorm,ReturnMeanIW,InitialReturnStd,InitialReturnMean,EpThisIter,MeanIWNorm,TimestepsSoFar,MeanEntropy,InitialReturnMin,MeanIW,ESSRenyi,EmpiricalD2,ReturnStepMaxmin,StdIWNorm,Weights,EpLenMean,ESSClassic,MaxIWNorm,InitialBound,ReturnStepMax,Bound,EpisodesSoFar
136573.72,1,14.721768,0.40508580207824707,111.95849,55.4653527715394,3.1064804,10.0,0.23952107,0.011976054,80.37737,37.463646,-5.722046e-06,20,0.07351591,131,1.5399104,-33.569572,1.4703182,4.626408,4.323008,6.936001,0.15532401,[ 0.579 -0.554  0.227  0.402  0.   ],6.55,3.660389,0.73608845,-16.471655,9.999985,32.026405,20
28097578.0,2,681.6079,1.9312422275543213,61.851665,53.45714467604766,148.52475,10.0,6.960009e-17,3.4800047e-18,1179.6193,34.44153,-4.9591063e-06,20,1.7103574,258,0.5460587,-51.677204,34.20715,0.022870794,874.4777,6.8369074,7.426237,[ 0.385 -0.649  0.034  0.058  0.121],6.35,1.007441,34.080395,-1.5396776,9.9999895,684.17365,40
795464.75,3,62.083244,3.649597406387329,98.51977,69.95435247511736,13.427746,10.0,0.0264018,0.00132009,210.40956,42.35722,1.5258789e-06,20,0.18119697,418,0.40810403,-66.91471,3.6239395,1.9175744,10.429843,7.488634,0.6713873,[ 0.165 -0.579 -0.272  0.209 -0.873],8.0,1.3578495,3.1041622,-21.520163,9.999954,127.355545,60
9115507.0,4,83.22187,5.561004638671875,162.51796,155.4242717307383,18.076878,10.0,3.6232796e-05,1.8116398e-06,705.8888,77.08665,6.866455e-06,20,0.23760085,749,0.17692563,-92.03497,4.752017,0.2912734,68.66402,8.7823925,0.9038439,[-0.438 -0.236 -1.059 -0.191 -1.011],16.55,1.2927625,4.1610937,-40.42633,9.999998,338.8532,80
46540664.0,5,215.31853,8.134016752243042,196.70435,259.8745419937188,46.908703,10.0,9.937235e-05,4.9686178e-06,1520.799,107.0606,-9.155274e-06,20,0.54252934,1289,-0.026289033,-135.68376,10.850588,0.16022743,124.82257,9.249965,2.345435,[-0.582 -0.192 -1.282 -0.548 -1.242],27.0,1.015764,10.765926,-52.100456,9.999999,918.68207,100
13524.626,6,2.4744542,10.859571695327759,238.10876,311.84788853661996,0.503473,10.0,0.3842189,0.019210946,23.442171,97.102425,-1.0681152e-05,20,0.050628107,1933,0.0015746355,-122.22388,1.0125622,15.953397,1.2536515,9.369433,0.02517365,[-0.495 -0.04  -1.393 -0.762 -1.445],32.2,16.035477,0.12372271,-65.47168,9.999999,-49.554115,120
33526.992,7,4.2750254,13.046685934066772,241.51283,295.8414668498948,1.1072986,10.0,0.24540463,0.012270232,53.711502,68.67195,-3.0517579e-06,20,0.059751194,2545,-0.027202493,-88.21391,1.1950238,9.849626,2.030534,9.336043,0.05536493,[-0.54  -0.011 -1.438 -0.822 -1.417],30.6,10.760955,0.21375127,-66.12527,9.999999,-40.809357,140
155152.52,8,7.5837092,15.431699991226196,229.07394,343.3453953599168,1.923985,10.0,0.05082044,0.0025410221,77.878105,86.931335,-1.8310548e-05,20,0.07253088,3252,-0.10376164,-128.97272,1.4506176,8.133866,2.4588552,9.425481,0.096199244,[-0.59   0.075 -1.43  -0.801 -1.446],35.35,7.248666,0.37918547,-63.00653,9.999999,-21.53181,160
11793923.0,9,82.1269,18.026711463928223,207.41693,362.36818685054726,17.801218,10.0,0.0032880295,0.00016440147,789.5942,102.31659,2.2888185e-06,20,0.23713091,3997,-0.08987468,-277.81116,4.7426176,0.6382437,31.335993,9.456012,0.89006096,[-0.698  0.112 -1.465 -0.733 -1.523],37.25,1.3255173,4.106345,-77.11933,9.999999,362.80093,180
116637940.0,10,231.63388,20.482069492340088,208.50946,328.31841293748147,50.4594,10.0,0.00030077904,1.5038952e-05,2414.1501,81.95786,6.1035157e-06,20,0.5843874,4674,-0.28063893,-227.35413,11.687748,0.16822407,118.88905,9.398433,2.5229697,[-0.595  0.12  -1.487 -0.894 -1.509],33.85,1.0183824,11.581695,-63.16223,9.999995,1732.4459,200
