Weights,InitialReturnMin,EmpiricalD2,MeanEntropy,EpRewMean,MaxD2w0t,StdIW,MaxIW,InitialReturnStd,InitialReturnMean,MinIW,ReturnMeanIW,MeanIW,J_sample_variance,InitialBound,MeanD2w0t,MinD2w0t,ReturnStepMaxmin,EpThisIter,StdD2w0t,ReturnStepMax,Iteration,Bound,EpisodesSoFar,EntropyCoefficient,TimestepsSoFar,TimeElapsed,InitialReturnMax,EpLenMean
[-0.822 -0.493 -0.474 -0.749  0.   ],-122.7415,1.2658204,1.4754636,148.41425640566592,2.1777892,0.26749003,1.9712673,95.30761,-1.5258789e-06,0.3373211,-698.2605,0.87021387,66255.59,-1005.24084,0.038029425,,8.727355,20,0.21396174,9.999997,1,-945.3567,20,10.0,317,0.8351967334747314,280.11597,15.85
[-0.9   -0.606 -0.474 -0.803  0.057],-105.373184,1.7900074,1.3738655,137.41032218446287,3.7578323,0.4896384,2.7085745,77.7767,-1.5258789e-06,0.011156721,-534.88983,0.6565021,183557.55,-984.8347,0.044327967,,8.631963,20,0.27030239,9.999946,2,-792.7002,40,10.0,612,3.867110252380371,185.22061,14.75
[-0.841 -0.339 -0.506 -0.716 -0.045],-126.08102,1.482197,1.337029,141.91869918468475,4.912601,0.40836358,2.5702696,101.37387,-4.9591063e-06,0.18486346,-665.5333,0.84380275,109728.02,-1013.97217,0.036332317,,8.6735735,20,0.21499166,9.99994,3,-918.0485,60,10.0,916,7.089876413345337,309.84286,15.2
[-0.601 -0.082 -0.66  -1.037 -0.082],-152.42657,3.398665,1.1558864,181.89846882424317,7.1471114,0.41689265,3.5703511,88.77109,3.0517579e-06,0.0016461476,-395.4015,0.5026079,123511.52,-964.74915,0.085775815,,8.94776,20,0.49659464,9.999998,4,-724.56274,80,10.0,1300,9.911437273025513,148.07176,19.2
[-0.569 -0.251 -0.585 -0.963 -0.263],-131.01247,8.389202,1.0631943,155.4073224377873,41.15351,0.3804471,6.8692493,77.733246,9.9182125e-06,0.048720665,-314.71872,0.43896708,63290.855,-974.18665,0.08113078,,8.780343,20,0.7996378,9.999999,5,-660.81177,100,10.0,1631,12.329982042312622,148.35661,16.55
[-0.738  0.234 -1.014 -1.513 -0.356],-188.9642,4.0390925,1.0184696,240.87943638244056,18.364946,0.41923636,5.9134107,151.58871,-6.866455e-06,0.019633,-400.43967,0.5513371,98460.98,-986.9718,0.08206577,,9.193585,20,0.51332074,9.999995,6,-735.37897,120,10.0,2133,15.974393129348755,344.28815,25.1
[-0.639  0.401 -1.206 -1.643 -0.4  ],-322.19275,4.054896,0.95259416,444.79762363863694,18.504612,0.37508786,3.1100936,154.83858,1.9836425e-05,0.09078896,-301.97226,0.49243408,81754.914,-872.92163,0.15647776,,9.551549,20,0.64179343,9.999997,7,-653.5356,140,10.0,3043,19.494030237197876,291.7204,45.5
[-0.576  0.468 -1.22  -1.653 -0.466],-328.7096,3.6048126,0.9857074,490.23458424895716,7.820227,0.37958613,2.3357759,126.98375,1.5258789e-06,0.022042707,-320.7315,0.53329384,85755.77,-827.1169,0.1789181,,9.589801,20,0.6070744,9.999993,8,-636.0095,160,10.0,4044,22.876227140426636,151.57486,50.05
[-0.564  0.382 -1.221 -1.722 -0.433],-304.1918,2.4067445,0.9470184,396.8001422598346,4.36692,0.34582302,2.7868886,150.71669,-8.392334e-06,0.057308607,-367.2157,0.5517261,72230.23,-880.65466,0.14332733,,9.498814,20,0.5147898,9.999966,9,-680.40796,180,10.0,4858,25.928391933441162,180.70657,40.7
[-0.576  0.391 -1.299 -1.943 -0.472],-353.97165,3.3047957,0.9976782,485.2893797120685,7.0233784,0.3413363,3.5179272,133.5872,-2.2888184e-05,0.12584482,-407.0497,0.68640226,83818.06,-834.0454,0.15555242,,9.587868,20,0.52318686,10.0,10,-717.1749,200,10.0,5849,30.204002618789673,178.4909,49.55
[-0.526  0.432 -1.295 -1.914 -0.421],-402.3204,5.8073797,0.9974263,567.2759604066257,22.644918,0.61136293,5.8632493,198.78168,3.5095214e-05,0.09114136,-407.44196,0.7576355,149277.36,-827.3234,0.18344949,,9.645923,20,0.7337879,9.999999,11,-730.8551,220,10.0,7004,33.898942708969116,345.095,57.75
[-0.418  0.442 -1.325 -1.979 -0.422],-437.66357,7.127416,1.001719,697.2628622526947,30.251339,0.504212,7.8274646,158.8065,-4.272461e-05,0.050338488,-247.52173,0.56678885,70913.44,-759.896,0.23629656,,9.710609,20,0.93079424,10.0,12,-581.753,240,10.0,8419,37.91470789909363,339.85944,70.75
[-0.3    0.434 -1.317 -1.984 -0.417],-450.605,3.9758735,0.96748006,723.2171238668235,7.4009376,0.5737529,6.596531,193.09991,3.6621095e-05,0.043830425,-295.99316,0.6300904,112215.13,-755.3606,0.2430602,,9.719625,20,0.67942834,9.999996,13,-619.8791,260,10.0,9886,41.8498420715332,304.57205,73.35
[-0.269  0.503 -1.345 -1.994 -0.451],-493.50946,3.1917107,0.93144953,772.7083861125977,9.780939,0.42505312,3.1998336,207.45485,6.1035157e-06,0.038809333,-261.58127,0.57799715,77546.664,-748.1168,0.25370783,,9.737125,20,0.69366765,9.999998,14,-585.3499,280,10.0,11452,45.46090602874756,408.22778,78.3
[-0.197  0.47  -1.398 -2.052 -0.487],-525.6941,1.9058158,0.89514446,943.6664631661512,4.5417213,0.44840124,3.1566613,233.6491,-4.272461e-05,0.2411012,-336.5172,0.837434,59749.816,-698.3796,0.29178646,,9.783367,20,0.66131014,9.999996,15,-639.8347,300,10.0,13360,49.80972862243652,343.47955,95.4
[-0.236  0.524 -1.454 -2.046 -0.524],-243.95523,2.6866517,0.9100859,1088.1746092439616,6.6661997,0.5748579,2.9555025,163.04947,-4.577637e-06,0.08899985,-263.60938,0.7698617,65992.375,-626.1526,0.3043829,,9.812009,20,0.65081495,9.999999,16,-557.0414,320,10.0,15557,54.91322422027588,296.8012,109.85
[-0.299  0.556 -1.461 -2.11  -0.509],-545.20123,3.9786859,0.9085701,876.1971771959206,11.691059,0.5089143,4.339294,184.65947,-4.8828126e-05,0.1377339,-303.32178,0.7619718,75873.02,-698.5109,0.26910186,,9.767563,20,0.7444938,9.999998,17,-614.613,340,10.0,17330,59.30711555480957,356.4901,88.65
[-0.217  0.525 -1.5   -2.068 -0.51 ],-572.8476,3.4072132,0.92815125,1020.148587494233,8.692861,0.34366482,2.7627501,231.60576,-4.119873e-05,0.10876264,-271.01242,0.6459125,73998.52,-662.4419,0.3622678,,9.799108,20,0.81593263,9.999997,18,-594.0516,360,10.0,19391,64.310870885849,317.6654,103.05
[-0.227  0.45  -1.517 -2.073 -0.491],-480.62793,3.6410542,0.9178025,820.2383978151371,7.2295856,0.38386124,2.236692,202.21434,2.1362304e-05,0.055947952,-240.4086,0.5433604,72829.87,-719.2666,0.27975628,,9.752884,20,0.7243364,10.0,19,-562.15375,380,10.0,21052,68.25372648239136,287.2918,83.05
[-0.209  0.531 -1.527 -2.085 -0.501],-575.08527,4.7550526,0.8853625,1127.59321991524,24.471455,0.43788454,4.37517,285.7261,3.0517579e-06,0.045700647,-249.4193,0.6835044,61137.71,-671.8375,0.468762,,9.81711,20,1.3545796,10.0,20,-565.28613,400,10.0,23328,73.12575054168701,370.18573,113.8
[-0.281  0.586 -1.563 -2.161 -0.534],-595.3202,4.9056134,0.86193943,1003.6265685446502,13.61272,0.44968122,3.3232346,188.85657,4.119873e-05,0.032128498,-239.32616,0.68301445,52201.7,-648.4359,0.35990533,,9.795399,20,0.94905,10.0,21,-561.1705,420,10.0,25356,77.73108887672424,256.25952,101.4
[-0.199  0.537 -1.571 -2.168 -0.557],-592.0365,3.90345,0.7972449,1075.6257356821889,8.54494,0.4693333,4.5137568,221.38394,1.6784668e-05,0.023210762,-208.93835,0.65383357,42237.94,-632.11707,0.44323763,,9.808948,20,0.97702146,9.999999,22,-544.93976,440,10.0,27528,83.17435789108276,224.0398,108.6
[-0.168  0.547 -1.616 -2.207 -0.622],-181.41705,8.412722,0.79510415,1503.0430874613041,21.967411,0.5431203,3.6748931,122.10328,,0.044528868,-98.51821,0.62471753,10380.7295,-507.7383,0.6078709,,9.861819,20,1.4281054,9.999999,23,-415.66605,460,10.0,30555,89.07256126403809,192.38605,151.35
[-0.115  0.559 -1.602 -2.192 -0.624],-641.4027,2.0779529,0.78332126,1372.9099048705266,3.592279,0.43332237,2.6994593,262.9767,2.4414063e-05,0.104632095,-220.41736,0.65620214,91951.055,-588.6,0.419708,,9.84691,20,0.72587645,10.0,24,-516.2918,480,10.0,33322,94.89281606674194,309.73474,138.35
[-0.126  0.595 -1.629 -2.149 -0.636],-434.61316,1.8321863,0.78245777,1436.9900296900155,3.5015142,0.46132943,3.1300952,211.8856,-4.577637e-06,0.12784871,-219.20605,0.7845667,39715.37,-562.8289,0.38296506,,9.854784,20,0.6349119,10.0,25,-500.22757,500,10.0,36217,99.97495818138123,256.0666,144.75
[-0.105  0.604 -1.686 -2.221 -0.636],-465.50092,3.7084396,0.78074944,1696.4028334324535,8.608612,0.46974215,3.2700543,182.79817,9.155274e-06,0.015179051,-99.35978,0.63811594,13634.975,-489.5666,0.6183916,,9.875844,20,1.0776646,9.999999,26,-402.01816,520,10.0,39631,107.22306036949158,209.07239,170.7
