IterType,eRenyi2,AvgRet,MinNormIw,ESSClassic,BatchSize,AvgEpLen,EpsThisIter,ESSRenyi,J,VarVanillaIw,Delta,AvgVanillaIw,MinVanillaIw,VarRet,Bound,VanillaAvgRet,MaxNormIw,AvgDiscRet,VarDiscRet,MaxVanillaIw,VarNormIw,VarJ,AvgNormIw
1,1.9562246,-2281.75755841767,5.7057363e-09,49.38262523032635,100,200.0,100,51.11887561737504,-341.88486,0.884235,0.1,0.9241421,5.2729115e-07,5241326.926508991,-2757.5828,-2281.75755841767,0.029617867,-2281.75755841767,5241326.926508991,2.7371118,0.000103535705,714.475,0.01
1,1.1682135,-409.57104066172724,0.000526528,82.9703660327677,100,200.0,100,85.6007922703638,-60.684704,0.19186498,0.1,0.9619982,0.0506519,1123810.9086655856,-1241.8492,-409.57104066172724,0.014954164,-409.57104066172724,1123810.9086655856,1.4385879,2.0732285e-05,154.11465,0.010000002
1,1.0318232,-66.97714215642488,0.003390111,97.03908959152176,100,200.0,100,96.9158321356446,-29.689344,0.030983701,0.1,1.0026388,0.3399057,167508.0935813751,-918.85864,-66.97714215642488,0.011499169,-66.97714215642488,167508.0935813751,1.1529514,3.0820825e-06,148.38931,0.01
1,1.014343,-36.30369832252402,0.0040346654,98.93235000047027,100,200.0,100,98.58597900604612,-20.542616,0.01132126,0.1,1.0191066,0.41117543,70075.39351309786,-822.87854,-36.30369832252402,0.01075976,-36.30369832252402,70075.39351309786,1.0965343,1.0900726e-06,107.23716,0.01
1,1.0146958,-10.152992150551109,0.006322037,98.92330896436789,100,200.0,100,98.55170740676125,-10.000753,0.011098692,0.1,1.0047481,0.63520545,83.54912670419229,-20.55201,-10.152992150551109,0.01092537,-10.152992150551109,83.54912670419229,1.0977244,1.0994046e-06,8.814907,0.01
1,1.0450237,-8.901731980477376,0.0026587832,96.47486172514243,100,200.0,100,95.69161152934181,-8.074545,0.03596888,0.1,0.98718786,0.26247185,93.23431133467908,-27.14807,-8.901731980477376,0.012037597,-8.901731980477376,93.23431133467908,1.188337,3.6908582e-06,7.992896,0.01
1,1.0647254,-8.886272745585213,0.0010411554,92.73856428684654,100,200.0,100,93.92093030962998,-8.267524,0.07776152,0.1,0.99155927,0.103236735,64.83188590599707,-16.862127,-8.886272745585213,0.012824137,-8.886272745585213,64.83188590599707,1.2715892,7.909105e-06,7.5425024,0.01
1,1.0106415,-8.491153504867391,0.006235415,98.66557634789112,100,200.0,100,98.94705925718414,-8.402472,0.013361775,0.1,0.9889783,0.61666906,66.05792240901549,-16.444946,-8.491153504867391,0.011053534,-8.491153504867391,66.05792240901549,1.0931706,1.3661254e-06,8.117449,0.010000002
1,1.1020026,-7.779767649504973,0.0008251903,90.00004889252659,100,200.0,100,90.74388583282095,-6.8049498,0.104912765,0.1,0.9668396,0.079782665,66.84509070133176,-15.690778,-7.779767649504973,0.013748266,-7.779767649504973,66.84509070133176,1.3292367,1.1223271e-05,7.647049,0.01
1,1.0395032,-8.011305752628164,0.004298686,95.54292485397157,100,200.0,100,96.19979850882771,-7.7412214,0.044664454,0.1,0.97358453,0.41851342,52.644413498478286,-15.333096,-8.011305752628164,0.012653044,-8.011305752628164,52.644413498478286,1.2318808,4.712102e-06,7.0871553,0.010000002
