EpsThisIter,VarVanillaIw,MinVanillaIw,AvgRet,MinNormIw,Delta,VarNormIw,VanillaAvgRet,Bound,AvgDiscRet,VarRet,J,ESSRenyi,AvgVanillaIw,IterType,eRenyi2,VarJ,MaxNormIw,VarDiscRet,BatchSize,MaxVanillaIw,AvgEpLen,ESSClassic,AvgNormIw
100,594.6371,0.0114436075,142.34356924423963,3.2343774e-05,0.4,0.0047501526,142.34356924423963,245.36885,142.34356924423963,9329.535016695052,386.46338,22.64869676295067,3.5381174,1,4.415265,390.13235,0.68876785,9329.535016695052,100,243.69415,15.55,2.0821832842085746,0.010000003
100,157.07431,0.004103504,142.34356924423963,7.171316e-06,0.4,0.0004797258,142.34356924423963,80.21472,196.31225234890803,9329.535016695052,223.11227,27.739349959511685,5.7221074,,7.2099743,160.86716,0.15271477,7906.250388179508,200,87.38503,15.55,17.393462852045158,0.009999999
100,819.8564,0.0032058856,157.63662648076897,4.9773657e-06,0.4,0.0019762453,157.63662648076897,238.60712,157.63662648076897,12921.035009126717,370.0801,33.0420658664827,3.2204642,1,6.0528903,638.42786,0.6279099,12921.035009126717,200,404.43228,17.19,2.5108420642341263,0.0049999994
100,,1.0,217.07470257162697,0.01,0.4,3.5044917e-18,217.07470257162697,151.38297,217.07470257162697,10102.229581469994,217.07469,200.0,1.0,2,1.0,100.006035,0.01,10102.229581469994,200,1.0,23.57,100.0,0.009999998
100,909.32556,0.0024726018,157.63662648076897,1.2413662e-06,0.4,0.00022919805,157.63662648076897,29.784805,217.90415047997598,12921.035009126717,203.96732,24.675596877898418,9.959195,,12.157761,201.50941,0.15660214,11934.83077854181,300,311.92627,17.19,19.75878110721852,0.005000001
100,1034.5363,0.0021547913,136.794675137748,2.4395592e-06,0.4,0.0013260439,136.794675137748,248.58148,136.794675137748,8042.381124826061,371.7637,37.639518162936966,2.9442358,1,7.9703465,759.3339,0.6299797,8042.381124826061,300,556.4427,14.95,2.501122624503161,0.0033333334
100,,1.0,243.72185233671578,0.01,0.4,3.5044917e-18,243.72185233671578,149.0748,243.72185233671578,18422.886382578225,243.72185,300.0,1.0,2,1.0,135.05058,0.01,18422.886382578225,300,1.0,26.42,100.0,0.009999998
100,,1.0,229.4386871537061,0.005,0.4,2.179301e-19,229.4386871537061,169.6547,229.4386871537061,9473.27439824096,236.58026,300.0,1.0,2,1.0,117.72681,0.005,9473.27439824096,300,1.0,24.89,200.00000010221265,0.0049999994
100,2158.9846,0.0017971302,136.794675137748,3.5057965e-07,0.4,8.2160645e-05,136.794675137748,-150.27649,231.99067577246143,8042.381124826061,231.85132,14.517549039384495,17.087227,,27.55286,268.02942,0.09053197,19690.237920919804,400,464.08206,14.95,35.84310885861908,0.0033333334
100,872.5061,0.001024945,134.9245741410725,1.0046956e-06,0.4,0.00083837105,134.9245741410725,233.4612,134.9245741410725,10883.111934931561,364.84494,46.48777816939654,2.550387,1,8.604412,884.6422,0.57761085,10883.111934931561,400,589.2525,14.76,2.967270188225979,0.0025
