IterType,Bound,ESSClassic,VarJ,VanillaAvgRet,Delta,MinNormIw,J,AvgRet,VarVanillaIw,MaxVanillaIw,VarRet,MaxNormIw,ESSRenyi,eRenyi2,VarNormIw,AvgDiscRet,VarDiscRet,AvgEpLen,EpsThisIter,BatchSize,MinVanillaIw,AvgVanillaIw,AvgNormIw
1,-1722.45,67.144300064,206.475,-1425.44948405,0.2,6.08851e-05,-1228.07,-1425.44948405,0.604857,2.72161,133464.220469,0.0246027,65.4409572348,1.5281,4.94272e-05,-1425.44948405,133464.220469,500.0,100,100,0.00673526,1.10622,0.01
1,-1609.48,72.5054799002,156.068,-1285.21054629,0.2,0.000353137,-1164.29,-1285.21054629,0.275346,1.81519,99321.4225746,0.0214093,79.077332082,1.26458,3.83036e-05,-1285.21054629,99321.4225746,500.0,100,100,0.0299408,0.847852,0.01
1,-1557.86,93.7990324584,91.805,-1182.3396568,0.2,0.00247502,-1154.24,-1182.3396568,0.0660148,1.43747,37030.7008459,0.0144575,94.6539834106,1.05648,6.67767e-06,-1182.3396568,37030.7008459,500.0,100,100,0.246086,0.994279,0.01
1,-1425.82,98.9204482249,61.0158,-1136.37148789,0.2,0.00590218,-1133.52,-1136.37148789,0.0108852,1.13574,4809.03117119,0.0114294,99.1461145648,1.00861,1.10237e-06,-1136.37148789,4809.03117119,500.0,100,100,0.586501,0.993701,0.01
1,-1451.5,99.5970249115,73.7319,-1134.43771636,0.2,0.00797139,-1132.72,-1134.43771636,0.00412836,1.20427,6756.47153728,0.0119816,99.5059699255,1.00496,4.08659e-07,-1134.43771636,6756.47153728,500.0,100,100,0.801203,1.0051,0.01
1,-1525.06,98.8025486808,76.9737,-1136.7446019,0.2,0.00473731,-1130.82,-1136.7446019,0.011879,1.19655,11391.7714756,0.0121469,98.8404992804,1.01173,1.2242e-06,-1136.7446019,11391.7714756,500.0,100,100,0.466655,0.985063,0.01
1,-1535.02,99.2323346252,80.3425,-1143.93452893,0.2,0.00718253,-1141.23,-1143.93452893,0.00780315,1.20158,11099.4203646,0.012024,99.3837540191,1.0062,7.81388e-07,-1143.93452893,11099.4203646,500.0,100,100,0.717759,0.999313,0.01
1,-1540.23,98.7935078133,50.7227,-1143.07121363,0.2,0.00547292,-1138.9,-1143.07121363,0.0120676,1.13463,7856.90773323,0.0114715,99.1540132716,1.00853,1.23355e-06,-1143.07121363,7856.90773323,500.0,100,100,0.541317,0.989082,0.01
1,-1532.67,98.7263195181,52.4383,-1143.65435174,0.2,0.00489589,-1138.78,-1143.65435174,0.0126617,1.11604,8030.51672619,0.0113222,98.9902615889,1.0102,1.30315e-06,-1143.65435174,8030.51672619,500.0,100,100,0.482593,0.98571,0.01
1,-1374.38,99.3059275355,49.9013,-1129.4053363,0.2,0.00813939,-1127.97,-1129.4053363,0.00691267,1.30343,1635.98152064,0.0131721,99.3661660932,1.00638,7.0597e-07,-1129.4053363,1635.98152064,500.0,100,100,0.805419,0.989532,0.01
