AvgVanillaIw,ESSClassic,BatchSize,Bound,Delta,ESSRenyi,VanillaAvgRet,VarRet,J,VarJ,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VarDiscRet,MaxVanillaIw,AvgNormIw,MinVanillaIw,VarVanillaIw,MaxNormIw,AvgEpLen,AvgDiscRet,AvgRet
2.47437,1.2663188554,100,319.788,0.8,7.78655933058,129.039102473,6442.25079311,394.518,204.612,12.8426,100,3.15219e-08,0.00787566,1,6442.25079311,219.8,0.01,7.7997e-06,482.19,0.888306,14.13,129.039102473,129.039102473
3744.41,4.85695208981,200,-1.98709e+09,0.8,5.16881712958e-14,129.039102473,6442.25079311,256.28,298.958,3.86936e+15,100,1.21503e-08,0.00197869,,11378.666538,128210.0,0.01,0.00454958,2.77425e+08,0.342404,14.13,274.197425134,129.039102473
4.00254,1.387068657,200,403.114,0.8,7.58168172867,156.334607979,11130.7624603,502.833,567.506,26.3794,100,4.18884e-12,0.00359771,1,11130.7624603,679.107,0.005,3.3532e-09,2305.46,0.848344,17.04,156.334607979,156.334607979
1.0,100.0,200,195.352,0.8,200.0,245.501226996,15785.078573,245.501,125.009,1.0,100,0.01,3.50449e-18,2,15785.078573,1.0,0.01,1.0,,0.01,26.6,245.501226996,245.501226996
1.66585e+06,1.24481715978,300,-60837.7,0.8,0.000101178698107,156.334607979,11130.7624603,223.385,56.3428,2.96505e+06,100,4.41974e-12,0.00401171,,11378.0698125,2.98223e+08,0.005,0.00147252,4.45308e+14,0.895109,17.04,246.130579074,156.334607979
2.75358,1.7537398127,300,350.301,0.8,11.567218595,136.547339833,14239.4517929,482.823,887.126,25.9354,100,3.72458e-16,0.00189591,1,14239.4517929,621.953,0.00333333,3.07678e-13,1293.77,0.752902,14.93,136.547339833,136.547339833
1.0,100.0,300,237.509,0.8,300.0,267.222962581,11481.9336715,267.223,106.617,1.0,100,0.01,3.50449e-18,2,11481.9336715,1.0,0.01,1.0,,0.01,28.91,267.222962581,267.222962581
1.0,200.000000102,300,240.599,0.8,300.0,283.03218388,16062.4358458,275.128,117.034,1.0,100,0.005,2.1793e-19,2,16062.4358458,1.0,0.005,1.0,,0.005,30.61,283.03218388,283.03218388
1.16698e+10,1.15346301215,400,-inf,0.8,nan,136.547339833,14239.4517929,274.315,91.0527,nan,100,4.59257e-16,0.00288836,,16351.1965688,3.25015e+12,0.00333333,0.00160784,3.54017e+22,0.92836,14.93,279.109141788,136.547339833
3.45071,1.61373603788,400,350.739,0.8,10.3311664909,139.286208621,8503.79772797,490.965,938.865,38.7178,100,2.08416e-16,0.00154682,1,8503.79772797,1083.3,0.0025,2.87674e-13,2946.98,0.784835,15.22,139.286208621,139.286208621
1.0,100.0,400,235.648,0.8,400.0,269.14601904,11759.1754498,269.146,107.896,1.0,100,0.01,3.50449e-18,2,11759.1754498,1.0,0.01,1.0,,0.01,29.11,269.14601904,269.14601904
1.0,200.000000102,400,236.521,0.8,400.0,279.540592646,18770.4963014,274.343,123.041,1.0,100,0.005,2.1793e-19,2,18770.4963014,1.0,0.005,1.0,,0.005,30.23,279.540592646,279.540592646
1.0,299.999969474,400,242.601,0.8,400.0,271.761639721,10145.0535199,273.483,115.94,1.0,100,0.00333333,5.43914e-20,2,10145.0535199,1.0,0.00333333,1.0,,0.00333333,29.4,271.761639721,271.761639721
9.39404e+09,1.16229794583,500,-inf,0.8,nan,139.286208621,8503.79772797,253.3,339.729,nan,100,2.45663e-16,0.00215004,,15472.941447,3.47615e+12,0.0025,0.000923108,3.03578e+22,0.925095,15.22,281.212112419,139.286208621
4.68389,1.49693802113,500,593.337,0.8,6.10483140173,164.925282365,16653.2507322,775.754,1506.18,81.9023,100,2.62263e-26,0.00133473,1,16653.2507322,1910.67,0.002,6.14205e-23,7320.59,0.815848,17.98,164.925282365,164.925282365
1.0,100.0,500,263.617,0.8,500.0,312.460476684,21761.1692195,312.46,146.777,1.0,100,0.01,3.50449e-18,2,21761.1692195,1.0,0.01,1.0,,0.01,33.78,312.460476684,312.460476684
1.0,200.000000102,500,275.272,0.8,500.0,318.954318729,27632.926459,315.707,156.399,1.0,100,0.005,2.1793e-19,2,27632.926459,1.0,0.005,1.0,,0.005,34.48,318.954318729,318.954318729
1.0,299.999969474,500,280.027,0.8,500.0,307.711260393,13939.5728127,313.042,144.642,1.0,100,0.00333333,5.43914e-20,2,13939.5728127,1.0,0.00333333,1.0,,0.00333333,33.26,307.711260393,307.711260393
1.0,400.0,500,283.474,0.8,500.0,309.139647869,23536.9278549,312.066,146.694,1.0,100,0.0025,5.4346e-20,2,23536.9278549,1.0,0.0025,1.0,,0.0025,33.42,309.139647869,309.139647869
3.88222,1.17635242265,500,751.014,0.8,9.40600347472,352.910443275,33289.7649278,937.468,820.311,53.1575,100,9.50722e-29,0.00169957,1,33289.7649278,1789.55,0.002,1.84546e-25,6403.83,0.921919,38.18,352.910443275,352.910443275
1.0,100.0,500,356.405,0.8,500.0,408.087534048,27179.1879213,408.088,164.035,1.0,100,0.01,3.50449e-18,2,27179.1879213,1.0,0.01,1.0,,0.01,44.06,408.087534048,408.087534048
1.0,200.000000102,500,364.19,0.8,500.0,413.522657769,35207.1053282,410.805,175.752,1.0,100,0.005,2.1793e-19,2,35207.1053282,1.0,0.005,1.0,,0.005,44.65,413.522657769,413.522657769
1.0,299.999969474,500,373.458,0.8,500.0,412.944665429,26668.1848002,411.518,171.447,1.0,100,0.00333333,5.43914e-20,2,26668.1848002,1.0,0.00333333,1.0,,0.00333333,44.59,412.944665429,412.944665429
1.0,400.0,500,377.732,0.8,500.0,408.219498745,19998.7469076,410.694,164.308,1.0,100,0.0025,5.4346e-20,2,19998.7469076,1.0,0.0025,1.0,,0.0025,44.05,408.219498745,408.219498745
4.42387,1.60480214206,500,559.887,0.8,47.0687433049,389.922980316,17341.8546528,655.976,977.831,10.6228,100,1.87149e-18,0.00124475,1,17341.8546528,1745.2,0.002,4.13962e-15,6090.14,0.788994,42.09,389.922980316,389.922980316
1.0,100.0,500,404.356,0.8,500.0,451.712853084,20875.9239428,451.713,143.761,1.0,100,0.01,3.50449e-18,2,20875.9239428,1.0,0.01,1.0,,0.01,48.73,451.712853084,451.712853084
1.0,200.000000102,500,401.223,0.8,500.0,417.705109363,20638.3258274,434.709,144.356,1.0,100,0.005,2.1793e-19,2,20638.3258274,1.0,0.005,1.0,,0.005,45.08,417.705109363,417.705109363
