AvgEpLen,ESSRenyi,VarVanillaIw,AvgNormIw,VarDiscRet,MinNormIw,Bound,AvgRet,MaxNormIw,MaxVanillaIw,AvgVanillaIw,VarJ,J,VarNormIw,ESSClassic,MinVanillaIw,AvgDiscRet,eRenyi2,BatchSize,VarRet
22.57,26.162955453654536,1.6151072,0.01,12369.93182061497,0.0011886621,233.01813,215.6018611185439,0.10840728,10.846982,1.0005769,430.49826,282.48218,0.00016132455,38.50428513469253,0.11893479,184.50096623515583,3.8221982,100,30539.976892376162
40.46,15.931679698752784,1.7563019,0.01,40378.30292131465,1.7476686e-05,637.608,394.4532401872054,0.10110053,8.396358,0.8304959,329.64166,520.7657,0.00025463855,28.401652475666687,0.0014514317,289.7500093952848,6.276802,100,128736.06586601766
92.5,13.030299245819686,838.1208,0.01,64218.243776109965,3.986977e-06,1618.7294,916.1498570197634,0.7686247,290.1585,3.775035,405.4388,814.58673,0.005881182,1.6885132665857405,0.0015050976,524.2017753220654,7.674421,100,406438.60630929016
111.1,16.254213911498073,3.4435394,0.01,48885.9943014944,4.9464963e-11,1680.2439,1102.7277190703526,0.106760874,10.4234,0.9763315,77.08754,836.41254,0.0003612522,21.851253667338902,4.82942e-09,606.2041837500897,6.152251,100,381607.99649031105
181.4,54.90028382070165,0.89744276,0.010000002,6624.930695598869,3.2650735e-06,1878.2513,1810.5479054641141,0.043546088,4.3291974,0.9941645,10.681549,861.87604,9.080091e-05,52.661257570983125,0.000324602,826.1419253806802,1.8214842,100,113995.74735200018
191.42,75.22820842586339,0.32889935,0.009999999,5621.155795670363,0.00044602528,1899.4321,1912.8812648228277,0.023838026,2.2372074,0.9385036,10.538631,862.7678,3.7341444e-05,73.00975309968526,0.041859634,845.12015100392,1.3292886,100,80877.57167470707
198.38,90.83160988117383,0.10698184,0.01,271.6629742113693,0.00063922675,1919.1278,1983.320592641607,0.0151634915,1.4940304,0.9852812,3.7929235,865.292,1.10202045e-05,90.16319960596292,0.062981814,863.079801112808,1.1009383,100,8020.020389041462
200.0,99.99996423722592,3.586544e-07,0.01,0.000616794216931076,0.009983858,1927.0569,1999.9427392864227,0.010014125,1.0013666,0.99995416,0.024692502,865.9995,3.5868322e-11,99.99996566615916,0.99834,865.9994829048159,1.0000004,100,0.008999107459016012
197.44,88.21861993087307,0.15339169,0.01,586.850762968049,0.00052104,1917.142,1973.8179681711085,0.01658134,1.624392,0.9796507,4.7578464,865.1067,1.5983038e-05,86.33847368081736,0.051043715,861.0871960356013,1.1335475,100,15690.254215293746
199.45,96.96848637014124,0.030120563,0.01,102.70834077285708,0.0021197095,1924.7648,1994.3587245154754,0.011716155,1.19064,1.0162377,2.154891,865.7923,2.9165699e-06,97.19362909482383,0.21541288,864.9919174007296,1.0312629,100,3139.6763145982845
