#{"env_id": "ContCartPole-v0", "t_start": 1523382855.873493}
r,l,t
359.763646,37,1.332546
149.908193,16,1.341208
679.813225,69,1.377397
229.887137,24,1.390423
139.916574,15,1.399439
209.857084,22,1.412092
719.569182,73,1.463279
119.906874,13,1.470842
219.901301,23,1.483976
169.849906,18,1.494324
309.899112,32,1.512668
119.895769,13,1.520787
269.888832,28,1.541512
209.862198,22,1.558498
169.926739,18,1.572259
149.900817,16,1.584566
279.821399,29,1.606647
349.88658,36,1.633911
209.921287,22,1.652623
149.893258,16,1.667603
319.875133,33,1.698416
179.867913,19,1.723562
139.906712,15,1.737666
129.894457,14,1.75078
809.873891,82,1.827085
539.774477,55,1.878546
129.883468,14,1.906131
229.882687,24,1.928456
149.892778,16,1.943366
699.632589,71,2.009123
99.914189,11,2.019812
339.900372,35,2.052181
149.916427,16,2.067142
199.853468,21,2.09881
509.710978,52,2.14721
99.927891,11,2.157554
309.711081,32,2.187212
179.886685,19,2.20505
399.901746,41,2.243004
189.891227,20,2.284207
139.918945,15,2.298285
129.893348,14,2.311366
349.884603,36,2.34487
109.908917,12,2.356166
89.932037,10,2.365547
159.876391,17,2.381336
229.889202,24,2.403914
299.906895,31,2.432632
149.87068,16,2.466907
149.899053,16,2.481782
219.886119,23,2.50316
279.88113,29,2.530516
189.861331,20,2.549164
149.896358,16,2.564057
89.934622,10,2.573517
159.856873,17,2.589282
169.918766,18,2.606105
219.837846,23,2.627556
229.905118,24,2.6615
189.85258,20,2.680275
139.883795,15,2.694285
229.887067,24,2.716684
199.887834,21,2.73634
199.891842,21,2.755899
149.902592,16,2.771163
159.91567,17,2.786896
349.868887,36,2.819997
129.917964,14,2.838647
439.839806,45,2.880252
229.890789,24,2.902901
369.843883,38,2.938034
229.885868,24,2.960194
339.804156,35,2.992415
319.825877,33,3.041588
189.912032,20,3.060098
109.917793,12,3.071455
389.8818,40,3.108578
189.919499,20,3.127137
229.903643,24,3.149599
129.921189,14,3.16256
189.819047,20,3.181094
379.889832,39,3.23266
139.924406,15,3.246576
519.826316,53,3.295643
249.771946,26,3.319685
159.901095,17,3.335494
179.890599,19,3.399348
219.875643,23,3.420689
309.843718,32,3.450204
149.913876,16,3.465119
329.896357,34,3.496505
429.855908,44,3.537644
189.870635,20,3.586161
259.913173,27,3.611326
149.875401,16,3.626335
309.881531,32,3.656625
309.86578,32,3.686183
299.886892,31,3.71485
269.840104,28,3.779816
199.853358,21,3.799323
309.785888,32,3.829035
99.909551,11,3.83933
329.892366,34,3.870901
229.820643,24,3.893321
179.883359,19,3.911381
159.911104,17,3.927206
209.883182,22,3.960677
389.912144,40,3.997677
169.913594,18,4.014438
249.866908,26,4.03896
199.885678,21,4.058494
99.929152,11,4.068809
389.820593,40,4.105763
339.877526,35,4.15889
289.869374,30,4.186674
179.898075,19,4.204396
119.895061,13,4.216622
459.64535,47,4.260229
139.930722,15,4.274693
209.894574,22,4.295115
89.91723,10,4.322095
259.899817,27,4.347051
149.897754,16,4.361951
349.871565,36,4.395447
399.697323,41,4.433114
429.809373,44,4.473463
249.873122,26,4.521554
149.896483,16,4.536451
329.830228,34,4.567825
389.898346,40,4.604369
309.826907,32,4.6336
249.825988,26,4.658069
249.838486,26,4.682002
279.890107,29,4.708804
269.845868,28,4.734802
159.88738,17,4.750531
219.860882,23,4.772142
249.914201,26,4.796129
159.850373,17,4.811867
339.89564,35,4.844066
209.925118,22,4.864419
269.907201,28,4.893175
409.767698,42,4.932419
369.809799,38,4.967652
349.786526,36,5.001012
159.866638,17,5.016884
119.884933,13,5.029317
119.904499,13,5.04137
309.885659,32,5.082921
379.902083,39,5.118977
139.891307,15,5.132908
289.884552,30,5.160925
319.901178,33,5.191453
329.879643,34,5.222827
159.834363,17,5.23869
179.892221,19,5.256433
359.880386,37,5.29117
189.832148,20,5.309799
169.884363,18,5.326476
109.902625,12,5.33771
299.892766,31,5.372161
509.870056,52,5.421411
129.943753,14,5.444942
229.839973,24,5.467613
209.864247,22,5.488321
319.780484,33,5.519507
359.572876,37,5.554227
199.924187,21,5.573906
189.90173,20,5.592634
189.898207,20,5.638052
239.907731,25,5.661562
309.833054,32,5.69097
349.859955,36,5.72408
149.870664,16,5.738911
239.897412,25,5.761955
169.884849,18,5.778953
129.890671,14,5.817824
189.94062,20,5.836435
149.904175,16,5.851404
109.921658,12,5.86257
249.885344,26,5.886428
339.755011,35,5.919057
259.87711,27,5.9441
349.898778,36,5.977448
189.891046,20,6.008878
159.902039,17,6.024983
159.902206,17,6.040662
199.893089,21,6.060034
179.905613,19,6.077544
169.898498,18,6.094143
259.837542,27,6.118932
99.922301,11,6.129194
159.908196,17,6.145366
259.926283,27,6.200544
499.831893,51,6.247489
449.79036,46,6.290209
189.891885,20,6.308868
219.863968,23,6.33011
269.900169,28,6.386642
129.921294,14,6.399957
199.92308,21,6.419321
149.851546,16,6.434121
269.872752,28,6.460032
199.923607,21,6.479409
139.894814,15,6.493429
259.888666,27,6.518406
229.874332,24,6.541122
229.920129,24,6.569301
319.907968,33,6.600069
109.908237,12,6.611473
119.889991,13,6.623592
139.906532,15,6.637635
269.90202,28,6.663913
89.916308,10,6.673271
519.757652,53,6.72213
189.868181,20,6.751784
199.909105,21,6.77163
199.911429,21,6.791219
129.906524,14,6.804309
419.829798,43,6.843969
219.876781,23,6.865386
479.895967,49,6.910805
269.81161,28,6.945205
519.865987,53,6.994173
179.924223,19,7.011765
149.881925,16,7.02705
339.884479,35,7.059542
329.904745,34,7.091203
119.883398,13,7.103459
159.900128,17,7.121303
179.896558,19,7.139183
139.909687,15,7.152974
209.846495,22,7.171823
159.913392,17,7.186598
229.877204,24,7.207169
269.884671,28,7.231166
229.934339,24,7.251891
219.892767,23,7.272123
279.875709,29,7.309165
349.881785,36,7.342425
249.867386,26,7.366476
199.907069,21,7.38589
319.819959,33,7.416463
399.891938,41,7.454144
109.91252,12,7.478231
129.925826,14,7.491208
309.923737,32,7.521047
219.917785,23,7.542367
349.746362,36,7.575371
669.841389,68,7.637941
139.927492,15,7.652404
339.80756,35,7.684587
199.854397,21,7.704107
559.730465,57,7.756668
79.93922,9,7.765204
379.894844,39,7.801491
169.887481,18,7.818189
179.881373,19,7.85505
339.817931,35,7.887437
139.883901,15,7.901828
179.910569,19,7.919654
419.77554,43,7.959438
199.872872,21,7.97915
169.906762,18,7.996007
99.893703,11,8.034176
109.9022,12,8.045583
259.897881,27,8.070927
169.863748,18,8.08786
299.858169,31,8.116946
189.884539,20,8.135752
229.902737,24,8.158626
229.885011,24,8.181066
199.902654,21,8.200763
299.814892,31,8.240756
389.838144,40,8.27836
159.916885,17,8.294397
259.898772,27,8.319803
189.869364,20,8.338728
129.917206,14,8.35195
139.878699,15,8.366088
199.900078,21,8.385793
129.896561,14,8.399355
229.904642,24,8.422537
659.859715,67,8.484518
149.89885,16,8.499459
319.874145,33,8.530582
119.937651,13,8.542754
149.886925,16,8.557727
159.88037,17,8.573663
449.77268,46,8.629315
169.916004,18,8.646573
149.898782,16,8.661527
149.887676,16,8.676527
139.869051,15,8.69064
209.918966,22,8.711246
369.752489,38,8.746657
249.832821,26,8.771258
129.904953,14,8.787284
169.890115,18,8.804301
209.916683,22,8.824962
129.867768,14,8.838231
209.8958,22,8.858892
269.858035,28,8.885093
139.867448,15,8.899506
179.868625,19,8.917311
299.88023,31,8.946117
149.900913,16,8.976899
159.917546,17,8.992793
129.90818,14,9.005992
199.85607,21,9.025949
229.782995,24,9.048363
189.889641,20,9.067042
239.873943,25,9.090294
159.89474,17,9.106122
179.891271,19,9.123802
199.873941,21,9.143399
499.764145,51,9.196246
129.896012,14,9.209238
229.884693,24,9.23136
179.923348,19,9.248959
129.897216,14,9.261956
209.845595,22,9.282575
149.906621,16,9.29741
219.877373,23,9.355307
159.897157,17,9.371087
159.918026,17,9.386834
209.837804,22,9.407441
239.857966,25,9.430549
519.662444,53,9.479733
379.876148,39,9.516079
129.899256,14,9.533166
149.893548,16,9.548076
169.919781,18,9.564847
339.826917,35,9.597143
199.86187,21,9.616741
169.879101,18,9.633371
179.912701,19,9.651198
189.91972,20,9.669672
159.910345,17,9.685568
379.875509,39,9.741847
229.870727,24,9.763935
609.760678,62,9.821546
209.854967,22,9.841872
139.8948,15,9.855821
139.907012,15,9.869776
189.889015,20,9.888367
249.885614,26,9.915535
219.904307,23,9.937397
219.789161,23,9.958684
159.903271,17,9.974375
409.779008,42,10.013001
209.866535,22,10.033581
149.860765,16,10.048594
349.7901,36,10.110123
139.931429,15,10.124083
249.879441,26,10.148429
229.893517,24,10.170569
239.86478,25,10.193637
459.882388,47,10.237034
209.909014,22,10.257486
319.885049,33,10.292339
209.878199,22,10.312674
319.864217,33,10.343073
229.921178,24,10.365369
279.871173,29,10.392107
289.907631,30,10.420157
99.921792,11,10.430386
299.913656,31,10.475441
349.865389,36,10.50864
359.847647,37,10.534217
149.899271,16,10.543221
159.888413,17,10.552782
179.894564,19,10.563404
169.900147,18,10.573525
239.868923,25,10.587487
199.868889,21,10.59979
349.739308,36,10.619954
289.8319,30,10.636723
209.884049,22,10.650908
359.794549,37,10.677279
299.879049,31,10.699844
109.934222,12,10.724775
159.926508,17,10.737074
129.898914,14,10.747032
139.926233,15,10.761714
199.846722,21,10.779545
149.898848,16,10.793857
179.896147,19,10.810719
199.92271,21,10.82938
169.879636,18,10.845388
89.936352,10,10.854395
469.870103,48,10.931606
249.838659,26,10.955865
219.900134,23,10.97719
209.852882,22,10.997644
399.90324,41,11.035787
289.878703,30,11.06355
189.915353,20,11.091298
159.865113,17,11.107191
249.867139,26,11.131101
189.887489,20,11.149948
229.867183,24,11.172296
329.792091,34,11.203875
189.892477,20,11.222631
299.901955,31,11.251479
319.885572,33,11.289564
329.84348,34,11.321132
139.865609,15,11.335081
179.83696,19,11.352624
379.911534,39,11.388512
169.933555,18,11.405677
179.88517,19,11.46191
179.91137,19,11.479482
229.918662,24,11.50171
309.887183,32,11.531704
319.746633,33,11.562137
139.898922,15,11.576207
209.821533,22,11.596544
339.848498,35,11.662484
189.918743,20,11.681287
219.814696,23,11.702503
279.903398,29,11.729323
359.86797,37,11.763605
159.875594,17,11.779816
279.835693,29,11.806797
239.885833,25,11.839017
159.895738,17,11.854927
279.885676,29,11.881853
129.901027,14,11.895363
319.909337,33,11.926029
179.851116,19,11.943788
159.914688,17,11.959734
279.886879,29,11.98666
129.888375,14,12.01547
289.841087,30,12.043569
269.906745,28,12.069752
619.690886,63,12.128183
159.92628,17,12.14452
249.896505,26,12.168566
169.870018,18,12.18537
129.888351,14,12.202197
249.702497,26,12.226501
149.89143,16,12.24155
189.92154,20,12.260174
199.886519,21,12.280144
149.888287,16,12.295129
209.834565,22,12.315563
209.855476,22,12.336144
259.892745,27,12.361121
129.905171,14,12.389013
219.929178,23,12.410709
149.893787,16,12.425579
229.909221,24,12.447711
219.88626,23,12.46928
99.910213,11,12.479597
149.896706,16,12.494462
379.906665,39,12.530931
189.861284,20,12.580673
139.890101,15,12.594632
249.849389,26,12.61849
159.900148,17,12.634147
219.838254,23,12.65568
129.938371,14,12.668639
789.809912,80,12.741464
159.899663,17,12.761718
209.879593,22,12.782407
399.661433,41,12.819961
279.92083,29,12.846617
349.898153,36,12.879751
259.88087,27,12.905095
169.871087,18,12.921766
369.841212,38,12.966165
249.9172,26,12.990177
499.825853,51,13.051903
429.732263,44,13.10794
219.857297,23,13.137165
219.91295,23,13.176974
159.896989,17,13.192905
239.870518,25,13.216121
259.88809,27,13.240967
159.875562,17,13.256824
209.863689,22,13.277672
209.890787,22,13.298235
189.827963,20,13.317054
149.877168,16,13.332161
159.85902,17,13.358378
259.848047,27,13.383599
379.756641,39,13.420259
249.850791,26,13.444637
339.859018,35,13.47737
139.896946,15,13.491555
239.885554,25,13.514978
159.875189,17,13.546074
89.902511,10,13.555611
159.908113,17,13.571602
169.892465,18,13.588576
209.920588,22,13.609206
159.922497,17,13.625231
159.863563,17,13.641284
179.910737,19,13.659495
149.868516,16,13.674571
189.868492,20,13.693445
229.83189,24,13.715906
119.896985,13,13.73101
329.86628,34,13.76268
229.894439,24,13.785531
169.856704,18,13.802342
139.875492,15,13.816501
129.915576,14,13.829659
139.923156,15,13.84377
269.851754,28,13.869942
239.825516,25,13.893304
329.759949,34,13.938326
209.863373,22,13.958971
139.904534,15,13.973105
249.927115,26,13.997502
149.938152,16,14.012603
219.861852,23,14.034609
289.7587,30,14.062816
239.855083,25,14.086425
119.887503,13,14.107316
239.864924,25,14.130343
249.89064,26,14.154449
219.816083,23,14.176159
169.87928,18,14.193243
349.862364,36,14.227133
159.885895,17,14.243211
159.907858,17,14.259291
1119.827494,113,14.388146
139.907325,15,14.402705
189.917332,20,14.421536
489.60312,50,14.468439
469.724535,48,14.515249
299.776676,31,14.544733
189.893841,20,14.563697
179.902473,19,14.58171
379.877596,39,14.618253
259.875412,27,14.643967
249.905942,26,14.683384
149.897305,16,14.698592
149.910227,16,14.713708
259.880443,27,14.739026
449.739555,46,14.782308
139.883468,15,14.796417
249.851691,26,14.820776
179.837572,19,14.864741
489.79087,50,14.911618
249.883274,26,14.935814
189.828666,20,14.954562
179.870125,19,14.972459
109.927019,12,14.983904
349.775177,36,15.017347
99.912103,11,15.027915
199.841988,21,15.054061
149.899749,16,15.069092
289.863529,30,15.097136
189.876085,20,15.115977
229.905778,24,15.138456
109.923827,12,15.150242
149.888664,16,15.165314
419.790668,43,15.20555
129.92155,14,15.235718
139.87469,15,15.249917
159.9142,17,15.265945
159.894031,17,15.282388
599.743965,61,15.339883
239.890731,25,15.36366
