J,VarRet,delta,EpsThisIter,renyi2,MaxVanillaIw,VarNormIw,ESSClassic,BatchSize,MinVanillaIw,VanillaAvgRet,AvgEpLen,AvgNormIw,AvgRet,VarDiscRet,SamplesThisIter,ESSRenyi,IterType,MinNormIw,Bound,VarVanillaIw,AvgDiscRet,MaxNormIw,AvgVanillaIw,VarJ
-29058.4,9847.22734727,0.5,111,nan,1.00821e+23,4.23696e-06,10.9893423514,100,,-366.923811467,450.45045045,5.00501e-05,-366.923811467,9847.22734727,50000,nan,1,,-205.275,inf,-366.923811467,0.0877072,5.75336e+19,1613.63
-72521.9,195.331639701,0.5,100,nan,2.22302,2.76799e-10,0.902075519062,100,0.0344753,-405.975380859,500.0,5.55556e-05,-405.975380859,195.331639701,50000,nan,1,1.86945e-06,-445.44,0.0941349,-405.975380859,0.000120545,1.02452,284.355
-73772.1,22.0079314797,0.5,100,10.1982,1.40823,2.9219e-11,0.761939579808,100,0.700278,-410.187029632,500.0,5.55556e-05,-410.187029632,22.0079314797,50000,0.00372367454823,1,3.96416e-05,-451.633,0.00911805,-410.187029632,7.97175e-05,0.9814,66.1783
-26676.3,11896.7145125,0.5,112,nan,1.34715e+24,4.32679e-06,10.9974302586,100,,-365.013665889,446.428571429,4.96032e-05,-365.013665889,11896.7145125,50000,nan,1,,-179.206,inf,-365.013665889,0.0890623,7.50296e+20,2045.21
nan,9437.05801516,0.5,110,nan,1.20008e+21,2.05207e-06,7.58984704011,100,,-369.597780381,454.545454545,5.05051e-05,-369.597780381,9437.05801516,50000,nan,1,,nan,inf,-369.597780381,0.0555653,1.09079e+18,nan
nan,15457.8583796,0.5,122,nan,888.511,3.27204e-08,3.94397921253,100,,-326.254446497,409.836065574,4.55373e-05,-326.254446497,15457.8583796,50000,nan,1,,nan,3789.56,-326.254446497,0.00261082,15.4972,nan
-22393.1,22721.7370198,0.5,133,nan,129.035,1.38928e-08,1.39488328877,100,,-298.867611954,375.939849624,4.17711e-05,-298.867611954,22721.7370198,50000,nan,1,,-152.125,403.356,-298.867611954,0.000757283,7.11747,2155.77
-49968.2,2546.66326054,0.5,102,nan,2235.98,6.20817e-07,1.31356980366,100,,-399.185041412,490.196078431,5.44662e-05,-399.185041412,2546.66326054,50000,nan,1,,-360.692,1684.59,-399.185041412,0.0429242,2.83721,3055.37
-19188.5,22370.7054039,0.5,143,nan,475.087,1.90787e-08,3.43742100496,100,,-273.475880063,349.65034965,3.885e-05,-273.475880063,22370.7054039,50000,nan,1,,-144.519,918.604,-273.475880063,0.00216513,8.52474,2692.04
-17630.7,24249.5988287,0.5,132,nan,664.411,2.0702e-08,2.43953244429,100,,-302.749916411,378.787878788,4.20875e-05,-302.749916411,24249.5988287,50000,nan,1,,-128.708,2722.07,-302.749916411,0.00183229,15.2615,2949.65
-26765.2,13470.1246666,0.5,114,nan,1.49966e+20,4.86741e-06,9.99999979032,100,,-345.469351579,438.596491228,4.87329e-05,-345.469351579,13470.1246666,50000,nan,1,,-177.081,inf,-345.469351579,0.0999615,7.31109e+16,1923.07
nan,22421.2520714,0.5,133,nan,1501.09,3.90086e-08,3.88473125284,100,,-296.735138611,375.939849624,4.17711e-05,-296.735138611,22421.2520714,50000,nan,1,,nan,2689.8,-296.735138611,0.00571648,10.9687,nan
nan,17307.5821156,0.5,122,nan,3135.1,5.83156e-08,3.15502250935,100,,-320.956680055,409.836065574,4.55373e-05,-320.956680055,17307.5821156,50000,nan,1,,nan,37621.1,-320.956680055,0.00390326,36.5756,nan
-20239.4,22092.8309454,0.5,134,nan,191.147,1.54387e-08,1.62379781676,100,,-290.614365997,373.134328358,4.14594e-05,-290.614365997,22092.8309454,50000,nan,1,,-141.573,665.93,-290.614365997,0.000920365,8.61055,1528.87
-18601.8,22162.849578,0.5,143,nan,604.102,1.71793e-08,3.43420891435,100,,-276.574381603,349.65034965,3.885e-05,-276.574381603,22162.849578,50000,nan,1,,-148.58,454.172,-276.574381603,0.00371538,6.31683,1298.86
-17700.0,20538.1982791,0.5,136,nan,214.348,1.62058e-08,1.50826441206,100,,-277.961840927,367.647058824,4.08497e-05,-277.961840927,20538.1982791,50000,nan,1,,-139.496,697.189,-277.961840927,0.00103343,8.47283,1513.04
-20994.9,21526.6823915,0.5,136,nan,295.977,1.53489e-08,4.61151345252,100,,-286.202499403,367.647058824,4.08497e-05,-286.202499403,21526.6823915,50000,nan,1,,-153.061,335.91,-286.202499403,0.00200072,6.04313,1289.3
-21852.3,20305.280074,0.5,147,nan,114.236,1.01928e-08,2.41039281353,100,,-261.676226203,340.136054422,3.77929e-05,-261.676226203,20305.280074,50000,nan,1,,-151.952,120.137,-261.676226203,0.00105223,4.10301,1408.17
-18918.7,24297.9909073,0.5,145,nan,121.07,9.16026e-09,3.09708424232,100,,-269.114895223,344.827586207,3.83142e-05,-269.114895223,24297.9909073,50000,nan,1,,-131.277,206.065,-269.114895223,0.000807212,5.74656,1451.78
-17435.0,21494.1445682,0.5,176,nan,228.824,6.41808e-09,5.00727645473,100,,-217.038307192,284.090909091,3.15657e-05,-217.038307192,21494.1445682,50000,nan,1,,-125.883,123.08,-217.038307192,0.00165239,4.37125,1178.65
-17796.3,24430.6307782,0.5,168,nan,123.213,5.79225e-09,3.60727719172,100,,-231.010517281,297.619047619,3.30688e-05,-231.010517281,24430.6307782,50000,nan,1,,-127.447,52.2202,-231.010517281,0.00129766,3.13988,1202.17
-15763.9,18644.8658316,0.5,216,nan,72.8653,2.30982e-09,6.03800678429,100,,-171.644313677,231.481481481,2.57202e-05,-171.644313677,18644.8658316,50000,nan,1,,-109.376,16.0554,-171.644313677,0.000873974,2.14435,1074.39
-16866.3,20026.0516508,0.5,190,nan,69.3983,3.48166e-09,3.60700632812,100,,-196.095739751,263.157894737,2.92398e-05,-196.095739751,20026.0516508,50000,nan,1,,-112.381,34.5348,-196.095739751,0.000696808,2.91212,1254.75
-15473.7,18032.8863178,0.5,235,nan,30.4566,1.41622e-09,3.39898979066,100,,-156.351732439,212.765957447,2.36407e-05,-156.351732439,18032.8863178,50000,nan,1,,-104.498,9.92558,-156.351732439,0.000363805,1.97912,1036.19
nan,17202.2594167,0.5,138,nan,246.192,2.22229e-08,1.72967376589,100,,-278.398399952,362.31884058,4.02576e-05,-278.398399952,17202.2594167,50000,nan,1,,nan,207.22,-278.398399952,0.00254952,3.88744,nan
-16514.5,19432.6861246,0.5,188,nan,792.849,1.34589e-08,8.56958922809,100,,-200.754288387,265.957446809,2.95508e-05,-200.754288387,19432.6861246,50000,nan,1,,-115.492,278.001,-200.754288387,0.00551662,4.24705,1277.84
-15823.7,19756.739857,0.5,185,nan,61.7787,3.87317e-09,5.92386015662,100,,-196.378467106,270.27027027,3.003e-05,-196.378467106,19756.739857,50000,nan,1,,-112.822,52.4982,-196.378467106,0.00053064,3.49618,1266.11
-17125.6,23882.5512039,0.5,175,nan,31.3076,3.95586e-09,2.59617006171,100,,-216.414716058,285.714285714,3.1746e-05,-216.414716058,23882.5512039,50000,nan,1,,-112.202,27.0357,-216.414716058,0.000378705,2.62445,1316.49
-16168.9,21866.1437013,0.5,195,nan,51.2738,2.93441e-09,2.45172439831,100,,-192.002655086,256.41025641,2.849e-05,-192.002655086,21866.1437013,50000,nan,1,,-109.676,16.6074,-192.002655086,0.000681561,2.1433,1255.34
-15437.6,20227.294506,0.5,237,nan,18.7939,1.19116e-09,3.29469287476,100,,-161.095141611,210.970464135,2.34412e-05,-161.095141611,20227.294506,50000,nan,1,,-101.977,4.49284,-161.095141611,0.000306014,1.43964,1059.43
-14184.1,16380.6888355,0.5,265,nan,15.6197,7.05412e-10,4.82496602482,100,,-137.534131703,188.679245283,2.09644e-05,-137.534131703,16380.6888355,50000,nan,1,,-95.3614,3.15259,-137.534131703,0.000233647,1.4015,867.041
-14108.6,12929.0884374,0.5,284,nan,18.9478,6.0877e-10,3.72468346982,100,3.43513e-37,-128.009388573,176.056338028,1.95618e-05,-128.009388573,12929.0884374,50000,nan,1,5.15117e-42,-94.7306,2.70692,-128.009388573,0.00028415,1.30443,878.053
-13441.4,12732.9883323,0.5,292,nan,10.4167,5.55487e-10,6.33617823238,100,4.74538e-36,-121.946863371,171.232876712,1.90259e-05,-121.946863371,12732.9883323,50000,nan,1,5.91082e-41,-91.2364,3.58027,-121.946863371,0.00012975,1.52744,804.835
nan,13869.8683898,0.5,293,nan,65.2812,5.03477e-10,4.1453328843,100,,-122.088362015,170.648464164,1.89609e-05,-122.088362015,13869.8683898,50000,nan,1,,nan,2.04823,-122.088362015,0.0010235,1.20937,nan
-14918.4,12662.6248388,0.5,260,nan,17.4178,8.32215e-10,4.44005646612,100,,-136.554576911,192.307692308,2.13675e-05,-136.554576911,12662.6248388,50000,nan,1,,-98.7498,3.81044,-136.554576911,0.000257409,1.44585,895.206
-13001.2,10431.6207563,0.5,331,nan,10.5001,2.71092e-10,6.00143549953,100,,-106.433552841,151.057401813,1.67842e-05,-106.433552841,10431.6207563,50000,nan,1,,-87.2836,1.09933,-106.433552841,0.000164887,1.06882,663.247
-12819.0,7120.9736179,0.5,361,nan,8.18389,1.69464e-10,4.52892775583,100,1.24522e-32,-95.4537223832,138.504155125,1.53893e-05,-95.4537223832,7120.9736179,50000,nan,1,1.66826e-37,-87.2627,0.944153,-95.4537223832,0.000109642,1.14869,603.422
-11637.7,5057.40905941,0.5,430,nan,5.39536,8.04034e-11,4.53145719234,100,7.23566e-10,-80.9920032497,116.279069767,1.29199e-05,-80.9920032497,5057.40905941,50000,nan,1,8.7108e-15,-79.6746,0.554773,-80.9920032497,6.49531e-05,1.0732,499.545
-11796.6,8902.90121722,0.5,391,nan,8.70172,1.52018e-10,4.33204171236,100,8.05588e-23,-92.6663378054,127.877237852,1.42086e-05,-92.6663378054,8902.90121722,50000,nan,1,1.03232e-27,-81.1693,0.925744,-92.6663378054,0.000111508,1.10879,584.253
