AvgEpLen,AvgDiscRet,VanillaAvgRet,renyi2,AvgRet,Bound,MinNormIw,MaxNormIw,IterType,VarJ,SamplesThisIter,AvgVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,VarVanillaIw,VarNormIw,AvgNormIw,ESSRenyi,J,BatchSize,VarRet,EpsThisIter,delta,MaxVanillaIw
56.1797752809,551.796937034,551.796937034,nan,551.796937034,1854.79,,0.0995243,1,13802.3,50000,2.84974e+16,9.99977210566,,164485.952404,inf,6.18274e-07,6.2422e-06,nan,267536.0,100,164485.952404,890,0.8,4.54357e+20
56.0538116592,550.539799939,550.539799939,nan,550.539799939,2277.55,,0.083265,1,16285.1,50000,1.11353e+10,11.9999978419,,225319.760864,1.65621e+24,5.1813e-07,6.2282e-06,nan,313628.0,100,225319.760864,892,0.8,1.48868e+14
34.8189415042,338.180207522,338.180207522,nan,338.180207522,2155.88,,0.0832788,1,14098.9,50000,1.35858e+16,11.999993934,,135471.523978,inf,3.21962e-07,3.86877e-06,nan,262586.0,100,135471.523978,1436,0.8,2.92448e+20
58.4112149533,574.110251705,574.110251705,nan,574.110251705,1675.0,,0.0905839,1,7524.62,50000,3.81052e+21,9.8967261151,,142011.615172,inf,5.38063e-07,6.49014e-06,nan,257669.0,100,142011.615172,856,0.8,5.31841e+25
59.8086124402,588.096975244,588.096975244,nan,588.096975244,1942.1,,0.0832293,1,13450.1,50000,5.14045e+21,11.9999807903,,219703.610036,inf,5.52361e-07,6.6454e-06,nan,286248.0,100,219703.610036,836,0.8,6.43808e+25
63.9386189258,629.299611474,629.299611474,nan,629.299611474,3062.77,,0.0663835,1,18006.5,50000,1.53096e+13,11.3924812802,,357140.571805,1.83747e+30,3.9567e-07,7.10429e-06,nan,405701.0,100,357140.571805,782,0.8,1.43055e+17
59.8086124402,588.098368793,588.098368793,nan,588.098368793,1693.93,,0.0833289,1,9816.2,50000,3.40606e+24,12.0000042351,,144569.796713,inf,5.53684e-07,6.6454e-06,nan,256580.0,100,144569.796713,836,0.8,4.27098e+28
84.4594594595,834.713310647,834.713310647,nan,834.713310647,2434.6,,0.0193076,1,13661.7,50000,491074.0,4.62484346584,,349209.95345,3.37772e+14,1.23351e-07,9.38438e-06,nan,356891.0,100,349209.95345,592,0.8,1.01035e+09
56.3063063063,553.120634865,553.120634865,nan,553.120634865,3002.81,,0.0825139,1,19319.3,50000,1.4635e+14,11.9994383232,,342469.11308,2.79703e+32,5.11139e-07,6.25626e-06,nan,411575.0,100,342469.11308,888,0.8,1.93022e+18
71.4285714286,704.386194755,704.386194755,nan,704.386194755,2429.53,,0.0676186,1,12839.2,50000,8.52189e+11,11.3851532871,,316601.226036,5.29106e+27,4.58912e-07,7.93651e-06,nan,346218.0,100,316601.226036,700,0.8,7.26061e+15
104.60251046,1036.73008273,1036.73008273,nan,1036.73008273,4466.33,,0.0960526,1,21285.0,50000,6.87142e+08,9.99930469026,,1217830.06531,3.74872e+21,1.07248e-06,1.16225e-05,nan,623426.0,100,1217830.06531,478,0.8,5.67879e+12
98.814229249,978.388246362,978.388246362,nan,978.388246362,4023.62,,0.0999788,1,20041.1,50000,1.07458e+22,9.99999743651,,749856.087248,inf,1.09736e-06,1.09794e-05,nan,565095.0,100,749856.087248,506,0.8,9.78519e+25
117.924528302,1169.52777074,1169.52777074,nan,1169.52777074,3383.85,,0.0916987,1,14181.8,50000,3.35598e+23,9.95953308912,,568263.211832,inf,1.10608e-06,1.31027e-05,nan,528128.0,100,568263.211832,424,0.8,2.34866e+27
128.205128205,1272.37053689,1272.37053689,nan,1272.37053689,2708.41,,0.0833326,1,12223.5,50000,4.60323e+16,12.0000006501,,562674.537319,inf,1.18688e-06,1.4245e-05,nan,432203.0,100,562674.537319,390,0.8,2.69287e+20
153.374233129,1524.13803493,1524.13803493,nan,1524.13803493,3772.95,,0.0779759,1,14784.6,50000,6.97763e+22,11.9447996406,,964961.383908,inf,1.24888e-06,1.70416e-05,nan,600821.0,100,964961.383908,326,0.8,3.1927e+26
157.232704403,1563.06587109,1563.06587109,nan,1563.06587109,4208.77,,0.0556196,1,17403.1,50000,8.15993e+23,6.65746849764,,1205131.13969,inf,8.11505e-07,1.74703e-05,nan,639106.0,100,1205131.13969,318,0.8,2.59785e+27
185.185185185,1842.73801749,1842.73801749,nan,1842.73801749,4434.48,,0.0451877,1,18919.5,50000,16157.4,11.0546302634,,1281566.75709,3.38862e+11,5.49553e-07,2.05761e-05,nan,688898.0,100,1281566.75709,270,0.8,3.54835e+07
176.056338028,1751.85809566,1751.85809566,nan,1751.85809566,4488.97,,0.0454146,1,21801.8,50000,50810.9,8.75971481853,,1711304.22129,4.54551e+12,6.73731e-07,1.95618e-05,nan,684306.0,100,1711304.22129,284,0.8,1.17962e+08
157.232704403,1563.11094542,1563.11094542,nan,1563.11094542,4361.55,,0.0387904,1,20797.0,50000,4.78737e+07,18.0739610464,,1146732.64198,3.81946e+18,5.08637e-07,1.74703e-05,nan,631924.0,100,1146732.64198,318,0.8,1.06297e+11
153.374233129,1523.78198204,1523.78198204,nan,1523.78198204,3778.85,,0.0156212,1,18158.8,50000,547.414,2.89956888322,,1275482.52625,1.68596e+08,1.63393e-07,1.70416e-05,nan,559304.0,100,1275482.52625,326,0.8,501787.0
131.578947368,1306.13114757,1306.13114757,nan,1306.13114757,2419.81,,0.0828131,1,9147.14,50000,1.99284e+07,11.9995683536,,458013.789587,2.23524e+18,1.20301e-06,1.46199e-05,nan,390285.0,100,458013.789587,380,0.8,1.12883e+11
144.50867052,1435.71127226,1435.71127226,nan,1435.71127226,4208.57,,0.0999958,1,18438.9,50000,1.55754e+23,10.0000014525,,1224457.97803,inf,1.60528e-06,1.60565e-05,nan,619399.0,100,1224457.97803,346,0.8,9.69997e+26
131.578947368,1306.32479534,1306.32479534,nan,1306.32479534,4208.63,,0.0553074,1,21023.2,50000,6.97778e+20,7.92901771254,,1182736.19173,inf,5.6381e-07,1.46199e-05,nan,611145.0,100,1182736.19173,380,0.8,2.63971e+24
183.823529412,1828.65174898,1828.65174898,nan,1828.65174898,3980.03,,0.0343498,1,17570.4,50000,677.268,10.0617512996,,1478492.01777,3.83065e+08,3.48393e-07,2.04248e-05,nan,629929.0,100,1478492.01777,272,0.8,1.13901e+06
139.664804469,1386.92819637,1386.92819637,nan,1386.92819637,4010.0,,0.0461374,1,21868.4,50000,54249.3,11.0010452833,,1243467.83201,5.28501e+12,4.32459e-07,1.55183e-05,nan,584816.0,100,1243467.83201,358,0.8,1.61288e+08
187.969924812,1871.0058715,1871.0058715,nan,1871.0058715,4513.6,,0.0153192,1,16886.2,50000,718.756,6.94733112527,,1953657.01622,1.80206e+08,1.52159e-07,2.08855e-05,nan,684706.0,100,1953657.01622,266,0.8,527194.0
158.227848101,1572.61968324,1572.61968324,nan,1572.61968324,4063.54,,0.0833307,1,18645.3,50000,4.56725e+22,11.99999988,,872093.294013,inf,1.4647e-06,1.75809e-05,nan,618901.0,100,872093.294013,316,0.8,2.16481e+26
146.198830409,1452.30566289,1452.30566289,nan,1452.30566289,3085.31,,0.083327,1,13417.7,50000,1.23963e+08,12.0000020293,,898522.787346,7.88059e+19,1.35325e-06,1.62443e-05,nan,483661.0,100,898522.787346,342,0.8,6.35883e+11
171.232876712,1703.11084437,1703.11084437,nan,1703.11084437,4291.73,,0.078676,1,18994.5,50000,2.88867e+16,11.9633056731,,1584844.99258,inf,1.41722e-06,1.90259e-05,nan,661352.0,100,1584844.99258,292,0.8,1.19452e+20
182.481751825,1815.68358464,1815.68358464,nan,1815.68358464,4277.6,,0.0768391,1,17687.4,50000,1.26683e+24,11.9149035022,,1209443.68901,inf,1.44644e-06,2.02757e-05,nan,667087.0,100,1209443.68901,274,0.8,4.8009e+27
173.611111111,1726.84151403,1726.84151403,nan,1726.84151403,4208.39,,0.0821573,1,17107.2,50000,2.88102e+22,9.77716539879,,1080900.49558,inf,1.33138e-06,1.92901e-05,nan,649412.0,100,1080900.49558,288,0.8,1.22704e+26
129.533678756,1285.94042985,1285.94042985,nan,1285.94042985,4277.39,,0.0809147,1,23964.6,50000,2.4856e+19,11.9905066097,,1148871.76858,inf,1.13148e-06,1.43926e-05,nan,602118.0,100,1148871.76858,386,0.8,1.3974e+23
135.135135135,1341.98934896,1341.98934896,nan,1341.98934896,4277.37,,0.083209,1,22157.2,50000,7.22571e+22,11.9999882195,,1738973.03415,inf,1.24732e-06,1.5015e-05,nan,624458.0,100,1738973.03415,370,0.8,4.00429e+26
167.785234899,1668.992688,1668.992688,nan,1668.992688,4466.13,,0.0833333,1,20679.6,50000,1.10074e+16,11.9999992074,,1931440.65082,inf,1.55325e-06,1.86428e-05,nan,673726.0,100,1931440.65082,298,0.8,4.92032e+19
