Step_size,optimgain,Var_J,ev_tdlam_before,EpRewMean,surrgain,EpisodesSoFar,DiscEpRewMean,SampleRenyi2,meankl,entropy,EpThisIter,entloss,TimeElapsed,TimestepsSoFar,J_hat,EpLenMean
1.0,0.00986712,7.265763282775879,-0.00451672077179,-322.819237387,0.00986712,100,-118.499578209,inf,0.00805106,8.38946,100,,59.01233887672424,50000,-100.98457336425781,500.0
1.0,0.0103156,33.99966812133789,0.315799713135,-300.281364423,0.0103156,200,-108.374442291,inf,0.00786805,8.28125,100,,125.05552768707275,100000,-88.9670639038086,500.0
1.0,0.00959534,102.78059387207031,0.354512274265,-272.888008636,0.00959534,300,-96.4389945854,inf,0.00773782,8.17181,100,,193.61844778060913,150000,-93.66264343261719,500.0
1.0,0.0102216,172.35108947753906,0.372837662697,-255.874745649,0.0102216,400,-87.9449410772,inf,0.00808341,8.044,100,,261.4685983657837,200000,-65.97599792480469,500.0
1.0,0.0100246,24.09113883972168,0.415201961994,-229.717482533,0.0100246,500,-79.608185293,inf,0.00789213,7.92083,100,,330.25362515449524,250000,-65.55730438232422,500.0
1.0,0.00897083,26.56691551208496,0.418565630913,-215.797114101,0.00897083,600,-75.5267583473,inf,0.00726739,7.79712,100,,399.91964983940125,300000,-62.64080047607422,500.0
1.0,0.0106969,14.460640907287598,0.459276556969,-200.172182567,0.0106969,700,-68.8029950155,inf,0.008024,7.67079,100,,470.23609352111816,350000,-51.77177429199219,500.0
1.0,0.00970989,0.5990549921989441,0.47253370285,-178.561544387,0.00970989,800,-60.5988123625,inf,0.00756344,7.5511,100,,539.6326017379761,400000,-57.500091552734375,500.0
1.0,0.0100968,95.23753356933594,0.49558365345,-163.902503426,0.0100968,900,-58.2320216449,inf,0.0073758,7.44667,100,,608.2994999885559,450000,-34.64384078979492,500.0
1.0,0.0102808,53.40492630004883,0.52882707119,-142.01261966,0.0102808,1000,-48.6140784746,inf,0.00753012,7.34905,100,,678.419944524765,500000,-40.93345642089844,500.0
1.0,0.0106971,24.830617904663086,0.513804227114,-119.632755094,0.0106971,1100,-40.8342363557,inf,0.00700514,7.25393,100,,747.9144332408905,550000,-33.36206817626953,500.0
1.0,0.011537,65.26839447021484,0.465980887413,-95.7012837903,0.011537,1200,-35.1506967979,inf,0.00753368,7.13807,100,,818.4043138027191,600000,-9.583550453186035,500.0
1.0,0.0115528,17.664772033691406,0.446433126926,-72.9642941407,0.0115528,1300,-28.3462566929,inf,0.00720526,7.05612,100,,889.1352550983429,650000,-17.559534072875977,500.0
1.0,0.0107736,8.956738471984863,0.469450712204,-63.1324340299,0.0107736,1400,-22.4937361229,inf,0.00689812,6.95591,100,,958.6434364318848,700000,-6.366613388061523,500.0
1.0,0.0114355,88.71621704101562,0.464468896389,-46.2858904372,0.0114355,1500,-13.7799331256,inf,0.00694409,6.87502,100,,1029.7790784835815,750000,-4.34354305267334,500.0
1.0,0.0123452,24.45003890991211,0.485205769539,-26.6772183756,0.0123452,1600,-8.86153823508,inf,0.00720223,6.78916,100,,1100.781084537506,800000,-3.270514488220215,500.0
1.0,0.0116951,29.38543701171875,0.436248540878,0.17809192336,0.0116951,1700,-2.11516742709,inf,0.00672305,6.70037,100,,1171.5000190734863,850000,13.148303031921387,500.0
1.0,0.0122774,27.66549301147461,0.476423799992,18.6046069998,0.0122774,1800,5.14185003403,inf,0.00686413,6.60899,100,,1242.8620250225067,900000,14.497869491577148,500.0
1.0,0.012748,47.08974075317383,0.590423196554,38.8948702909,0.012748,1900,14.6812580924,inf,0.00682918,6.55225,100,,1313.849319934845,950000,51.45017623901367,500.0
