BatchSize,MinVanillaIw,MaxVanillaIw,VarVanillaIw,AvgRet,Bound,AvgEpLen,J,ESSRenyi,AvgVanillaIw,VarNormIw,MinNormIw,MaxNormIw,IterType,AvgNormIw,VarRet,Delta,AvgDiscRet,VanillaAvgRet,VarJ,VarDiscRet,EpsThisIter,ESSClassic,eRenyi2
100,0.07872324,2.9052308,0.27050593,107.9389303763378,-29.349106,11.8,145.63428,76.41415144354708,0.9895607,2.7624343e-05,0.0007955372,0.029358793,1,0.010000002,10041.270214612372,0.1,107.9389303763378,107.9389303763378,155.26532,10041.270214612372,100,78.52491649734489,1.3086581
100,0.2594556,4.4274983,0.32382396,174.22645407753282,-251.32773,18.43,268.81754,79.88566169636354,0.997067,3.2573193e-05,0.0026021881,0.044405226,1,0.01,61129.61796472412,0.1,174.22645407753282,174.22645407753282,514.85803,61129.61796472412,100,75.61581976334672,1.2517891
100,0.63332134,1.3680063,0.02773974,257.7919635446191,-1223.9612,26.78,297.29575,97.18540735031283,1.0054647,2.743903e-06,0.0062987925,0.013605712,1,0.009999999,308379.05852320587,0.1,257.7919635446191,257.7919635446191,708.8584,308379.05852320587,100,97.35538237627544,1.0289611
100,0.1213433,6.8642793,0.6195231,235.40584151017885,-424.26593,24.55,453.65778,67.25824186485217,0.90800226,7.5142154e-05,0.0013363766,0.0755976,1,0.01,110446.27597295005,0.1,235.40584151017885,235.40584151017885,1557.1837,110446.27597295005,100,57.34249218231606,1.4868066
100,0.22076693,1.4922314,0.061539914,388.36746590756627,-1081.1398,39.84,461.47644,94.53528086539717,0.9686943,6.5581808e-06,0.0022790155,0.015404564,1,0.01,408719.52072794817,0.1,388.36746590756627,388.36746590756627,855.16974,408719.52072794817,100,93.90323076275308,1.0578061
100,0.28753927,5.41147,0.47718132,545.6602875443582,-842.2705,55.56,800.97595,83.32529244928705,1.1026549,3.9246795e-05,0.0026076997,0.049076732,1,0.01,724459.5675819098,0.1,545.6602875443582,545.6602875443582,1724.8658,724459.5675819098,100,72.01792870312552,1.2001158
100,0.23404548,3.936665,0.3165752,654.5347327965752,-726.50494,66.45,949.5927,80.08931010275187,1.0533522,2.8531831e-05,0.002221911,0.037372734,1,0.01,669870.413754929,0.1,654.5347327965752,654.5347327965752,1863.4531,669870.413754929,100,77.97484004397013,1.2486061
100,0.006997038,2.7555547,0.4075007,736.2059700234261,-614.62195,74.6,1222.3412,66.67767282537288,0.8557319,5.5648434e-05,8.176671e-05,0.032201145,1,0.01,1024713.2803507202,0.1,736.2059700234261,736.2059700234261,2221.7542,1024713.2803507202,100,64.47787876649048,1.4997524
100,9.0405115e-07,8.167692,2.501473,1625.970425159656,1008.0095,163.44,3568.9895,34.306005217831846,1.0736614,0.00021700066,8.420263e-09,0.07607325,1,0.01,3041993.1560399844,0.1,1625.970425159656,1625.970425159656,2734.1968,3041993.1560399844,100,31.763109089940976,2.9149415
100,0.03345411,3.8735642,0.58110267,3661.117336799846,2671.9395,366.5,4499.9644,67.3314942390716,1.0618377,5.1539082e-05,0.00031505863,0.036479816,1,0.01,3612117.4128617626,0.1,3661.117336799846,3661.117336799846,995.9523,3612117.4128617626,100,66.21477517146965,1.4851891
100,0.032743994,1.8893341,0.26103005,4372.476673789588,3158.4675,437.47,4815.8813,81.90693008557032,0.98753136,2.6766325e-05,0.00033157424,0.01913189,1,0.01,1880116.4317700122,0.1,4372.476673789588,4372.476673789588,524.18115,1880116.4317700122,100,79.05222711605191,1.2208979
100,0.10922868,1.5137311,0.11829788,4650.8628056567295,3282.3389,465.21,4857.1533,90.72431648594859,1.0166919,1.1444538e-05,0.0010743538,0.0148887895,1,0.010000002,1190507.2993251027,0.1,4650.8628056567295,4650.8628056567295,489.5961,1190507.2993251027,100,89.82296633396544,1.1022403
100,0.58512723,1.1614511,0.013320486,4925.917923698165,3439.5903,492.63,4950.2095,98.59899200768989,1.0070738,1.3134018e-06,0.0058101728,0.01153293,1,0.01,227842.1267608711,0.1,4925.917923698165,4925.917923698165,307.33218,227842.1267608711,100,98.71643286521753,1.0142092
100,0.51707363,1.1780572,0.014645601,4937.403943348076,3452.124,493.78,4962.7783,98.59441446943289,1.0054283,1.4487882e-06,0.0051428196,0.011716968,1,0.009999999,158725.28852147431,0.1,4937.403943348076,4937.403943348076,232.05399,158725.28852147431,100,98.58599333008442,1.0142562
100,0.28396675,1.3590453,0.082827136,4783.29652457812,3353.7031,478.41,4900.4736,94.04387140286963,0.94178736,9.338281e-06,0.0030151897,0.01443049,1,0.01,854214.6130150236,0.1,4783.29652457812,4783.29652457812,424.68994,854214.6130150236,100,91.5374760414719,1.0633335
100,0.5499432,1.1437067,0.011259728,4947.674790811006,3460.4692,494.8,4969.827,98.76384601020862,1.0031171,1.1189858e-06,0.005482343,0.011401527,1,0.01,240822.25331342564,0.1,4947.674790811006,4947.674790811006,270.24747,240822.25331342564,100,98.90433404504675,1.0125163
100,0.36141533,1.2069235,0.021984562,4943.715709339772,3462.6543,494.4,4973.301,98.59543423862644,0.9845401,2.2680413e-06,0.003670905,0.012258754,1,0.01,186939.7098334984,0.1,4943.715709339772,4943.715709339772,189.40445,186939.7098334984,100,97.80395615391598,1.0142457
100,0.55786276,1.1412299,0.010746207,4953.721007249468,3464.2158,495.4,4971.734,99.00505245601009,0.9994999,1.0756962e-06,0.005581419,0.011418009,1,0.01,131933.95826603717,0.1,4953.721007249468,4953.721007249468,211.88737,131933.95826603717,100,98.94627800258381,1.0100495
100,0.90754646,1.0407476,0.00077324256,4991.41162819564,3491.807,499.16,4992.175,99.95093370139809,0.9966758,7.784089e-08,0.009105734,0.010442188,1,0.01,7249.252040562452,0.1,4991.41162819564,4991.41162819564,77.210144,7249.252040562452,100,99.92300234831045,1.0004909
100,0.99584675,1.0007998,4.9463335e-07,4999.928867593627,3499.9292,500.0,4999.929,100.0,0.99997026,4.9466483e-11,0.009958764,0.010008296,1,0.010000002,0.0077721323479439395,0.1,4999.928867593627,4999.928867593627,0.08761631,0.0077721323479439395,100,99.99994277786296,1.0
