DivergenceHarmonic,MinBehavPdf,TimestepsSoFar,StdIW,Penalization,InitialBound,EmpiricalD2Arithmetic,EpThisIter,Bound,Inner Iteration,ESSRenyiArithmetic,WReturnMean,Weights,ReturnStepMax,MaxIW,MeanEntropy,VarianceInitializer,MinTargetPdf,Epsilon,EpRewMean,EpLenMean,EmpiricalD2Harmonic,EpisodesSoFar,StdWReturnMean,MeanIW,InitialReturnMax,ESSRenyiHarmonic,LearnableVariance,TimeElapsed,InitialReturnMean,MinIW,MeanD2-0,Iteration,OptimizationReturnMean,InitialReturnMin,ReturnStepMaxmin,OptimizationReturnMax,ReturnMeanIW,OptimizationReturnMin,InitialReturnStd
434294300000000.0,-18.261135,1875,50605.363,True,-34041.855,1.0,100,-30226317000.0,1,100.0,32597.182,[-0.  0. -0. -0.  0. -0. -0.  0.  0.  0. -0.],9.35996,502504.72,0.4189424,-1.0,-18.261135,2.0,172.0985495943757,18.75,1.0,100,,7012.6943,379.13464,100.0,,8.276407241821289,172.09856,0.07163816,1.0,1,81.56413,90.53441,9.35996,288.60022,119739850.0,,54.58269
1350306300.0,-23.615875,4193,2961.9883,True,-49950.867,1.0,100,-76586900.0,1,100.0,48351.914,[ 0.002  0.007 -0.004  0.012  0.012 -0.002  0.034 -0.049  0.     0.  0.   ],9.35978,24062.857,0.4189424,-1.0,-23.615875,2.0,213.1835040793663,23.18,1.0,200,,557.70764,398.86548,100.0,,18.70739197731018,213.18352,0.053471625,1.0,2,103.97322,109.21028,9.35978,289.6552,17830998.0,,53.895336
7.660101e+26,-30.538303,6835,322326.12,True,-65714.445,1.0,100,-5.4743464e+16,1,100.0,63736.496,[-0.001  0.013 -0.006 -0.019 -0.02  -0.006  0.056 -0.086  0.     0.  0.   ],9.359725,2435337.5,0.4189424,-1.0,-30.538303,2.0,243.6483743268393,26.42,1.0,300,,64206.59,443.62527,100.0,,27.10597848892212,243.64836,0.096276194,1.0,3,116.06626,127.58211,9.359725,316.04315,2202293200.0,,66.12087
81652136.0,-22.689394,9638,4554.096,True,-73772.65,1.0,100,-91586660.0,1,100.0,71249.164,[ 0.003  0.025 -0.014  0.063  0.058  0.018  0.062 -0.129  0.     0.  0.   ],9.3598795,45163.316,0.4189424,-1.0,-22.689394,2.0,258.85760842336475,28.03,1.0,400,,583.9097,501.08173,100.0,,36.290934801101685,258.8576,0.07231662,1.0,4,121.745224,137.11238,9.3598795,363.96936,68784110.0,,65.129906
2.5369407e+28,-28.38942,12889,752215360.0,True,-97706.664,1.0,100,-3.4526764e+17,1,100.0,95538.98,[ 0.004  0.027 -0.016  0.028  0.021  0.011  0.086 -0.156  0.     0.  0.   ],9.359932,6468104000.0,0.4189424,-1.0,-28.38942,2.0,300.813607790465,32.51,1.0,500,,104509510.0,464.41534,100.0,,47.29162907600403,300.8136,0.118005514,1.0,5,137.19156,163.62206,9.359932,300.79327,4169202000000.0,,71.06441
1.5157218e+17,-32.72561,16387,848.5214,True,-116828.266,1.0,100,-1619789200000.0,1,100.0,112667.77,[-0.01   0.038 -0.025 -0.033 -0.034 -0.01   0.125 -0.236  0.     0.  0.   ],9.359926,8482.699,0.4189424,-1.0,-32.72561,2.0,323.99917072639926,34.98,1.0,600,,108.57085,643.3997,100.0,,57.41941571235657,323.99915,0.091857575,1.0,6,113.28557,210.7136,9.359926,432.68613,17286430.0,,87.70579
4.6666955e+21,-33.731674,20006,49.957077,True,-123913.01,1.0,100,-293499140000000.0,1,100.0,119616.625,[ 0.008  0.045 -0.023 -0.059 -0.059  0.027  0.14  -0.262  0.     0.  0.   ],9.359964,368.15796,0.4189424,-1.0,-33.731674,2.0,335.24565974160856,36.19,1.0,700,,15.642841,653.8225,100.0,,69.2134108543396,335.24567,0.0611565,1.0,7,123.25079,211.99486,9.359964,441.82764,2870755.5,,85.01159
7602095000000.0,-36.616955,23880,2219.5986,True,-141886.89,1.0,100,-12527573000.0,1,100.0,137365.06,[-0.004  0.044 -0.024 -0.025 -0.024 -0.003  0.155 -0.277  0.     0.  0.   ],9.359945,22310.348,0.4189424,-1.0,-36.616955,2.0,359.3511051136312,38.74,1.0,800,,247.02757,670.75745,100.0,,83.87462520599365,359.3511,0.044173557,1.0,8,120.65642,238.69469,9.359945,432.06274,60053640.0,,90.72966
2.3709434e+22,-37.17137,27860,15565.436,True,-148064.28,1.0,100,-716512600000000.0,1,100.0,143410.95,[-0.013  0.056 -0.021 -0.003 -0.003 -0.031  0.2   -0.273  0.     0.  0.   ],9.359895,156262.62,0.4189424,-1.0,-37.17137,2.0,369.0762769242839,39.8,1.0,900,,1685.274,680.4407,100.0,,99.51361799240112,369.07626,0.12761287,1.0,9,139.26007,229.8162,9.359895,450.62448,444309340.0,,84.81542
9.998817e+26,-34.09476,31669,480.9348,True,-139183.23,1.0,100,-1.8745014e+17,1,100.0,133255.17,[-0.026  0.058 -0.014 -0.016 -0.014 -0.076  0.224 -0.246  0.     0.  0.   ],9.359775,3622.5134,0.4189424,-1.0,-34.09476,2.0,352.86829565086634,38.09,1.0,1000,,153.83514,768.00586,100.0,,113.6740095615387,352.8683,0.012074145,1.0,10,132.75484,220.11346,9.359775,547.8924,32673454.0,,93.48344
