MeanIWNorm,OptimizationReturnMin,InitialReturnMin,InitialBound,Iteration,OptimizationReturnMax,EpLenMean,EpThisIter,ReturnMeanIW,ReturnStepMax,EmpiricalD2,Bound,MeanEntropy,ESSRenyi,InitialReturnStd,LearnableVariance,StdIW,MaxIWNorm,ESSClassic,EpRewMean,MinIWNorm,StdIWNorm,TimeElapsed,Weights,ReturnStepMaxmin,VarianceInit,MeanIW,J_sample_variance,OptimizationReturnMean,InitialReturnMax,EpisodesSoFar,MaxIW,TimestepsSoFar,MinIW,InitialReturnMean
0.012015297,,90.65893,56.626076,1,297.1255,18.84,100,249.47417,9.35997,1.8361764,91.8333,0.4189424,54.461,57.034985,,1.2479322,0.094662204,48.10629,172.96139250639644,0.0015316085,0.012479323,9.880648612976074,[ 0.  0. -0.  0. -0.  0.  0. -0.  0.  0.  0.],9.35997,-1.0,1.2015297,87132.445,82.30246,387.78442,100,9.466221,1884,0.15316086,172.96138
0.011198523,,90.5401,77.09729,2,261.1707,19.89,100,212.1702,9.359811,1.3009557,91.822395,0.4189424,76.86657,53.016422,,0.6645831,0.043683037,73.95411,182.61052445952703,0.00397299,0.0066458303,21.15803027153015,[-0.017  0.05  -0.001 -0.006  0.004  0.049  0.069  0.025  0.     0.  0.   ],9.359811,-1.0,1.1198523,21046.838,92.07043,351.7108,200,4.368304,3873,0.39729902,182.61053
0.01079263,,81.52722,55.779373,3,363.246,20.6,100,214.3352,9.359979,1.126599,72.70871,0.4189424,88.76273,58.442482,,0.3284571,0.022286152,91.52317,189.21134034574135,0.002005906,0.003284571,33.850380182266235,[-0.019  0.069 -0.004 -0.006  0.013  0.066  0.071  0.013  0.     0.  0.   ],9.359979,-1.0,1.079263,20596.285,107.68412,444.77322,300,2.2286153,5933,0.20059061,189.21135
0.010293629,,100.15204,61.359947,4,315.21967,20.26,100,198.3418,9.359779,1.0948403,67.95502,0.4189424,91.337524,50.00345,,0.2728703,0.016415246,93.43428,185.97145505496556,0.0017991229,0.002728703,48.00324630737305,[-0.016  0.073  0.009  0.004  0.019  0.055  0.095  0.024  0.     0.  0.   ],9.359779,-1.0,1.0293629,16577.326,85.819405,415.3717,400,1.6415247,7959,0.1799123,185.97147
0.010106785,,118.240395,92.50121,5,252.72565,22.18,100,209.15254,9.35994,1.0245547,96.50468,0.4189424,97.60338,56.094807,,0.13256598,0.012985577,98.30868,203.79101982558674,0.007007531,0.0013256598,62.99469017982483,[-0.019  0.071  0.011  0.002  0.019  0.043  0.1    0.021  0.     0.  0.   ],9.35994,-1.0,1.0106785,18688.188,85.55063,370.96603,500,1.2985578,10177,0.7007531,203.79102
0.010683787,,99.82826,83.78217,6,289.49866,21.83,100,218.41266,9.359954,1.1523908,93.03054,0.4189424,86.776115,52.31035,,0.37527618,0.018545022,89.01692,200.5802510717401,0.0025358957,0.0037527613,75.63831520080566,[-2.087e-02  8.689e-02  1.194e-02 -9.332e-05  1.622e-02  4.115e-02  1.107e-01  2.599e-02  0.000e+00  0.000e+00  0.000e+00],9.359954,-1.0,1.0683788,17150.209,100.752,389.32693,600,1.8545022,12360,0.25358957,200.58026
0.010511734,,108.63109,107.896706,7,234.07796,22.91,100,231.21217,9.359871,1.1712815,119.94234,0.4189424,85.37658,51.184746,,0.35268477,0.017714782,89.88194,210.7094203019809,0.00177502,0.0035268476,87.94373321533203,[-0.019  0.085  0.013 -0.002  0.011  0.039  0.114  0.018  0.     0.  0.   ],9.359871,-1.0,1.0511734,20207.38,102.07833,342.70905,700,1.7714783,14651,0.177502,210.70943
0.010135908,,90.34319,75.29791,8,346.00418,22.42,100,209.5209,9.359786,1.0151274,77.630295,0.4189424,98.5098,52.723866,,0.112329945,0.011910851,98.78673,206.20213530667206,0.0064610657,0.0011232995,101.6157124042511,[-0.019  0.082  0.016  0.     0.009  0.017  0.127  0.017  0.     0.  0.   ],9.359786,-1.0,1.0135909,11817.607,115.85893,436.34738,800,1.1910851,16893,0.6461066,206.20215
0.0155175915,,127.13672,109.67278,9,187.25858,22.19,100,332.64395,9.359854,2.9528491,170.56825,0.4189424,33.865597,45.585712,,3.8938885,0.35561848,13.704675,203.99136998117584,0.0015179127,0.038938884,112.72996807098389,[-0.028  0.086  0.013  0.007  0.013  0.013  0.127  0.018  0.     0.  0.   ],9.359854,-1.0,1.5517589,365683.9,76.854645,314.3953,900,35.561848,19112,0.15179127,203.99136
0.010006601,,90.64197,80.348206,10,279.13782,20.83,100,194.09131,9.359768,1.0236205,81.854866,0.4189424,97.69246,56.013306,,0.15460883,0.012830853,97.66842,191.28213182281564,0.0059076985,0.0015460883,124.68625068664551,[-0.033  0.074  0.017  0.013  0.021  0.004  0.075  0.015  0.     0.  0.   ],9.359768,-1.0,1.0006601,12428.663,100.64017,369.7798,1000,1.2830853,21195,0.5907699,191.28214
