LearnableVariance,InitialReturnMean,MeanIWNorm,InitialBound,MeanIW,TimeElapsed,ESSClassic,OptimizationReturnMean,EpLenMean,MinIWNorm,ESSRenyi,OptimizationReturnMax,Iteration,EpRewMean,InitialReturnStd,StdIW,OptimizationReturnMin,VarianceInit,MaxIWNorm,MaxIW,StdIWNorm,EmpiricalD2,ReturnMeanIW,EpisodesSoFar,MeanEntropy,MinIW,TimestepsSoFar,Weights,EpThisIter,InitialReturnMin,ReturnStepMaxmin,Bound,ReturnStepMax,InitialReturnMax,J_sample_variance
,166.67613,0.010388498,72.149605,1.0388498,1.4377970695495605,89.89564,85.1267,18.16,0.0028662442,88.668175,233.53906,1,166.67614090190443,47.033203,0.3482877,,-1.0,0.018381523,1.8381523,0.003482877,1.1278003,179.7079,100,0.4189424,0.28662443,1816,[-0. -0. -0.  0.  0.  0. -0.  0. -0. -0.  0.],100,81.54943,9.359739,79.32265,9.359739,315.0885,11877.66
,169.43062,0.010037685,83.43299,1.0037684,3.4563910961151123,98.06152,87.90814,18.46,0.006007414,97.559364,205.13632,2,169.43064121271328,46.954247,0.14112835,,-1.0,0.0132559715,1.3255972,0.0014112834,1.0250169,172.69879,200,0.4189424,0.6007414,3662,[-0.    -0.001 -0.002 -0.     0.    -0.004  0.001 -0.008  0.     0.  0.   ],100,81.52249,9.359908,85.632095,9.359908,286.6588,9662.635
,187.04117,0.010418623,81.39748,1.0418622,4.912123918533325,91.664314,87.064674,20.35,0.0033686697,89.85674,252.16922,3,187.04118191206678,50.599472,0.31418166,,-1.0,0.017569922,1.7569922,0.0031418162,1.1128825,203.49783,300,0.4189424,0.33686697,5697,[-0.002 -0.002 -0.003 -0.01   0.004 -0.005  0.008 -0.006  0.     0.  0.   ],100,99.97651,9.359952,92.05084,9.359952,352.14572,16693.283
,187.35039,0.010692464,47.842316,1.0692464,6.761863708496094,91.84031,78.32163,20.39,0.0020080497,89.24668,355.99826,4,187.35039015626845,59.046825,0.31871164,,-1.0,0.019358778,1.9358779,0.0031871165,1.1204898,206.82852,400,0.4189424,0.20080498,7736,[ 0.002  0.004  0.002 -0.014  0.008 -0.007  0.024 -0.005  0.     0.  0.   ],100,109.028755,9.359995,59.15474,9.359995,465.027,20274.516
,178.19412,0.010174105,81.08881,1.0174106,8.025681972503662,97.70721,78.21724,19.41,0.004634537,96.9818,223.70746,5,178.1941085298449,44.322323,0.15585306,,-1.0,0.012711699,1.2711699,0.0015585306,1.0311214,182.367,500,0.4189424,0.4634537,9677,[ 0.005  0.001  0.005 -0.019  0.002 -0.021  0.032 -0.006  0.     0.  0.   ],100,99.976875,9.359625,83.76226,9.359625,323.68433,12864.749
,188.67955,0.010933408,80.23245,1.0933409,9.928789615631104,77.32424,89.0292,20.53,0.0034048238,84.17838,261.84,6,188.67956010909398,57.308086,0.5920779,,-1.0,0.04442674,4.442674,0.005920779,1.1879535,211.8537,600,0.4189424,0.34048238,11730,[ 0.005 -0.001  0.005 -0.025 -0.005 -0.028  0.034 -0.007  0.     0.  0.   ],100,99.65037,9.359722,93.65365,9.359722,361.49036,23357.404
,186.20659,0.0104335025,72.02966,1.0433503,11.164629697799683,89.9005,104.72574,20.28,0.0025023108,88.23073,299.10892,7,186.20659838176564,55.462856,0.3497029,,-1.0,0.018085312,1.8085313,0.0034970287,1.133392,202.62971,700,0.4189424,0.2502311,13758,[ 0.005 -0.002  0.002 -0.019 -0.001 -0.02   0.01  -0.028  0.     0.  0.   ],100,81.48086,9.3595085,81.07594,9.3595085,380.58978,14751.788
,196.10664,0.012042853,79.13282,1.2042854,13.087952375411987,71.3387,105.86036,21.34,0.0031938548,78.635254,299.66644,8,196.10664191184839,62.337654,0.76333445,,-1.0,0.04365451,4.365451,0.0076333447,1.2716943,234.97588,800,0.4189424,0.3193855,15892,[ 0.008 -0.     0.006 -0.026 -0.01  -0.023  0.018 -0.033  0.     0.  0.   ],100,90.24628,9.35977,103.06517,9.35977,389.91272,27899.13
,191.09499,0.010140254,99.71871,1.0140254,15.432784080505371,97.58625,100.21934,20.8,0.0043661795,97.36096,213.71187,9,191.09496407990807,44.943455,0.15947816,,-1.0,0.014566401,1.4566401,0.0015947815,1.0271057,196.58347,900,0.4189424,0.43661797,17972,[ 0.007  0.013  0.012 -0.048 -0.026 -0.011  0.033 -0.024  0.     0.  0.   ],100,90.875626,9.359787,103.97709,9.359787,304.5875,11766.766
,203.14764,0.011318679,77.784004,1.131868,17.507568836212158,70.91031,103.03951,22.09,0.002718645,70.85174,317.7706,10,203.14763594999624,59.082157,0.7249543,,-1.0,0.04119169,4.119169,0.007249542,1.411398,247.22807,1000,0.4189424,0.2718645,20181,[ 0.005  0.002  0.015 -0.048 -0.022 -0.028  0.028 -0.027  0.     0.  0.   ],100,100.10812,9.359757,98.29326,9.359757,417.87872,39687.824
,200.74008,0.010544543,95.7229,1.0544543,19.789626836776733,90.44806,82.73061,21.84,0.0021155954,86.28437,232.04776,11,200.7400583998409,56.986572,0.34266853,,-1.0,0.019029448,1.9029448,0.0034266852,1.1589584,220.36601,1100,0.4189424,0.21155953,22365,[ 0.006  0.002  0.015 -0.045 -0.019 -0.025  0.029 -0.042  0.     0.  0.   ],100,118.00944,9.359908,107.30987,9.359908,350.0572,23240.223
,215.96524,0.010463612,96.7067,1.0463613,22.056793212890625,90.15225,106.97842,23.47,0.0029742059,90.49067,288.5416,12,215.96521570255672,59.239414,0.34582928,,-1.0,0.026420569,2.642057,0.0034582925,1.1050863,231.71573,1200,0.4189424,0.2974206,24712,[ 0.003  0.007  0.017 -0.038 -0.01  -0.032  0.036 -0.044  0.     0.  0.   ],100,108.986786,9.359866,106.3475,9.359866,397.52838,20660.574
,217.7993,0.010293875,87.12747,1.0293876,24.12738585472107,95.9846,117.63274,23.67,0.005465847,95.47039,335.40613,13,217.7992885961919,55.53461,0.21054415,,-1.0,0.016946124,1.6946124,0.0021054414,1.0474452,227.55411,1300,0.4189424,0.5465847,27079,[-3.686e-05  1.415e-02  1.713e-02 -3.370e-02 -5.975e-03 -4.255e-02  5.328e-02 -3.469e-02  0.000e+00  0.000e+00  0.000e+00],100,100.16655,9.359855,93.818344,9.359855,435.5727,16233.901
,228.03859,0.010313409,88.508804,1.031341,26.438508987426758,96.15238,119.09311,24.76,0.0038824272,95.492134,356.15387,14,228.03860635805617,58.088154,0.20630921,,-1.0,0.01549397,1.5493971,0.002063092,1.0472066,239.17236,1400,0.4189424,0.38824272,29555,[-0.001  0.014  0.017 -0.04  -0.011 -0.054  0.044 -0.044  0.     0.  0.   ],100,108.9455,9.359715,96.38716,9.359715,465.09937,17620.844
,220.3983,0.0105914725,106.31584,1.0591471,28.553573846817017,81.73962,120.5024,23.95,0.004663204,87.17456,280.3789,15,220.3982758188263,54.37575,0.5006045,,-1.0,0.030491434,3.0491436,0.0050060446,1.1471237,238.00595,1500,0.4189424,0.4663204,31950,[-0.003  0.025  0.016 -0.037 -0.007 -0.051  0.058 -0.041  0.     0.  0.   ],100,99.895874,9.359162,115.81925,9.359162,380.27478,23457.709
,214.98431,0.010361275,83.8107,1.0361276,31.264528512954712,94.649765,124.46438,23.36,0.004989016,94.55439,346.72546,16,214.98430805544683,54.95949,0.24634278,,-1.0,0.017682334,1.7682335,0.002463428,1.0575924,227.07971,1600,0.4189424,0.4989016,34286,[-0.022  0.039  0.01  -0.032 -0.012 -0.045  0.043 -0.052  0.     0.  0.   ],100,90.519936,9.359973,92.18169,9.359973,437.2454,15501.849
,227.77596,0.010785086,110.701645,1.0785086,33.94096279144287,86.77213,136.98065,24.72,0.003953741,87.05745,299.45233,17,227.7759438395056,56.06731,0.42109343,,-1.0,0.030910563,3.0910563,0.0042109345,1.1486667,247.89716,1700,0.4189424,0.39537412,36758,[-0.029  0.031  0.01  -0.026 -0.008 -0.067  0.035 -0.058  0.     0.  0.   ],100,90.79529,9.359832,122.42176,9.359832,390.24762,17849.396
,232.19627,0.012784782,107.28442,1.2784783,35.56570315361023,42.686996,105.21588,25.22,0.00055091525,46.100155,289.39246,18,232.1962655124015,57.920635,1.4813994,,-1.0,0.111864835,11.186483,0.014813995,2.1691902,342.5761,1800,0.4189424,0.055091526,39280,[-0.028  0.032  0.006 -0.028 -0.011 -0.058  0.027 -0.068  0.     0.  0.   ],100,126.98039,9.359962,158.6038,9.359962,416.37283,171118.27
,246.1982,0.010187986,90.43114,1.0187986,38.56094980239868,97.91732,119.29844,26.7,0.005550628,97.21256,392.32373,19,246.1981885206537,64.63221,0.14858347,,-1.0,0.01295935,1.295935,0.0014858347,1.0286736,251.9256,1900,0.4189424,0.55506283,41950,[-0.023  0.039  0.006 -0.018 -0.004 -0.053  0.041 -0.082  0.     0.  0.   ],100,126.899765,9.359973,93.94112,9.359973,519.2235,21755.035
,255.54436,0.010046709,79.562195,1.0046711,41.450607776641846,98.86052,129.02893,27.7,0.006158523,98.728035,460.09174,20,255.54434928649815,78.23134,0.10786108,,-1.0,0.011967434,1.1967434,0.0010786107,1.0128835,259.51532,2000,0.4189424,0.6158523,44720,[-0.027  0.042  0.006 -0.016  0.    -0.055  0.04  -0.087  0.     0.  0.   ],100,126.51543,9.359957,82.40315,9.359957,586.6072,23933.01
