J_sample_variance,MaxIW,EpRewMean,OptimizationReturnMean,InitialReturnMax,ESSRenyi,MeanEntropy,MaxIWNorm,ESSClassic,InitialBound,EpThisIter,MeanIWNorm,LearnableVariance,StdIWNorm,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMaxmin,MinIW,EpLenMean,MinIWNorm,MeanIW,Bound,InitialReturnStd,InitialReturnMean,EmpiricalD2,ReturnMeanIW,OptimizationReturnMax,Weights,OptimizationReturnMin,ReturnStepMax,StdIW,VarianceInit,EpisodesSoFar,TimeElapsed
19289.6,2.77324,172.0985495943757,81.56413,379.13464,90.07674,0.4189424,0.0277324,87.82829,58.358154,100,0.010388711,,0.0038674118,90.53442,1,1875,9.35996,0.54110163,18.75,0.0054110163,1.038871,68.59365,54.582695,172.09856,1.1101645,188.43547,288.60022,[-0.  0. -0. -0.  0. -0. -0.  0.  0.  0. -0.],,9.35996,0.38674116,-1.0,100,8.263289451599121
10973.963,1.5791376,172.46660005916584,90.64917,333.45013,95.953476,0.4189424,0.015791375,96.44709,72.431564,100,0.010192289,,0.0019562324,81.81743,2,3754,9.359955,0.520407,18.79,0.00520407,1.0192289,77.16973,48.39925,172.4666,1.0421717,179.29231,251.6327,[ 0.008  0.007  0.006  0.009  0.01   0.017  0.008 -0.003  0.     0.  0.   ],,9.359955,0.19562323,-1.0,200,19.585811614990234
11097.522,1.4572117,177.4886722506582,96.13852,388.92218,98.914215,0.4189424,0.014572117,98.78656,60.81202,100,0.010131168,,0.0011228541,81.35015,3,5687,9.359863,0.7775611,19.33,0.0077756112,1.013117,65.49209,53.187233,177.48868,1.010977,182.80737,307.57202,[ 0.002  0.009  0.005  0.002  0.002  0.006  0.004 -0.006  0.     0.  0.   ],,9.359863,0.112285405,-1.0,300,27.46931529045105
161784.86,17.582792,180.72969279855184,90.349495,315.1756,64.120964,0.4189424,0.17582792,29.679546,86.177,100,0.01132245,,0.0174282,90.380196,4,7654,9.359381,0.054327656,19.67,0.00054327655,1.1322448,115.53713,51.884212,180.72969,1.5595524,233.61644,224.79541,[ 0.004  0.017  0.008  0.006  0.003  0.021  0.012 -0.005  0.     0.  0.   ],,9.359381,1.7428201,-1.0,400,34.96876645088196
22000.312,2.477705,194.25187230095094,103.43083,482.38013,91.93523,0.4189424,0.02477705,92.00553,49.53784,100,0.010222921,,0.003013442,90.821045,5,9767,9.359997,0.0742091,21.13,0.000742091,1.0222923,55.67276,62.811363,194.25188,1.0877223,206.60072,391.55908,[ 0.011  0.044  0.013  0.002 -0.009  0.053  0.039 -0.007  0.     0.  0.   ],,9.359997,0.3013442,-1.0,500,45.8044810295105
13175.519,1.3577042,187.11681352827642,105.77892,452.38275,95.39255,0.4189424,0.013577041,96.344345,51.402008,100,0.010340258,,0.0020141907,81.33788,6,11804,9.359889,0.27626684,20.37,0.0027626683,1.0340257,57.145233,60.61913,187.11682,1.0482999,196.0989,371.04486,[-0.     0.041  0.02  -0.    -0.015  0.035  0.039 -0.01   0.     0.  0.   ],,9.359889,0.20141909,-1.0,600,56.41181492805481
16888.283,1.6204499,186.41425940216024,77.3044,416.1359,94.073845,0.4189424,0.016204499,94.25947,61.573486,100,0.010167184,,0.0025090757,109.109856,7,13834,9.35961,0.25090674,20.3,0.0025090673,1.0167184,65.19159,50.602783,186.41426,1.0629947,193.90446,307.02603,[-0.001  0.041  0.024 -0.007 -0.022  0.026  0.048 -0.004  0.     0.  0.   ],,9.35961,0.25090757,-1.0,700,64.48988366127014
18404.783,4.3157625,193.50147527973462,93.649445,350.949,80.43649,0.4189424,0.043157626,73.028145,88.21678,100,0.011479955,,0.0069767083,99.852036,8,15940,9.359717,0.5050529,21.06,0.0050505293,1.1479955,99.7949,48.09908,193.50146,1.2432168,217.18695,251.09697,[-0.001  0.04   0.025 -0.008 -0.028  0.016  0.051 -0.007  0.     0.  0.   ],,9.359717,0.6976709,-1.0,800,73.25853633880615
14511.497,1.2667334,186.10270994644463,86.3872,458.71002,97.390854,0.4189424,0.012667334,97.9087,48.48973,100,0.010072131,,0.0014720401,99.715515,9,17967,9.359946,0.6103148,20.27,0.0061031478,1.0072132,51.134842,55.245872,186.10272,1.0267905,190.57903,358.9945,[-0.007  0.052  0.032 -0.027 -0.042  0.02   0.046 -0.008  0.     0.  0.   ],,9.359946,0.14720401,-1.0,900,82.85376358032227
54952.88,8.958229,192.8641523487818,102.351135,370.94608,58.54264,0.4189424,0.08958229,50.341305,81.58034,100,0.013117641,,0.013028402,90.513016,10,20066,9.359791,0.31819525,20.99,0.0031819525,1.3117642,123.94591,57.37962,192.86414,1.7081566,269.38992,280.43304,[-0.006  0.049  0.035 -0.027 -0.041  0.013  0.051 -0.007  0.     0.  0.   ],,9.359791,1.3028401,-1.0,1000,93.07152462005615
21181.734,2.8157053,194.6580610447944,95.00506,426.69492,86.848,0.4189424,0.028157052,85.44304,66.6496,100,0.010328914,,0.0042633554,99.65301,11,22185,9.359996,0.29736412,21.19,0.002973641,1.0328915,75.13336,53.05787,194.65807,1.151437,212.49289,327.0419,[-0.004  0.059  0.034 -0.007 -0.013  0.042  0.049 -0.017  0.     0.  0.   ],,9.359996,0.42633557,-1.0,1100,102.6800684928894
22941.256,1.9586953,209.71707802335376,110.13752,539.55554,89.553894,0.4189424,0.019586952,92.314545,47.850418,100,0.010578107,,0.0030521655,99.57955,12,24464,9.359771,0.30067855,22.79,0.0030067854,1.0578108,59.17682,65.854965,209.71709,1.116646,230.2237,439.97598,[ 0.003  0.056  0.041 -0.002 -0.004  0.045  0.054 -0.024  0.     0.  0.   ],,9.359771,0.30521655,-1.0,1200,111.25946497917175
17364.174,3.1820617,205.22829865999952,114.405975,417.21564,89.993004,0.4189424,0.031820618,86.12209,80.06362,100,0.010502714,,0.004216057,90.82233,13,26696,9.359747,0.5384698,22.32,0.0053846976,1.0502715,87.47093,56.57713,205.2283,1.1111975,219.41122,326.3933,[ 0.004  0.055  0.044 -0.    -0.002  0.031  0.066 -0.024  0.     0.  0.   ],,9.359747,0.42160568,-1.0,1300,119.70144391059875
233679300.0,1339.7627,211.59957508012528,103.29011,380.97354,0.7353647,0.4189424,13.397627,1.0957876,97.307526,100,0.14025049,,1.3324431,108.309456,14,28996,9.359914,0.005455718,23.0,5.455718e-05,14.025052,1760.8871,60.802765,211.59956,135.98695,3093.686,272.6641,[ 0.004  0.053  0.041  0.001 -0.002  0.035  0.054 -0.036  0.     0.  0.   ],,9.359914,133.24431,-1.0,1400,130.3661105632782
11065.837,1.3473223,178.68838700045274,88.26244,313.83185,98.41723,0.4189424,0.013473223,98.2625,84.53885,100,0.010041076,,0.0013352061,90.42596,15,30942,9.359795,0.59665304,19.46,0.00596653,1.0041076,86.16782,46.348495,178.68839,1.0160823,181.07143,223.40588,[-0.011  0.064  0.029 -0.026 -0.034  0.054 -0.001 -0.026  0.     0.  0.   ],,9.359795,0.13352062,-1.0,1500,141.24209070205688
12004.777,1.7187666,176.9855276310742,95.54781,359.0758,92.483635,0.4189424,0.017187666,94.78725,69.26279,100,0.010544292,,0.0024727243,81.43771,16,32870,9.359982,0.32356736,19.28,0.0032356735,1.054429,78.76506,49.81485,176.98555,1.0812724,190.77974,277.6381,[-0.008  0.065  0.033 -0.02  -0.031  0.053  0.005 -0.022  0.     0.  0.   ],,9.359982,0.24727242,-1.0,1600,150.78715777397156
34899.11,8.750823,194.12972458391246,84.59491,370.32858,69.06388,0.4189424,0.08750823,52.243717,83.03116,100,0.011781525,,0.011264182,109.53481,17,34981,9.359819,0.3092647,21.11,0.0030926468,1.1781524,103.65584,50.951595,194.12973,1.4479349,237.34094,260.79376,[-0.005  0.07   0.035 -0.029 -0.037  0.062  0.014 -0.026  0.     0.  0.   ],,9.359819,1.1264181,-1.0,1700,162.17509818077087
16192.187,1.910279,195.32924261348998,113.624504,399.2246,92.5842,0.4189424,0.01910279,93.33029,75.56187,100,0.010294007,,0.0027518575,81.704735,18,37105,9.359018,0.5394253,21.24,0.005394253,1.0294007,85.84765,57.57278,195.32924,1.0800979,210.3192,317.51987,[-0.     0.07   0.039 -0.023 -0.026  0.079  0.006 -0.046  0.     0.  0.   ],,9.359018,0.27518576,-1.0,1800,172.86733078956604
9799.113,1.3610559,185.19906141658123,103.75482,366.90268,98.350464,0.4189424,0.013610559,98.62426,75.12825,100,0.010257436,,0.001211479,81.44423,19,39121,9.35979,0.73018193,20.16,0.007301819,1.0257436,76.943954,54.643425,185.19907,1.016772,187.93398,285.45844,[ 0.011  0.071  0.046 -0.017 -0.021  0.092  0.019 -0.046  0.     0.  0.   ],,9.35979,0.1211479,-1.0,1900,182.14928460121155
13277.41,1.1852354,201.0967927169091,101.59986,390.48083,99.495605,0.4189424,0.011852354,99.571884,83.95253,100,0.010082181,,0.00066109275,99.49693,20,41308,9.359804,0.7947726,21.87,0.007947726,1.008218,85.98231,52.72124,201.0968,1.0050695,203.42311,290.9839,[ 0.008  0.071  0.048 -0.018 -0.02   0.085  0.016 -0.044  0.     0.  0.   ],,9.359804,0.06610928,-1.0,2000,191.15518951416016
333329.47,38.031322,203.3200239545561,121.78398,389.33923,45.896328,0.4189424,0.38031322,13.25111,86.51824,100,0.015054158,,0.038517874,81.53605,21,43519,9.359806,0.18086165,22.11,0.0018086164,1.5054158,118.78786,58.72533,203.32002,2.1788235,291.19705,307.8032,[ 0.02   0.071  0.061 -0.018 -0.017  0.085  0.015 -0.047  0.     0.  0.   ],,9.359806,3.8517869,-1.0,2100,200.3414444923401
30848.865,7.673144,190.27206747310382,99.43004,352.253,83.44464,0.4189424,0.076731436,65.977806,84.59616,100,0.010642235,,0.007642141,90.842026,22,45589,9.359794,0.38461587,20.7,0.0038461585,1.0642235,95.430664,58.196426,190.27206,1.1983993,211.11557,261.41095,[ 0.026  0.069  0.067 -0.032 -0.027  0.106 -0.006 -0.052  0.     0.  0.   ],,9.359794,0.76421416,-1.0,2200,210.93507766723633
16149.202,2.3041396,186.60295803303217,96.10875,334.57404,88.326866,0.4189424,0.023041395,89.16108,86.23074,100,0.010461647,,0.0036475821,90.4942,23,47620,9.359603,0.3170068,20.31,0.003170068,1.0461648,95.69903,54.550392,186.60295,1.1321584,202.498,244.07983,[ 0.032  0.068  0.067 -0.024 -0.015  0.116 -0.017 -0.066  0.     0.  0.   ],,9.359603,0.36475822,-1.0,2300,221.96483731269836
14652.775,1.9423989,187.33330368194078,87.6719,342.49158,91.341995,0.4189424,0.019423988,93.288925,84.58583,100,0.010421238,,0.0027951158,99.66141,24,49658,9.359924,0.25049645,20.38,0.0025049644,1.0421237,91.25998,44.986103,187.3333,1.0947866,198.76677,242.83017,[ 0.035  0.063  0.072 -0.015 -0.009  0.103 -0.014 -0.065  0.     0.  0.   ],,9.359924,0.2795116,-1.0,2400,234.82680702209473
29765.621,9.648225,179.6044220591094,79.989494,306.3785,75.36397,0.4189424,0.09648225,49.86158,87.69087,100,0.011381138,,0.01141269,99.61493,25,51614,9.359951,0.2596108,19.56,0.002596108,1.138114,101.565025,49.185936,179.60443,1.326894,207.44106,206.76358,[ 0.039  0.06   0.076 -0.023 -0.017  0.099 -0.004 -0.065  0.     0.  0.   ],,9.359951,1.1412691,-1.0,2500,244.7825345993042
16992.666,2.532012,198.33371619837817,98.4226,399.13,90.312935,0.4189424,0.02532012,88.47265,78.59472,100,0.010231191,,0.003693058,99.911125,26,53769,9.359949,0.44157046,21.55,0.0044157044,1.0231191,83.95664,54.17401,198.33372,1.1072611,209.95377,299.21887,[ 0.033  0.063  0.065 -0.005 -0.004  0.109 -0.026 -0.078  0.     0.  0.   ],,9.359949,0.36930582,-1.0,2600,255.70462465286255
17406.695,1.8942362,207.8234376603493,99.058685,362.2774,91.17366,0.4189424,0.018942362,92.16111,99.14023,100,0.010465681,,0.0030522526,108.764755,27,56027,9.35874,0.51160246,22.58,0.0051160245,1.046568,106.75235,48.53096,207.82344,1.096808,220.57477,253.51265,[ 0.037  0.059  0.066 -0.003 -0.002  0.113 -0.03  -0.089  0.     0.  0.   ],,9.35874,0.30522522,-1.0,2700,266.99354672431946
11518.156,1.4649972,197.915479163695,116.25118,474.24014,97.92086,0.4189424,0.014649971,98.25839,55.643448,100,0.010130274,,0.0013486919,81.6643,28,58180,9.359602,0.698361,21.53,0.00698361,1.0130275,59.23462,61.03328,197.91548,1.0212328,203.00914,392.57584,[ 0.039  0.062  0.062 -0.003 -0.003  0.122 -0.035 -0.097  0.     0.  0.   ],,9.359602,0.1348692,-1.0,2800,276.4617931842804
9572.286,1.7034047,189.01062249357255,116.53705,315.36563,95.12657,0.4189424,0.017034046,95.35968,94.40094,100,0.010053512,,0.0022177368,72.473564,29,60238,9.359933,0.33703998,20.58,0.0033703996,1.0053514,97.82421,49.033092,189.0106,1.051231,194.8271,242.89206,[ 0.044  0.064  0.062 -0.002 -0.001  0.129 -0.03  -0.099  0.     0.  0.   ],,9.359933,0.2217737,-1.0,2900,287.99914169311523
