MaxIWNorm,ReturnStepMax,StdIWNorm,MeanIW,Bound,MaxIW,ESSRenyi,InitialReturnMean,J_sample_variance,MinIWNorm,MeanIWNorm,InitialReturnMax,EpThisIter,Weights,EpisodesSoFar,Iteration,TimeElapsed,StdIW,ReturnMeanIW,InitialReturnStd,EmpiricalD2,EpRewMean,InitialReturnMin,ESSClassic,TimestepsSoFar,MinIW,OptimizationReturnMin,MeanEntropy,OptimizationReturnMean,OptimizationReturnMax,ReturnStepMaxmin,EpLenMean,VarianceInit,InitialBound,LearnableVariance
4.1603336,9.359725,0.41383603,5.281336,729.8849,416.0334,8.554917,139.20224,38638324.0,0.0005456432,0.05281336,276.7576,100,[-0. -0.  0.  0.  0.  0.  0.  0. -0. -0. -0.  0.],100,1,1.06553053855896,41.383606,1013.75055,43.609783,11.689184,139.20223845399423,62.732002,1.6025616,1523,0.054564323,,1.3671325,76.47024,214.0256,9.359725,15.23,-1,56.174965,True
0.011800973,9.359669,0.0010800746,1.0050232,49.96792,1.1800973,98.60855,123.85889,5865.8916,0.0072373045,0.0100502325,250.26193,100,[ 0.016  0.004 -0.015 -0.045 -0.036  0.122 -0.112 -0.083  0.     0.  0.    -0.052],200,2,3.156989574432373,0.10800747,125.574356,39.90521,1.0141108,123.85887942097048,62.721733,98.85828,2880,0.72373044,,1.3566422,61.137142,187.54019,9.359669,13.57,-1,48.780296,True
0.028234094,9.359803,0.0036734927,1.051921,60.736595,2.8234096,89.52864,136.94019,8438.942,0.0047131763,0.01051921,277.4392,100,[ 0.02   0.007 -0.009 -0.033 -0.025  0.121 -0.106 -0.08   0.     0.  0.    -0.062],300,3,4.4336326122283936,0.36734927,148.70122,41.58442,1.116961,136.94018166468234,62.759018,89.1303,4379,0.47131765,,1.3746978,74.18116,214.68019,9.359803,14.99,-1,53.708427,True
0.05386918,9.359853,0.008564077,1.1261123,76.26548,5.386918,63.39095,139.09355,23759.31,0.0013888155,0.011261122,267.3269,100,[ 0.026  0.019 -0.001 -0.053 -0.039  0.14  -0.101 -0.101  0.     0.  0.    -0.044],400,4,5.989571809768677,0.85640764,176.9935,47.65777,1.5775123,139.0935538047696,53.62426,63.356934,5901,0.13888155,,1.4163134,85.4693,213.70264,9.359853,15.22,-1,58.895485,True
0.012980206,9.359606,0.0014845245,1.0165348,41.21756,1.2980206,97.432434,140.04265,7173.2524,0.0057034255,0.010165348,342.52765,100,[ 0.059 -0.012  0.042 -0.051 -0.018  0.159 -0.095 -0.146  0.     0.  0.    -0.003],500,5,7.6765663623809814,0.14845243,145.321,44.118202,1.0263523,140.04264724696966,63.12138,97.91181,7432,0.57034254,,1.4042507,76.921265,279.40628,9.359606,15.31,-1,37.284363,True
0.016042236,9.358268,0.0011473466,1.0053375,42.39267,1.6042237,98.89363,145.94685,7889.1567,0.006995466,0.010053376,352.5757,100,[ 0.083 -0.042  0.079 -0.054  0.012  0.118 -0.127 -0.167  0.     0.  0.    -0.015],600,6,9.052047491073608,0.11473468,148.7554,52.700054,1.0111874,145.9468592484024,63.054756,98.71426,9028,0.69954664,,1.3899394,82.89211,289.52097,9.358268,15.96,-1,40.174164,True
0.21852432,9.359717,0.030868724,1.4861172,121.4261,21.852432,26.24679,152.66481,744283.06,3.4531266e-05,0.014861172,380.6505,100,[ 0.12  -0.073  0.119 -0.046  0.006  0.146 -0.11  -0.171  0.     0.  0.    -0.029],700,7,10.311145782470703,3.0868723,344.32584,57.575108,3.8099897,152.6648245363082,62.828762,18.816422,10696,0.0034531266,,1.2797395,89.83605,317.82175,9.359717,16.68,-1,38.469666,True
0.034559734,9.359867,0.006650556,1.1124606,112.29256,3.4559736,72.5105,181.78719,21458.166,0.0025964747,0.011124606,295.9671,100,[ 0.128 -0.072  0.131 -0.034  0.02   0.149 -0.077 -0.215  0.     0.  0.    -0.139],800,8,12.701678037643433,0.66505563,216.56372,56.576294,1.3791107,181.78719538459228,72.239716,73.67059,12676,0.2596475,,1.2475464,109.54749,223.72739,9.359867,19.8,-1,92.99706,True
0.03712551,9.359388,0.00667931,1.1178975,92.27361,3.7125509,80.137276,191.1946,16712.115,0.0017060624,0.011178976,370.68802,100,[ 0.127 -0.065  0.117 -0.031  0.034  0.172 -0.105 -0.261  0.     0.  0.    -0.171],900,9,14.200976610183716,0.667931,216.4996,53.942417,1.2478588,191.19460930078836,72.29863,73.69236,14759,0.17060624,,1.2619785,118.89597,298.3894,9.359388,20.83,-1,79.98821,True
0.028619336,9.359708,0.0042427517,1.0266744,82.51398,2.8619337,86.32566,201.90602,23534.406,0.0019210776,0.010266743,436.09515,100,[ 0.126 -0.081  0.115 -0.029  0.032  0.181 -0.134 -0.296  0.     0.  0.    -0.157],1000,10,16.19150185585022,0.4242752,223.32367,68.40757,1.1584041,201.9060124316667,72.17235,85.41335,16958,0.19210777,,1.2404634,129.73366,363.9228,9.359708,21.99,-1,71.07745,True
