MinIW,ReturnStepMax,MeanIW,InitialReturnMean,LearnableVariance,VarianceInitializer,InitialBound,MinTargetPdf,Weights,MeanEntropy,MeanD2-0,ESSRenyiArithmetic,StdIW,EmpiricalD2Harmonic,EpRewMean,TimeElapsed,Epsilon,EpThisIter,TimestepsSoFar,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MaxIW,Inner Iteration,WReturnMean,InitialReturnMin,ESSRenyiHarmonic,ReturnMeanIW,OptimizationReturnMin,EmpiricalD2Arithmetic,DivergenceHarmonic,InitialReturnStd,EpLenMean,Penalization,StdWReturnMean,Iteration,MinBehavPdf,Bound,OptimizationReturnMean,EpisodesSoFar
0.026451346,9.35997,1074922.4,172.96138,,-1.0,-34679.973,-22.91453,[ 0.  0. -0.  0. -0.  0.  0. -0.  0.  0.  0.],0.4189424,1.0,100.0,10670959.0,1.0,172.96139250639644,6.975315570831299,2.0,100,1884,297.12546,387.7844,9.35997,107249580.0,1,33168.63,90.658936,100.0,19933174000.0,,1.0,3.349705e+19,57.03498,18.84,True,,1,-22.91453,-8767078400000.0,82.30245,100
0.03371738,9.359784,3361.144,220.31645,,-1.0,-54950.836,-23.133955,[-0.     0.007 -0.004 -0.002 -0.001 -0.006  0.038 -0.048  0.     0.  0.   ],0.4189424,1.0,100.0,31367.277,1.0,220.31643556525515,14.923449516296387,2.0,100,4278,353.6781,453.74756,9.359784,315384.75,1,52881.594,100.06944,100.0,93261864.0,,1.0,34367922000.0,65.89585,23.94,True,,2,-23.133955,-476869820.0,120.246994,200
0.087710984,9.359822,123.02749,258.8905,,-1.0,-73443.78,-27.66135,[ 0.001  0.015 -0.012  0.005  0.005  0.009  0.056 -0.104  0.     0.  0.   ],0.4189424,1.0,100.0,646.99493,1.0,258.89052484412144,23.468618392944336,2.0,100,7082,318.98462,473.37296,9.359822,5297.01,1,71191.67,154.38835,100.0,4341053.5,,1.0,158391550.0,64.55521,28.04,True,,3,-27.66135,-32684674.0,104.502174,300
0.10421501,9.359508,323659000.0,311.04138,,-1.0,-107337.57,-32.64691,[-0.001  0.021 -0.015  0.01   0.011  0.002  0.088 -0.157  0.     0.  0.   ],0.4189424,1.0,100.0,1918033300.0,1.0,311.0413733548288,30.486596822738647,2.0,100,10442,401.36896,585.3476,9.359508,13720743000.0,1,103893.984,183.97864,100.0,31581482000000.0,,1.0,1.6365749e+30,84.5414,33.6,True,,4,-32.64691,-4.4053574e+18,127.062744,400
0.32802984,9.359805,3.1286962,359.49496,,-1.0,-141905.16,-29.591228,[ 0.009  0.062 -0.03  -0.    -0.004  0.014  0.15  -0.253  0.     0.  0.   ],0.4189424,1.0,100.0,5.8500586,1.0,359.4949394233574,40.52294373512268,2.0,100,14321,506.5033,736.0055,9.359805,50.763298,1,136460.81,229.50221,100.0,507415.78,,1.0,211774930000.0,84.995255,38.79,True,,5,-29.591228,-2505934300.0,129.99272,500
0.07280877,9.359436,23.804373,388.5543,,-1.0,-168816.2,-38.655872,[ 0.017  0.066 -0.033 -0.005 -0.009  0.041  0.14  -0.256  0.     0.  0.   ],0.4189424,1.0,100.0,88.09653,1.0,388.55428827407627,52.239442110061646,2.0,100,18511,472.59216,692.8618,9.359436,769.05365,1,163991.44,220.26965,100.0,2887639.0,,1.0,70732856.0,114.092064,41.9,True,,6,-38.655872,-43465228.0,168.28462,600
0.086724184,9.359748,1657.6234,364.6376,,-1.0,-150502.02,-39.420654,[ 0.024  0.068 -0.036  0.023  0.02   0.054  0.148 -0.301  0.     0.  0.   ],0.4189424,1.0,100.0,13062.553,1.0,364.63757719343187,64.5951087474823,2.0,100,22445,590.1896,838.6114,9.359748,129758.945,1,143433.88,248.42178,100.0,355092450.0,,1.0,6.7779535e+21,102.33932,39.34,True,,7,-39.420654,-581906800000000.0,116.2158,700
0.10245499,9.359849,242.68832,414.85968,,-1.0,-194441.47,-41.819542,[ 0.022  0.078 -0.043  0.    -0.003  0.1    0.129 -0.315  0.     0.  0.   ],0.4189424,1.0,100.0,1496.0969,1.0,414.85967065205557,77.82247352600098,2.0,100,26917,567.9365,818.1991,9.359849,14712.472,1,187713.23,250.26257,100.0,64719464.0,,1.0,7212490000.0,124.918755,44.72,True,,8,-41.819542,-636123140.0,164.59709,800
0.01415053,9.359933,123473.44,404.23898,,-1.0,-180813.25,-39.467033,[ 0.044  0.077 -0.046  0.001 -0.003  0.15   0.111 -0.339  0.     0.  0.   ],0.4189424,1.0,100.0,1219937.8,1.0,404.238959330302,93.92785358428955,2.0,100,31279,514.4867,745.6172,9.359933,12261418.0,1,175225.78,231.13046,100.0,55940674000.0,,1.0,8.259768e+35,108.70443,43.62,True,,9,-39.467033,-5.0780636e+21,173.10849,900
0.15670687,9.359909,73.84968,405.2214,,-1.0,-177082.92,-39.098072,[ 5.278e-02  7.959e-02 -4.702e-02  5.119e-03  2.728e-04  2.059e-01  8.445e-02 -3.385e-01  0.000e+00  0.000e+00  0.000e+00],0.4189424,1.0,100.0,424.323,1.0,405.2214155605385,109.46159362792969,2.0,100,35651,421.5166,642.0152,9.359909,3928.528,1,172940.31,220.49858,100.0,10233559.0,,1.0,139166030.0,93.46613,43.72,True,,10,-39.098072,-59103256.0,184.72284,1000
0.048978742,9.359977,42.330807,423.43442,,-1.0,-200844.44,-43.16362,[ 0.044  0.081 -0.055 -0.025 -0.032  0.203  0.095 -0.38   0.     0.  0.   ],0.4189424,1.0,100.0,103.68244,1.0,423.4344564780773,126.1880795955658,2.0,100,40217,596.0503,817.2313,9.359977,605.29034,1,194132.11,221.18106,100.0,11832579.0,,1.0,1.4865921e+18,121.80055,45.66,True,,11,-43.16362,-8184063000000.0,202.25337,1100
0.05222758,9.3599,1695.1552,444.53476,,-1.0,-220876.55,-49.403378,[ 4.219e-02  8.256e-02 -5.696e-02 -1.746e-04 -8.358e-03  1.725e-01  1.287e-01 -4.055e-01  0.000e+00  0.000e+00  0.000e+00],0.4189424,1.0,100.0,8755.952,1.0,444.5347848149627,143.97013425827026,2.0,100,45010,618.33435,876.82874,9.3599,74819.625,1,213149.52,258.4944,100.0,591527600.0,,1.0,6.875511e+21,124.65288,47.93,True,,12,-49.403378,-640714900000000.0,186.0404,1200
0.12861253,9.35997,263.59335,441.9067,,-1.0,-216429.45,-40.232605,[ 0.05   0.065 -0.056  0.001 -0.007  0.213  0.092 -0.428  0.     0.  0.   ],0.4189424,1.0,100.0,1245.8197,1.0,441.9067153883843,163.19854307174683,2.0,100,49775,608.2196,867.28357,9.35997,10254.909,1,208869.73,259.064,100.0,82070424.0,,1.0,3.2140644e+24,116.56849,47.65,True,,13,-40.232605,-1.355289e+16,182.84271,1300
0.022703582,9.35997,85098.84,437.99655,,-1.0,-211781.17,-38.429882,[ 0.042  0.06  -0.059 -0.02  -0.029  0.172  0.109 -0.458  0.     0.  0.   ],0.4189424,1.0,100.0,620719.75,1.0,437.99660357619183,178.61845088005066,2.0,100,54498,613.5137,873.1384,9.35997,5847740.0,1,204119.05,259.62473,100.0,33261530000.0,,1.0,1.8878577e+36,110.806274,47.23,True,,14,-38.429882,-1.0527692e+22,178.37187,1400
0.07418138,9.359919,46.48029,368.66495,,-1.0,-148101.8,-36.80829,[ 0.05   0.057 -0.059  0.061  0.053  0.131  0.129 -0.453  0.     0.  0.   ],0.4189424,1.0,100.0,189.56302,1.0,368.6649751843154,194.31507349014282,2.0,100,58475,444.0999,683.8584,9.359919,1733.5387,1,143401.61,239.75847,100.0,5695790.5,,1.0,22067896000.0,86.53185,39.77,True,,15,-36.80829,-703920600.0,128.90651,1500
0.054217216,9.359953,140129.52,439.541,,-1.0,-219464.17,-48.908848,[ 0.052  0.063 -0.062  0.029  0.021  0.166  0.12  -0.474  0.     0.  0.   ],0.4189424,1.0,100.0,1393988.0,1.0,439.54098462020374,213.37850069999695,2.0,100,63216,709.35516,975.9386,9.359953,14010137.0,1,209891.61,266.58344,100.0,46001570000.0,,1.0,1.7648103e+23,129.21042,47.41,True,,16,-48.908848,-4021437700000000.0,172.95758,1600
0.018823942,9.359926,35339.688,470.99524,,-1.0,-259834.42,-48.31156,[ 0.048  0.057 -0.062  0.016  0.008  0.12   0.145 -0.501  0.     0.  0.   ],0.4189424,1.0,100.0,297192.4,1.0,470.9952822397286,238.91860342025757,2.0,100,68294,869.5581,1136.2618,9.359926,2968774.5,1,246858.44,266.70377,100.0,10012123000.0,,1.0,3.3892416e+34,158.18303,50.78,True,,17,-48.31156,-2.388859e+21,204.2915,1700
0.04555683,9.359819,1066.0474,474.7312,,-1.0,-255149.64,-46.814163,[-0.028  0.06  -0.078 -0.019 -0.031  0.06   0.112 -0.546  0.     0.  0.   ],0.4189424,1.0,100.0,4570.77,1.0,474.7312303122794,263.1527364253998,2.0,100,73412,671.6351,940.6447,9.359819,33062.11,1,246256.92,269.00964,100.0,219398900.0,,1.0,1.7601193e+31,144.52396,51.18,True,,18,-46.814163,-3.7308233e+19,205.72159,1800
0.049957912,9.359982,60.593697,506.08023,,-1.0,-301000.72,-58.147774,[ 0.006  0.066 -0.084  0.024  0.013  0.097  0.151 -0.634  0.     0.  0.   ],0.4189424,1.0,100.0,449.67355,1.0,506.08021155755284,288.3984935283661,2.0,100,78868,875.82935,1163.5651,9.359982,4471.6035,1,287393.66,287.7357,100.0,67705384.0,,1.0,2.4548326e+18,176.85156,54.56,True,,19,-58.147774,-21319452000000.0,218.34453,1900
0.1300405,9.359823,9.062757,498.17007,,-1.0,-295060.28,-54.270508,[-0.009  0.068 -0.084 -0.017 -0.028  0.086  0.149 -0.622  0.     0.  0.   ],0.4189424,1.0,100.0,47.345665,1.0,498.17004771232024,308.3944320678711,2.0,100,84238,938.56866,1197.782,9.359823,467.4949,1,280641.16,259.21332,100.0,1839560.5,,1.0,163259810000000.0,180.18814,53.7,True,,20,-54.270508,-184239140000.0,238.95673,2000
0.017087819,9.359957,11.426305,497.79175,,-1.0,-280457.5,-45.378723,[ 0.003  0.068 -0.084 -0.012 -0.023  0.108  0.136 -0.611  0.     0.  0.   ],0.4189424,1.0,100.0,20.173376,1.0,497.7916988179976,324.1082320213318,2.0,100,89603,670.65967,929.50934,9.359957,101.80413,1,271774.06,258.84967,100.0,2952571.2,,1.0,39498070000.0,154.84666,53.65,True,,21,-45.378723,-1728702500.0,238.94203,2100
0.19544788,9.3599,945.3656,488.23648,,-1.0,-270167.62,-53.104828,[-0.002  0.069 -0.085  0.026  0.015  0.09   0.152 -0.632  0.     0.  0.   ],0.4189424,1.0,100.0,9197.667,1.0,488.2364469814202,339.0369155406952,2.0,100,94864,721.5448,1006.35187,9.3599,92449.84,1,259989.14,284.80707,100.0,592728000.0,,1.0,7.1787625e+18,147.01805,52.61,True,,22,-53.104828,-27271958000000.0,203.42938,2200
0.12590694,9.35992,2.368432,507.1391,,-1.0,-289350.5,-45.945625,[ 0.038  0.07  -0.084  0.003 -0.007  0.12   0.168 -0.643  0.     0.  0.   ],0.4189424,1.0,100.0,6.104337,1.0,507.13908835386275,355.09564113616943,2.0,100,100331,672.88403,986.0554,9.35992,59.21466,1,279578.44,313.1714,100.0,786165.25,,1.0,130627976.0,149.62758,54.67,True,,23,-45.945625,-112473310.0,193.96771,2300
