MinIW,VarianceInitializer,TimestepsSoFar,OptimizationReturnMax,OptimizationReturnMean,MinTargetPdf,EpLenMean,Epsilon,Penalization,ReturnStepMax,StdWReturnMean,MaxIW,LearnableVariance,StdIW,Inner Iteration,Bound,DivergenceHarmonic,ReturnStepMaxmin,MeanD2-0,WReturnMean,EpThisIter,MeanEntropy,InitialReturnMax,EpRewMean,Iteration,InitialReturnMean,InitialBound,MinBehavPdf,EpisodesSoFar,ESSRenyiHarmonic,MeanIW,TimeElapsed,EmpiricalD2Arithmetic,OptimizationReturnMin,EmpiricalD2Harmonic,InitialReturnMin,ESSRenyiArithmetic,Weights,InitialReturnStd,ReturnMeanIW
0.041099314,-1.0,1864,308.22296,89.56485,-19.037369,18.64,2.0,True,9.359892,,1877177.9,,186939.47,1,-734343300000.0,2.3104265e+17,9.359892,1.0,32173.307,100,0.4189424,389.78595,171.12782663349586,1,171.1278,-33700.293,-19.037369,100,100.0,21229.51,3.1622300148010254,1.0,,1.0,81.56297,100.0,[-0.  0. -0.  0. -0. -0.  0.  0.  0.  0. -0.],53.745438,369057500.0
0.061176803,-1.0,4062,243.42426,92.964485,-22.374632,21.98,2.0,True,9.359875,,9767.242,,1163.0072,1,-5500578300.0,19331876000000.0,9.359875,1.0,42987.008,100,0.4189424,352.4964,202.0366435103933,2,202.03664,-44235.805,-22.374632,200,100.0,294.55786,7.316939115524292,1.0,,1.0,109.07215,100.0,[ 0.002  0.011 -0.001  0.011  0.014 -0.003  0.034 -0.048  0.     0.  0.   ],46.563972,9865339.0
0.117158115,-1.0,6769,273.08582,85.846634,-28.211864,27.07,2.0,True,9.359603,,4472.4565,,766.30884,1,-327498750.0,26486129000.0,9.359603,1.0,65062.13,100,0.4189424,436.7,249.46082337599583,3,249.46085,-66978.805,-28.211864,300,100.0,210.44133,10.765150785446167,1.0,,1.0,163.6142,100.0,[-0.006  0.024  0.01   0.01   0.012 -0.067  0.139 -0.051  0.     0.  0.   ],53.21114,15568088.0
0.12561981,-1.0,9142,300.19635,91.216286,-20.771526,23.73,2.0,True,9.359966,,48694.977,,5028.7134,1,-1037964800.0,297703280000.0,9.359966,1.0,49771.734,100,0.4189424,427.26562,218.28555184007575,4,218.28555,-51606.492,-20.771526,400,100.0,888.0527,14.070132970809937,1.0,,1.0,127.06927,100.0,[-0.012  0.024  0.016  0.001  0.006 -0.09   0.134  0.005  0.     0.  0.   ],46.07767,36881710.0
0.08332479,-1.0,12058,383.19128,105.54634,-27.545914,29.16,2.0,True,9.36,,6043.102,,701.7082,1,-354409250.0,12878015000.0,9.36,1.0,77008.3,100,0.4189424,546.7323,269.0873468018592,5,269.08734,-80012.52,-27.545914,500,100.0,201.27847,18.675872087478638,1.0,,1.0,163.54102,100.0,[-0.013  0.033  0.011  0.004  0.01  -0.094  0.164 -0.048  0.     0.  0.   ],67.82555,13486208.0
0.067150876,-1.0,15126,254.21132,110.87005,-28.714165,30.68,2.0,True,9.359965,,111942.44,,11903.548,1,-17397019000.0,88242695000000.0,9.359965,1.0,83218.164,100,0.4189424,426.93417,283.5929107069988,6,283.59293,-85050.08,-28.714165,600,100.0,1952.6947,23.964367628097534,1.0,,1.0,172.72285,100.0,[-0.015  0.042  0.005 -0.013 -0.009 -0.09   0.186 -0.099  0.     0.  0.   ],52.85102,188494340.0
0.07925508,-1.0,18496,292.67615,101.43959,-26.269272,33.7,2.0,True,9.359902,,54687.45,,5440.563,1,-81392910.0,102466100.0,9.359902,1.0,100507.1,100,0.4189424,502.9076,311.6710572374759,7,311.67108,-103049.01,-26.269272,700,100.0,616.9986,28.949277877807617,1.0,,1.0,210.23146,100.0,[-0.028  0.044  0.002 -0.003  0.005 -0.16   0.26  -0.168  0.     0.  0.   ],58.036674,55662372.0
0.073600166,-1.0,22073,371.16687,101.91479,-27.098755,35.77,2.0,True,9.359913,,686225.1,,68257.555,1,-5647696400000.0,2.4281733e+18,9.359913,1.0,114869.56,100,0.4189424,600.38416,331.1320692370044,8,331.13208,-118492.336,-27.098755,800,100.0,7171.27,34.62189054489136,1.0,,1.0,229.21729,100.0,[-0.026  0.053 -0.002  0.008  0.015 -0.151  0.288 -0.22   0.     0.  0.   ],72.25724,2479070000.0
0.08626949,-1.0,25541,558.81635,110.53809,-46.835476,34.68,2.0,True,9.359955,,263.68637,,36.282776,1,-3892330000.0,427834280000.0,9.359955,1.0,109563.87,100,0.4189424,769.2251,320.94684965875507,9,320.94687,-115510.76,-46.835476,900,100.0,10.38966,40.031973361968994,1.0,,1.0,210.40875,100.0,[-0.04   0.061 -0.003 -0.077 -0.058 -0.191  0.316 -0.239  0.     0.  0.   ],80.975266,2531958.5
0.11027178,-1.0,28961,486.46048,104.994484,-34.488216,34.2,2.0,True,9.359654,,786352.9,,104037.69,1,-3988016200000000.0,6.644241e+23,9.359654,1.0,107292.695,100,0.4189424,697.7114,316.24541951291087,10,316.24542,-112185.24,-34.488216,1000,100.0,19832.74,45.10625863075256,1.0,,1.0,211.25095,100.0,[-0.035  0.07  -0.001 -0.103 -0.081 -0.142  0.304 -0.236  0.     0.  0.   ],85.33191,1682954600.0
0.017324038,-1.0,32765,336.6961,112.466644,-34.955574,38.04,2.0,True,9.359907,,436024.88,,44738.17,1,-176048400000000.0,2.7725204e+21,9.359907,1.0,129516.28,100,0.4189424,576.7722,352.54275477240367,11,352.5428,-132859.7,-34.955574,1100,100.0,6808.7383,50.26032757759094,1.0,,1.0,240.07613,100.0,[-0.037  0.069 -0.004 -0.031 -0.007 -0.169  0.345 -0.286  0.     0.  0.   ],72.31797,1473796400.0
0.11138876,-1.0,36394,252.36789,95.75003,-31.56906,36.29,2.0,True,9.359843,,61151.55,,6960.971,1,-133417665000.0,2991608000000000.0,9.359843,1.0,115893.664,100,0.4189424,492.43604,335.81816102191107,12,335.8181,-118330.82,-31.56906,1200,100.0,1245.9371,55.73877215385437,1.0,,1.0,240.06815,100.0,[-0.054  0.069  0.006  0.002  0.025 -0.254  0.419 -0.3    0.     0.  0.   ],55.8555,116364300.0
0.07994893,-1.0,40165,329.2531,92.08894,-28.64471,37.71,2.0,True,9.359999,,1284406.6,,127780.516,1,-9085484000.0,5160909000000.0,9.359999,1.0,126310.164,100,0.4189424,586.4061,349.2419694925903,13,349.24194,-129766.22,-28.64471,1300,100.0,13181.054,60.76064610481262,1.0,,1.0,257.153,100.0,[-0.048  0.075 -0.002  0.019  0.042 -0.227  0.416 -0.35   0.     0.  0.   ],65.880295,1234167600.0
0.07868512,-1.0,43815,357.4139,89.63316,-30.520845,36.5,2.0,True,9.359862,,24111178.0,,2821384.2,1,-5.80044e+18,2.4730421e+30,9.359862,1.0,119033.914,100,0.4189424,605.803,338.0222315312456,14,338.02222,-122722.38,-30.520845,1400,100.0,578712.5,65.68113374710083,1.0,,1.0,248.38907,100.0,[-0.06   0.076  0.006  0.02   0.049 -0.266  0.422 -0.304  0.     0.  0.   ],69.10052,59659770000.0
0.094715625,-1.0,47232,288.8454,85.85501,-30.69122,34.17,2.0,True,9.359751,,4094.9143,,409.8645,1,-10645048000.0,15433125000000.0,9.359751,1.0,103981.984,100,0.4189424,519.0353,316.04489232314666,15,316.0449,-106689.54,-30.69122,1500,100.0,54.311256,70.90656781196594,1.0,,1.0,230.1899,100.0,[-0.054  0.08   0.001  0.094  0.123 -0.251  0.447 -0.365  0.     0.  0.   ],64.01264,8441780.0
0.05330808,-1.0,50415,307.43213,72.72151,-30.49625,31.83,2.0,True,9.359939,,49990.09,,7224.2593,1,-2.2383457e+19,6.3340116e+31,9.359939,1.0,90636.33,100,0.4189424,528.99634,294.2857332893031,16,294.28574,-93448.8,-30.49625,1600,100.0,1782.794,75.21462798118591,1.0,,1.0,221.56422,100.0,[-3.564e-02  8.042e-02 -4.533e-05  1.204e-01  1.459e-01 -2.037e-01  4.383e-01 -3.571e-01  0.000e+00  0.000e+00  0.000e+00],63.4999,337158750.0
0.01433575,-1.0,54108,515.8917,103.068184,-32.371452,36.93,2.0,True,9.35996,,742182700.0,,85991250.0,1,-9.474725e+20,2.7378876e+34,9.35996,1.0,123203.75,100,0.4189424,754.811,341.9874160612764,17,341.98743,-128929.86,-32.371452,1700,100.0,15290305.0,81.02397060394287,1.0,,1.0,238.91924,100.0,[-0.042  0.063  0.001  0.041  0.068 -0.257  0.435 -0.359  0.     0.  0.   ],79.04658,1445268700000.0
0.04546534,-1.0,57974,375.36722,90.76716,-31.624702,38.66,2.0,True,9.359908,,17175.182,,2407.4663,1,-106765690000.0,659272100000000.0,9.359908,1.0,132520.64,100,0.4189424,642.9085,358.30845786162774,18,358.30847,-136674.78,-31.624702,1800,100.0,677.2936,86.88782238960266,1.0,,1.0,267.5413,100.0,[-0.033  0.068 -0.01   0.005  0.032 -0.242  0.469 -0.466  0.     0.  0.   ],64.30935,102862670.0
0.053891417,-1.0,61841,503.83908,90.3417,-35.56584,38.67,2.0,True,9.359929,,10209.339,,1045.1396,1,-6436733000000.0,1.1557314e+18,9.359929,1.0,135990.06,100,0.4189424,771.839,358.34161268805866,19,358.3416,-141977.44,-35.56584,1900,100.0,169.18323,93.38684630393982,1.0,,1.0,267.9999,100.0,[-0.07   0.123 -0.011 -0.07  -0.02  -0.253  0.518 -0.444  0.     0.  0.   ],87.07094,17778038.0
0.008547573,-1.0,65838,421.0312,102.55793,-35.67517,39.97,2.0,True,9.359846,,156513.19,,19987.775,1,-59954400000000.0,1.5785055e+20,9.359846,1.0,145214.84,100,0.4189424,689.05444,370.58118144365807,20,370.5812,-149986.73,-35.67517,2000,100.0,4593.894,100.00314784049988,1.0,,1.0,268.02325,100.0,[-0.056  0.126 -0.019 -0.078 -0.026 -0.205  0.495 -0.472  0.     0.  0.   ],88.79435,1174048500.0
0.20086129,-1.0,69844,540.1499,112.17107,-36.18447,40.06,2.0,True,9.359854,,1760.5022,,277.38986,1,-2883760400000.0,2.016426e+17,9.359854,1.0,146092.05,100,0.4189424,799.35864,371.379772177595,21,371.37976,-152513.98,-36.18447,2100,100.0,84.87095,106.74795985221863,1.0,,1.0,259.2087,100.0,[-0.062  0.128 -0.015 -0.051 -0.004 -0.193  0.438 -0.367  0.     0.  0.   ],90.38317,14927565.0
0.07557669,-1.0,73817,441.32898,109.96983,-36.978382,39.73,2.0,True,9.359882,,1076.1857,,142.71068,1,-321457340.0,4180166700.0,9.359882,1.0,142325.36,100,0.4189424,699.6128,368.2536412992975,22,368.25366,-147244.61,-36.978382,2200,100.0,30.499657,112.35885429382324,1.0,,1.0,258.2838,100.0,[-0.051  0.134 -0.021 -0.071 -0.026 -0.147  0.422 -0.39   0.     0.  0.   ],81.94277,3407859.8
0.08310203,-1.0,78069,458.97446,127.41375,-32.920925,42.52,2.0,True,9.35984,,637172.5,,66347.18,1,-747568760000.0,1.985568e+16,9.35984,1.0,162468.95,100,0.4189424,725.82825,394.2675348212564,23,394.26755,-167763.77,-32.920925,2300,100.0,9227.979,118.41252970695496,1.0,,1.0,266.8538,100.0,[-0.049  0.139 -0.022 -0.033  0.01  -0.137  0.437 -0.417  0.     0.  0.   ],83.79779,1476559500.0
0.05326255,-1.0,82157,568.54877,128.02426,-47.870266,40.88,2.0,True,9.359863,,16071099.0,,2279877.5,1,-1.8125692e+18,7.225518e+28,9.359863,1.0,151760.4,100,0.4189424,819.10364,378.5791326764333,24,378.57913,-158503.52,-47.870266,2400,100.0,397872.1,124.54136490821838,1.0,,1.0,250.55487,100.0,[-0.042  0.14  -0.026 -0.06  -0.012 -0.154  0.474 -0.53   0.     0.  0.   ],91.86004,48503300000.0
