OptimizationReturnMin,TimestepsSoFar,MaxIWNorm,MaxIW,InitialReturnMean,ReturnStepMax,EpThisIter,TimeElapsed,EpLenMean,LearnableVariance,EpRewMean,MeanIWNorm,Weights,InitialReturnMax,MinIWNorm,StdIWNorm,EmpiricalD2,MeanEntropy,VarianceInit,InitialReturnMin,ESSRenyi,MeanIW,ESSClassic,Iteration,OptimizationReturnMean,ReturnStepMaxmin,EpisodesSoFar,J_sample_variance,InitialReturnStd,InitialBound,StdIW,ReturnMeanIW,MinIW,Bound,OptimizationReturnMax
,1775,0.016869519,1.686952,162.81555,9.359884,100,2.0585007667541504,17.75,,162.815550242972,0.010235107,[ 0. -0. -0. -0. -0.  0. -0. -0.  0.  0. -0.],352.8325,0.0044536516,0.0022854337,1.0529674,0.4189424,-1.0,81.381775,94.969696,1.0235108,95.2508,1,81.43378,9.359884,100,10202.754,47.528778,56.965797,0.22854337,168.7445,0.4453652,60.12764,271.4507
,3702,0.019587275,1.9587275,177.00685,9.3599,100,5.3187994956970215,19.27,,177.00685512553957,0.010251032,[ 0.002 -0.     0.002  0.002  0.003 -0.001 -0.    -0.006  0.     0.  0.   ],343.10345,0.0031256415,0.003901155,1.1493409,0.4189424,-1.0,81.37875,87.00639,1.0251032,87.34941,2,95.6281,9.3599,200,14842.069,53.077923,74.07582,0.39011553,191.8226,0.31256416,81.47301,261.7247
,5687,0.01728392,1.7283921,182.27435,9.359665,100,7.8930840492248535,19.85,,182.27437690473246,0.010414536,[ 0.007 -0.001  0.013 -0.002  0.    -0.005  0.007 -0.011  0.     0.  0.   ],341.44452,0.0027316979,0.003164147,1.1043357,0.4189424,-1.0,90.43759,90.55218,1.0414537,91.54938,3,91.8368,9.359665,300,14407.772,47.95075,79.84102,0.3164147,196.32922,0.2731698,88.68469,251.00693
,7676,0.037463672,3.7463675,182.70795,9.359811,100,10.72074007987976,19.89,,182.70797033609378,0.011231661,[-0.002  0.011  0.011 -0.002 -0.004 -0.016  0.014 -0.011  0.     0.  0.   ],305.5302,0.0011862412,0.0063802544,1.3859422,0.4189424,-1.0,72.3853,72.15308,1.1231661,75.60339,4,110.32266,9.359811,400,19318.248,46.640736,91.048904,0.6380255,216.91403,0.11862412,109.00745,233.14491
,9817,0.042533558,4.253356,196.80002,9.359904,100,14.2940514087677,21.41,,196.80002890785204,0.010413408,[-0.002  0.011  0.01   0.001  0.001 -0.023  0.015 -0.024  0.     0.  0.   ],426.7109,0.0024628623,0.0053816205,1.1575283,0.4189424,-1.0,81.450714,86.390976,1.0413408,78.921646,5,115.349304,9.359904,500,18346.691,56.83787,68.78676,0.53816205,212.08763,0.24628624,74.36009,345.2602
,11968,0.01762355,1.762355,197.71674,9.359424,100,17.559930086135864,21.51,,197.71675335376491,0.010552279,[-0.007  0.016  0.009 -0.005 -0.003 -0.021  0.01  -0.036  0.     0.  0.   ],408.88016,0.0038079876,0.002425822,1.0924109,0.4189424,-1.0,109.117386,91.54064,1.0552278,94.9805,6,88.599365,9.359424,600,19314.512,57.530098,75.05271,0.24258219,212.48985,0.38079876,84.28328,299.76276
,14235,0.018524941,1.8524942,208.56636,9.359671,100,20.27595806121826,22.67,,208.56637516325682,0.009910655,[-0.007  0.02   0.008  0.003  0.005 -0.018  0.012 -0.041  0.     0.  0.   ],521.1229,0.003184442,0.0033933264,1.0986451,0.4189424,-1.0,108.97744,91.0212,0.9910655,89.506905,7,99.588936,9.359671,700,25036.68,69.07081,52.229492,0.33933267,221.1411,0.3184442,57.274612,412.14548
,16609,0.026082674,2.6082675,218.63081,9.359899,100,23.439754009246826,23.74,,218.63081011949845,0.010331635,[-0.015  0.022  0.016 -0.    -0.002 -0.025  0.022 -0.042  0.     0.  0.   ],492.5905,0.0035000253,0.0030589544,1.0787793,0.4189424,-1.0,108.56694,92.697365,1.0331634,91.940384,8,110.06387,9.359899,800,21721.223,63.81205,70.85367,0.30589548,231.1288,0.35000253,77.64108,384.02356
,18894,1.1112643,111.126434,210.29617,9.359996,100,26.990152597427368,22.85,,210.29617067978623,0.02131314,[-0.023  0.031  0.016 -0.005 -0.009 -0.023  0.022 -0.047  0.     0.  0.   ],395.8324,0.0014215204,0.11056205,5.3433495,0.4189424,-1.0,118.512436,18.714853,2.131314,3.582917,9,91.78373,9.359996,900,4815481.5,51.341015,91.54645,11.056204,550.2099,0.14215204,275.7118,277.31995
,21071,0.018933343,1.8933343,200.24321,9.35997,100,30.06130576133728,21.77,,200.24321523941083,0.010313852,[-0.019  0.039  0.011  0.029  0.028  0.013  0.008 -0.043  0.     0.  0.   ],399.40253,0.004429965,0.0017792319,1.0348471,0.4189424,-1.0,99.42929,96.63263,1.0313853,97.11007,10,100.81392,9.35997,1000,15876.732,65.1313,80.42246,0.1779232,206.7079,0.4429965,84.817314,299.97324
,23144,0.018098878,1.8098878,190.5464,9.359825,100,33.665467262268066,20.73,,190.54640946096708,0.010441874,[-0.02   0.04   0.013  0.032  0.034  0.004  0.016 -0.037  0.     0.  0.   ],380.88983,0.00565022,0.002070913,1.0395181,0.4189424,-1.0,81.311005,96.19842,1.0441874,96.21547,11,109.2354,9.359825,1100,13046.938,57.13369,76.27946,0.20709132,202.35078,0.565022,85.8479,299.57883
,25262,0.026618341,2.6618342,194.5067,9.359215,100,37.088544607162476,21.18,,194.5067132728032,0.010491439,[-0.013  0.051  0.019  0.039  0.034  0.019  0.042 -0.026  0.     0.  0.   ],451.28027,0.0028465446,0.0029319925,1.0829624,0.4189424,-1.0,109.01697,92.33931,1.0491439,92.7557,12,85.489746,9.359215,1200,22643.227,55.357964,59.122635,0.29319927,210.17804,0.28465447,69.28995,342.2633
,27436,0.022662027,2.2662027,199.95473,9.359742,100,40.92280912399292,21.74,,199.95471155178842,0.010184055,[-0.016  0.052  0.023  0.038  0.034  0.001  0.051 -0.021  0.     0.  0.   ],361.05826,0.0063425684,0.0022085838,1.040158,0.4189424,-1.0,90.60128,96.13924,1.0184054,95.50811,13,109.353424,9.359742,1300,14131.384,54.41388,91.63722,0.22085838,207.25873,0.63425684,96.78775,270.45697
,29718,0.021466097,2.1466098,209.91756,9.359847,100,44.29752707481384,22.82,,209.91757366010904,0.010399439,[ 0.001  0.039  0.027  0.022  0.041  0.001  0.05  -0.027  0.     0.  0.   ],416.40387,0.0046800217,0.0031328723,1.1030402,0.4189424,-1.0,99.90212,90.65852,1.0399438,91.67969,14,110.01545,9.359847,1400,19001.69,57.61685,84.99642,0.31328723,224.59973,0.46800217,93.40039,316.50174
,31981,0.035751726,3.575173,208.08727,9.359909,100,48.318044662475586,22.63,,208.08725943523964,0.010693438,[ 0.     0.044  0.031  0.011  0.035 -0.006  0.062 -0.021  0.     0.  0.   ],389.34845,0.0017808574,0.0051024775,1.1408228,0.4189424,-1.0,108.74475,87.65604,1.0693439,81.45438,15,99.34251,9.359909,1500,24343.184,57.169167,91.28272,0.5102477,228.16818,0.17808574,103.41008,280.6037
,34388,0.016497366,1.6497366,221.54672,9.3593025,100,52.54119086265564,24.07,,221.5467104789855,0.010498932,[-0.001  0.065  0.031 -0.007  0.03   0.004  0.086 -0.006  0.     0.  0.   ],380.2784,0.004376588,0.0023040073,1.0636928,0.4189424,-1.0,126.95251,94.01211,1.0498931,95.40537,16,94.5942,9.3593025,1600,21744.309,54.471535,107.46319,0.23040073,232.29689,0.43765882,114.63631,253.3259
,36732,0.22034857,22.034857,215.69643,9.35997,100,56.23560309410095,23.44,,215.69640602653,0.012720371,[-0.004  0.065  0.036 -0.011  0.03  -0.018  0.082 -0.005  0.     0.  0.   ],434.937,0.002080634,0.022261273,1.6858989,0.4189424,-1.0,99.7625,59.315536,1.272037,24.614342,17,115.933914,9.35997,1700,217790.08,59.536034,85.21532,2.2261271,292.2606,0.2080634,122.84111,335.1745
,39102,0.015988983,1.5988984,218.16777,9.359971,100,60.19502639770508,23.7,,218.167762636819,0.010118834,[ 0.001  0.061  0.036 -0.031  0.01   0.004  0.056 -0.021  0.     0.  0.   ],520.5662,0.004762465,0.002175392,1.048043,0.4189424,-1.0,117.98288,95.41593,1.0118833,95.58232,18,100.184875,9.359971,1800,23657.482,75.24194,61.99788,0.2175392,227.47733,0.47624654,67.60004,402.58334
,41441,0.016087672,1.6087672,215.25085,9.359892,100,64.69446468353271,23.39,,215.25086611207263,0.0101707615,[ 0.005  0.061  0.042 -0.026  0.016  0.006  0.067 -0.019  0.     0.  0.   ],380.94003,0.0027073429,0.0030837916,1.0999855,0.4189424,-1.0,99.714264,90.91029,1.0170761,91.58085,19,115.5366,9.359892,1900,17538.545,58.22997,100.968864,0.30837917,226.9405,0.27073428,107.081314,281.22577
,43878,0.11444164,11.444164,224.44643,9.359936,100,68.1952109336853,24.37,,224.44641719411902,0.011244405,[ 0.006  0.057  0.05  -0.032  0.006 -0.016  0.065 -0.026  0.     0.  0.   ],481.7639,0.0006355335,0.012461233,1.5941987,0.4189424,-1.0,127.24312,62.727436,1.1244407,44.88042,20,97.20331,9.359936,2000,185202.05,67.83414,79.91725,1.2461231,283.69815,0.06355335,101.21333,354.52075
,46318,0.014477573,1.4477574,224.51309,9.359839,100,72.43126630783081,24.4,,224.51307517189014,0.010362931,[ 0.024  0.059  0.048 -0.017  0.006 -0.005  0.069 -0.041  0.     0.  0.   ],418.1905,0.0047116904,0.00249913,1.0852344,0.4189424,-1.0,136.13809,92.14599,1.0362931,94.50381,21,88.37498,9.359839,2100,26738.553,58.55964,99.05592,0.24991302,239.69858,0.47116902,109.00412,282.0524
,48849,0.028772926,2.8772926,233.1079,9.359674,100,75.63594698905945,25.31,,233.10788837858308,0.011773012,[ 0.022  0.057  0.045 -0.009  0.011 -0.019  0.063 -0.049  0.     0.  0.   ],445.2809,0.002163288,0.005370969,1.293705,0.4189424,-1.0,135.67441,77.29738,1.1773012,82.772705,22,97.43349,9.359674,2200,39312.38,68.13845,99.52362,0.5370969,283.9577,0.2163288,132.01741,309.6065
,51330,0.016953578,1.6953578,228.43546,9.359786,100,79.44624161720276,24.81,,228.43545317904906,0.0103484085,[ 0.017  0.06   0.05  -0.006  0.017 -0.041  0.087 -0.04   0.     0.  0.   ],417.37534,0.006072189,0.0018904808,1.0407507,0.4189424,-1.0,127.49811,96.08449,1.0348408,96.77047,23,100.93735,9.359786,2300,22099.645,57.154285,103.22286,0.18904808,238.41759,0.6072189,110.679214,289.87723
,53801,0.018374987,1.8374988,227.55028,9.359929,100,84.31342053413391,24.71,,227.5502618651065,0.01051603,[ 0.009  0.06   0.045 -0.014  0.016 -0.063  0.075 -0.046  0.     0.  0.   ],455.91608,0.0074041747,0.0022303385,1.0396956,0.4189424,-1.0,127.64755,96.182,1.051603,95.69545,24,99.90272,9.359929,2400,22092.094,51.057907,90.77545,0.22303385,237.88611,0.7404175,98.423035,328.26852
,56415,0.014032755,1.4032755,240.94643,9.359883,100,89.71630930900574,26.14,,240.94643323358937,0.010054873,[ 0.004  0.077  0.039 -0.012  0.015 -0.051  0.073 -0.04   0.     0.  0.   ],398.96442,0.0066629993,0.001507745,1.0245838,0.4189424,-1.0,145.84229,97.6006,1.0054874,97.80091,25,95.10415,9.359883,2500,26428.77,59.81093,121.257126,0.1507745,245.34567,0.66629994,124.19407,253.12213
,58945,0.013809627,1.3809627,233.13081,9.359959,100,93.65803861618042,25.3,,233.1308350135071,0.010244868,[ 0.009  0.082  0.042 -0.009  0.013 -0.052  0.086 -0.036  0.     0.  0.   ],434.8338,0.006463103,0.0014543243,1.0272512,0.4189424,-1.0,127.10956,97.34717,1.0244869,98.02465,26,106.02128,9.359959,2600,20738.166,56.56371,102.680695,0.14543244,238.26828,0.6463103,106.05263,307.72424
,61550,0.024663135,2.4663136,240.13638,9.359725,100,99.10075354576111,26.05,,240.13639231042376,0.010901133,[ 0.004  0.086  0.04  -0.003  0.02  -0.052  0.088 -0.037  0.     0.  0.   ],483.00647,0.0047132648,0.003786261,1.1217388,0.4189424,-1.0,136.33806,89.147316,1.090113,89.23499,27,103.79833,9.359725,2700,29390.723,62.951363,95.23447,0.37862608,260.50833,0.4713265,107.039536,346.6684
,64137,0.015377059,1.5377059,238.55518,9.359652,100,104.8633222579956,25.87,,238.55519479732027,0.010270199,[ 0.007  0.083  0.043  0.005  0.031 -0.049  0.073 -0.045  0.     0.  0.   ],437.08615,0.004921848,0.0020070956,1.0618114,0.4189424,-1.0,154.52025,94.17868,1.02702,96.32125,28,84.03494,9.359652,2800,30867.785,57.737427,107.42935,0.20070957,249.52045,0.4921848,114.40283,282.56592
,66701,0.013750326,1.3750327,236.13068,9.359869,100,110.09033751487732,25.64,,236.13067835372567,0.010057975,[ 0.007  0.085  0.042 -0.003  0.025 -0.051  0.081 -0.046  0.     0.  0.   ],398.0362,0.004454224,0.0017345224,1.037141,0.4189424,-1.0,145.56073,96.41891,1.0057976,97.1119,29,90.569954,9.359869,2900,26223.06,57.248528,116.71981,0.17345223,241.27946,0.4454224,119.6713,252.47546
,69374,0.020248406,2.0248406,246.43988,9.359842,100,115.12091255187988,26.73,,246.43989266556767,0.010229728,[ 0.008  0.086  0.043 -0.001  0.023 -0.058  0.09  -0.047  0.     0.  0.   ],483.62924,0.0052085104,0.0025337497,1.0635197,0.4189424,-1.0,154.5812,94.027405,1.0229728,94.21984,30,91.85868,9.359842,3000,31204.744,61.520782,101.35112,0.253375,256.2403,0.5208511,106.614456,329.04803
,71998,0.022815093,2.2815094,241.78818,9.359667,100,119.8565902709961,26.24,,241.7881868137647,0.010284033,[ 0.01   0.091  0.043  0.003  0.026 -0.057  0.099 -0.05   0.     0.  0.   ],481.46796,0.0074853534,0.002251123,1.0254962,0.4189424,-1.0,145.36337,97.51376,1.0284034,95.4276,31,96.424805,9.359667,3100,27414.459,58.56704,97.34779,0.22511232,250.25975,0.74853534,103.98961,336.10458
,74666,1.0396932,103.96932,245.85187,9.359648,100,126.33675527572632,26.68,,245.8518649546473,0.022899473,[ 0.013  0.101  0.046  0.003  0.021 -0.042  0.115 -0.042  0.     0.  0.   ],444.5253,0.00028174932,0.10432746,6.008268,0.4189424,-1.0,155.0065,16.643732,2.289947,4.5964046,32,90.84536,9.359648,3200,3587267.0,55.67645,112.49428,10.432747,664.2994,0.028174933,337.41638,289.5188
,77316,0.01393172,1.393172,244.16216,9.359996,100,133.31819319725037,26.5,,244.16215015922484,0.010287337,[ 0.014  0.113  0.051 -0.036 -0.02  -0.016  0.126 -0.045  0.     0.  0.   ],539.07837,0.0057263444,0.0013867915,1.0229465,0.4189424,-1.0,154.45407,97.75683,1.0287338,98.21517,33,89.70808,9.359996,3300,30232.422,63.189445,82.43866,0.13867916,251.57794,0.57263446,88.009476,384.6243
,80053,0.048588485,4.8588486,252.55142,9.3598795,100,138.92465496063232,27.37,,252.55144053266406,0.011939189,[ 0.003  0.122  0.05  -0.036 -0.022 -0.008  0.126 -0.045  0.     0.  0.   ],473.44846,0.0019558978,0.007058358,1.4032804,0.4189424,-1.0,154.52913,71.2616,1.1939191,74.10107,34,98.022316,9.3598795,3400,51673.086,64.35561,110.51689,0.70583576,306.56287,0.19558978,138.30858,318.9193
,82810,0.048212938,4.821294,254.43794,9.359865,100,143.947749376297,27.57,,254.43793525966075,0.011850343,[ 0.007  0.121  0.05  -0.04  -0.025  0.004  0.135 -0.057  0.     0.  0.   ],519.0191,0.0035338812,0.007821468,1.3301456,0.4189424,-1.0,163.55545,75.17974,1.1850342,69.655975,35,90.88248,9.359865,3500,49072.61,64.594986,98.73221,0.78214675,304.12793,0.35338813,124.5495,355.46365
,85788,0.019087907,1.9087908,275.0124,9.359858,100,150.3716847896576,29.78,,275.01237774549094,0.0104253935,[ 0.011  0.122  0.05  -0.018 -0.006  0.008  0.136 -0.052  0.     0.  0.   ],596.16675,0.003922161,0.0030898186,1.0836582,0.4189424,-1.0,135.99698,92.28002,1.0425394,91.92549,36,139.0154,9.359858,3600,35235.77,75.16185,96.16234,0.30898187,293.8474,0.39221615,107.66649,460.16977
,88724,0.034845386,3.4845386,271.2117,9.359993,100,156.52399444580078,29.36,,271.2116965131418,0.011373146,[ 0.021  0.11   0.05  -0.019 -0.007 -0.003  0.125 -0.065  0.     0.  0.   ],586.3973,0.0022491799,0.0057650595,1.3089607,0.4189424,-1.0,135.71173,76.39649,1.1373146,79.55774,37,135.49995,9.359993,3700,58664.91,70.625824,95.29253,0.57650596,324.57343,0.224918,123.30461,450.68555
,91652,0.017790556,1.7790557,270.1617,9.359756,100,163.86295986175537,29.28,,270.1617305571844,0.010331448,[ 0.019  0.114  0.053 -0.023 -0.013 -0.021  0.144 -0.077  0.     0.  0.   ],483.77582,0.0052198493,0.0021155355,1.058341,0.4189424,-1.0,154.38412,94.4875,1.0331447,95.97579,38,115.77761,9.359756,3800,31742.201,66.53814,125.02898,0.21155356,281.08923,0.52198493,131.78291,329.3917
,94669,0.07233098,7.2330985,278.60953,9.3597555,100,172.38475680351257,30.17,,278.609523547264,0.011445427,[ 0.017  0.114  0.049 -0.028 -0.017 -0.029  0.144 -0.086  0.     0.  0.   ],538.5315,0.0024442654,0.009859233,1.3441197,0.4189424,-1.0,184.34369,74.39814,1.1445426,57.404243,39,94.26583,9.3597555,3900,97244.305,67.34506,117.050095,0.98592323,338.09216,0.24442655,150.78633,354.1878
,97751,0.22808866,22.808867,284.8792,9.359958,100,180.33054518699646,30.82,,284.87922142133397,0.01280843,[-0.002  0.137  0.049 -0.029 -0.012  0.009  0.151 -0.076  0.     0.  0.   ],585.57465,0.00025441888,0.025943993,2.2790635,0.4189424,-1.0,183.8206,43.877674,1.2808433,19.59704,40,101.05862,9.359958,4000,624047.94,75.664566,109.20683,2.594399,427.7845,0.025441887,162.57947,401.75403
,100876,0.014100249,1.4100249,289.07434,9.3597355,100,188.17018580436707,31.25,,289.07434631191273,0.0102698235,[ 0.019  0.13   0.056 -0.012  0.006  0.031  0.174 -0.085  0.     0.  0.   ],567.8854,0.0072110486,0.0012468232,1.0151219,0.4189424,-1.0,191.41185,98.51033,1.0269823,98.54744,41,97.6625,9.3597355,4100,44137.133,70.834145,118.70874,0.124682315,295.74908,0.72110486,124.100174,376.4735
,104036,0.01645694,1.645694,292.27347,9.359844,100,198.02222514152527,31.6,,292.27345402095426,0.010164426,[ 0.007  0.146  0.053 -0.012  0.002  0.038  0.179 -0.082  0.     0.  0.   ],742.4088,0.006363216,0.0019204742,1.034073,0.4189424,-1.0,191.6185,96.70497,1.0164427,96.5532,42,100.65495,9.359844,4200,48259.484,83.94391,69.55084,0.19204743,300.25067,0.6363216,73.765396,550.7903
,107446,0.022825642,2.2825642,315.5624,9.35996,100,207.1280632019043,34.1,,315.5623891813255,0.010470497,[ 0.011  0.145  0.054 -0.005  0.007  0.041  0.18  -0.082  0.     0.  0.   ],526.2717,0.004166964,0.00297254,1.0931782,0.4189424,-1.0,183.53033,91.476395,1.0470499,92.54141,43,132.03204,9.35996,4300,49141.67,80.30621,157.68086,0.297254,334.6471,0.4166964,169.57382,342.7414
,110808,0.035116944,3.5116947,311.18265,9.359919,100,214.13027119636536,33.62,,311.18265496359777,0.010868153,[ 0.02   0.147  0.056 -0.011  0.003  0.045  0.2   -0.084  0.     0.  0.   ],610.52435,0.0020636371,0.005281592,1.2255087,0.4189424,-1.0,192.85504,81.59877,1.0868154,80.89526,44,118.32763,9.359919,4400,69828.18,83.79454,128.02536,0.5281592,356.3031,0.20636371,153.54303,417.6693
,114128,7.282708,728.2708,307.2572,9.359817,100,221.8457317352295,33.2,,307.2571785196608,0.0814648,[ 0.033  0.151  0.06  -0.019 -0.007  0.044  0.223 -0.089  0.     0.  0.   ],567.54144,2.601203e-05,0.72398996,44.45967,0.4189424,-1.0,202.34741,2.2492294,8.146479,1.2502896,45,104.90977,9.359817,4500,10295999.0,71.840965,136.99478,72.399,1991.514,0.002601203,856.2367,365.19403
,117083,0.01465411,1.4654111,272.89404,9.359914,100,228.36093759536743,29.55,,272.8940362228149,0.010196855,[ 0.054  0.151  0.077  0.005  0.008  0.051  0.241 -0.03   0.     0.  0.   ],512.0303,0.00590294,0.0019094443,1.0412432,0.4189424,-1.0,172.8862,96.03904,1.0196854,96.61222,46,100.007835,9.359914,4600,36302.387,58.93875,119.28494,0.19094445,280.93542,0.590294,124.19069,339.14407
,120301,0.018159337,1.8159338,297.6027,9.359866,100,234.86043763160706,32.18,,297.6026938602835,0.010300574,[ 0.053  0.157  0.076  0.01   0.007  0.057  0.251 -0.032  0.     0.  0.   ],698.88574,0.0027004601,0.0027777585,1.0727745,0.4189424,-1.0,192.52359,93.21623,1.0300574,93.2208,47,105.07911,9.359866,4700,56425.418,97.226036,87.93695,0.27777585,316.89874,0.27004603,99.73784,506.36215
