ReturnStepMax,MaxIWNorm,InitialReturnStd,Weights,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,OptimizationReturnMin,MaxIW,EpRewMean,TimestepsSoFar,Iteration,Bound,StdIWNorm,StdIW,EpisodesSoFar,InitialReturnMean,EmpiricalD2,OptimizationReturnMean,EpThisIter,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,MeanIW,InitialReturnMin,MinIWNorm,VarianceInit,EpLenMean,InitialBound,LearnableVariance,MinIW,MeanIWNorm,J_sample_variance
9.359341,0.04386342,71.21165,[ 0.043  0.016  0.052 -0.019 -0.016 -0.057  0.131 -0.133  0.     0.  0.    -0.242],296.26746,73.585075,76.22152,19.711379528045654,,4.386342,232.81100761591517,29151,14,71.89104,0.0067139766,0.6713976,1400,232.81099,1.3589712,133.37029,100,542.1393,641.58,9.359341,1.1508008,1.2020608,99.44072,0.0017863291,-1,25.28,40.33702,True,0.17863292,0.012020608,50852.11
9.35987,0.020083236,71.914024,[ 0.02   0.016  0.061 -0.027 -0.03  -0.102  0.162 -0.126  0.     0.  0.    -0.268],275.6859,89.96885,92.29758,21.461153507232666,,2.0083237,249.17439826847914,31856,15,129.15398,0.0030554798,0.30554798,1500,249.17441,1.1114959,122.63682,100,336.7569,463.2945,9.35987,1.1571647,1.0576953,126.53758,0.004663384,-1,27.05,110.186066,True,0.4663384,0.010576951,31501.305
9.35985,0.023851635,64.91793,[ 0.009  0.043  0.061 -0.016 -0.018 -0.099  0.196 -0.121  0.     0.  0.    -0.262],261.26837,91.06281,92.14865,23.147454738616943,,2.3851635,243.390156248338,34497,16,115.371414,0.003096079,0.30960792,1600,243.39015,1.0981431,96.95652,100,317.64926,464.0829,9.35985,1.1805292,1.0606802,146.43362,0.004672155,-1,26.41,104.1653,True,0.46721548,0.010606801,30678.48
9.359884,0.020825725,67.70153,[ 0.012  0.056  0.056 -0.008 -0.014 -0.089  0.21  -0.127  0.     0.  0.    -0.238],272.67175,96.06145,95.45649,24.988633632659912,,2.0825725,259.4134857437229,37310,17,116.492905,0.002280376,0.22803758,1700,259.41348,1.0410004,132.9874,100,383.81512,510.2412,9.359884,1.1880977,1.045232,126.42609,0.0066967867,-1,28.13,106.341125,True,0.6696787,0.010452321,25343.266
9.35969,0.028328046,63.142868,[ 0.009  0.088  0.052 -0.003 -0.002 -0.062  0.236 -0.117  0.     0.  0.    -0.231],265.57748,90.341446,87.488,26.860401153564453,,2.8328047,249.91216931911157,40019,18,113.94133,0.003917199,0.39171994,1800,249.91219,1.1069117,95.61726,100,326.12946,480.42438,9.35969,1.19635,1.0358261,154.2949,0.0031574967,-1,27.09,105.78485,True,0.31574968,0.01035826,37512.934
9.359949,0.051074952,74.11288,[-0.009  0.107  0.052 -0.003 -0.004 -0.061  0.276 -0.114  0.     0.  0.    -0.223],356.53662,62.616535,61.20865,28.012187004089355,,5.1074953,268.0762393691623,42924,19,141.84598,0.0100996485,1.009965,1900,268.07626,1.5970223,112.53804,100,410.74854,566.28674,9.359949,1.1180986,1.2686601,155.53821,0.0006737118,-1,29.05,98.190216,True,0.06737118,0.012686601,83057.336
9.359955,0.047228444,65.59181,[-0.013  0.103  0.045 -0.002 -0.003 -0.051  0.238 -0.134  0.     0.  0.    -0.301],329.53833,66.86104,66.16833,30.276744842529297,,4.7228446,259.8848829337466,45739,20,142.54704,0.008506181,0.850618,2000,259.8849,1.4956393,114.4384,100,364.2207,509.66718,9.359955,1.0541561,1.1895919,145.44647,0.0013716845,-1,28.15,106.98474,True,0.13716845,0.011895917,66405.45
9.35979,0.17403051,81.67021,[-0.027  0.11   0.048 -0.02  -0.021 -0.079  0.262 -0.142  0.     0.  0.    -0.365],396.7419,47.65535,31.505203,32.292346477508545,,17.403051,277.4609634597661,48744,21,146.1431,0.018308258,1.8308258,2100,277.46097,2.0984004,141.84557,100,441.03635,576.65173,9.35979,1.0611112,1.2416792,135.61539,0.00095545006,-1,30.05,104.465454,True,0.09554501,0.012416792,465605.0
9.359629,0.024471994,72.681145,[-0.041  0.119  0.048 -0.021 -0.026 -0.116  0.317 -0.163  0.     0.  0.    -0.358],302.7611,90.392525,88.28958,34.544795513153076,,2.4471996,285.46554870922444,51835,22,129.54692,0.0038680036,0.38680038,2200,285.46555,1.1062862,102.58231,100,366.06134,548.9446,9.359629,1.042252,1.0620759,182.88324,0.004898173,-1,30.91,120.78218,True,0.4898173,0.010620757,45972.46
9.359677,0.13539122,68.84622,[-0.044  0.133  0.046 -0.011 -0.019 -0.096  0.307 -0.157  0.     0.  0.    -0.377],351.5306,64.61496,41.541027,36.95759391784668,,13.539122,281.4667990675497,54883,23,171.01915,0.014252909,1.425291,2300,281.46677,1.5476292,97.29812,100,299.50232,483.67102,9.359677,1.0414892,1.20148,184.16869,0.002130099,-1,30.48,136.3655,True,0.21300992,0.012014801,109638.41
9.3598995,0.059196614,71.19955,[-0.012  0.155  0.051 -0.035 -0.039 -0.042  0.369 -0.14   0.     0.  0.    -0.377],320.83575,85.2513,73.31747,39.7306923866272,,5.9196615,282.69436842378235,57943,24,97.63515,0.0066153193,0.6615319,2400,282.69437,1.1730027,89.30966,100,493.5645,686.9492,9.3598995,1.0355653,1.0965815,193.3847,0.0028203651,-1,30.6,76.60965,True,0.2820365,0.010965815,72537.22
9.359658,16.450626,63.0036,[ 0.007  0.165  0.054 -0.014 -0.021 -0.006  0.388 -0.126  0.     0.  0.    -0.383],5576.4385,0.44546092,1.1369516,41.30578637123108,,1645.0627,281.0495849974114,60984,25,3360.1821,1.6362072,163.62071,2500,281.04956,224.48659,106.50478,100,318.51953,493.06433,9.359658,1.0545473,17.546572,174.5448,2.9323806e-05,-1,30.41,133.1303,True,0.0029323807,0.17546573,606364600.0
