LearnableVariance,DivergenceHarmonic,StdWReturnMean,OptimizationReturnMax,StdIW,Inner Iteration,EpRewMean,VarianceInitializer,ESSRenyiHarmonic,Iteration,MeanIW,Bound,InitialBound,ESSRenyiArithmetic,EpLenMean,MinTargetPdf,InitialReturnMean,MaxIW,InitialReturnMax,ReturnStepMax,EmpiricalD2Harmonic,ReturnMeanIW,EpThisIter,MeanEntropy,ReturnStepMaxmin,MinIW,WReturnMean,TimestepsSoFar,InitialReturnStd,OptimizationReturnMin,MinBehavPdf,OptimizationReturnMean,EpisodesSoFar,Penalization,Weights,EmpiricalD2Arithmetic,InitialReturnMin,Epsilon,MeanD2-0,TimeElapsed
,1.06402654e+18,,270.77704,67766.15,1,168.9569693938446,-1.0,100.0,1,11740.655,-1155982700000.0,-32647.12,100.0,18.4,-20.26961,168.95697,657550.25,333.89188,9.359872,1.0,215578910.0,100,0.4189424,9.359872,0.119387865,31526.664,1840,54.591278,,-20.26961,105.84214,100,True,[ 0.  0. -0.  0.  0. -0.  0. -0.  0. -0.  0.],1.0,63.11484,2.0,1.0,1.9846751689910889
,5.4198483e+29,,402.61203,86018584.0,1,222.2153851753549,-1.0,100.0,2,14455935.0,-1.8665069e+18,-55851.453,100.0,24.14,-22.95608,222.21538,779068800.0,502.25787,9.359932,1.0,504821650000.0,100,0.4189424,9.359932,0.07354446,53316.113,4254,62.741028,,-22.95608,122.56954,200,True,[-0.002  0.006 -0.004 -0.004 -0.006 -0.012  0.035 -0.05   0.     0.  0.   ],1.0,99.64585,2.0,1.0,4.742091655731201
,524186880000.0,,403.5204,281.73178,1,259.75158224734344,-1.0,100.0,3,54.16361,-2120469200.0,-75974.19,100.0,28.13,-24.97911,259.7516,2048.3428,539.4213,9.3597145,1.0,3172738.8,100,0.4189424,9.3597145,0.0903638,73049.77,7067,74.69197,,-24.97911,123.850655,300,True,[-0.008  0.054 -0.002 -0.048 -0.048  0.014  0.12  -0.09   0.     0.  0.   ],1.0,135.90092,2.0,1.0,7.029125690460205
,84797060000.0,,391.01624,2731.5386,1,250.70802771126378,-1.0,100.0,4,503.5416,-878717440.0,-69729.37,100.0,27.18,-23.472338,250.70802,22406.602,536.3844,9.359906,1.0,36692270.0,100,0.4189424,9.359906,0.08663102,66837.79,9785,63.11317,,-23.472338,105.33987,400,True,[-0.012  0.044  0.006 -0.028 -0.028 -0.026  0.124 -0.055  0.     0.  0.   ],1.0,145.36816,2.0,1.0,9.505226135253906
,48927343000.0,,570.83905,314.00974,1,285.32084542979965,-1.0,100.0,5,97.14248,-1234909200.0,-93867.52,100.0,30.88,-26.668324,285.32086,2237.4045,743.24475,9.359933,1.0,6842631.0,100,0.4189424,9.359933,0.08999399,88315.555,12873,83.11175,,-26.668324,112.91515,500,True,[-0.009  0.047 -0.002 -0.032 -0.033 -0.02   0.136 -0.115  0.     0.  0.   ],1.0,172.40569,2.0,1.0,11.841978073120117
,220524200000.0,,299.56686,147.3156,1,298.38565563892007,-1.0,100.0,6,25.625534,-1230638200.0,-96915.984,100.0,32.24,-28.00277,298.38565,1430.2848,509.97418,9.359917,1.0,3179395.8,100,0.4189424,9.359917,0.08779919,94302.14,16097,72.581985,,-28.00277,87.97834,600,True,[ 0.003  0.055 -0.009 -0.043 -0.044  0.006  0.156 -0.164  0.     0.  0.   ],1.0,210.40732,2.0,1.0,14.534515142440796
,3.2389337e+22,,358.97647,13520.623,1,324.1952945359846,-1.0,100.0,7,1465.8082,-530815340000000.0,-113823.08,100.0,35.05,-31.747429,324.1953,135718.28,541.7262,9.359693,1.0,423878720.0,100,0.4189424,9.359693,0.013244399,110873.62,19602,75.96733,,-31.747429,141.44557,700,True,[-0.001  0.058 -0.005 -0.023 -0.022 -0.032  0.195 -0.165  0.     0.  0.   ],1.0,182.74973,2.0,1.0,17.133729696273804
,1734708900.0,,365.5627,255.31316,1,323.48392407557196,-1.0,100.0,8,50.06297,-140858050.0,-112782.31,100.0,34.92,-31.819551,323.48392,2447.9429,567.0544,9.359737,1.0,6258025.0,100,0.4189424,9.359737,0.09882229,109550.6,23094,70.06254,,-31.819551,121.99225,800,True,[ 0.013  0.072 -0.008 -0.021 -0.018  0.026  0.192 -0.176  0.     0.  0.   ],1.0,201.49167,2.0,1.0,19.93692922592163
,7.690003e+24,,551.5224,1539583.1,1,327.1953118130078,-1.0,100.0,9,173545.77,-1.6253573e+16,-121464.63,100.0,35.33,-29.872274,327.19528,15469109.0,763.6624,9.359895,1.0,11328289000.0,100,0.4189424,9.359895,0.07016015,115603.44,26627,92.44818,,-29.872274,115.05529,900,True,[ 0.017  0.068  0.001 -0.03  -0.024 -0.019  0.228 -0.157  0.     0.  0.   ],1.0,212.14001,2.0,1.0,22.83272624015808
,1.0581051e+19,,393.23914,53.021618,1,342.3650805228273,-1.0,100.0,10,16.716774,-12663319000000.0,-127588.43,100.0,36.97,-33.63604,342.36508,316.79504,622.3724,9.359973,1.0,3072528.5,100,0.4189424,9.359973,0.0072045363,123695.44,30324,80.50832,,-33.63604,113.23183,1000,True,[ 0.006  0.08  -0.005  0.027  0.033 -0.032  0.28  -0.234  0.     0.  0.   ],1.0,229.13326,2.0,1.0,26.295425415039062
,1.3683805e+27,,421.67255,40483750.0,1,318.7360630889391,-1.0,100.0,11,5901230.5,-1.446232e+17,-112104.23,100.0,34.42,-32.92108,318.73605,304382100.0,623.69934,9.359827,1.0,522029430000.0,100,0.4189424,9.359827,0.20884836,108194.62,33766,81.252365,,-32.92108,116.70929,1100,True,[ 0.017  0.087 -0.004  0.063  0.069 -0.002  0.291 -0.241  0.     0.  0.   ],1.0,202.02678,2.0,1.0,29.595775365829468
,3.5266083e+17,,486.4969,15599.549,1,392.3757279216394,-1.0,100.0,12,2562.6548,-3395206300000.0,-170066.48,100.0,42.28,-38.97707,392.37573,153474.23,754.1686,9.35996,1.0,533612260.0,100,0.4189424,9.35996,0.0040867557,164350.11,37994,101.93823,,-38.97707,124.70404,1200,True,[ 0.026  0.062 -0.021  0.007  0.012  0.019  0.248 -0.318  0.     0.  0.   ],1.0,267.6717,2.0,1.0,33.48846411705017
,112540080.0,,374.62085,566.26306,1,396.86955772723735,-1.0,100.0,13,109.33719,-60841004.0,-168940.33,100.0,42.77,-37.307274,396.86957,4067.8086,661.2356,9.359872,1.0,14223563.0,100,0.4189424,9.359872,0.06814957,164545.97,42271,83.90786,,-37.307274,110.254814,1300,True,[ 0.003  0.069 -0.022  0.012  0.017 -0.038  0.321 -0.398  0.     0.  0.   ],1.0,286.61475,2.0,1.0,37.86479330062866
,5997735000000.0,,468.52496,963.7605,1,412.38449081377905,-1.0,100.0,14,155.35933,-12702474000.0,-184007.39,100.0,44.45,-39.001877,412.3845,8353.29,717.05725,9.359869,1.0,46846920.0,100,0.4189424,9.359869,0.0092520425,178839.77,46716,93.69532,,-39.001877,163.85219,1400,True,[ 0.014  0.069 -0.027 -0.007 -0.001 -0.021  0.326 -0.45   0.     0.  0.   ],1.0,248.53229,2.0,1.0,42.16545915603638
,3.7349855e+33,,510.15802,9878223.0,1,436.4640471989857,-1.0,100.0,15,1006551.7,-3.814254e+20,-209909.36,100.0,47.06,-43.413406,436.46402,99285050.0,788.02747,9.35997,1.0,622376300000.0,100,0.4189424,9.35997,0.13210648,203668.19,51422,114.748985,,-43.413406,158.5946,1500,True,[ 0.015  0.075 -0.035  0.001  0.008  0.005  0.318 -0.504  0.     0.  0.   ],1.0,277.86945,2.0,1.0,46.3378119468689
,1.1675387e+17,,859.63965,54.201416,1,448.53757045116504,-1.0,100.0,16,12.296087,-4442203600000.0,-229596.27,100.0,48.33,-39.332573,448.53757,383.23868,1137.3394,9.359914,1.0,3283920.8,100,0.4189424,9.359914,0.18339105,216595.67,56255,124.13591,,-39.332573,170.83784,1600,True,[ 0.038  0.08  -0.037 -0.019 -0.014  0.046  0.322 -0.53   0.     0.  0.   ],1.0,277.6997,2.0,1.0,51.0032434463501
,1135663800000000.0,,635.81165,7.8261585,1,432.03058822893,-1.0,100.0,17,4.8860064,-294259360000.0,-207798.97,100.0,46.56,-40.119377,432.03058,44.530613,932.0957,9.359964,1.0,1343731.2,100,0.4189424,9.359964,0.07498712,199067.16,60911,111.43039,,-40.119377,135.74654,1700,True,[ 9.720e-03  7.597e-02 -3.988e-02 -4.014e-03  3.373e-05  1.264e-02  2.887e-01 -5.097e-01  0.000e+00  0.000e+00  0.000e+00],1.0,296.28406,2.0,1.0,55.54710841178894
,3.056328e+20,,359.01624,698.81323,1,406.6978457067433,-1.0,100.0,18,97.836044,-68832056000000.0,-174160.55,100.0,43.83,-34.2585,406.6978,6964.7275,625.89874,9.359897,1.0,32773990.0,100,0.4189424,9.359897,0.04998841,170223.31,65294,69.42751,,-34.2585,139.81534,1800,True,[-0.02   0.084 -0.037 -0.007 -0.001 -0.003  0.273 -0.46   0.     0.  0.   ],1.0,266.8825,2.0,1.0,60.2954318523407
