InitialReturnMean,MinIWNorm,EpisodesSoFar,StdIW,MeanEntropy,OptimizationReturnMin,J_sample_variance,OptimizationReturnMean,StdIWNorm,MaxIW,InitialReturnStd,ReturnMeanIW,EpThisIter,ReturnStepMaxmin,ESSClassic,MeanIW,EmpiricalD2,ReturnStepMax,EpLenMean,OptimizationReturnMax,Iteration,InitialReturnMax,LearnableVariance,MinIW,ESSRenyi,VarianceInit,MeanIWNorm,InitialReturnMin,Bound,TimeElapsed,Weights,InitialBound,EpRewMean,MaxIWNorm,TimestepsSoFar
215.5858,0.0032788771,1400,0.387029,0.4189424,,23719.037,106.279785,0.00387029,2.1774132,62.152073,239.50993,100,9.359798,88.19277,1.0577588,1.1524093,9.359798,23.41,383.06985,14,492.37585,,0.3278877,86.77473,-1.0,0.010577589,109.306,80.93982,56.37909531593323,[ 0.011  0.039  0.018 -0.036 -0.02   0.023  0.019 -0.046  0.     0.  0.   ],67.87303,215.58578432541609,0.021774132,27942
207.44476,0.003939344,1500,0.21852237,0.4189424,,16013.12,107.34728,0.0021852239,1.4479473,58.349575,218.57858,100,9.359834,95.62618,1.0217701,1.0691552,9.359834,22.56,308.43262,15,408.53012,,0.3939344,93.53179,-1.0,0.0102177,100.097496,91.852585,60.876418590545654,[ 0.015  0.042  0.022 -0.03  -0.014  0.026  0.029 -0.05   0.     0.  0.   ],84.885735,207.4447716451628,0.014479472,30198
215.82819,0.002399122,1600,0.3256887,0.4189424,,16754.701,116.02637,0.003256887,1.8461628,50.118034,234.50389,100,9.359752,91.59921,1.0754455,1.1390904,9.359752,23.45,270.74246,16,370.54428,,0.23991223,87.789345,-1.0,0.010754455,99.80182,115.86134,65.36968398094177,[ 0.017  0.039  0.024 -0.026 -0.012  0.017  0.037 -0.051  0.     0.  0.   ],104.664894,215.8281913717743,0.018461628,32543
221.9633,0.00075432775,1700,0.99526364,0.4189424,,213456.4,94.216934,0.009952637,9.278914,72.53656,296.67374,100,9.359987,56.065323,1.1242986,1.5647132,9.359987,24.11,458.21005,17,585.9564,,0.07543278,63.909473,-1.0,0.011242986,127.746376,76.784515,70.02952122688293,[ 0.009  0.047  0.024 -0.035 -0.023 -0.001  0.047 -0.049  0.     0.  0.   ],46.17639,221.96330672414143,0.09278914,34954
221.52576,0.0059541534,1800,0.3241675,0.4189424,,22659.123,94.98494,0.003241675,2.0979886,54.584194,231.4405,100,9.359926,91.02818,1.0325644,1.084251,9.359926,24.08,290.557,18,417.09784,,0.59541535,92.22956,-1.0,0.010325644,126.54082,101.14661,75.28526854515076,[ 0.005  0.043  0.03  -0.032 -0.018 -0.033  0.065 -0.051  0.     0.  0.   ],96.3964,221.52575239003951,0.020979885,37362
234.93513,0.000832637,1900,3.492976,0.4189424,,334051.7,116.54903,0.034929756,32.914173,60.008007,347.86517,100,9.359996,13.166402,1.3601451,2.2587755,9.359996,25.49,297.7888,19,416.17493,,0.0832637,44.271774,-1.0,0.013601452,118.38613,160.2216,79.10052990913391,[ 0.007  0.042  0.03  -0.021 -0.007 -0.037  0.068 -0.049  0.     0.  0.   ],110.08268,234.93514860299535,0.32914174,39911
237.33975,0.0009721128,2000,8.006402,0.4189424,,2058098.1,110.1625,0.08006402,79.594505,61.10817,484.11264,100,9.359898,4.965584,1.8301308,3.4137058,9.359898,25.75,309.75116,20,436.9284,,0.09721129,29.293678,-1.0,0.018301306,127.177246,241.92914,83.0595953464508,[ 0.037  0.046  0.043 -0.03  -0.008  0.01   0.071 -0.059  0.     0.  0.   ],106.261215,237.33974308493805,0.79594505,42486
235.06802,0.0027631964,2100,0.32483712,0.4189424,,23601.006,126.556526,0.0032483714,2.0375946,68.90853,257.51938,100,9.359934,91.48982,1.0650803,1.1010404,9.359934,25.49,374.15305,21,482.66455,,0.27631965,90.82319,-1.0,0.0106508015,108.5115,105.58072,87.40662479400635,[ 0.044  0.07   0.054 -0.     0.02   0.043  0.107 -0.025  0.     0.  0.   ],90.26866,235.0680191822442,0.020375945,45035
229.88121,0.0028697716,2200,0.86113715,0.4189424,,51042.367,102.02016,0.008611372,7.221057,55.114258,261.4562,100,9.359956,59.536774,1.0445633,1.3790464,9.359956,24.96,252.43369,22,380.29474,,0.28697717,72.51388,-1.0,0.010445632,127.86105,127.47897,90.64623546600342,[ 0.047  0.061  0.051  0.009  0.024  0.03   0.094 -0.038  0.     0.  0.   ],115.79279,229.88121148440666,0.072210565,47531
242.89342,0.00036549786,2300,0.6126717,0.4189424,,50838.85,124.622604,0.0061267163,5.3453217,65.751076,289.38187,100,9.359723,76.7136,1.1120206,1.3311331,9.359723,26.35,297.97168,23,416.2425,,0.036549788,75.12396,-1.0,0.011120205,118.2708,145.31026,94.56566905975342,[ 0.062  0.05   0.054  0.001  0.02   0.043  0.089 -0.052  0.     0.  0.   ],118.02066,242.89340449695715,0.053453214,50166
