DivergenceHarmonic,InitialReturnStd,EpRewMean,MinIW,OptimizationReturnMax,InitialReturnMean,ESSRenyiHarmonic,MeanIW,Weights,OptimizationReturnMean,Bound,StdIW,EmpiricalD2Harmonic,Inner Iteration,EmpiricalD2Arithmetic,MeanEntropy,LearnableVariance,WReturnMean,Epsilon,Iteration,InitialReturnMin,ReturnStepMax,VarianceInitializer,EpThisIter,MeanD2-0,ESSRenyiArithmetic,InitialReturnMax,MinTargetPdf,MinBehavPdf,Penalization,ReturnStepMaxmin,OptimizationReturnMin,EpisodesSoFar,TimestepsSoFar,MaxIW,InitialBound,TimeElapsed,EpLenMean,ReturnMeanIW,StdWReturnMean
1.9034862e+17,43.383354,166.99421448709742,0.059022877,215.48843,166.99422,100.0,22211.172,[ 0.  0. -0. -0.  0. -0.  0.  0.  0. -0. -0.],76.260056,-411754900000.0,185302.4,1.0,1,1.0,0.4189424,,29769.184,2.0,1,90.73416,9.359959,-1.0,100,1.0,100.0,306.2226,-21.62413,-21.62413,True,9.359959,,100,1821,1859247.2,-30711.63,1.2850515842437744,18.21,575120450.0,
92109005000.0,62.560158,219.5522028481945,0.08499659,309.31543,219.55223,100.0,541.97925,[-0.001  0.008 -0.004  0.001  0.001 -0.008  0.034 -0.051  0.     0.  0.   ],119.674774,-527565280.0,2968.34,1.0,1,1.0,0.4189424,,52116.94,2.0,2,99.877426,9.359846,-1.0,100,1.0,100.0,409.19287,-22.952036,-22.952036,True,9.359846,,200,4205,28474.748,-53799.766,2.5868897438049316,23.84,16837416.0,
12181793000.0,70.12129,266.19071719612884,0.2685802,383.6435,266.1907,100.0,692.0619,[ 0.     0.016 -0.003 -0.006 -0.007 -0.024  0.077 -0.091  0.     0.  0.   ],138.9683,-326675740.0,4544.2485,1.0,1,1.0,0.4189424,,75774.484,2.0,3,127.2224,9.359882,-1.0,100,1.0,100.0,510.8659,-23.232056,-23.232056,True,9.359882,,300,7087,44635.785,-78397.48,3.748260259628296,28.82,37173564.0,
380551740.0,82.28565,290.39291511184865,0.062340584,439.83054,290.39294,100.0,55.652756,[-0.003  0.026 -0.011  0.01   0.008 -0.018  0.1   -0.143  0.     0.  0.   ],117.32324,-84991660.0,399.69492,1.0,1,1.0,0.4189424,,91098.98,2.0,4,173.06967,9.35994,-1.0,100,1.0,100.0,612.9002,-29.04796,-29.04796,True,9.35994,,400,10227,3980.7693,-94874.375,4.71808385848999,31.4,11342332.0,
247455730.0,71.877975,306.4714689162732,0.11312476,382.92566,306.47147,100.0,141.0193,[-0.016  0.031 -0.005 -0.001 -0.008 -0.061  0.137 -0.143  0.     0.  0.   ],124.04704,-92775140.0,1279.7926,1.0,1,1.0,0.4189424,,99091.2,2.0,5,182.42444,9.359852,-1.0,100,1.0,100.0,565.3501,-32.450974,-32.450974,True,9.359852,,500,13541,12869.802,-102303.516,5.7458648681640625,33.14,42243188.0,
1.22501625e+27,72.76867,302.79141579274176,0.025250643,403.80975,302.7914,100.0,3897419.0,[-0.016  0.042 -0.008 -0.037 -0.043 -0.048  0.147 -0.174  0.     0.  0.   ],120.37716,-1.2088754e+17,37386252.0,1.0,1,1.0,0.4189424,,96977.92,2.0,6,182.41426,9.359978,-1.0,100,1.0,100.0,586.224,-26.61596,-26.61596,True,9.359978,,600,16815,375796500.0,-100431.83,6.941416025161743,32.74,293832460000.0,
159788810000.0,93.42184,353.97334271436915,0.14870252,501.5758,353.97336,100.0,177.8697,[-0.017  0.041 -0.023  0.035  0.024 -0.029  0.116 -0.239  0.     0.  0.   ],151.85776,-2002987000.0,782.005,1.0,1,1.0,0.4189424,,134024.77,2.0,7,202.11559,9.359988,-1.0,100,1.0,100.0,703.6914,-38.431793,-38.431793,True,9.359988,,700,20634,7086.27,-139001.53,7.921820163726807,38.19,13596308.0,
1.867366e+21,74.243965,353.1117044382529,0.006001811,366.88724,353.11172,100.0,286.80292,[-0.021  0.044 -0.03   0.006 -0.    -0.003  0.107 -0.28   0.     0.  0.   ],123.337814,-154615400000000.0,1355.8341,1.0,1,1.0,0.4189424,,130200.05,2.0,8,229.7739,9.3599205,-1.0,100,1.0,100.0,596.66113,-33.18318,-33.18318,True,9.3599205,,800,24443,9097.067,-133778.03,9.151782512664795,38.09,59651828.0,
6.850694e+34,112.31084,386.3222508295717,0.12380986,500.6616,386.32224,100.0,5803.669,[-0.012  0.052 -0.037  0.024  0.017  0.045  0.089 -0.302  0.     0.  0.   ],175.05623,-1.33328e+21,33009.945,1.0,1,1.0,0.4189424,,161858.6,2.0,9,211.26602,9.359861,-1.0,100,1.0,100.0,711.9276,-39.804153,-39.804153,True,9.359861,,900,28609,249913.73,-166952.55,10.167738914489746,41.66,1841358600.0,
109533064.0,119.68217,378.88088069579334,0.033403788,635.49774,378.8809,100.0,1.5293347,[-0.069  0.08  -0.052 -0.038 -0.045  0.05   0.098 -0.362  0.     0.  0.   ],157.79865,-77436376.0,0.973559,1.0,1,1.0,0.4189424,,157874.55,2.0,10,221.08221,9.359888,-1.0,100,1.0,100.0,856.57996,-50.712204,-50.712204,True,9.359888,,1000,32696,6.2738576,-165248.81,11.83335018157959,40.87,258858.5,
