EpLenMean,VarianceInit,J_sample_variance,InitialBound,StdIW,ReturnMeanIW,MaxIWNorm,OptimizationReturnMean,EpRewMean,ReturnStepMax,Iteration,EmpiricalD2,InitialReturnMin,TimestepsSoFar,Weights,MeanIWNorm,ESSRenyi,Bound,TimeElapsed,MeanIW,ReturnStepMaxmin,MinIWNorm,ESSClassic,MaxIW,MeanEntropy,InitialReturnStd,InitialReturnMax,LearnableVariance,EpThisIter,StdIWNorm,OptimizationReturnMax,InitialReturnMean,MinIW,OptimizationReturnMin,EpisodesSoFar
23.04,-1,15609.663,78.979645,0.1933218,218.854,0.01776223,121.665016,211.87508406754898,9.359308,14,1.0386049,90.21007,24408,[ 0.045  0.017  0.11  -0.014 -0.037 -0.01   0.112 -0.086  0.     0.  0.    -0.287],0.010098839,96.283005,83.41765,121.96622037887573,1.0098838,9.359308,0.006250291,96.465004,1.7762232,1.1414051,66.309,442.98483,True,100,0.0019332177,352.77478,211.87508,0.62502915,,1400
23.22,-1,28993.592,89.19688,0.47030008,235.90536,0.041099768,132.09064,213.47648694262395,9.359852,15,1.1536895,81.38585,26730,[ 0.048  0.024  0.114 -0.013 -0.045  0.003  0.136 -0.084  0.     0.  0.    -0.278],0.010630819,86.67844,102.41672,130.2366168498993,1.0630817,9.359852,0.0019304245,83.6322,4.109977,1.1646599,58.902752,414.26538,True,100,0.004703,332.87952,213.47647,0.19304246,,1500
24.66,-1,23033.127,102.100876,0.26578322,248.7874,0.019646356,109.39659,226.99710693186486,9.359463,16,1.0712646,117.60051,29196,[ 0.017  0.024  0.102  0.001 -0.031 -0.04   0.121 -0.098  0.     0.  0.    -0.254],0.010775727,93.34762,119.51741,142.3152937889099,1.0775727,9.359463,0.006827386,94.26527,1.9646356,1.189632,55.132915,416.32077,True,100,0.0026578323,298.72028,226.99712,0.6827386,,1600
23.84,-1,27673.615,91.82986,0.50953406,244.29247,0.026843032,110.77308,219.26995726839817,9.359598,17,1.2093629,108.49689,31580,[ 0.038  0.041  0.109  0.005 -0.027 -0.015  0.162 -0.085  0.     0.  0.    -0.229],0.0110595105,82.68817,104.14526,155.97797870635986,1.1059512,9.359598,0.0034321356,82.49034,2.6843033,1.1330391,59.820744,424.80035,True,100,0.005095341,316.30347,219.26996,0.34321356,,1700
23.69,-1,518479.88,70.81041,2.7699256,358.49664,0.20629416,99.91612,218.11332127369772,9.359977,18,2.7802155,118.197205,33949,[ 0.027  0.065  0.11  -0.013 -0.051 -0.016  0.163 -0.082  0.     0.  0.    -0.286],0.01352196,35.968433,112.884125,170.363787651062,1.3521961,9.359977,0.00069673837,19.24481,20.629417,1.173356,62.128567,491.00964,True,100,0.027699253,372.81244,218.11333,0.069673836,,1800
25.28,-1,33086.918,97.84326,0.5001521,260.85587,0.028573336,123.63114,232.82296567824804,9.35991,19,1.2137904,109.19183,36477,[ 0.048  0.025  0.135 -0.035 -0.087 -0.088  0.18  -0.123  0.     0.  0.    -0.246],0.010549553,82.38654,112.1458,185.32881808280945,1.0549555,9.35991,0.0027242382,81.64809,2.8573337,1.1506827,65.13207,449.93237,True,100,0.0050015207,340.74054,232.82295,0.27242383,,1900
27.29,-1,38501.008,90.210495,0.39352682,278.02753,0.023446042,105.67164,251.82590527160366,9.3596945,20,1.152258,146.15427,39206,[ 0.042  0.017  0.136 -0.008 -0.054 -0.105  0.17  -0.135  0.     0.  0.    -0.268],0.0106334295,86.78612,104.544235,199.2742371559143,1.0633429,9.3596945,0.0008462163,87.95362,2.3446043,1.1130235,70.88223,538.7181,True,100,0.003935268,392.5638,251.82591,0.08462163,,2000
26.87,-1,32626.95,96.79245,0.4138633,269.03586,0.022568066,110.82501,247.51004330547389,9.359956,21,1.1526518,136.68503,41893,[ 0.055  0.017  0.142 -0.025 -0.063 -0.105  0.185 -0.143  0.     0.  0.    -0.306],0.01058742,86.75647,107.22299,208.72162652015686,1.058742,9.359956,0.0024694346,86.74503,2.2568066,1.0936744,62.522285,502.39203,True,100,0.004138633,365.707,247.51004,0.24694347,,2100
27.28,-1,29995.932,83.89627,0.40990868,275.21512,0.022690179,125.330666,251.45254904787896,9.359713,22,1.1278408,126.12189,44621,[ 0.058  0.011  0.14  -0.001 -0.046 -0.136  0.175 -0.151  0.     0.  0.    -0.325],0.010867113,88.665,97.2706,219.42317843437195,1.0867114,9.359713,0.005147879,87.54416,2.269018,1.1286155,69.15096,558.52094,True,100,0.004099087,432.39905,251.45256,0.5147879,,2200
27.02,-1,46150.703,113.20953,0.6576411,294.21426,0.04270386,94.50335,249.09638194703246,9.359246,23,1.3440142,154.59303,47323,[ 0.042  0.018  0.135  0.009 -0.029 -0.154  0.162 -0.159  0.     0.  0.    -0.29 ],0.011491793,74.40398,136.67844,230.29496693611145,1.1491793,9.359246,0.002527874,75.32997,4.270386,1.1391591,55.568497,452.95618,True,100,0.0065764105,298.36316,249.09637,0.2527874,,2300
