Bound,EpLenMean,EpThisIter,ESSRenyi,EpRewMean,InitialReturnMax,LearnableVariance,EmpiricalD2,StdIWNorm,ReturnMeanIW,Weights,ReturnStepMaxmin,MinIWNorm,MeanIWNorm,MaxIWNorm,MinIW,TimeElapsed,InitialReturnMin,TimestepsSoFar,ESSClassic,StdIW,EpisodesSoFar,OptimizationReturnMean,J_sample_variance,InitialReturnMean,OptimizationReturnMin,MaxIW,InitialBound,MeanEntropy,Iteration,MeanIW,ReturnStepMax,VarianceInit,InitialReturnStd,OptimizationReturnMax
58.740486,15.3,100,96.0507,139.9096301291328,286.70007,True,1.0411168,0.0020428933,146.50093,[ 0. -0. -0. -0. -0.  0. -0. -0.  0.  0. -0.  0.],9.358933,0.005734952,0.010345781,0.017862689,0.5734952,2.220659017562866,72.39902,1530,96.24722,0.20428933,100,67.51061,8373.382,139.90962,,1.786269,53.89959,1.4403206,1,1.0345781,9.358933,-1,43.954903,214.30106
61.730583,15.08,100,90.34055,137.7263287918895,276.96216,True,1.1069226,0.0032942833,149.14847,[-0.008 -0.004  0.008  0.013  0.012 -0.035 -0.003  0.003  0.     0.  0.     0.021],9.359567,0.00525046,0.010503349,0.02202434,0.525046,5.743124485015869,63.031982,3038,91.04393,0.32942834,200,74.69434,8066.0146,137.72633,,2.202434,54.637688,1.4785937,2,1.050335,9.359567,-1,40.218994,213.93018
52.87098,16.24,100,90.650345,148.57260596151858,340.98523,True,1.1031398,0.00303023,160.31248,[-0.007  0.013  0.008  0.029  0.026 -0.025 -0.    -0.01   0.     0.  0.     0.06 ],9.359179,0.0030223113,0.010262339,0.01719556,0.30223113,8.246295928955078,62.954994,4662,91.98037,0.303023,300,85.617615,9674.249,148.5726,,1.719556,46.27704,1.4645193,3,1.0262338,9.359179,-1,50.36065,278.03024
70.79766,16.51,100,93.71787,151.1080153038631,285.72162,True,1.0670323,0.0025160005,159.34044,[-0.004  0.013  0.027  0.026  0.018 -0.045  0.016 -0.014  0.     0.  0.     0.046],9.358018,0.003289757,0.0101807555,0.018459367,0.3289757,11.5527184009552,72.047745,6313,94.24407,0.2516001,400,79.06027,9314.548,151.10802,,1.8459368,65.39153,1.4550892,4,1.0180756,9.358018,-1,48.25948,213.67387
74.52507,16.74,100,88.24766,153.25012496607746,286.4145,True,1.1331745,0.0040015904,165.99211,[-0.026  0.049  0.009  0.028  0.025 -0.041  0.036 -0.012  0.     0.  0.     0.036],9.359648,0.0034317826,0.010104627,0.022568071,0.34317827,14.50057339668274,72.237495,7987,86.443245,0.40015906,500,81.01263,12975.323,153.25014,,2.256807,67.3258,1.4446353,5,1.0104628,9.359648,-1,52.391693,214.177
71.703705,17.79,100,81.71141,163.02006088096715,341.84937,True,1.2238193,0.0050640907,185.15636,[-0.007  0.057  0.019  0.004 -0.002 -0.005  0.048 -0.032  0.     0.  0.     0.026],9.359189,0.002195428,0.010306098,0.023169521,0.21954279,17.691027879714966,63.00877,9766,80.551445,0.5064091,600,100.01128,17013.207,163.02005,,2.3169522,60.46525,1.40503,6,1.0306098,9.359189,-1,57.28202,278.8406
89.213234,19.18,100,86.42739,175.92997374845683,324.0227,True,1.1570406,0.003725247,193.77454,[-0.002  0.064  0.027  0.003 -0.001  0.012  0.066 -0.052  0.     0.  0.    -0.014],9.359986,0.0023665382,0.010495202,0.019912176,0.23665382,20.532219409942627,81.25714,11684,88.810905,0.3725247,700,94.67283,14356.731,175.92996,,1.9912176,78.72316,1.3682197,7,1.0495201,9.359986,-1,49.27821,242.76556
79.9705,19.67,100,93.62287,180.5273603608734,348.86035,True,1.0681151,0.0029450988,188.13428,[-0.004  0.078  0.035  0.014  0.014  0.003  0.102 -0.045  0.     0.  0.    -0.051],9.359934,0.0041022035,0.010063085,0.026675636,0.41022035,23.704230070114136,72.25983,13651,92.11054,0.2945099,800,108.26754,13205.053,180.52736,,2.6675637,75.86926,1.3756888,8,1.0063084,9.359934,-1,57.42776,276.60052
68.752045,21.19,100,92.996605,194.56075406018542,450.46808,True,1.0753081,0.0029465526,208.88869,[ 0.017  0.073  0.065 -0.006  0.006  0.     0.138 -0.034  0.     0.  0.    -0.043],9.359373,0.0047801114,0.010494118,0.019178389,0.47801116,26.379748821258545,81.36415,15770,92.69229,0.29465526,900,113.1966,14584.027,194.56075,,1.9178389,59.420334,1.3498566,9,1.0494118,9.359373,-1,61.877705,369.10394
47.841934,20.97,100,95.779755,192.5314698761218,510.1737,True,1.044062,0.002003086,204.22958,[ 0.017  0.055  0.06  -0.007  0.006 -0.013  0.102 -0.064  0.     0.  0.    -0.069],9.359496,0.006164055,0.010432685,0.016540613,0.6164055,30.1037015914917,99.82164,17867,96.444626,0.2003086,1000,92.70982,18320.107,192.53146,,1.6540613,39.479355,1.3181732,10,1.0432684,9.359496,-1,69.23232,410.35205
