StdIWNorm,EmpiricalD2,J_sample_variance,OptimizationReturnMin,EpThisIter,MaxIW,Iteration,MeanIW,InitialBound,MeanIWNorm,Bound,InitialReturnMax,EpisodesSoFar,OptimizationReturnMax,LearnableVariance,MeanEntropy,ReturnMeanIW,MinIWNorm,VarianceInit,StdIW,MaxIWNorm,OptimizationReturnMean,EpRewMean,ReturnStepMax,InitialReturnMin,Weights,ESSClassic,TimeElapsed,ReturnStepMaxmin,InitialReturnMean,InitialReturnStd,EpLenMean,MinIW,TimestepsSoFar,ESSRenyi
0.0044172728,1.1881824,12780.688,,100,2.468436,1,1.0152968,53.44307,0.010152969,59.626045,286.13446,100,223.08069,True,1.3877606,153.19525,0.0028590304,-1,0.44172725,0.02468436,76.22964,139.28341012748433,9.359532,63.053772,[-0.  0.  0.  0. -0. -0. -0. -0. -0.  0.  0.  0.],84.08395,8.379334449768066,9.359532,139.28342,47.01819,15.24,0.28590304,1524,84.16216
0.0023502214,1.0752013,11033.677,,100,1.5421815,2,1.0353258,48.678497,0.010353258,57.552696,331.2058,200,259.15875,True,1.3620019,160.58278,0.004826026,-1,0.23502214,0.015421814,75.993195,148.04024595466635,9.359578,72.04704,[-0.014  0.013 -0.001 -0.015 -0.026 -0.015 -0.    -0.018  0.     0.  0.    -0.031],95.09948,17.860238075256348,9.359578,148.04024,52.577797,16.17,0.4826026,3141,93.005844
0.004015356,1.1552794,12883.634,,100,2.972581,3,1.0837687,60.991226,0.010837687,72.196434,304.89035,300,241.53415,True,1.3954394,170.50887,0.0042770323,-1,0.4015356,0.029725809,89.10211,152.45832037190425,9.359918,63.35621,[-0.018  0.023  0.011 -0.02  -0.031 -0.031  0.038  0.008  0.     0.  0.    -0.057],87.92988,25.127700567245483,9.359918,152.45833,48.116386,16.65,0.42770326,4806,86.55915
0.4355615,44.698143,103830380.0,,100,438.4552,4,5.2598395,58.46206,0.052598394,825.70703,295.10883,400,232.42535,True,1.5540895,1417.6068,0.00049678027,-1,43.556152,4.384552,84.31124,146.99470236164842,9.359508,62.683464,[-0.013  0.034  0.053  0.004  0.001 -0.036  0.082  0.037  0.     0.  0.    -0.024],1.4373363,31.90140414237976,9.359508,146.99469,43.875393,16.06,0.049678028,6412,2.2372293
0.01577938,1.938195,119794.52,,100,12.746042,5,1.2671987,57.54213,0.012671986,90.08574,314.5036,500,251.23425,True,1.4066622,221.44044,0.00027855285,-1,1.577938,0.12746042,88.623856,151.89320869425148,9.359463,63.26935,[ 0.04   0.028  0.091  0.092  0.092  0.039  0.08  -0.03   0.     0.  0.     0.135],39.206978,43.04734778404236,9.359463,151.8932,49.51163,16.6,0.027855285,8072,51.594395
0.0051715993,1.2427211,16792.014,,100,2.9405007,6,1.0749049,51.97696,0.0107490495,65.768715,359.4438,600,296.63104,True,1.364121,185.97829,0.0024772563,-1,0.51715994,0.029405007,96.99734,159.81008757222887,9.359999,62.81276,[ 0.048  0.029  0.112  0.13   0.118  0.044  0.098 -0.045  0.     0.  0.    -0.012],81.20323,52.018393993377686,9.359999,159.81009,57.28572,17.45,0.24772564,9817,80.46858
0.0061005247,1.1484063,19985.656,,100,4.9182186,7,1.0144565,65.271774,0.010144565,74.13491,314.17102,700,242.08798,True,1.3314667,175.1381,0.003953625,-1,0.61005247,0.049182184,87.44004,159.52308832274906,9.3588085,72.083046,[ 0.033  0.033  0.109  0.121  0.12   0.032  0.098 -0.067  0.     0.  0.    -0.055],73.441246,60.129976749420166,9.3588085,159.52307,51.588287,17.43,0.3953625,11560,87.0772
0.010479959,1.6246964,39158.562,,100,6.491261,8,1.2138561,81.76972,0.012138562,111.34419,342.86615,800,261.40775,True,1.258166,242.45303,0.0016117693,-1,1.0479958,0.06491261,103.171165,184.6295579263567,9.359495,81.458405,[ 0.053  0.055  0.122  0.095  0.1    0.083  0.123 -0.069  0.     0.  0.    -0.087],57.29372,69.28534197807312,9.359495,184.62955,53.718296,20.11,0.16117693,13571,61.54996
0.004377088,1.1438807,18715.084,,100,2.7642844,9,1.0552982,50.208405,0.010552982,58.58699,434.24594,900,343.94653,True,1.2560266,197.91788,0.00068738824,-1,0.4377088,0.027642842,90.182785,180.48218973878363,9.35932,90.29941,[ 0.071  0.053  0.128  0.033  0.032  0.105  0.133 -0.065  0.     0.  0.    -0.161],85.32159,79.76796317100525,9.35932,180.4822,52.043915,19.68,0.068738826,15539,87.4217
0.060433794,3.1292405,617180.5,,100,54.97921,10,1.8445659,80.474205,0.01844566,170.7407,407.1563,1000,317.24225,True,1.1749709,386.8144,0.00056319375,-1,6.043379,0.5497921,112.707054,202.6211041759134,9.359707,89.914055,[ 0.072  0.057  0.14   0.01   0.025  0.09   0.165 -0.042  0.     0.  0.    -0.163],8.522069,91.87595558166504,9.359707,202.62111,61.10762,22.06,0.05631938,17745,31.956636
0.003929566,1.1037291,18412.34,,100,3.1225376,11,1.0134511,82.23723,0.010134513,87.165146,389.05414,1100,307.84943,True,1.1594687,209.78549,0.0023216668,-1,0.3929566,0.031225376,117.74875,198.9534546337665,9.35969,81.20471,[ 0.055  0.076  0.119 -0.024  0.006  0.141  0.112 -0.083  0.     0.  0.    -0.244],86.93057,105.2303512096405,9.35969,198.95346,61.813507,21.64,0.23216668,19909,90.60194
