OptimizationReturnMean,TimeElapsed,InitialReturnMean,EmpiricalD2Harmonic,Inner Iteration,ReturnStepMaxmin,OptimizationReturnMin,Bound,StdIW,StdWReturnMean,EpisodesSoFar,InitialReturnMin,InitialReturnMax,InitialBound,InitialReturnStd,Penalization,Iteration,EpLenMean,MeanD2-0,EpThisIter,EpRewMean,WReturnMean,Weights,MinIW,LearnableVariance,MinTargetPdf,MinBehavPdf,TimestepsSoFar,ReturnMeanIW,MaxIW,ESSRenyiArithmetic,Epsilon,MeanIW,ESSRenyiHarmonic,OptimizationReturnMax,ReturnStepMax,EmpiricalD2Arithmetic,MeanEntropy,DivergenceHarmonic,VarianceInitializer
80.63631,2.8661751747131348,162.24487,1.0,1,9.359042,,-121426060000.0,48366.86,,100,81.60857,342.3534,-29389.295,43.450333,True,1,17.69,1.0,100,162.244870204399,28211.33,[ 0.  0.  0.  0.  0. -0.  0.  0. -0. -0. -0.],0.044144835,,-18.02787,-18.02787,1769,297700260.0,404189.6,100.0,2.0,9266.881,100.0,260.7448,9.359042,1.0,0.4189424,1.0573735e+16,-1.0
121.45901,6.689430475234985,221.48735,1.0,1,9.359755,,-1305504600.0,29.542986,,200,100.02836,436.7176,-54687.234,60.940563,True,2,24.05,1.0,100,221.48736514223302,52770.402,[-0.001  0.006 -0.006 -0.004 -0.004 -0.007  0.029 -0.054  0.     0.  0.   ],0.053523865,,-27.089064,-27.089064,4174,902152.6,225.02643,100.0,2.0,15.995361,100.0,336.68924,9.359755,1.0,0.4189424,463221700000.0,-1.0
96.88071,9.779781818389893,169.13289,1.0,1,9.359976,,-1523676300000.0,374860.44,,300,72.25219,314.563,-31975.174,48.731438,True,3,18.43,1.0,100,169.13289768074267,30980.69,[ 0.008  0.009  0.002 -0.012 -0.011  0.023 -0.003 -0.013  0.     0.  0.   ],0.049211722,,-18.852392,-18.852392,6017,1065993660.0,2603411.0,100.0,2.0,69007.03,100.0,242.31079,9.359976,1.0,0.4189424,2.344133e+18,-1.0
132.68651,13.235121726989746,223.22775,1.0,1,9.35991,,-345675970.0,2142.639,,400,90.541214,418.6463,-55780.703,64.71943,True,4,24.26,1.0,100,223.22772882268376,54019.223,[ 0.004  0.013 -0.003 -0.004 -0.003  0.005  0.027 -0.063  0.     0.  0.   ],0.06681105,,-23.97398,-23.97398,8443,12485072.0,20140.656,100.0,2.0,354.47876,100.0,328.1051,9.35991,1.0,0.4189424,35779360000.0,-1.0
117.425735,17.12732219696045,253.14264,1.0,1,9.3597145,,-43307492.0,37.585117,,500,135.71689,504.0896,-71324.58,68.48009,True,5,27.44,1.0,100,253.1426254078367,68770.71,[ 0.005  0.026 -0.01   0.019  0.019  0.024  0.046 -0.108  0.     0.  0.   ],0.10611167,,-26.55957,-26.55957,11187,928681.0,359.58228,100.0,2.0,9.712827,100.0,368.3727,9.3597145,1.0,0.4189424,275360640.0,-1.0
132.36757,20.23389983177185,250.7537,1.0,1,9.359895,,-4538868000.0,38.08278,,600,118.38614,596.034,-71450.2,70.72704,True,6,27.15,1.0,100,250.75369501637343,67879.734,[ 0.01   0.043 -0.011  0.039  0.04   0.074  0.057 -0.119  0.     0.  0.   ],0.015702993,,-26.407612,-26.407612,13902,694804.2,300.46115,100.0,2.0,12.808071,100.0,477.64786,9.359895,1.0,0.4189424,1615523500000.0,-1.0
118.11066,23.733194589614868,300.57602,1.0,1,9.359934,,-1.1980956e+21,8985914000.0,,700,182.46536,628.7741,-101283.24,83.44943,True,7,32.48,1.0,100,300.5760262806989,97309.75,[ 0.005  0.042 -0.011  0.007  0.009  0.04   0.083 -0.13   0.     0.  0.   ],0.057849042,,-31.377623,-31.377623,17150,74820620000000.0,85339460000.0,100.0,2.0,1169339300.0,100.0,446.30875,9.359934,1.0,0.4189424,9.091582e+34,-1.0
114.04664,27.970468044281006,334.56134,1.0,1,9.35999,,-704279540000000.0,13713.481,,800,220.5147,773.9645,-127899.73,99.739876,True,8,36.1,1.0,100,334.5613439804755,121879.33,[ 0.014  0.051 -0.024  0.036  0.036  0.055  0.119 -0.241  0.     0.  0.   ],0.051699113,,-39.882133,-39.882133,20760,403283620.0,137786.12,100.0,2.0,1568.3967,100.0,553.44977,9.35999,1.0,0.4189424,1.3684874e+22,-1.0
160.95535,33.09753131866455,382.15656,1.0,1,9.359921,,-259356430.0,3.6636584,,900,221.2012,666.7296,-163393.88,113.50136,True,9,41.2,1.0,100,382.156550043335,158926.19,[ 0.024  0.047 -0.031  0.017  0.018  0.088  0.093 -0.276  0.     0.  0.   ],0.18465568,,-36.623302,-36.623302,24880,464856.34,30.478539,100.0,2.0,2.4501548,100.0,445.5284,9.359921,1.0,0.4189424,3357933300.0,-1.0
185.58742,38.335853576660156,415.23624,1.0,1,9.359976,,-3.3965987e+20,215.35019,,1000,229.6488,868.99146,-198781.84,137.00803,True,10,44.77,1.0,100,415.2362254379204,191192.33,[-0.012  0.057 -0.041  0.016  0.018  0.084  0.096 -0.326  0.     0.  0.   ],0.0723627,,-41.811893,-41.811893,29357,15672781.0,1720.8619,100.0,2.0,40.00964,100.0,639.34265,9.359976,1.0,0.4189424,2.0029112e+33,-1.0
189.78276,44.50025773048401,410.77307,1.0,1,9.359913,,-1.7178351e+19,727915.4,,1100,220.9903,991.4526,-198168.5,139.83801,True,11,44.29,1.0,100,410.7730584623295,188289.17,[-0.025  0.058 -0.046 -0.006 -0.006  0.056  0.113 -0.365  0.     0.  0.   ],0.04235702,,-43.867844,-43.867844,33786,15800895000.0,6800598.0,100.0,2.0,100581.59,100.0,770.4623,9.359913,1.0,0.4189424,3.0235032e+30,-1.0
210.14964,50.73664426803589,460.85556,1.0,1,9.359895,,-5.464328e+21,531.0667,,1200,250.70589,1485.8806,-262601.16,167.40266,True,12,49.68,1.0,100,460.8555185611856,240411.45,[-0.078  0.067 -0.058  0.031  0.031  0.111  0.079 -0.44   0.     0.  0.   ],0.21898478,,-43.043335,-43.043335,38754,37602188.0,5178.7085,100.0,2.0,90.735466,100.0,1235.1747,9.359895,1.0,0.4189424,6.0641944e+34,-1.0
239.01144,56.5078809261322,468.6996,1.0,1,9.3598995,,-1.7176813e+17,131507.33,,1300,229.68814,982.115,-251070.3,147.2987,True,13,50.55,1.0,100,468.69957811507106,241376.19,[-0.052  0.068 -0.061 -0.003 -0.003  0.133  0.079 -0.46   0.     0.  0.   ],0.12448091,,-48.95636,-48.95636,43809,7506218500.0,1321881.1,100.0,2.0,13426.25,100.0,752.4269,9.3598995,1.0,0.4189424,3.1395757e+26,-1.0
219.83379,63.121580600738525,478.418,1.0,1,9.359989,,-4.8711446e+21,76314770.0,,1400,258.5842,1163.0142,-268166.6,160.27676,True,14,51.58,1.0,100,478.41798499830855,254572.4,[-0.058  0.068 -0.059 -0.011 -0.01   0.187  0.066 -0.435  0.     0.  0.   ],0.022606144,,-52.353783,-52.353783,48967,5039303700000.0,599682100.0,100.0,2.0,13192017.0,100.0,904.42993,9.359989,1.0,0.4189424,1.28397695e+35,-1.0
