OptimizationReturnMean,InitialReturnMax,ReturnStepMaxmin,ReturnStepMax,StdIWNorm,OptimizationReturnMin,ESSRenyi,EpLenMean,MaxIWNorm,Bound,OptimizationReturnMax,Weights,InitialBound,ReturnMeanIW,MeanIW,EpThisIter,MeanEntropy,EmpiricalD2,EpRewMean,InitialReturnStd,MeanIWNorm,J_sample_variance,EpisodesSoFar,InitialReturnMean,MinIWNorm,TimeElapsed,Iteration,InitialReturnMin,StdIW,TimestepsSoFar,ESSClassic,MinIW,MaxIW,VarianceInit,LearnableVariance
94.650154,324.5118,9.359928,9.359928,0.002091988,,95.42765,18.16,0.013940909,75.49932,252.54048,[ 0.  0.  0. -0.  0.  0.  0.  0. -0. -0.  0.],69.26795,175.15788,1.0191991,100,0.4189424,1.0479143,166.62148434948674,52.38056,0.010191991,10198.775,100,166.62149,0.0025291357,3.266822338104248,1,71.97133,0.20919882,1816,95.95724,0.25291356,1.3940909,-1.0,
86.420525,323.6051,9.359773,9.359773,0.0016856978,,96.65917,19.32,0.014127514,83.91478,232.62112,[-0.004 -0.005  0.002  0.003  0.005 -0.02  -0.007 -0.006  0.     0.  0.   ],80.32298,182.65977,1.0221713,100,0.4189424,1.034563,177.40450275522485,52.244823,0.010221712,12556.168,200,177.40451,0.0069655273,7.175739765167236,2,90.98398,0.16856979,3748,97.352356,0.69655275,1.4127514,-1.0,
85.96445,380.4895,9.359957,9.359957,0.003623321,,88.08903,19.25,0.023661098,75.901955,289.65698,[-0.006  0.002  0.005  0.011  0.013 -0.025 -0.001 -0.002  0.     0.  0.   ],62.650093,197.5214,1.0707114,100,0.4189424,1.1352152,176.79694871357958,53.252445,0.010707114,17788.38,300,176.79695,0.0031732554,10.47961139678955,3,90.832504,0.3623321,5673,89.72499,0.31732553,2.3661098,-1.0,
81.997536,380.3621,9.359817,9.359817,0.0016516586,,96.714424,18.78,0.013695428,61.113113,289.99652,[-0.004  0.011  0.009 -0.    -0.    -0.021  0.015  0.003  0.     0.  0.   ],58.254494,177.1438,1.0021212,100,0.4189424,1.0339719,172.3631234502346,57.023827,0.010021211,12945.251,400,172.36313,0.0039559025,13.471785545349121,4,90.365585,0.16516587,7551,97.35539,0.39559025,1.3695428,-1.0,
93.314186,330.35318,9.359447,9.359447,0.00667559,,83.83937,19.03,0.0419441,84.55071,249.0223,[-0.004  0.012  0.01  -0.001 -0.001 -0.035  0.015  0.     0.     0.  0.   ],75.539116,192.78772,1.1498717,100,0.4189424,1.192757,174.6450668346761,49.841892,0.011498717,13945.784,500,174.64508,0.002364792,16.37363886833191,5,81.33089,0.66755897,9454,74.79212,0.23647921,4.1944103,-1.0,
81.525696,295.95844,9.359824,9.359824,0.0018246523,,97.575615,18.74,0.021554312,85.57808,205.46921,[-0.002  0.016  0.012 -0.017 -0.016 -0.03   0.018  0.008  0.     0.  0.   ],83.227394,175.46185,1.0023792,100,0.4189424,1.0248462,172.01491338010746,44.82493,0.010023793,11752.824,600,172.01491,0.006635692,19.47740411758423,6,90.48922,0.18246523,11328,96.79271,0.6635692,2.1554313,-1.0,
85.68679,333.99902,9.35973,9.35973,0.0036400552,,88.66033,19.19,0.025668101,83.92287,243.53703,[-0.008  0.019  0.01  -0.007 -0.023 -0.035  0.005 -0.002  0.     0.  0.   ],75.94907,190.3376,1.0449677,100,0.4189424,1.1279001,176.1487748649346,48.609417,0.010449677,14741.171,700,176.14877,0.004237288,22.468397855758667,7,90.46199,0.3640055,13247,89.17886,0.42372882,2.5668101,-1.0,
104.153175,387.9042,9.35978,9.35978,0.00404551,,91.44073,19.23,0.030058343,63.60367,315.49786,[-7.640e-03  2.428e-02  9.848e-03  9.086e-05 -1.514e-02 -2.991e-02  8.989e-03 -7.726e-03  0.000e+00  0.000e+00  0.000e+00],60.188286,185.29956,1.097158,100,0.4189424,1.0936046,176.55953529547318,54.106945,0.01097158,9141.209,800,176.55951,0.0045723724,25.76810574531555,8,72.40636,0.40455103,15170,88.031334,0.45723724,3.0058343,-1.0,
94.57606,409.10205,9.359888,9.359888,0.001852707,,96.547104,20.13,0.014276158,66.58692,318.693,[-0.01   0.027  0.012 -0.006 -0.021 -0.031  0.005 -0.003  0.     0.  0.   ],62.254486,191.49292,1.0324187,100,0.4189424,1.0357639,184.98509676375159,51.00931,0.010324188,11826.095,900,184.98509,0.0036709139,29.289564609527588,9,90.40904,0.1852707,17183,96.88011,0.3670914,1.4276159,-1.0,
82.53584,286.73767,9.359994,9.359994,0.14573957,,22.841385,18.85,1.4715207,162.71358,196.20627,[-0.008  0.025  0.018 -0.001 -0.016 -0.041  0.014  0.002  0.     0.  0.   ],87.04594,342.7021,2.3461733,100,0.4189424,4.3780184,173.06725045672403,43.630196,0.023461731,511467.34,1000,173.06725,0.0017168322,31.856181621551514,10,90.53141,14.573956,19068,2.5261173,0.17168322,147.15207,-1.0,
