MinIW,Weights,MaxIW,ReturnMeanIW,InitialBound,EmpiricalD2Harmonic,OptimizationReturnMax,WReturnMean,Bound,EpisodesSoFar,DivergenceHarmonic,Inner Iteration,EmpiricalD2Arithmetic,MinBehavPdf,TimeElapsed,TimestepsSoFar,StdIW,VarianceInitializer,Epsilon,MinTargetPdf,InitialReturnMax,Iteration,InitialReturnMin,Penalization,OptimizationReturnMean,MeanD2-0,EpThisIter,StdWReturnMean,LearnableVariance,InitialReturnMean,MeanEntropy,InitialReturnStd,ESSRenyiHarmonic,ESSRenyiArithmetic,MeanIW,EpLenMean,EpRewMean,ReturnStepMaxmin,OptimizationReturnMin,ReturnStepMax
0.048108608,[ 0. -0. -0. -0. -0. -0. -0. -0.  0.  0.  0.],396495.88,201013900.0,-34863.727,1.0,280.28604,33481.5,-67267842000.0,100,2354276000000000.0,1,1.0,-18.302784,2.1755497455596924,1881,48137.12,-1.0,2.0,-18.302784,370.85004,1,90.563995,True,82.20076,1.0,100,,,172.76477,0.4189424,60.28132,100.0,100.0,8707.448,18.81,172.76475646840152,9.359792,,9.359792
0.03295699,[ 0.002  0.004 -0.006  0.002  0.001  0.002  0.023 -0.057  0.     0.  0.   ],188083.78,230053920.0,-52072.375,1.0,290.05316,50398.035,-6285264000000000.0,200,1.4091593e+25,1,1.0,-26.736753,5.387035131454468,4245,22836.068,-1.0,2.0,-26.736753,408.1601,2,118.10692,True,99.638954,1.0,100,,,217.74588,0.4189424,54.63304,100.0,100.0,4353.744,23.64,217.7458823334951,9.359885,,9.359885
0.15348957,[-0.01   0.007  0.011  0.041  0.043 -0.08   0.07  -0.002  0.     0.  0.   ],107946940.0,77991660000.0,-43718.863,1.0,233.71973,42539.66,-4.7408024e+17,300,1.6163198e+29,1,1.0,-20.958084,7.890196323394775,6415,10977822.0,-1.0,2.0,-20.958084,342.53336,3,108.81363,True,90.683174,1.0,100,,,199.4968,0.4189424,52.35158,100.0,100.0,1669976.8,21.7,199.49680205406653,9.359702,,9.359702
0.1573256,[-0.019  0.014  0.019 -0.018 -0.012 -0.143  0.134 -0.028  0.     0.  0.   ],23963.146,25645020.0,-64448.754,1.0,254.47961,62693.09,-197202290.0,400,9548531000.0,1,1.0,-25.888668,10.816929340362549,9067,2766.9211,-1.0,2.0,-25.888668,417.9547,4,163.4751,True,80.88932,1.0,100,,,244.36444,0.4189424,54.58129,100.0,100.0,583.67255,26.52,244.36441864317334,9.3599205,,9.3599205
0.07600923,[-0.019  0.024  0.015 -0.023 -0.016 -0.144  0.166 -0.081  0.     0.  0.   ],10929.648,13740654.0,-81937.2,1.0,609.32916,75645.945,-533788060.0,500,6833005000.0,1,1.0,-40.63128,14.331460952758789,11938,1173.0493,-1.0,2.0,-40.63128,791.1837,5,181.85455,True,82.91423,1.0,100,,,264.7688,0.4189424,74.45425,100.0,100.0,266.49457,28.71,264.76878742239865,9.35999,,9.35999
0.013710299,[-0.017  0.029  0.01  -0.018 -0.012 -0.141  0.196 -0.135  0.     0.  0.   ],18216916.0,30011316000.0,-85842.46,1.0,291.4193,83494.61,-9.969918e+16,600,1.8031993e+27,1,1.0,-24.419167,18.30922770500183,15012,2085266.9,-1.0,2.0,-24.419167,483.32983,6,191.91052,True,91.86737,1.0,100,,,283.77786,0.4189424,54.4493,100.0,100.0,346907.72,30.74,283.7778882502005,9.359873,,9.359873
0.03855628,[-0.016  0.038  0.004  0.058  0.068 -0.134  0.219 -0.187  0.     0.  0.   ],2372.2747,10924628.0,-98676.99,1.0,399.12457,95063.12,-72681650000.0,700,404366070000000.0,1,1.0,-25.933872,22.11338710784912,18243,369.87674,-1.0,2.0,-25.933872,599.6459,7,200.5213,True,98.178055,1.0,100,,,298.69934,0.4189424,76.43176,100.0,100.0,143.15182,32.31,298.6993547555439,9.359913,,9.359913
0.13401191,[-0.002  0.045 -0.002  0.047  0.054 -0.093  0.225 -0.228  0.     0.  0.   ],138517.61,68701450.0,-116789.75,1.0,490.012,112110.81,-425910400.0,800,5828438000.0,1,1.0,-32.72155,26.21345543861389,21742,13792.088,-1.0,2.0,-32.72155,682.3103,8,192.29831,True,131.56535,1.0,100,,,323.86365,0.4189424,84.989044,100.0,100.0,1583.1373,34.99,323.86366148776256,9.359969,,9.359969
0.17994858,[ 0.001  0.046 -0.009  0.018  0.026 -0.078  0.222 -0.272  0.     0.  0.   ],230.98358,2689182.2,-138086.19,1.0,375.35907,134403.94,-1133179100.0,900,94256010000.0,1,1.0,-36.841316,30.248637914657593,25611,39.417572,-1.0,2.0,-36.841316,605.29193,9,229.93285,True,128.74782,1.0,100,,,358.68066,0.4189424,75.84275,100.0,100.0,19.504753,38.69,358.68066213654095,9.359967,,9.359967
0.03364177,[ 0.01   0.054 -0.016  0.012  0.018 -0.05   0.233 -0.325  0.     0.  0.   ],25866.938,97800430.0,-157791.38,1.0,531.0668,151533.84,-841081360000.0,1000,1.8062195e+16,1,1.0,-34.529793,33.8225793838501,29693,2743.371,-1.0,2.0,-34.529793,789.0598,10,257.99304,True,120.63047,1.0,100,,,378.6235,0.4189424,90.43273,100.0,100.0,472.0864,40.82,378.6235080980188,9.359965,,9.359965
