StdWReturnMean,ReturnMeanIW,DivergenceHarmonic,MinBehavPdf,OptimizationReturnMin,InitialBound,MeanD2-0,Iteration,InitialReturnStd,Weights,EpisodesSoFar,MinIW,Epsilon,ESSRenyiHarmonic,OptimizationReturnMean,EmpiricalD2Harmonic,EpThisIter,VarianceInitializer,ESSRenyiArithmetic,MaxIW,EmpiricalD2Arithmetic,Inner Iteration,ReturnStepMaxmin,EpRewMean,TimeElapsed,MeanIW,StdIW,InitialReturnMax,EpLenMean,OptimizationReturnMax,InitialReturnMean,Penalization,ReturnStepMax,MinTargetPdf,WReturnMean,InitialReturnMin,MeanEntropy,Bound,TimestepsSoFar,LearnableVariance
,17751008.0,2.0190422e+16,-18.97841,,-28930.145,1.0,1,43.842205,[-0. -0.  0.  0.  0. -0. -0.  0. -0. -0. -0.],100,0.05312512,2.0,100.0,79.725494,1.0,100,-1.0,100.0,22840.076,1.0,1,9.359807,161.3020937451902,1.9078748226165771,713.15436,2760.1018,313.7964,17.59,232.21979,161.3021,True,9.359807,-18.97841,27940.502,81.5766,0.4189424,-140639000000.0,1759,
,99757250.0,2.0772816e+19,-13.0648155,,-17586.11,1.0,2,33.061237,[-0.001  0.009  0.01   0.004  0.004  0.013 -0.023  0.055  0.     0.  0.   ],200,0.113423996,2.0,100.0,63.327858,1.0,100,-1.0,100.0,428827.1,1.0,1,9.359936,126.32028902836853,4.008760929107666,6853.5225,44081.047,230.98952,13.81,167.99709,126.32029,True,9.359936,-13.0648155,17049.86,62.992428,0.4189424,-2444175300000.0,3140,
,342021280.0,6.1988926e+19,-18.931328,,-29083.85,1.0,3,47.84632,[-0.001  0.021  0.01  -0.021 -0.022  0.004  0.012  0.02   0.     0.  0.   ],300,0.08732438,2.0,100.0,88.30087,1.0,100,-1.0,100.0,607242.6,1.0,1,9.359673,160.8070060655505,5.671266555786133,14456.169,79893.21,305.12195,17.53,232.61581,160.807,True,9.359673,-18.931328,28148.164,72.50613,0.4189424,-7367269000000.0,4893,
,395145800.0,5.231845e+22,-23.522297,,-48828.1,1.0,4,54.76984,[-0.001  0.025  0.006 -0.013 -0.014 -0.008  0.047 -0.029  0.     0.  0.   ],400,0.060720403,2.0,100.0,110.28926,1.0,100,-1.0,100.0,884882.94,1.0,1,9.359717,209.9593978302103,7.403053283691406,14193.039,91136.83,416.73322,22.83,317.06308,209.9594,True,9.359717,-23.522297,47082.684,99.670135,0.4189424,-399233100000000.0,7176,
,29366022.0,17250322000.0,-24.42537,,-68296.984,1.0,5,58.012905,[-0.011  0.026  0.024 -0.007 -0.004 -0.102  0.125 -0.036  0.     0.  0.   ],500,0.03526004,2.0,100.0,86.51584,1.0,100,-1.0,100.0,30283.129,1.0,1,9.359904,250.1735611450969,9.21247911453247,666.48315,3264.3962,483.00348,27.13,319.34576,250.17357,True,9.359904,-24.42537,65952.305,163.65771,0.4189424,-337316930.0,9889,
,43481384.0,3188370300000000.0,-26.133406,,-86611.65,1.0,6,71.36423,[-0.012  0.031  0.018 -0.009 -0.007 -0.104  0.147 -0.094  0.     0.  0.   ],600,0.06488394,2.0,100.0,115.153625,1.0,100,-1.0,100.0,11417.093,1.0,1,9.359788,279.03821445092194,11.307607889175415,597.6916,1801.3728,603.1704,30.24,439.28583,279.0382,True,9.359788,-26.133406,82955.17,163.88458,0.4189424,-206508650000.0,12913,
,70768120.0,98973610000.0,-28.543655,,-71088.48,1.0,7,70.2346,[-0.014  0.043  0.017  0.08   0.077 -0.089  0.159 -0.107  0.     0.  0.   ],700,0.01192863,2.0,100.0,94.30859,1.0,100,-1.0,100.0,96424.055,1.0,1,9.359882,249.09574962311441,13.310884475708008,1850.2495,10698.966,639.2415,27.02,484.45435,249.09576,True,9.359882,-28.543655,66981.586,154.78716,0.4189424,-1362796500.0,15615,
,10728856.0,7418637300.0,-25.183228,,-89978.12,1.0,8,68.38749,[-0.012  0.048  0.01   0.063  0.06  -0.075  0.176 -0.159  0.     0.  0.   ],800,0.18296514,2.0,100.0,95.28676,1.0,100,-1.0,100.0,9973.067,1.0,1,9.359946,287.0805844425991,15.416216611862183,168.00734,1021.85693,535.8673,31.04,344.0735,287.0806,True,9.359946,-25.183228,87092.11,191.79382,0.4189424,-259304770.0,18719,
,10879441.0,3.10873e+24,-35.390594,,-108145.04,1.0,9,78.29089,[-0.006  0.057  0.004  0.045  0.041 -0.048  0.189 -0.206  0.     0.  0.   ],900,0.026898507,2.0,100.0,113.121155,1.0,100,-1.0,100.0,5464.05,1.0,1,9.359846,314.4125835641161,17.641950368881226,80.29573,549.1758,560.7549,33.99,359.46344,314.4126,True,9.359846,-35.390594,104984.734,201.29143,0.4189424,-5572114500000000.0,22118,
,6596754.5,2.6352745e+16,-26.124437,,-97686.24,1.0,10,57.53704,[ 0.012  0.063  0.001  0.046  0.043  0.008  0.17  -0.205  0.     0.  0.   ],1000,0.006245147,2.0,100.0,92.17302,1.0,100,-1.0,100.0,1532.0502,1.0,1,9.359575,303.64122057922634,19.915461540222168,49.888878,180.07805,465.49207,32.78,254.02386,303.64124,True,9.359575,-26.124437,95508.49,211.4682,0.4189424,-353531400000.0,25396,
