AvgNormIw,VarJ,MinNormIw,delta,AvgVanillaIw,MinVanillaIw,AvgRet,MaxNormIw,J,EpsThisIter,Bound,ESSClassic,VarNormIw,AvgDiscRet,AvgEpLen,IterType,VarRet,VarVanillaIw,MaxVanillaIw,SamplesThisIter,BatchSize,ESSRenyi,VarDiscRet,renyi2,VanillaAvgRet
6.48711e-07,839.405,3.9893e-09,0.6,0.999845,0.00614864,48.355966653,8.60792e-06,8777.11,8564,39.7983,48.1893850662,7.56005e-15,48.355966653,5.83839327417,1,3669.75893466,0.0179593,13.2672,50000,100,0.0393365000368,3669.75893466,7.84077,48.355966653
6.53902e-07,1184.28,7.68149e-13,0.6,6.95042,8.16476e-06,48.8229472277,0.188365,10126.1,8496,415.277,4.00912586765,9.40898e-08,48.8229472277,5.88512241055,1,2956.06365382,1.06302e+07,2.00216e+06,50000,100,0.0395673977394,2956.06365382,7.83492,48.8229472277
6.77176e-07,7037.63,1.57285e-13,0.6,5.48948,1.27502e-06,50.9121723397,0.13728,13716.1,8204,684.818,4.01299068567,6.07974e-08,50.9121723397,6.09458800585,1,4413.91469175,3.99525e+06,1.11285e+06,50000,100,0.0355838743889,4413.91469175,7.94103,50.9121723397
6.95836e-07,3113.3,1.08955e-11,0.6,2.2441,3.51385e-05,52.5957349297,0.0563997,11663.2,7984,452.983,3.61887454936,1.42416e-08,52.5957349297,6.2625250501,1,3721.13148598,148125.0,181891.0,50000,100,0.0401967442207,3721.13148598,7.81914,52.5957349297
6.75201e-07,2081.6,1.60139e-11,0.6,8.86506,0.000210254,50.7396403896,0.125967,11181.6,8228,407.667,4.00228314144,5.46031e-08,50.7396403896,6.07681088965,1,4070.10876378,9.41269e+06,1.65388e+06,50000,100,0.0381442274588,4070.10876378,7.87155,50.7396403896
6.96185e-07,5046.48,1.05389e-12,0.6,1.84349,2.79069e-06,52.6267995835,0.0900657,11260.3,7980,435.508,4.07144035658,2.35039e-08,52.6267995835,6.2656641604,1,4067.72922995,164805.0,238493.0,50000,100,0.037791807002,4067.72922995,7.88083,52.6267995835
6.73891e-07,9140.94,4.5352e-09,0.6,2.1553,0.0145049,50.6166803894,0.0368338,16734.3,8244,854.262,2.03911204345,7.41759e-09,50.6166803894,6.06501698205,1,4113.0697369,75875.2,117805.0,50000,100,0.0363444413102,4113.0697369,7.91988,50.6166803894
6.7226e-07,1351.56,2.0184e-11,0.6,3.13134,9.40157e-05,50.4746096111,0.152763,10504.9,8264,340.442,4.02327008446,6.3173e-08,50.4746096111,6.05033881897,1,3711.80798019,1.37062e+06,711558.0,50000,100,0.0303411385468,3711.80798019,8.10042,50.4746096111
7.00751e-07,1463.57,9.85167e-08,0.6,1.00053,0.140662,53.0325540618,4.01608e-05,9694.13,7928,44.3041,47.256315383,1.37571e-14,53.0325540618,6.30676084763,1,4563.16030311,0.0280454,57.3416,50000,100,0.0288377452291,4563.16030311,8.15124,53.0325540618
7.02879e-07,2147.4,6.57417e-10,0.6,1.14739,0.00107317,53.2238144404,0.0202462,10633.2,7904,382.663,4.50046160865,1.54325e-09,53.2238144404,6.32591093117,1,4211.36484076,4112.39,33050.0,50000,100,0.0288462445866,4211.36484076,8.15095,53.2238144404
7.15553e-07,7545.99,5.0911e-10,0.6,12.1498,0.00864444,54.3702910139,0.22868,12915.1,7764,1652.19,4.0009493446,1.4968e-07,54.3702910139,6.43997939207,1,6222.89660854,4.31533e+07,3.88288e+06,50000,100,0.0280506656931,6222.89660854,8.17891,54.3702910139
6.89617e-07,1364.87,1.40795e-08,0.6,1.08638,0.02218,52.0311667535,0.0197956,9861.99,8056,369.4,4.52861721503,1.08091e-09,52.0311667535,6.20655412115,1,3869.86532973,2682.5,31184.8,50000,100,0.0278494979407,3869.86532973,8.18611,52.0311667535
7.05736e-07,1135.58,3.35963e-08,0.6,1.00034,0.0476207,53.4866619291,3.29601e-05,9786.6,7872,43.8966,46.7143765004,1.74229e-14,53.4866619291,6.35162601626,1,4916.5038515,0.0350048,46.7188,50000,100,0.0269169558027,4916.5038515,8.22017,53.4866619291
7.02523e-07,4856.25,2.45437e-10,0.6,1.22048,0.000426393,53.1912790727,0.0383439,11356.3,7908,709.954,4.23362608723,4.26216e-09,53.1912790727,6.32271117855,1,4847.91946219,12863.9,66614.3,50000,100,0.0272185095434,4847.91946219,8.20903,53.1912790727
6.97934e-07,1159.15,2.04901e-09,0.6,1.00023,0.00293649,52.7837671274,2.8054e-05,9686.42,7960,46.5434,50.1417355706,2.22622e-14,52.7837671274,6.28140703518,1,4731.54368121,0.0457232,40.2049,50000,100,0.0270647832855,4731.54368121,8.21469,52.7837671274
6.96534e-07,1168.74,6.68117e-10,0.6,6.34865,0.00608964,52.657688789,0.209075,10485.3,7976,335.905,4.00838951486,1.21794e-07,52.657688789,6.26880641926,1,4557.85774224,1.01182e+07,1.90564e+06,50000,100,0.0254140533138,4557.85774224,8.27762,52.657688789
6.81496e-07,5598.08,2.20173e-12,0.6,1078.8,0.00348532,51.3048637892,0.249587,10703.6,8152,308.493,4.00001619873,1.69811e-07,51.3048637892,6.13346418057,1,4037.44447584,4.25521e+11,3.95093e+08,50000,100,0.0258223660777,4037.44447584,8.26168,51.3048637892
6.96883e-07,2583.17,1.92141e-09,0.6,4.2755,0.0117882,52.6890027987,0.183432,11074.3,7972,434.42,4.01406614839,9.38832e-08,52.6890027987,6.27195183141,1,4271.00986941,3.5338e+06,1.12539e+06,50000,100,0.0252516549975,4271.00986941,8.28403,52.6890027987
7.11521e-07,968.534,7.01115e-13,0.6,7.65396,7.54202e-06,54.0067861827,0.113884,11110.3,7808,598.621,4.01088762995,6.7413e-08,54.0067861827,6.40368852459,1,4259.02383861,7.80082e+06,1.22507e+06,50000,100,0.0248988635638,4259.02383861,8.2981,54.0067861827
6.97233e-07,1192.52,1.24762e-11,0.6,2.49727,4.46858e-05,52.7213568179,0.132954,10720.4,7968,635.727,4.03560742147,5.00807e-08,52.7213568179,6.27510040161,1,4187.69949045,642461.0,476202.0,50000,100,0.0250368722345,4187.69949045,8.29258,52.7213568179
7.09703e-07,1287.64,7.42432e-10,0.6,1.10747,0.00115854,53.8430745272,0.0241959,10225.5,7828,365.385,4.43309365415,1.66189e-09,53.8430745272,6.38732754216,1,4377.84409578,4046.77,37756.8,50000,100,0.0246226559935,4377.84409578,8.30926,53.8430745272
6.93404e-07,2377.6,2.19174e-10,0.6,1.06561,0.000336824,52.37687665,0.0149865,10123.9,8012,427.397,4.86134270734,6.23052e-10,52.37687665,6.24063904144,1,4071.27700346,1471.47,23031.1,50000,100,0.0244525328042,4071.27700346,8.31619,52.37687665
7.15553e-07,1152.82,1.02461e-08,0.6,1.00069,0.014329,54.3697056158,5.31333e-05,9964.07,7764,46.701,47.8514084637,2.91608e-14,54.3697056158,6.43997939207,1,4752.71620267,0.0570319,74.3063,50000,100,0.0248578879522,4752.71620267,8.29975,54.3697056158
6.64858e-07,811.467,1.96327e-08,0.6,1.00047,0.0295429,49.8084874718,5.53946e-06,9067.16,8356,42.6262,48.2315686271,8.2021e-15,49.8084874718,5.98372426999,1,3312.98436244,0.0185726,8.33568,50000,100,0.0240106763097,3312.98436244,8.33443,49.8084874718
6.83845e-07,6023.9,5.09471e-09,0.6,1.49017,0.0111019,51.5118380552,0.0302194,12381.7,8124,508.95,2.20594040209,4.80671e-09,51.5118380552,6.15460364353,1,3725.74909942,22824.6,65851.3,50000,100,0.0236572107132,3725.74909942,8.34926,51.5118380552
6.85532e-07,6338.22,4.58354e-10,0.6,1.26778,0.000847649,51.6689314346,0.0205493,11220.7,8104,293.801,4.46457148109,2.43801e-09,51.6689314346,6.16979269497,1,3602.27049217,8338.08,38002.6,50000,100,0.0242043728367,3602.27049217,8.32639,51.6689314346
6.82166e-07,1773.81,1.71675e-08,0.6,1.07465,0.0270448,51.3651843235,0.0173482,9880.76,8144,424.724,4.61112168025,8.21167e-10,51.3651843235,6.1394891945,1,3610.79402441,2037.92,27329.5,50000,100,0.023920946877,3610.79402441,8.33817,51.3651843235
6.79163e-07,1573.77,1.57292e-10,0.6,5.36666,0.0012429,51.0950786496,0.184573,11537.1,8180,566.053,3.99544121863,9.30494e-08,51.0950786496,6.11246943765,1,4013.16642756,5.80997e+06,1.45847e+06,50000,100,0.0232918398154,4013.16642756,8.36482,51.0950786496
7.36811e-07,1058.29,6.09149e-08,0.6,1.00015,0.0826859,56.2820693234,5.25215e-05,10255.2,7540,46.0841,43.8412592503,1.60807e-14,56.2820693234,6.63129973475,1,5154.17496493,0.0296291,71.2926,50000,100,0.0228393735187,5154.17496493,8.38444,56.2820693234
7.09703e-07,1092.62,8.13497e-08,0.6,0.999905,0.114614,53.8426529885,3.90188e-06,9811.45,7828,39.3664,43.9332848839,5.10437e-15,53.8426529885,6.38732754216,1,5724.19654708,0.0101323,5.49738,50000,100,0.0225767103815,5724.19654708,8.39601,53.8426529885
6.77507e-07,3225.28,6.31834e-09,0.6,1.06283,0.0099118,50.9463002018,0.0147631,10102.9,8200,576.962,4.73968960646,5.90603e-10,50.9463002018,6.09756097561,1,4094.6602105,1453.43,23159.4,50000,100,0.0219412569983,4094.6602105,8.42456,50.9463002018
6.88251e-07,1788.26,5.81999e-09,0.6,1.13451,0.0095937,51.9127949396,0.0292381,10074.7,8072,375.165,4.33892495807,2.35352e-09,51.9127949396,6.19425173439,1,4258.86071599,6395.07,48196.2,50000,100,0.0221758348801,4258.86071599,8.41392,51.9127949396
6.96534e-07,923.871,3.7956e-08,0.6,1.00028,0.0545081,52.6576011964,1.08698e-05,9603.23,7976,45.4097,45.5965272664,1.00381e-14,52.6576011964,6.26880641926,1,4211.76516937,0.0207021,15.6101,50000,100,0.0229192114583,4211.76516937,8.38095,52.6576011964
6.85871e-07,1105.84,2.75697e-09,0.6,1.49483,0.00600869,51.6991172378,0.0826848,10224.7,8100,273.296,4.09658871402,1.87563e-08,51.6991172378,6.17283950617,1,4308.75890593,89093.4,180208.0,50000,100,0.0191398953455,4308.75890593,8.56115,51.6991172378
7.17031e-07,1108.76,1.84992e-07,0.6,1.00018,0.258044,54.5030363824,3.91718e-06,9920.37,7748,37.6237,43.8987032707,4.08826e-15,54.5030363824,6.45327826536,1,5833.1552684,0.00795464,5.46405,50000,100,0.0213191738487,5833.1552684,8.45332,54.5030363824
6.59805e-07,1008.47,4.51903e-08,0.6,1.00048,0.0685231,49.3532429266,2.65312e-05,8994.29,8420,40.7097,48.3301504811,1.02757e-14,49.3532429266,5.93824228029,1,3594.79747479,0.0236262,40.2299,50000,100,0.0213850070843,3594.79747479,8.45024,49.3532429266
7.01459e-07,5234.39,1.59143e-08,0.6,1.04843,0.0237863,53.1011647244,0.0080236,10532.9,7920,280.785,5.41905130687,2.1241e-10,53.1011647244,6.31313131313,1,4484.46338791,474.514,11992.4,50000,100,0.0210351210516,4484.46338791,8.46673,53.1011647244
7.00751e-07,948.361,8.33746e-08,0.6,1.00012,0.118994,53.0324605888,4.31327e-06,9666.34,7928,41.7815,44.7065693284,6.86633e-15,53.0324605888,6.30676084763,1,4375.41436622,0.0139863,6.15596,50000,100,0.0209013012591,4375.41436622,8.47311,53.0324605888
7.07894e-07,1828.45,1.66136e-09,0.6,1.11582,0.00261872,53.6803502043,0.0256062,10402.5,7848,250.222,4.4400231839,1.85656e-09,53.6803502043,6.37104994903,1,4275.03453438,4612.74,40361.7,50000,100,0.0209508536757,4275.03453438,8.47075,53.6803502043
7.00045e-07,942.664,4.17882e-08,0.6,1.00026,0.0597088,52.9744750193,2.67776e-05,9674.68,7936,46.6389,47.1771255375,1.27207e-14,52.9744750193,6.30040322581,1,3949.33934136,0.0259706,38.2611,50000,100,0.0207740799532,3949.33934136,8.47922,52.9744750193
6.94097e-07,3074.42,9.55763e-08,0.6,1.08051,0.148784,52.4338886172,0.018653,10534.8,8004,687.863,4.57290794825,9.6594e-10,52.4338886172,6.24687656172,1,4791.0601877,2340.8,29037.3,50000,100,0.0207672652736,4791.0601877,8.47955,52.4338886172
7.04305e-07,1925.97,3.5847e-08,0.6,1.06208,0.0540565,53.357263848,0.014639,10233.7,7888,376.3,4.72651693438,6.03687e-10,53.357263848,6.33874239351,1,4586.15639541,1372.78,22075.3,50000,100,0.0207957248539,4586.15639541,8.47818,53.357263848
6.74545e-07,1221.23,3.937e-09,0.6,1.00048,0.00583935,50.6803597645,6.77048e-05,9251.59,8236,42.2092,50.2968412593,2.85905e-14,50.6803597645,6.07090820787,1,3692.77651859,0.0628956,100.42,50000,100,0.0207881700696,3692.77651859,8.47854,50.6803597645
7.03948e-07,8265.21,2.60695e-12,0.6,103.156,0.000382019,53.3251636832,0.246703,17854.7,7892,1513.74,4.00030627197,1.71375e-07,53.3251636832,6.33552965028,1,7382.70724352,3.68005e+09,3.61515e+07,50000,100,0.0206873869164,7382.70724352,8.4834,53.3251636832
7.26787e-07,3243.44,5.9674e-09,0.6,1.00981,0.00829123,55.3794543496,0.00169299,10352.7,7644,51.138,16.6437114774,8.82523e-12,55.3794543496,6.54107796965,1,4529.22840521,17.037,2352.27,50000,100,0.0208319897988,4529.22840521,8.47644,55.3794543496
7.39164e-07,1332.15,3.37269e-09,0.6,1.41138,0.0064399,56.4931490712,0.072701,10809.6,7516,233.268,4.1087391041,1.56269e-08,56.4931490712,6.6524747206,1,4928.39128065,56974.3,138817.0,50000,100,0.0210552916276,4928.39128065,8.46577,56.4931490712
7.14817e-07,907.023,2.63114e-09,0.6,1.0002,0.0036816,54.3025739229,2.79073e-06,9861.52,7772,46.8746,43.6963806934,4.79149e-15,54.3025739229,6.43335048893,1,4306.3186111,0.00938115,3.9049,50000,100,0.0209563890177,4306.3186111,8.47048,54.3025739229
