J,AvgRet,AvgVanillaIw,eRenyi2,MaxNormIw,AvgNormIw,VarNormIw,VarDiscRet,Bound,VarJ,ESSRenyi,ESSClassic,MinNormIw,MaxVanillaIw,BatchSize,VarVanillaIw,AvgEpLen,MinVanillaIw,AvgDiscRet,VarRet
-107.05691,-2654.305220661724,1.3082788,4.146823,0.045698594,0.01,0.00021310023,5688470.842681565,-961.6893,298.64853,24.11484688469569,32.15752382721865,3.5061082e-19,5.97865,100,3.6474097,200.0,4.586967e-17,-2654.305220661724,5688470.842681565
-18.617931,-93.51970312849484,0.97401,1.1441959,0.014335154,0.01,1.4334368e-05,226190.94872950605,-280.73706,60.435696,87.39762024402256,87.57255075385486,0.0007731277,1.3962584,100,0.1359895,200.0,0.07530341,-93.51970312849484,226190.94872950605
-8.206557,-9.696284585379852,1.0024775,1.8427918,0.024897698,0.010000002,8.3804814e-05,74.46596140538554,-11.209829,9.555209,54.26549012844619,54.65471788708506,1.2122278e-09,2.4959383,100,0.8422059,200.0,1.215231e-07,-9.696284585379852,74.46596140538554
-9.062902,-9.547124284742887,1.041626,1.2632865,0.015429923,0.010000002,2.0461564e-05,61.15546204749769,-11.496813,8.621986,79.15860912513335,83.1552816160152,1.6073776e-05,1.6072209,100,0.2220048,200.0,0.0016742863,-9.547124284742887,61.15546204749769
-7.3730664,-8.10311786156954,1.0289738,1.3577855,0.025388109,0.010000002,3.3807486e-05,63.13953949567405,-9.826518,9.093248,73.64933761664909,74.92352899227039,0.0005084038,2.6123698,100,0.35794923,200.0,0.052313417,-8.10311786156954,63.13953949567405
-7.0041595,-7.955461183575011,1.13225,1.5531174,0.018235067,0.01,4.1991163e-05,55.167823639252774,-9.376745,8.112075,64.38663320462312,70.63581807950656,4.5493907e-06,2.0646653,100,0.5383225,200.0,0.00051510474,-7.955461183575011,55.167823639252774
-7.966626,-8.547714985821464,1.0427557,1.2397932,0.01574017,0.01,2.1631025e-05,47.132607625645264,-10.159892,7.500174,80.65861427428999,82.36233842542765,4.8139256e-05,1.6413151,100,0.23520267,200.0,0.0050197486,-8.547714985821464,47.132607625645264
-4.0513825,-7.475127238339137,1.0910599,5.513656,0.09336959,0.01,0.00041361278,52.79425415447167,-8.375275,7.961555,18.136785732045603,19.627985766829102,1.0809782e-10,10.187181,100,4.923695,200.0,1.17941195e-08,-7.475127238339137,52.79425415447167
-8.319735,-8.361999380204326,0.9802021,1.0426149,0.020610124,0.009999999,2.6058608e-06,60.02899234220841,-10.342249,7.682257,95.91268690642033,97.48507672722606,0.008946424,2.0202086,100,0.025037007,200.0,0.8769304,-8.361999380204326,60.02899234220841
-4.111182,-8.368025598841136,1.3676386,8.544964,0.08819,0.01,0.0005529303,56.81437055114022,-9.28274,10.100864,11.702799673751603,15.4463782176855,,12.061204,100,10.3422,200.0,,-8.368025598841136,56.81437055114022
