AvgEpLen,MaxNormIw,ESSRenyi,VarRet,VanillaAvgRet,J,MaxVanillaIw,VarDiscRet,EpsThisIter,AvgRet,AvgVanillaIw,AvgDiscRet,Bound,VarVanillaIw,ESSClassic,VarNormIw,IterType,BatchSize,MinNormIw,AvgNormIw,MinVanillaIw,eRenyi2,VarJ
12.63,0.34040964,15.81446430707126,20225.951056314894,116.23211570150396,431.61136,47.315468,20225.951056314894,100,116.23211570150396,1.3899568,116.23211570150396,266.59546,25.308924,7.158711821126659,0.0013099996,1,100,5.646281e-06,0.01,0.00078480865,6.323325,1215.9817
30.93,0.49625388,5.41870169772647,489530.5964629833,299.28242416798435,4514.535,53.903248,489530.5964629833,100,299.28242416798435,1.0862031,299.28242416798435,2706.7947,48.937763,2.3773515152205835,0.0041478407,1,100,1.1588237e-27,0.01,1.2587178e-25,18.454605,2857.34
149.8,0.24410577,9.525044054109957,2930514.7450752053,1489.064326736226,4604.134,24.152098,2930514.7450752053,100,1489.064326736226,0.9894112,1489.064326736226,3240.64,11.350632,8.013503849444197,0.0011594885,1,100,3.4768388e-23,0.009999999,3.4400232e-21,10.498639,1693.6973
456.89,0.02619728,66.56302588755378,1286128.6304773856,4566.950563899556,4896.386,2.7975926,1286128.6304773856,100,4566.950563899556,1.0678943,4566.950563899556,4380.5996,0.52136487,68.84179713205279,4.5717792e-05,1,100,4.4013672e-05,0.009999999,0.004700195,1.5023355,343.3709
476.51,0.021907007,78.60132759901312,762256.1617272686,4764.140497245576,4949.841,2.1418831,762256.1617272686,100,4764.140497245576,0.97771597,4764.140497245576,4475.193,0.28362113,77.29586774107126,2.9669705e-05,1,100,5.8393172e-05,0.01,0.0057091936,1.2722431,193.08308
494.62,0.013216168,94.99401517665137,153328.16374031556,4945.668419105925,4975.79,1.3555177,153328.16374031556,100,4945.668419105925,1.0256512,4945.668419105925,4544.034,0.052299943,95.30892914700999,4.971665e-06,1,100,0.0020458035,0.010000002,0.20982806,1.0526979,146.29025
494.79,0.012821568,95.42478812522992,236668.05205179952,4947.473278044085,4987.368,1.2863078,236668.05205179952,100,4947.473278044085,1.0032375,4947.473278044085,4556.588,0.056275472,94.75496379214891,5.5912856e-06,1,100,0.0018322498,0.01,0.18381818,1.0479457,93.5171
497.69,0.011443646,97.8493597676981,53824.64819370449,4976.692476756816,4995.269,1.1571674,53824.64819370449,100,4976.692476756816,1.0111878,4976.692476756816,4569.8594,0.022812793,97.83898371345974,2.231079e-06,1,100,0.0019931195,0.009999999,0.2015418,1.0219791,46.384663
497.8,0.01163908,97.97928287820497,48838.81769666461,4977.781879228898,4995.5283,1.1451429,48838.81769666461,100,4977.781879228898,0.9838775,4977.781879228898,4570.4004,0.030691715,96.95665921550153,3.1705824e-06,1,100,0.001970212,0.01,0.19384472,1.0206239,43.679424
500.0,0.010010433,99.99997615814777,0.04896882491873323,4999.8595616611365,4999.8604,1.0009351,0.04896882491873323,100,4999.8595616611365,0.9998919,4999.8595616611365,4579.05,3.309212e-07,99.99996947912929,3.309917e-11,1,100,0.009977432,0.01,0.9976353,1.0000002,0.21980841
