renyi2,J,MinNormIw,ESSClassic,BatchSize,ESSRenyi,SamplesThisIter,delta,MaxNormIw,AvgDiscRet,VarNormIw,IterType,MinVanillaIw,AvgEpLen,AvgNormIw,EpsThisIter,MaxVanillaIw,VarJ,VarDiscRet,Bound,VarRet,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,AvgRet
nan,-10900.2,7.84756e-34,5.31625688684,100,nan,50000,0.8,7.41666e-05,-71.9923441193,9.65008e-11,1,6.78635e-29,103.734439834,1.15261e-05,482,6.41373,239.966,2448.51013851,-67.9512,2448.51013851,0.996741,-71.9923441193,0.721663,-71.9923441193
35.6613,-9737.5,2.54263e-12,4.58005687461,100,3.25470886776e-14,50000,0.8,0.000119525,-58.3776292202,7.11049e-11,1,3.09956e-07,84.8896434635,9.43218e-06,589,14.5705,319.714,356.232914081,-61.7066,356.232914081,1.14981,-58.3776292202,1.05665,-58.3776292202
nan,-10122.1,6.7421e-10,5.95686432851,100,nan,50000,0.8,6.78261e-05,-61.0587959489,7.0561e-11,1,7.93466e-05,89.928057554,9.99201e-06,556,7.98235,220.238,564.10913774,-63.4963,564.10913774,1.17594,-61.0587959489,0.977309,-61.0587959489
nan,-10572.3,2.97826e-24,5.05996431551,100,nan,50000,0.8,5.78063e-05,-66.6300037537,6.41002e-11,1,2.86362e-19,96.5250965251,1.0725e-05,518,5.55812,240.259,1645.91092642,-65.7188,1645.91092642,1.03122,-66.6300037537,0.592605,-66.6300037537
nan,-5565.0,,5.23329374278,100,nan,50000,0.8,0.049463,-59.7736630169,4.57977e-07,1,,88.1834215168,9.79816e-06,567,1.05495e+23,401.823,247.304845311,-29.9813,247.304845311,2.08975e+19,-59.7736630169,inf,-59.7736630169
nan,-10024.1,,8.87944329787,100,nan,50000,0.8,0.000925732,-100.850575501,1.55293e-09,1,,145.348837209,1.61499e-05,344,87.7707,817.193,9609.37388193,-64.7354,9609.37388193,1.53121,-100.850575501,13.9599,-100.850575501
40.3132,-10741.5,1.32683e-13,5.34375825736,100,3.10605255355e-16,50000,0.8,0.000115041,-64.4011504635,5.63986e-11,1,1.35945e-08,94.3396226415,1.04822e-05,530,11.787,262.299,806.91876997,-66.5779,806.91876997,1.07399,-64.4011504635,0.59206,-64.4011504635
nan,-9141.07,,3.57127434477,100,nan,50000,0.8,0.00111822,-82.6174721596,9.51315e-10,1,,118.483412322,1.31648e-05,422,110.807,741.501,6543.38985332,-60.3931,6543.38985332,1.30454,-82.6174721596,9.34131,-82.6174721596
nan,-9729.55,1.99564e-38,4.56750976109,100,nan,50000,0.8,0.000113992,-66.934879374,1.5959e-10,1,2.25153e-33,96.7117988395,1.07458e-05,517,12.8609,295.296,2625.07166986,-61.2637,2625.07166986,1.21236,-66.934879374,2.03141,-66.934879374
nan,-10565.7,3.34408e-22,3.48661016903,100,nan,50000,0.8,0.000130067,-68.279615734,8.59488e-11,1,3.034e-17,98.231827112,1.09146e-05,509,11.8007,280.567,2441.17349149,-66.3438,2441.17349149,0.990258,-68.279615734,0.707485,-68.279615734
nan,-9985.84,2.72609e-14,6.70204969577,100,nan,50000,0.8,0.000317983,-59.287862898,9.817e-11,1,3.28097e-09,86.9565217391,9.66184e-06,575,38.2707,269.116,123.276428446,-59.1172,123.276428446,1.16285,-59.287862898,1.42201,-59.287862898
nan,-10336.9,8.38507e-10,4.99214593771,100,nan,50000,0.8,4.89371e-05,-61.388184978,4.70425e-11,1,9.15638e-05,89.7666068223,9.97407e-06,557,5.34386,197.608,492.197306432,-64.7128,492.197306432,1.08915,-61.388184978,0.560951,-61.388184978
nan,-10183.3,7.38732e-14,4.83986246874,100,nan,50000,0.8,7.44944e-05,-61.5136675008,4.53735e-11,1,7.69833e-09,90.9090909091,1.0101e-05,550,7.76307,221.322,786.144474029,-63.9194,786.144474029,1.05263,-61.5136675008,0.492744,-61.5136675008
nan,-7963.7,,1.81937248134,100,nan,50000,0.8,0.00372658,-64.6954017585,9.50039e-09,1,,94.5179584121,1.0502e-05,529,753.578,739.798,1961.3881289,-58.356,1961.3881289,2.12368,-64.6954017585,388.487,-64.6954017585
nan,-6571.38,,8.77396698759,100,nan,50000,0.8,0.0621391,-58.5381603236,4.22175e-07,1,,86.3557858377,9.59509e-06,579,3.38237e+20,290.501,148.187883557,-34.2913,148.187883557,5.22282e+16,-58.5381603236,inf,-58.5381603236
nan,-6463.12,,5.68422169675,100,nan,50000,0.8,0.0312201,-57.8953959935,1.6165e-07,1,,84.8896434635,9.43218e-06,589,6.02584e+12,378.185,74.2962835921,-25.2375,74.2962835921,1.82052e+09,-57.8953959935,6.02201e+21,-57.8953959935
nan,-9992.09,2.27468e-08,6.20662244972,100,nan,50000,0.8,6.7748e-05,-58.6624213089,5.65282e-11,1,0.00272372,86.0585197935,9.56206e-06,581,8.1122,171.621,264.551190029,-62.9012,264.551190029,1.14497,-58.6624213089,0.810492,-58.6624213089
nan,-10003.3,1.26354e-21,4.41210412919,100,nan,50000,0.8,6.58053e-05,-64.0257867023,9.14941e-11,1,1.36512e-16,92.7643784787,1.03072e-05,539,7.10956,194.793,1813.87729611,-62.5719,1813.87729611,1.11358,-64.0257867023,1.06797,-64.0257867023
nan,-7934.68,,2.31746186888,100,nan,50000,0.8,0.00404971,-62.748354185,8.56565e-09,1,,92.0810313076,1.02312e-05,543,887.634,710.64,1552.44711492,-57.3667,1552.44711492,2.24253,-62.748354185,411.51,-62.748354185
nan,-8766.64,,1.78183546007,100,nan,50000,0.8,0.00147964,-65.3283737573,2.34626e-09,1,,94.8766603416,1.05419e-05,527,207.155,701.622,2090.1346422,-59.4986,2090.1346422,1.4759,-65.3283737573,45.989,-65.3283737573
nan,-7341.72,,9.87927829916,100,nan,50000,0.8,0.087345,-57.3712893855,7.17347e-07,1,,83.6120401338,9.29022e-06,598,1.22267e+22,237.599,75.6784993727,-39.9189,75.6784993727,1.30046e+18,-57.3712893855,inf,-57.3712893855
nan,-8907.17,,2.7463549933,100,nan,50000,0.8,0.00115729,-75.7190867139,1.05853e-09,1,,107.066381156,1.18963e-05,467,147.029,901.862,5394.0677658,-60.7939,5394.0677658,1.51137,-75.7190867139,17.0854,-75.7190867139
nan,-10465.0,1.21605e-20,4.90781827528,100,nan,50000,0.8,8.94308e-05,-64.0704922789,6.63582e-11,1,1.2737e-15,92.7643784787,1.03072e-05,539,9.36705,238.872,824.508282814,-64.7767,824.508282814,1.07958,-64.0704922789,0.727991,-64.0704922789
nan,-10206.1,1.59561e-09,4.41841994765,100,nan,50000,0.8,0.000159168,-60.5642901175,6.25919e-11,1,0.000174422,88.809946714,9.86777e-06,563,17.3993,268.249,275.148508316,-63.696,275.148508316,1.07869,-60.5642901175,0.747946,-60.5642901175
nan,-7058.35,,1.50665819492,100,nan,50000,0.8,0.00555453,-61.4104498909,2.14819e-08,1,,90.9090909091,1.0101e-05,550,2560.7,716.426,613.689268877,-56.2487,613.689268877,4.65669,-61.4104498909,4565.59,-61.4104498909
nan,-9700.82,,4.80564483271,100,nan,50000,0.8,0.00123089,-60.2305153664,4.93869e-10,1,,88.3392226148,9.81547e-06,566,187.855,505.52,228.877641697,-55.7148,228.877641697,1.49801,-60.2305153664,11.5033,-60.2305153664
