VarRet,MaxNormIw,VarNormIw,ESSClassic,Bound,AvgRet,MaxVanillaIw,MinNormIw,AvgDiscRet,EpsThisIter,eRenyi2,ESSRenyi,VarDiscRet,AvgVanillaIw,IterType,MinVanillaIw,VarVanillaIw,Delta,AvgNormIw,AvgEpLen,VarJ,VanillaAvgRet,BatchSize,J
21633.0311987,1.0,0.01,inf,-49.8858,-325.901367878,2.88105e-36,,-325.901367878,100,3.91233e+26,2.55602008828e-25,21633.0311987,2.88105e-38,1,,,1.0,0.01,397.71,,-325.901367878,100,-49.8858
21633.0311987,nan,nan,nan,nan,-325.901367878,inf,nan,-59.5180002068,100,nan,nan,55.9354671893,inf,,3.47095e+35,nan,1.0,nan,397.71,nan,-325.901367878,200,nan
19853.910401,1.0,0.005,inf,-49.8858,-335.064128693,5.53425e-38,,-335.064128693,100,8.32521e+13,2.4023414868e-12,19853.910401,2.76713e-40,1,,,1.0,0.005,408.64,,-335.064128693,200,-49.8858
40.1028249252,0.01,3.50449e-18,100.0,-58.6001,-58.6001086949,1.0,0.01,-58.6001086949,100,1.0,200.0,40.1028249252,1.0,2,1.0,,1.0,0.01,85.64,6.30094,-58.6001086949,200,-58.6001
19853.910401,nan,nan,nan,nan,-335.064128693,inf,nan,-58.3743489394,100,nan,nan,39.1080633498,inf,,1.80693e+37,nan,1.0,nan,408.64,nan,-335.064128693,300,nan
19931.1199777,1.0,0.00333333,inf,-49.8858,-333.798501792,3.20017e-38,,-333.798501792,100,3.68513e+15,8.1408236687e-14,19931.1199777,1.06672e-40,1,,,1.0,0.00333333,408.38,,-333.798501792,300,-49.8858
49.3945157706,0.01,3.50449e-18,100.0,-60.9039,-60.9039419924,1.0,0.01,-60.9039419924,100,1.0,300.0,49.3945157706,1.0,2,1.0,,1.0,0.01,90.0,6.99289,-60.9039419924,300,-60.9039
45.3372348037,0.005,2.1793e-19,200.000000102,-60.3905,-59.8771230207,1.0,0.005,-59.8771230207,100,1.0,300.0,45.3372348037,1.0,2,1.0,,1.0,0.005,88.14,6.86701,-59.8771230207,300,-60.3905
19931.1199777,nan,nan,nan,nan,-333.798501792,inf,nan,-60.0282679579,100,nan,nan,38.178399698,inf,,3.12483e+37,nan,1.0,nan,408.38,nan,-333.798501792,400,nan
18934.2924302,1.0,0.0025,inf,-49.8858,-340.307336148,6.64737e-38,,-340.307336148,100,7.04749e+17,5.67577667349e-16,18934.2924302,1.66184e-40,1,,,1.0,0.0025,414.32,,-340.307336148,400,-49.8858
36.6070216748,0.01,3.50449e-18,100.0,-58.5766,-58.576573121,1.0,0.01,-58.576573121,100,1.0,400.0,36.6070216748,1.0,2,1.0,,1.0,0.01,86.14,6.02005,-58.576573121,400,-58.5766
2584.03106995,0.005,2.1793e-19,200.000000102,-62.4254,-66.2742982793,1.0,0.005,-66.2742982793,100,1.0,400.0,2584.03106995,1.0,2,1.0,,1.0,0.005,95.2,36.2219,-66.2742982793,400,-62.4254
49.6386305183,0.00333333,5.43914e-20,299.999969474,-61.3478,-59.192473563,1.0,0.00333333,-59.192473563,100,1.0,400.0,49.6386305183,1.0,2,1.0,,1.0,0.00333333,87.23,29.8896,-59.192473563,400,-61.3478
18934.2924302,nan,nan,nan,nan,-340.307336148,inf,nan,-62.1125471914,100,nan,nan,1338.22992906,inf,,1.50435e+37,nan,1.0,nan,414.32,nan,-340.307336148,500,nan
19267.958144,1.0,0.002,inf,-50.5245,-337.021209532,2.97262e-36,,-337.021209532,100,7.39144e+34,6.764582279e-33,19267.958144,5.94524e-39,1,,,1.0,0.002,412.77,,-337.021209532,500,-50.5245
46.8840602843,0.01,3.50449e-18,100.0,-57.8026,-57.8025512716,1.0,0.01,-57.8025512716,100,1.0,500.0,46.8840602843,1.0,2,1.0,,1.0,0.01,84.65,6.81287,-57.8025512716,500,-57.8026
43.9122358874,0.005,2.1793e-19,200.000000102,-58.0881,-58.3735657094,1.0,0.005,-58.3735657094,100,1.0,500.0,43.9122358874,1.0,2,1.0,,1.0,0.005,85.35,6.71012,-58.3735657094,500,-58.0881
64.1581303303,0.00333333,5.43914e-20,299.999969474,-58.6179,-59.6774624692,1.0,0.00333333,-59.6774624692,100,1.0,500.0,64.1581303303,1.0,2,1.0,,1.0,0.00333333,87.93,7.1938,-59.6774624692,500,-58.6179
2591.05955924,0.0025,5.4346e-20,400.0,-60.3629,-65.5979441869,1.0,0.0025,-65.5979441869,100,1.0,500.0,2591.05955924,1.0,2,1.0,,1.0,0.0025,94.13,26.2533,-65.5979441869,500,-60.3629
2590.17285503,1.0,0.002,1.0,-50.9265,-65.8478267951,22406.6,,-65.8478267951,100,33073.1,0.0151180042912,2590.17285503,44.8133,1,,1.00412e+06,1.0,0.002,94.21,9.59992e-11,-65.8478267951,500,-50.9265
